,KNL US Equity
,BEST_PE_RATIO
2020-01-01,9.182
2020-01-02,9.088
2020-01-03,9.091
2020-01-04,9.091
2020-01-05,9.091
2020-01-06,9.029
2020-01-07,8.859
2020-01-08,8.833
2020-01-09,8.702
2020-01-10,8.819
2020-01-11,8.819
2020-01-12,8.819
2020-01-13,9.022
2020-01-14,9.077
2020-01-15,9.044
2020-01-16,9.128
2020-01-17,9.124
2020-01-18,9.124
2020-01-19,9.124
2020-01-20,9.124
2020-01-21,8.768
2020-01-22,8.869
2020-01-23,8.869
2020-01-24,8.765
2020-01-25,8.765
2020-01-26,8.765
2020-01-27,8.796
2020-01-28,8.88
2020-01-29,8.713
2020-01-30,8.831
2020-01-31,8.612
2020-02-01,8.612
2020-02-02,8.612
2020-02-03,8.772
2020-02-04,8.782
2020-02-05,8.984
2020-02-06,9.033
2020-02-07,8.918
2020-02-08,8.918
2020-02-09,8.918
2020-02-10,9.061
2020-02-11,9.099
2020-02-12,9.04
2020-02-13,8.963
2020-02-14,8.935
2020-02-15,8.935
2020-02-16,8.935
2020-02-17,8.935
2020-02-18,8.988
2020-02-19,8.729
2020-02-20,8.616
2020-02-21,8.532
2020-02-22,8.532
2020-02-23,8.532
2020-02-24,8.416
2020-02-25,7.863
2020-02-26,7.511
2020-02-27,7.232
2020-02-28,7.167
2020-02-29,7.167
2020-03-01,7.167
2020-03-02,7.158
2020-03-03,6.968
2020-03-04,7.179
2020-03-05,6.703
2020-03-06,6.513
2020-03-07,6.513
2020-03-08,6.513
2020-03-09,5.86
2020-03-10,5.839
2020-03-11,5.371
2020-03-12,4.671
2020-03-13,5.432
2020-03-14,5.432
2020-03-15,5.432
2020-03-16,4.963
2020-03-17,4.468
2020-03-18,4.271
2020-03-19,4.384
2020-03-20,4.233
2020-03-21,4.233
2020-03-22,4.233
2020-03-23,5.708
2020-03-24,5.884
2020-03-25,6.274
2020-03-26,6.462
2020-03-27,6.553
2020-03-28,6.553
2020-03-29,6.553
2020-03-30,6.677
2020-03-31,6.709
2020-04-01,6.189
2020-04-02,6.02
2020-04-03,5.604
2020-04-04,5.604
2020-04-05,5.604
2020-04-06,6.02
2020-04-07,6.215
2020-04-08,6.495
2020-04-09,7.314
2020-04-10,7.314
2020-04-11,7.314
2020-04-12,7.314
2020-04-13,7.171
2020-04-14,6.95
2020-04-15,6.241
2020-04-16,5.858
2020-04-17,6.332
2020-04-18,6.332
2020-04-19,6.332
2020-04-20,6.124
2020-04-21,5.988
2020-04-22,5.949
2020-04-23,6.053
2020-04-24,6.248
2020-04-25,6.248
2020-04-26,6.248
2020-04-27,6.755
2020-04-28,6.742
2020-04-29,7.471
2020-04-30,10.041
2020-05-01,9.438
2020-05-02,9.438
2020-05-03,9.438
2020-05-04,9.387
2020-05-05,9.421
2020-05-06,8.87
2020-05-07,9.068
2020-05-08,9.714
2020-05-09,9.714
2020-05-10,9.714
2020-05-11,9.18
2020-05-12,8.482
2020-05-13,7.897
2020-05-14,8.215
2020-05-15,8.431
2020-05-16,8.431
2020-05-17,8.431
2020-05-18,9.602
2020-05-19,8.982
2020-05-20,8.93
2020-05-21,8.896
2020-05-22,9.025
2020-05-23,9.025
2020-05-24,9.025
2020-05-25,9.025
2020-05-26,10.007
2020-05-27,10.644
2020-05-28,9.938
2020-05-29,9.094
2020-05-30,9.094
2020-05-31,9.094
2020-06-01,9.24
2020-06-02,9.447
2020-06-03,10.291
2020-06-04,10.816
2020-06-05,11.875
2020-06-06,11.875
2020-06-07,11.875
2020-06-08,12.039
2020-06-09,11.608
2020-06-10,11.109
2020-06-11,10.196
2020-06-12,10.403
2020-06-13,10.403
2020-06-14,10.403
2020-06-15,10.654
2020-06-16,11.077
2020-06-17,10.913
2020-06-18,10.645
2020-06-19,10.784
2020-06-20,10.784
2020-06-21,10.784
2020-06-22,10.671
2020-06-23,11.017
2020-06-24,10.157
2020-06-25,10.096
2020-06-26,9.938
2020-06-27,9.938
2020-06-28,9.938
2020-06-29,11.181
2020-06-30,10.674
2020-07-01,10.087
2020-07-02,10.078
2020-07-03,10.078
2020-07-04,10.078
2020-07-05,10.078
2020-07-06,10.306
2020-07-07,9.78
2020-07-08,9.675
2020-07-09,9.264
2020-07-10,9.579
2020-07-11,9.579
2020-07-12,9.579
2020-07-13,9.763
2020-07-14,9.877
2020-07-15,11.006
2020-07-16,11.068
2020-07-17,8.816
2020-07-18,8.816
2020-07-19,8.816
2020-07-20,8.324
2020-07-21,8.563
2020-07-22,8.64
2020-07-23,8.964
2020-07-24,8.26
2020-07-25,8.26
2020-07-26,8.26
2020-07-27,8.169
2020-07-28,8.169
2020-07-29,8.169
2020-07-30,8.169
2020-07-31,8.169
2020-08-01,8.169
2020-08-02,8.169
2020-08-03,8.169
2020-08-04,8.169
2020-08-05,8.169
