,GIS US Equity
,BEST_PE_RATIO
2020-01-01,11.889
2020-01-02,11.572
2020-01-03,11.529
2020-01-04,11.529
2020-01-05,11.529
2020-01-06,11.674
2020-01-07,11.594
2020-01-08,11.76
2020-01-09,11.736
2020-01-10,11.706
2020-01-11,11.706
2020-01-12,11.706
2020-01-13,11.888
2020-01-14,11.875
2020-01-15,11.957
2020-01-16,12.036
2020-01-17,12.065
2020-01-18,12.065
2020-01-19,12.065
2020-01-20,12.065
2020-01-21,12.175
2020-01-22,12.094
2020-01-23,12.152
2020-01-24,12.034
2020-01-25,12.034
2020-01-26,12.034
2020-01-27,11.924
2020-01-28,11.877
2020-01-29,11.881
2020-01-30,12.038
2020-01-31,11.7
2020-02-01,11.7
2020-02-02,11.7
2020-02-03,11.872
2020-02-04,11.774
2020-02-05,11.776
2020-02-06,11.586
2020-02-07,11.628
2020-02-08,11.628
2020-02-09,11.628
2020-02-10,11.731
2020-02-11,11.821
2020-02-12,11.859
2020-02-13,11.872
2020-02-14,11.944
2020-02-15,11.944
2020-02-16,11.944
2020-02-17,11.944
2020-02-18,11.996
2020-02-19,11.928
2020-02-20,12.128
2020-02-21,12.081
2020-02-22,12.081
2020-02-23,12.081
2020-02-24,12.036
2020-02-25,11.769
2020-02-26,11.682
2020-02-27,11.234
2020-02-28,10.978
2020-02-29,10.978
2020-03-01,10.978
2020-03-02,11.518
2020-03-03,11.572
2020-03-04,12.137
2020-03-05,12.166
2020-03-06,12.271
2020-03-07,12.271
2020-03-08,12.271
2020-03-09,12.13
2020-03-10,12.119
2020-03-11,11.845
2020-03-12,11.202
2020-03-13,11.982
2020-03-14,11.982
2020-03-15,11.982
2020-03-16,11.96
2020-03-17,13.369
2020-03-18,12.939
2020-03-19,12.027
2020-03-20,11.957
2020-03-21,11.957
2020-03-22,11.957
2020-03-23,10.593
2020-03-24,10.806
2020-03-25,10.676
2020-03-26,11.202
2020-03-27,11.61
2020-03-28,11.61
2020-03-29,11.61
2020-03-30,12.121
2020-03-31,11.823
2020-04-01,11.901
2020-04-02,12.296
2020-04-03,12.706
2020-04-04,12.706
2020-04-05,12.706
2020-04-06,12.928
2020-04-07,12.645
2020-04-08,12.596
2020-04-09,12.973
2020-04-10,12.973
2020-04-11,12.973
2020-04-12,12.973
2020-04-13,13.034
2020-04-14,13.301
2020-04-15,13.346
2020-04-16,13.717
2020-04-17,13.712
2020-04-18,13.712
2020-04-19,13.712
2020-04-20,13.732
2020-04-21,13.511
2020-04-22,13.604
2020-04-23,13.495
2020-04-24,13.669
2020-04-25,13.669
2020-04-26,13.669
2020-04-27,13.556
2020-04-28,13.778
2020-04-29,13.628
2020-04-30,13.536
2020-05-01,13.466
2020-05-02,13.466
2020-05-03,13.466
2020-05-04,13.5
2020-05-05,13.518
2020-05-06,13.328
2020-05-07,13.283
2020-05-08,13.506
2020-05-09,13.506
2020-05-10,13.506
2020-05-11,13.744
2020-05-12,14.128
2020-05-13,14.365
2020-05-14,14.06
2020-05-15,14.123
2020-05-16,14.123
2020-05-17,14.123
2020-05-18,13.918
2020-05-19,13.726
2020-05-20,13.771
2020-05-21,13.549
2020-05-22,13.552
2020-05-23,13.552
2020-05-24,13.552
2020-05-25,13.552
2020-05-26,13.543
2020-05-27,13.746
2020-05-28,13.992
2020-05-29,14.248
2020-05-30,14.248
2020-05-31,14.248
2020-06-01,14.361
2020-06-02,14.334
2020-06-03,13.893
2020-06-04,13.732
2020-06-05,13.787
2020-06-06,13.787
2020-06-07,13.787
2020-06-08,14.044
2020-06-09,14.198
2020-06-10,14.189
2020-06-11,13.692
2020-06-12,13.594
2020-06-13,13.594
2020-06-14,13.594
2020-06-15,13.757
2020-06-16,13.965
2020-06-17,13.967
2020-06-18,13.958
2020-06-19,13.918
2020-06-20,13.918
2020-06-21,13.918
2020-06-22,13.904
2020-06-23,13.787
2020-06-24,13.626
2020-06-25,13.635
2020-06-26,13.382
2020-06-27,13.382
2020-06-28,13.382
2020-06-29,13.728
2020-06-30,13.934
2020-07-01,13.283
2020-07-02,13.582
2020-07-03,13.582
2020-07-04,13.582
2020-07-05,13.582
2020-07-06,13.739
2020-07-07,13.913
2020-07-08,13.904
2020-07-09,13.926
2020-07-10,14.149
2020-07-11,14.149
2020-07-12,14.149
2020-07-13,14.151
2020-07-14,14.51
