,MAT US Equity
,BEST_PE_RATIO
2020-01-01,7.486
2020-01-02,7.345
2020-01-03,7.448
2020-01-04,7.448
2020-01-05,7.448
2020-01-06,7.773
2020-01-07,7.834
2020-01-08,7.807
2020-01-09,7.878
2020-01-10,7.773
2020-01-11,7.773
2020-01-12,7.773
2020-01-13,7.972
2020-01-14,8.11
2020-01-15,7.735
2020-01-16,7.74
2020-01-17,7.89
2020-01-18,7.89
2020-01-19,7.89
2020-01-20,7.89
2020-01-21,7.928
2020-01-22,7.95
2020-01-23,7.981
2020-01-24,7.89
2020-01-25,7.89
2020-01-26,7.89
2020-01-27,7.801
2020-01-28,8.017
2020-01-29,8.022
2020-01-30,8.066
2020-01-31,8.083
2020-02-01,8.083
2020-02-02,8.083
2020-02-03,7.972
2020-02-04,7.939
2020-02-05,7.84
2020-02-06,7.906
2020-02-07,7.779
2020-02-08,7.779
2020-02-09,7.779
2020-02-10,7.89
2020-02-11,7.895
2020-02-12,8.017
2020-02-13,7.956
2020-02-14,7.707
2020-02-15,7.707
2020-02-16,7.707
2020-02-17,7.707
2020-02-18,7.345
2020-02-19,7.215
2020-02-20,7.32
2020-02-21,7.149
2020-02-22,7.149
2020-02-23,7.149
2020-02-24,6.856
2020-02-25,6.572
2020-02-26,6.436
2020-02-27,6.37
2020-02-28,6.514
2020-02-29,6.514
2020-03-01,6.514
2020-03-02,6.608
2020-03-03,6.547
2020-03-04,7.058
2020-03-05,6.939
2020-03-06,6.448
2020-03-07,6.448
2020-03-08,6.448
2020-03-09,5.646
2020-03-10,5.558
2020-03-11,4.945
2020-03-12,4.365
2020-03-13,4.558
2020-03-14,4.558
2020-03-15,4.558
2020-03-16,4.343
2020-03-17,4.812
2020-03-18,4.718
2020-03-19,4.696
2020-03-20,4.099
2020-03-21,4.099
2020-03-22,4.099
2020-03-23,3.994
2020-03-24,4.503
2020-03-25,4.718
2020-03-26,5.006
2020-03-27,4.851
2020-03-28,4.851
2020-03-29,4.851
2020-03-30,5.028
2020-03-31,4.867
2020-04-01,4.624
2020-04-02,4.575
2020-04-03,4.271
2020-04-04,4.271
2020-04-05,4.271
2020-04-06,4.552
2020-04-07,4.558
2020-04-08,4.696
2020-04-09,5.138
2020-04-10,5.138
2020-04-11,5.138
2020-04-12,5.138
2020-04-13,5.135
2020-04-14,5.166
2020-04-15,4.895
2020-04-16,4.884
2020-04-17,5.072
2020-04-18,5.072
2020-04-19,5.072
2020-04-20,4.95
2020-04-21,4.652
2020-04-22,4.602
2020-04-23,4.644
2020-04-24,4.619
2020-04-25,4.619
2020-04-26,4.619
2020-04-27,4.901
2020-04-28,5.135
2020-04-29,4.939
2020-04-30,4.818
2020-05-01,4.583
2020-05-02,4.583
2020-05-03,4.583
2020-05-04,4.74
2020-05-05,4.754
2020-05-06,4.691
2020-05-07,4.713
2020-05-08,4.873
2020-05-09,4.873
2020-05-10,4.873
2020-05-11,4.735
2020-05-12,4.63
2020-05-13,4.42
2020-05-14,4.475
2020-05-15,4.425
2020-05-16,4.425
2020-05-17,4.425
2020-05-18,4.503
2020-05-19,4.431
2020-05-20,4.519
2020-05-21,4.627
2020-05-22,4.685
2020-05-23,4.685
2020-05-24,4.685
2020-05-25,4.685
2020-05-26,5.199
2020-05-27,5.481
2020-05-28,5.224
2020-05-29,5.088
2020-05-30,5.088
2020-05-31,5.088
2020-06-01,5.32
2020-06-02,5.326
2020-06-03,5.635
2020-06-04,5.597
2020-06-05,5.801
2020-06-06,5.801
2020-06-07,5.801
2020-06-08,6.0
2020-06-09,5.796
2020-06-10,5.486
2020-06-11,5.11
2020-06-12,5.315
2020-06-13,5.315
2020-06-14,5.315
2020-06-15,5.448
2020-06-16,5.619
2020-06-17,5.58
2020-06-18,5.486
2020-06-19,5.442
2020-06-20,5.442
2020-06-21,5.442
2020-06-22,5.547
2020-06-23,5.541
2020-06-24,5.282
2020-06-25,5.21
2020-06-26,5.177
2020-06-27,5.177
2020-06-28,5.177
2020-06-29,5.304
2020-06-30,5.343
2020-07-01,5.431
2020-07-02,5.591
2020-07-03,5.591
2020-07-04,5.591
2020-07-05,5.591
2020-07-06,5.685
2020-07-07,5.613
2020-07-08,5.613
2020-07-09,5.597
2020-07-10,5.79
2020-07-11,5.79
2020-07-12,5.79
2020-07-13,5.702
2020-07-14,5.779
2020-07-15,6.0
2020-07-16,5.928
2020-07-17,5.834
2020-07-18,5.834
2020-07-19,5.834
2020-07-20,5.878
2020-07-21,6.21
2020-07-22,6.276
2020-07-23,6.425
2020-07-24,6.265
2020-07-25,6.265
2020-07-26,6.265
2020-07-27,6.0
2020-07-28,6.254
2020-07-29,6.243
2020-07-30,7.799
2020-07-31,7.715
2020-08-01,7.715
2020-08-02,7.715
2020-08-03,7.885
2020-08-04,7.896
2020-08-05,8.069
2020-08-06,7.934
2020-08-07,7.889
2020-08-08,7.889
2020-08-09,7.889
2020-08-10,8.097
2020-08-11,7.972
2020-08-12,8.083
2020-08-13,8.118
2020-08-14,8.021
2020-08-15,8.021
2020-08-16,8.021
2020-08-17,7.965
2020-08-18,7.861
2020-08-19,7.819
2020-08-20,7.795
