,WEC US Equity
,BEST_PE_RATIO
2020-01-01,
2020-01-02,
2020-01-03,
2020-01-04,
2020-01-05,
2020-01-06,
2020-01-07,
2020-01-08,
2020-01-09,
2020-01-10,
2020-01-11,
2020-01-12,
2020-01-13,
2020-01-14,
2020-01-15,
2020-01-16,
2020-01-17,17.304
2020-01-18,17.304
2020-01-19,17.304
2020-01-20,17.304
2020-01-21,17.528
2020-01-22,17.629
2020-01-23,17.713
2020-01-24,17.76
2020-01-25,17.76
2020-01-26,17.76
2020-01-27,17.677
2020-01-28,17.677
2020-01-29,17.711
2020-01-30,18.056
2020-01-31,17.927
2020-02-01,17.927
2020-02-02,17.927
2020-02-03,18.106
2020-02-04,17.882
2020-02-05,17.948
2020-02-06,17.928
2020-02-07,17.902
2020-02-08,17.902
2020-02-09,17.902
2020-02-10,17.972
2020-02-11,17.981
2020-02-12,18.081
2020-02-13,18.278
2020-02-14,18.398
2020-02-15,18.398
2020-02-16,18.398
2020-02-17,18.398
2020-02-18,18.58
2020-02-19,18.495
2020-02-20,18.491
2020-02-21,18.511
2020-02-22,18.511
2020-02-23,18.511
2020-02-24,18.389
2020-02-25,18.134
2020-02-26,18.112
2020-02-27,17.258
2020-02-28,16.675
2020-02-29,16.675
2020-03-01,16.675
2020-03-02,17.643
2020-03-03,17.623
2020-03-04,18.82
2020-03-05,18.802
2020-03-06,18.912
2020-03-07,18.912
2020-03-08,18.912
2020-03-09,18.488
2020-03-10,18.43
2020-03-11,17.599
2020-03-12,16.482
2020-03-13,17.882
2020-03-14,17.882
2020-03-15,17.882
2020-03-16,16.67
2020-03-17,18.429
2020-03-18,18.801
2020-03-19,16.261
2020-03-20,13.326
2020-03-21,13.326
2020-03-22,13.326
2020-03-23,12.75
2020-03-24,14.427
2020-03-25,14.522
2020-03-26,15.607
2020-03-27,16.02
2020-03-28,16.02
2020-03-29,16.02
2020-03-30,16.527
2020-03-31,15.851
2020-04-01,15.022
2020-04-02,15.83
2020-04-03,15.333
2020-04-04,15.333
2020-04-05,15.333
2020-04-06,16.418
2020-04-07,15.785
2020-04-08,16.583
2020-04-09,17.666
2020-04-10,17.666
2020-04-11,17.666
2020-04-12,17.666
2020-04-13,17.666
2020-04-14,17.666
2020-04-15,17.666
2020-04-16,17.666
2020-04-17,17.666
2020-04-18,17.666
2020-04-19,17.666
2020-04-20,17.666
2020-04-21,17.666
2020-04-22,17.666
2020-04-23,17.666
2020-04-24,17.666
2020-04-25,17.666
2020-04-26,17.666
2020-04-27,17.666
2020-04-28,17.666
2020-04-29,17.666
2020-04-30,17.666
2020-05-01,17.666
2020-05-02,17.666
2020-05-03,17.666
2020-05-04,17.666
2020-05-05,17.666
2020-05-06,17.666
2020-05-07,17.666
2020-05-08,17.666
2020-05-09,17.666
2020-05-10,17.666
2020-05-11,15.504
2020-05-12,15.448
2020-05-13,15.518
2020-05-14,15.508
2020-05-15,15.525
2020-05-16,15.525
2020-05-17,15.525
2020-05-18,16.041
2020-05-19,15.871
2020-05-20,15.983
2020-05-21,15.869
2020-05-22,15.77
2020-05-23,15.77
2020-05-24,15.77
2020-05-25,15.77
2020-05-26,15.688
2020-05-27,15.726
2020-05-28,16.288
2020-05-29,16.794
2020-05-30,16.794
2020-05-31,16.794
2020-06-01,17.05
2020-06-02,17.204
2020-06-03,17.202
2020-06-04,16.947
2020-06-05,16.999
2020-06-06,16.999
2020-06-07,16.999
2020-06-08,17.444
2020-06-09,17.107
2020-06-10,17.156
2020-06-11,16.72
2020-06-12,16.534
2020-06-13,16.534
2020-06-14,16.534
2020-06-15,16.444
2020-06-16,16.508
2020-06-17,16.435
2020-06-18,16.333
2020-06-19,16.008
2020-06-20,16.008
2020-06-21,16.008
2020-06-22,15.968
2020-06-23,15.83
2020-06-24,15.775
2020-06-25,15.488
2020-06-26,15.548
2020-06-27,15.548
2020-06-28,15.548
2020-06-29,15.808
2020-06-30,15.932
2020-07-01,16.237
2020-07-02,16.39
2020-07-03,16.39
2020-07-04,16.39
2020-07-05,16.39
2020-07-06,16.348
2020-07-07,16.123
2020-07-08,16.13
2020-07-09,15.899
2020-07-10,16.004
2020-07-11,16.004
2020-07-12,16.004
2020-07-13,15.944
2020-07-14,16.014
2020-07-15,15.897
2020-07-16,15.952
2020-07-17,16.455
2020-07-18,16.455
2020-07-19,16.455
2020-07-20,16.503
2020-07-21,16.686
2020-07-22,17.11
2020-07-23,17.171
2020-07-24,17.134
2020-07-25,17.134
2020-07-26,17.134
2020-07-27,17.088
2020-07-28,17.315
2020-07-29,17.387
2020-07-30,17.427
2020-07-31,17.44
2020-08-01,17.44
2020-08-02,17.44
2020-08-03,17.055
2020-08-04,17.323
2020-08-05,16.988
2020-08-06,16.93
2020-08-07,17.181
2020-08-08,17.181
2020-08-09,17.181
2020-08-10,17.065
2020-08-11,16.55
2020-08-12,16.799
2020-08-13,16.763
2020-08-14,16.721
2020-08-15,16.721
2020-08-16,16.721
2020-08-17,16.887
2020-08-18,16.851
2020-08-19,16.814
2020-08-20,16.735
2020-08-21,16.864
2020-08-22,16.864
2020-08-23,16.864
2020-08-24,16.909
2020-08-25,16.917
2020-08-26,16.873
2020-08-27,16.93
2020-08-28,17.162
2020-08-29,17.162
2020-08-30,17.162
2020-08-31,17.247
2020-09-01,17.157
2020-09-02,17.857
2020-09-03,17.665
2020-09-04,17.66
2020-09-05,17.66
