,RRX US Equity
,BEST_PE_RATIO
2020-01-01,5.846
2020-01-02,5.913
2020-01-03,5.856
2020-01-04,5.856
2020-01-05,5.856
2020-01-06,5.827
2020-01-07,5.796
2020-01-08,5.853
2020-01-09,5.891
2020-01-10,5.847
2020-01-11,5.847
2020-01-12,5.847
2020-01-13,5.942
2020-01-14,5.924
2020-01-15,5.886
2020-01-16,5.932
2020-01-17,5.908
2020-01-18,5.908
2020-01-19,5.908
2020-01-20,5.908
2020-01-21,5.831
2020-01-22,5.779
2020-01-23,5.752
2020-01-24,5.684
2020-01-25,5.684
2020-01-26,5.684
2020-01-27,5.53
2020-01-28,5.579
2020-01-29,5.536
2020-01-30,5.579
2020-01-31,5.358
2020-02-01,5.358
2020-02-02,5.358
2020-02-03,5.357
2020-02-04,5.793
2020-02-05,5.88
2020-02-06,5.863
2020-02-07,5.858
2020-02-08,5.858
2020-02-09,5.858
2020-02-10,5.849
2020-02-11,5.971
2020-02-12,6.131
2020-02-13,6.111
2020-02-14,6.081
2020-02-15,6.081
2020-02-16,6.081
2020-02-17,6.081
2020-02-18,6.04
2020-02-19,6.018
2020-02-20,6.114
2020-02-21,6.124
2020-02-22,6.124
2020-02-23,6.124
2020-02-24,5.932
2020-02-25,5.679
2020-02-26,5.626
2020-02-27,5.45
2020-02-28,5.302
2020-02-29,5.302
2020-03-01,5.302
2020-03-02,5.525
2020-03-03,5.441
2020-03-04,5.541
2020-03-05,5.343
2020-03-06,5.194
2020-03-07,5.194
2020-03-08,5.194
2020-03-09,4.633
2020-03-10,5.035
2020-03-11,4.95
2020-03-12,4.326
2020-03-13,4.614
2020-03-14,4.614
2020-03-15,4.614
2020-03-16,4.173
2020-03-17,4.695
2020-03-18,3.922
2020-03-19,4.038
2020-03-20,3.938
2020-03-21,3.938
2020-03-22,3.938
2020-03-23,3.628
2020-03-24,3.903
2020-03-25,4.132
2020-03-26,4.316
2020-03-27,4.065
2020-03-28,4.065
2020-03-29,4.065
2020-03-30,4.202
2020-03-31,4.32
2020-04-01,4.132
2020-04-02,4.243
2020-04-03,3.97
2020-04-04,3.97
2020-04-05,3.97
2020-04-06,4.493
2020-04-07,4.56
2020-04-08,4.841
2020-04-09,4.88
2020-04-10,4.88
2020-04-11,4.88
2020-04-12,4.88
2020-04-13,4.739
2020-04-14,4.766
2020-04-15,4.427
2020-04-16,4.328
2020-04-17,4.51
2020-04-18,4.51
2020-04-19,4.51
2020-04-20,4.38
2020-04-21,4.342
2020-04-22,4.403
2020-04-23,4.489
2020-04-24,4.53
2020-04-25,4.53
2020-04-26,4.53
2020-04-27,4.714
2020-04-28,4.838
2020-04-29,5.012
2020-04-30,4.873
2020-05-01,4.754
2020-05-02,4.754
2020-05-03,4.754
2020-05-04,4.633
