,CTRA US Equity
,BEST_PE_RATIO
2020-01-01,7.385
2020-01-02,7.309
2020-01-03,7.33
2020-01-04,7.33
2020-01-05,7.33
2020-01-06,7.389
2020-01-07,7.432
2020-01-08,7.147
2020-01-09,7.321
2020-01-10,7.419
2020-01-11,7.419
2020-01-12,7.419
2020-01-13,7.292
2020-01-14,7.427
2020-01-15,7.355
2020-01-16,7.368
2020-01-17,7.13
2020-01-18,7.13
2020-01-19,7.13
2020-01-20,7.13
2020-01-21,6.583
2020-01-22,6.545
2020-01-23,6.502
2020-01-24,6.25
2020-01-25,6.25
2020-01-26,6.25
2020-01-27,6.156
2020-01-28,6.28
2020-01-29,6.114
2020-01-30,6.11
2020-01-31,6.016
2020-02-01,6.016
2020-02-02,6.016
2020-02-03,6.045
2020-02-04,6.152
2020-02-05,6.349
2020-02-06,6.306
2020-02-07,6.25
2020-02-08,6.25
2020-02-09,6.25
2020-02-10,6.255
2020-02-11,6.302
2020-02-12,6.387
2020-02-13,6.434
2020-02-14,6.319
2020-02-15,6.319
2020-02-16,6.319
2020-02-17,6.319
2020-02-18,6.532
2020-02-19,6.66
2020-02-20,6.554
2020-02-21,6.357
2020-02-22,6.357
2020-02-23,6.357
2020-02-24,7.326
2020-02-25,7.107
2020-02-26,7.136
2020-02-27,6.577
2020-02-28,6.781
2020-02-29,6.781
2020-03-01,6.781
2020-03-02,5.69
2020-03-03,5.784
2020-03-04,5.843
2020-03-05,5.835
2020-03-06,6.402
2020-03-07,6.402
2020-03-08,6.402
2020-03-09,6.605
2020-03-10,6.625
2020-03-11,6.34
2020-03-12,6.273
2020-03-13,7.184
2020-03-14,7.184
2020-03-15,7.184
2020-03-16,6.691
2020-03-17,7.466
2020-03-18,7.235
2020-03-19,6.613
2020-03-20,5.835
2020-03-21,5.835
2020-03-22,5.835
2020-03-23,5.53
2020-03-24,6.394
2020-03-25,6.437
2020-03-26,6.598
2020-03-27,6.351
2020-03-28,6.351
2020-03-29,6.351
2020-03-30,6.848
2020-03-31,6.723
2020-04-01,6.508
2020-04-02,6.531
2020-04-03,6.785
2020-04-04,6.785
2020-04-05,6.785
2020-04-06,7.149
2020-04-07,7.188
2020-04-08,7.505
2020-04-09,7.384
2020-04-10,7.384
2020-04-11,7.384
2020-04-12,7.384
2020-04-13,7.423
2020-04-14,7.642
2020-04-15,7.818
2020-04-16,7.552
2020-04-17,8.197
2020-04-18,8.197
2020-04-19,8.197
2020-04-20,8.377
2020-04-21,8.225
2020-04-22,8.103
2020-04-23,7.837
2020-04-24,7.994
2020-04-25,7.994
2020-04-26,7.994
2020-04-27,8.248
2020-04-28,8.033
2020-04-29,8.123
2020-04-30,8.455
2020-05-01,7.908
2020-05-02,7.908
2020-05-03,7.908
2020-05-04,7.539
2020-05-05,7.588
2020-05-06,7.294
2020-05-07,7.435
2020-05-08,7.632
2020-05-09,7.632
2020-05-10,7.632
2020-05-11,7.201
