,DISCA US Equity
,BEST_PE_RATIO
2020-01-01,6.063
2020-01-02,5.967
2020-01-03,5.931
2020-01-04,5.931
2020-01-05,5.931
2020-01-06,5.919
2020-01-07,5.939
2020-01-08,5.946
2020-01-09,5.972
2020-01-10,5.898
2020-01-11,5.898
2020-01-12,5.898
2020-01-13,5.887
2020-01-14,5.907
2020-01-15,5.97
2020-01-16,6.069
2020-01-17,6.006
2020-01-18,6.006
2020-01-19,6.006
2020-01-20,6.006
2020-01-21,5.92
2020-01-22,5.931
2020-01-23,5.639
2020-01-24,5.615
2020-01-25,5.615
2020-01-26,5.615
2020-01-27,5.593
2020-01-28,5.651
2020-01-29,5.5
2020-01-30,5.541
2020-01-31,5.419
2020-02-01,5.419
2020-02-02,5.419
2020-02-03,4.351
2020-02-04,4.439
2020-02-05,4.572
2020-02-06,4.485
2020-02-07,4.446
2020-02-08,4.446
2020-02-09,4.446
2020-02-10,4.452
2020-02-11,4.508
2020-02-12,4.53
2020-02-13,4.527
2020-02-14,4.509
2020-02-15,4.509
2020-02-16,4.509
2020-02-17,4.509
2020-02-18,4.567
2020-02-19,4.594
2020-02-20,4.518
2020-02-21,4.402
2020-02-22,4.402
2020-02-23,4.402
2020-02-24,4.267
2020-02-25,4.133
2020-02-26,3.989
2020-02-27,3.718
2020-02-28,3.687
2020-02-29,3.687
2020-03-01,3.687
2020-03-02,3.788
2020-03-03,3.765
2020-03-04,3.803
2020-03-05,3.62
2020-03-06,3.65
2020-03-07,3.65
2020-03-08,3.65
2020-03-09,3.267
2020-03-10,3.464
2020-03-11,3.323
2020-03-12,3.077
2020-03-13,3.162
2020-03-14,3.162
2020-03-15,3.162
2020-03-16,2.849
2020-03-17,2.971
2020-03-18,2.746
2020-03-19,2.931
2020-03-20,2.591
2020-03-21,2.591
2020-03-22,2.591
2020-03-23,2.554
2020-03-24,2.767
2020-03-25,2.909
2020-03-26,2.891
2020-03-27,2.628
2020-03-28,2.628
2020-03-29,2.628
2020-03-30,2.764
2020-03-31,2.685
2020-04-01,2.687
2020-04-02,2.58
2020-04-03,2.536
2020-04-04,2.536
2020-04-05,2.536
2020-04-06,2.714
2020-04-07,2.855
2020-04-08,2.981
2020-04-09,3.083
2020-04-10,3.083
2020-04-11,3.083
2020-04-12,3.083
2020-04-13,3.037
2020-04-14,3.08
2020-04-15,2.949
2020-04-16,2.965
2020-04-17,3.058
2020-04-18,3.058
2020-04-19,3.058
2020-04-20,2.997
2020-04-21,2.87
2020-04-22,2.814
2020-04-23,3.54
2020-04-24,3.649
2020-04-25,3.649
2020-04-26,3.649
2020-04-27,3.949
2020-04-28,4.066
2020-04-29,4.301
2020-04-30,3.899
2020-05-01,3.769
2020-05-02,3.769
2020-05-03,3.769
2020-05-04,3.803
2020-05-05,3.695
2020-05-06,3.7
2020-05-07,3.643
2020-05-08,3.742
2020-05-09,3.742
2020-05-10,3.742
2020-05-11,4.933
2020-05-12,4.801
2020-05-13,4.643
2020-05-14,4.985
2020-05-15,4.968
2020-05-16,4.968
2020-05-17,4.968
2020-05-18,5.165
2020-05-19,5.109
2020-05-20,5.138
2020-05-21,5.017
2020-05-22,4.926
2020-05-23,4.926
2020-05-24,4.926
2020-05-25,4.926
2020-05-26,5.32
2020-05-27,5.49
2020-05-28,5.331
2020-05-29,5.279
2020-05-30,5.279
2020-05-31,5.279
2020-06-01,5.326
2020-06-02,5.299
2020-06-03,5.405
2020-06-04,5.604
2020-06-05,6.015
2020-06-06,6.015
2020-06-07,6.015
2020-06-08,6.347
2020-06-09,5.796
2020-06-10,5.624
2020-06-11,5.422
2020-06-12,5.357
2020-06-13,5.357
2020-06-14,5.357
2020-06-15,5.522
2020-06-16,5.403
2020-06-17,5.38
2020-06-18,5.466
2020-06-19,5.376
2020-06-20,5.376
2020-06-21,5.376
2020-06-22,5.301
2020-06-23,5.379
2020-06-24,5.271
2020-06-25,5.16
2020-06-26,4.917
2020-06-27,4.917
2020-06-28,4.917
2020-06-29,5.153
2020-06-30,5.121
2020-07-01,5.113
2020-07-02,5.046
2020-07-03,5.046
2020-07-04,5.046
2020-07-05,5.046
2020-07-06,5.155
2020-07-07,4.941
2020-07-08,4.907
2020-07-09,4.672
2020-07-10,4.91
2020-07-11,4.91
2020-07-12,4.91
2020-07-13,4.981
2020-07-14,5.198
2020-07-15,5.482
2020-07-16,5.542
2020-07-17,5.391
2020-07-18,5.391
2020-07-19,5.391
2020-07-20,5.228
2020-07-21,5.281
2020-07-22,5.313
2020-07-23,5.374
2020-07-24,5.323
2020-07-25,5.323
2020-07-26,5.323
2020-07-27,5.254
2020-07-28,5.23
2020-07-29,4.985
2020-07-30,5.02
2020-07-31,5.008
2020-08-01,5.008
2020-08-02,5.008
2020-08-03,5.065
2020-08-04,5.224
2020-08-05,4.621
2020-08-06,4.933
2020-08-07,4.675
2020-08-08,4.675
2020-08-09,4.675
2020-08-10,4.853
2020-08-11,5.009
2020-08-12,4.862
2020-08-13,4.895
2020-08-14,5.04
2020-08-15,5.04
2020-08-16,5.04
2020-08-17,4.922
2020-08-18,4.915
2020-08-19,4.95
2020-08-20,4.931
2020-08-21,4.9
2020-08-22,4.9
2020-08-23,4.9
2020-08-24,5.082
2020-08-25,5.094
2020-08-26,5.074
2020-08-27,5.094
2020-08-28,5.097
2020-08-29,5.097
2020-08-30,5.097
2020-08-31,4.916
2020-09-01,4.773
2020-09-02,4.86
2020-09-03,4.822
2020-09-04,5.082
2020-09-05,5.082
2020-09-06,5.082
2020-09-07,5.082
2020-09-08,5.013
2020-09-09,5.138
2020-09-10,5.225
2020-09-11,5.087
2020-09-12,5.087
2020-09-13,5.087
2020-09-14,5.296
2020-09-15,5.307
2020-09-16,5.408
2020-09-17,5.392
2020-09-18,5.321
2020-09-19,5.321
2020-09-20,5.321
2020-09-21,4.996
2020-09-22,4.975
2020-09-23,4.706
2020-09-24,4.75
2020-09-25,4.753
2020-09-26,4.753
2020-09-27,4.753
2020-09-28,4.891
2020-09-29,4.846
2020-09-30,4.851
2020-10-01,4.793
2020-10-02,4.791
2020-10-03,4.791
2020-10-04,4.791
2020-10-05,4.882
2020-10-06,4.795
2020-10-07,4.944
2020-10-08,5.074
2020-10-09,4.826
2020-10-10,4.826
2020-10-11,4.826
2020-10-12,4.848
2020-10-13,4.681
2020-10-14,4.542
2020-10-15,4.551
2020-10-16,4.527
2020-10-17,4.527
2020-10-18,4.527
2020-10-19,4.363
2020-10-20,4.374
2020-10-21,4.475
2020-10-22,4.573
2020-10-23,4.557
2020-10-24,4.557
2020-10-25,4.557
2020-10-26,4.432
2020-10-27,4.334
2020-10-28,4.155
2020-10-29,4.255
2020-10-30,4.364
2020-10-31,4.364
2020-11-01,4.364
2020-11-02,4.554
2020-11-03,4.554
2020-11-04,4.426
2020-11-05,4.656
2020-11-06,4.557
2020-11-07,4.557
2020-11-08,4.557
2020-11-09,5.226
2020-11-10,5.415
2020-11-11,5.301
2020-11-12,5.15
2020-11-13,5.462
2020-11-14,5.462
2020-11-15,5.462
2020-11-16,5.686
2020-11-17,5.741
2020-11-18,5.788
2020-11-19,5.912
2020-11-20,6.022
2020-11-21,6.022
2020-11-22,6.022
2020-11-23,6.26
2020-11-24,6.426
2020-11-25,6.449
2020-11-26,6.449
2020-11-27,6.492
2020-11-28,6.492
2020-11-29,6.492
2020-11-30,6.357
2020-12-01,6.538
2020-12-02,6.451
