,CLX US Equity
,BEST_PE_RATIO
2020-01-01,20.566
2020-01-02,20.442
2020-01-03,20.482
2020-01-04,20.482
2020-01-05,20.482
2020-01-06,20.544
2020-01-07,20.296
2020-01-08,20.356
2020-01-09,20.467
2020-01-10,20.584
2020-01-11,20.584
2020-01-12,20.584
2020-01-13,20.923
2020-01-14,20.929
2020-01-15,20.986
2020-01-16,21.047
2020-01-17,21.124
2020-01-18,21.124
2020-01-19,21.124
2020-01-20,21.124
2020-01-21,21.311
2020-01-22,21.382
2020-01-23,21.307
2020-01-24,21.201
2020-01-25,21.201
2020-01-26,21.201
2020-01-27,21.426
2020-01-28,21.045
2020-01-29,20.929
2020-01-30,21.016
2020-01-31,21.212
2020-02-01,21.212
2020-02-02,21.212
2020-02-03,21.014
2020-02-04,22.366
2020-02-05,22.602
2020-02-06,22.565
2020-02-07,22.723
2020-02-08,22.723
2020-02-09,22.723
2020-02-10,22.919
2020-02-11,22.522
2020-02-12,22.45
2020-02-13,22.524
2020-02-14,22.532
2020-02-15,22.532
2020-02-16,22.532
2020-02-17,22.532
2020-02-18,22.53
2020-02-19,22.533
2020-02-20,22.442
2020-02-21,22.506
2020-02-22,22.506
2020-02-23,22.506
2020-02-24,22.854
2020-02-25,22.945
2020-02-26,22.969
2020-02-27,23.061
2020-02-28,21.792
2020-02-29,21.792
2020-03-01,21.792
2020-03-02,23.513
2020-03-03,22.947
2020-03-04,23.583
2020-03-05,24.038
2020-03-06,23.684
2020-03-07,23.684
2020-03-08,23.684
2020-03-09,23.908
2020-03-10,23.922
2020-03-11,23.157
2020-03-12,21.694
2020-03-13,22.934
2020-03-14,22.934
2020-03-15,22.934
2020-03-16,23.88
2020-03-17,27.05
2020-03-18,26.102
2020-03-19,26.216
2020-03-20,24.25
2020-03-21,24.25
2020-03-22,24.25
2020-03-23,23.258
2020-03-24,23.009
2020-03-25,22.645
2020-03-26,23.664
2020-03-27,23.675
2020-03-28,23.675
2020-03-29,23.675
2020-03-30,27.904
2020-03-31,27.708
2020-04-01,27.933
2020-04-02,28.739
2020-04-03,28.394
2020-04-04,28.394
2020-04-05,28.394
