,SO US Equity
,BEST_PE_RATIO
2020-01-01,13.13
2020-01-02,12.908
2020-01-03,12.895
2020-01-04,12.895
2020-01-05,12.895
2020-01-06,12.947
2020-01-07,12.908
2020-01-08,12.904
2020-01-09,13.04
2020-01-10,13.122
2020-01-11,13.122
2020-01-12,13.122
2020-01-13,13.304
2020-01-14,13.382
2020-01-15,13.518
2020-01-16,13.585
2020-01-17,13.813
2020-01-18,13.813
2020-01-19,13.813
2020-01-20,13.813
2020-01-21,13.99
2020-01-22,14.027
2020-01-23,14.163
2020-01-24,14.261
2020-01-25,14.261
2020-01-26,14.261
2020-01-27,14.323
2020-01-28,14.386
2020-01-29,14.397
2020-01-30,14.551
2020-01-31,14.458
2020-02-01,14.458
2020-02-02,14.458
2020-02-03,14.52
2020-02-04,14.282
2020-02-05,14.177
2020-02-06,14.138
2020-02-07,14.043
2020-02-08,14.043
2020-02-09,14.043
2020-02-10,14.056
2020-02-11,14.087
2020-02-12,14.093
2020-02-13,14.282
2020-02-14,14.302
2020-02-15,14.302
2020-02-16,14.302
2020-02-17,14.302
2020-02-18,14.381
2020-02-19,14.217
2020-02-20,14.466
2020-02-21,14.296
2020-02-22,14.296
2020-02-23,14.296
2020-02-24,14.05
2020-02-25,13.855
2020-02-26,13.716
2020-02-27,13.03
2020-02-28,12.508
2020-02-29,12.508
2020-03-01,12.508
2020-03-02,13.248
2020-03-03,13.241
2020-03-04,14.05
2020-03-05,14.002
2020-03-06,13.857
2020-03-07,13.857
2020-03-08,13.857
2020-03-09,12.881
2020-03-10,12.852
2020-03-11,12.1
2020-03-12,10.855
2020-03-13,11.225
2020-03-14,11.225
2020-03-15,11.225
2020-03-16,9.904
2020-03-17,11.764
2020-03-18,11.63
2020-03-19,10.586
2020-03-20,9.642
2020-03-21,9.642
2020-03-22,9.642
2020-03-23,8.991
2020-03-24,10.2
2020-03-25,10.428
2020-03-26,11.468
2020-03-27,11.649
2020-03-28,11.649
2020-03-29,11.649
2020-03-30,12.061
2020-03-31,11.26
2020-04-01,10.428
2020-04-02,10.898
2020-04-03,10.455
2020-04-04,10.455
2020-04-05,10.455
2020-04-06,11.522
2020-04-07,11.464
2020-04-08,12.1
2020-04-09,12.548
2020-04-10,12.548
2020-04-11,12.548
2020-04-12,12.548
2020-04-13,12.005
2020-04-14,12.271
2020-04-15,11.624
2020-04-16,11.506
2020-04-17,11.953
2020-04-18,11.953
2020-04-19,11.953
2020-04-20,11.549
2020-04-21,11.543
2020-04-22,11.865
2020-04-23,11.813
2020-04-24,12.007
2020-04-25,12.007
2020-04-26,12.007
2020-04-27,12.391
2020-04-28,12.302
2020-04-29,12.155
2020-04-30,12.02
2020-05-01,11.528
2020-05-02,11.528
2020-05-03,11.528
2020-05-04,11.613
2020-05-05,11.763
2020-05-06,11.342
2020-05-07,11.467
2020-05-08,11.717
2020-05-09,11.717
2020-05-10,11.717
2020-05-11,11.801
2020-05-12,11.74
2020-05-13,11.374
2020-05-14,11.577
2020-05-15,11.241
2020-05-16,11.241
2020-05-17,11.241
2020-05-18,11.644
2020-05-19,11.462
2020-05-20,11.731
2020-05-21,11.517
2020-05-22,11.678
2020-05-23,11.678
2020-05-24,11.678
2020-05-25,11.678
2020-05-26,11.695
2020-05-27,11.77
2020-05-28,12.176
2020-05-29,12.211
2020-05-30,12.211
2020-05-31,12.211
2020-06-01,12.345
2020-06-02,12.409
2020-06-03,12.561
2020-06-04,12.399
2020-06-05,12.506
2020-06-06,12.506
2020-06-07,12.506
2020-06-08,12.895
2020-06-09,12.7
2020-06-10,12.666
2020-06-11,12.001
2020-06-12,12.018
2020-06-13,12.018
2020-06-14,12.018
2020-06-15,12.102
2020-06-16,12.059
2020-06-17,12.02
2020-06-18,12.035
2020-06-19,11.499
2020-06-20,11.499
2020-06-21,11.499
2020-06-22,11.726
2020-06-23,11.426
2020-06-24,11.235
2020-06-25,10.993
2020-06-26,10.922
2020-06-27,10.922
2020-06-28,10.922
2020-06-29,11.059
2020-06-30,11.121
2020-07-01,11.34
2020-07-02,11.323
2020-07-03,11.323
2020-07-04,11.323
2020-07-05,11.323
2020-07-06,11.284
2020-07-07,11.308
2020-07-08,11.381
2020-07-09,11.141
2020-07-10,11.417
2020-07-11,11.417
2020-07-12,11.417
2020-07-13,11.407
2020-07-14,11.514
2020-07-15,11.372
2020-07-16,11.527
2020-07-17,11.707
2020-07-18,11.707
2020-07-19,11.707
2020-07-20,11.609
2020-07-21,11.74
2020-07-22,11.935
2020-07-23,11.887
2020-07-24,11.736
2020-07-25,11.736
2020-07-26,11.736
2020-07-27,11.609
2020-07-28,11.828
2020-07-29,11.851
2020-07-30,11.819
2020-07-31,11.673
2020-08-01,11.673
2020-08-02,11.673
2020-08-03,11.544
2020-08-04,11.636
2020-08-05,11.414
2020-08-06,11.519
2020-08-07,11.69
2020-08-08,11.69
2020-08-09,11.69
2020-08-10,11.771
2020-08-11,11.583
2020-08-12,11.726
2020-08-13,11.758
2020-08-14,11.583
2020-08-15,11.583
2020-08-16,11.583
2020-08-17,11.589
2020-08-18,11.473
2020-08-19,11.503
2020-08-20,11.3
2020-08-21,11.326
2020-08-22,11.326
2020-08-23,11.326
2020-08-24,11.431
2020-08-25,11.334
2020-08-26,11.185
2020-08-27,11.289
2020-08-28,11.336
2020-08-29,11.336
2020-08-30,11.336
2020-08-31,11.284
2020-09-01,11.204
2020-09-02,11.507
2020-09-03,11.375
2020-09-04,11.308
2020-09-05,11.308
2020-09-06,11.308
2020-09-07,11.308
2020-09-08,11.429
2020-09-09,11.429
2020-09-10,11.15
2020-09-11,11.194
2020-09-12,11.194
2020-09-13,11.194
2020-09-14,11.431
2020-09-15,11.464
2020-09-16,11.524
2020-09-17,11.574
2020-09-18,11.421
2020-09-19,11.421
2020-09-20,11.421
2020-09-21,11.468
2020-09-22,11.488
2020-09-23,11.36
2020-09-24,11.473
2020-09-25,11.637
2020-09-26,11.637
2020-09-27,11.637
2020-09-28,11.615
2020-09-29,11.613
2020-09-30,11.726
2020-10-01,11.812
2020-10-02,12.167
2020-10-03,12.167
2020-10-04,12.167
2020-10-05,12.364
2020-10-06,12.506
2020-10-07,12.5
2020-10-08,12.697
2020-10-09,12.703
2020-10-10,12.703
2020-10-11,12.703
2020-10-12,12.729
2020-10-13,12.617
2020-10-14,12.543
2020-10-15,12.547
2020-10-16,12.619
2020-10-17,12.619
2020-10-18,12.619
2020-10-19,12.552
2020-10-20,12.673
2020-10-21,12.731
2020-10-22,13.097
2020-10-23,13.159
2020-10-24,13.159
