,EBAY US Equity
,BEST_PE_RATIO
2020-01-01,7.457
2020-01-02,7.496
2020-01-03,7.426
2020-01-04,7.426
2020-01-05,7.426
2020-01-06,7.388
2020-01-07,7.465
2020-01-08,7.46
2020-01-09,7.373
2020-01-10,7.312
2020-01-11,7.312
2020-01-12,7.312
2020-01-13,7.278
2020-01-14,7.408
2020-01-15,7.404
2020-01-16,7.528
2020-01-17,7.507
2020-01-18,7.507
2020-01-19,7.507
2020-01-20,7.507
2020-01-21,7.486
2020-01-22,7.521
2020-01-23,7.463
2020-01-24,7.41
2020-01-25,7.41
2020-01-26,7.41
2020-01-27,7.621
2020-01-28,7.637
2020-01-29,7.338
2020-01-30,7.44
2020-01-31,7.121
2020-02-01,7.121
2020-02-02,7.121
2020-02-03,7.297
2020-02-04,7.938
2020-02-05,7.878
2020-02-06,8.063
2020-02-07,7.681
2020-02-08,7.681
2020-02-09,7.681
2020-02-10,7.643
2020-02-11,7.351
2020-02-12,7.495
2020-02-13,7.503
2020-02-14,7.045
2020-02-15,7.045
2020-02-16,7.045
2020-02-17,7.045
2020-02-18,6.995
2020-02-19,6.932
2020-02-20,6.962
2020-02-21,7.056
2020-02-22,7.056
2020-02-23,7.056
2020-02-24,6.883
2020-02-25,6.735
2020-02-26,6.777
2020-02-27,6.473
2020-02-28,6.428
2020-02-29,6.428
2020-03-01,6.428
2020-03-02,6.673
2020-03-03,6.814
2020-03-04,7.142
2020-03-05,6.907
2020-03-06,6.753
2020-03-07,6.753
2020-03-08,6.753
2020-03-09,6.591
2020-03-10,6.688
2020-03-11,6.463
2020-03-12,6.129
2020-03-13,6.307
2020-03-14,6.307
2020-03-15,6.307
2020-03-16,5.983
2020-03-17,6.176
2020-03-18,5.808
2020-03-19,5.493
2020-03-20,5.118
2020-03-21,5.118
2020-03-22,5.118
2020-03-23,4.888
2020-03-24,5.135
2020-03-25,5.264
2020-03-26,5.597
2020-03-27,5.6
2020-03-28,5.6
2020-03-29,5.6
2020-03-30,5.788
2020-03-31,5.578
2020-04-01,5.341
2020-04-02,5.417
2020-04-03,5.457
2020-04-04,5.457
2020-04-05,5.457
2020-04-06,5.786
2020-04-07,5.868
2020-04-08,6.126
2020-04-09,6.278
2020-04-10,6.278
2020-04-11,6.278
2020-04-12,6.278
2020-04-13,7.053
2020-04-14,7.251
2020-04-15,7.343
2020-04-16,7.552
2020-04-17,7.599
2020-04-18,7.599
2020-04-19,7.599
2020-04-20,7.637
2020-04-21,7.631
2020-04-22,7.954
2020-04-23,7.883
2020-04-24,8.183
2020-04-25,8.183
2020-04-26,8.183
2020-04-27,8.113
2020-04-28,8.075
2020-04-29,8.032
2020-04-30,8.903
2020-05-01,8.773
2020-05-02,8.773
2020-05-03,8.773
2020-05-04,8.903
2020-05-05,9.012
2020-05-06,9.153
2020-05-07,9.247
