,ZBH US Equity
,BEST_PE_RATIO
2020-01-01,12.958
2020-01-02,12.916
2020-01-03,12.882
2020-01-04,12.882
2020-01-05,12.882
2020-01-06,12.808
2020-01-07,12.797
2020-01-08,12.95
2020-01-09,12.864
2020-01-10,12.984
2020-01-11,12.984
2020-01-12,12.984
2020-01-13,12.9
2020-01-14,12.842
2020-01-15,12.825
2020-01-16,12.879
2020-01-17,12.932
2020-01-18,12.932
2020-01-19,12.932
2020-01-20,12.932
2020-01-21,12.94
2020-01-22,13.07
2020-01-23,12.943
2020-01-24,12.795
2020-01-25,12.795
2020-01-26,12.795
2020-01-27,12.816
2020-01-28,12.916
2020-01-29,13.05
2020-01-30,13.087
2020-01-31,12.803
2020-02-01,12.803
2020-02-02,12.803
2020-02-03,12.856
2020-02-04,13.245
2020-02-05,13.324
2020-02-06,13.435
2020-02-07,13.213
2020-02-08,13.213
2020-02-09,13.213
2020-02-10,13.368
2020-02-11,13.458
2020-02-12,14.308
2020-02-13,14.311
2020-02-14,14.461
2020-02-15,14.461
2020-02-16,14.461
2020-02-17,14.461
2020-02-18,14.358
2020-02-19,14.427
2020-02-20,14.28
2020-02-21,14.19
2020-02-22,14.19
2020-02-23,14.19
2020-02-24,13.914
2020-02-25,13.499
2020-02-26,13.214
2020-02-27,12.618
2020-02-28,12.275
2020-02-29,12.275
2020-03-01,12.275
2020-03-02,12.555
2020-03-03,12.069
2020-03-04,12.448
2020-03-05,11.648
2020-03-06,11.189
2020-03-07,11.189
2020-03-08,11.189
2020-03-09,10.031
2020-03-10,10.667
2020-03-11,10.025
2020-03-12,9.199
2020-03-13,8.817
2020-03-14,8.817
2020-03-15,8.817
2020-03-16,8.295
2020-03-17,7.768
2020-03-18,7.269
2020-03-19,8.037
2020-03-20,7.752
2020-03-21,7.752
2020-03-22,7.752
2020-03-23,7.286
2020-03-24,8.967
2020-03-25,9.297
2020-03-26,9.707
2020-03-27,9.138
2020-03-28,9.138
2020-03-29,9.138
2020-03-30,9.459
2020-03-31,9.951
2020-04-01,8.823
2020-04-02,9.127
2020-04-03,9.058
2020-04-04,9.058
2020-04-05,9.058
2020-04-06,9.374
2020-04-07,9.724
2020-04-08,10.651
2020-04-09,10.563
2020-04-10,10.563
2020-04-11,10.563
2020-04-12,10.563
2020-04-13,10.339
2020-04-14,10.872
2020-04-15,10.54
2020-04-16,10.919
2020-04-17,11.844
2020-04-18,11.844
2020-04-19,11.844
2020-04-20,11.686
2020-04-21,11.201
2020-04-22,10.913
2020-04-23,11.286
2020-04-24,11.631
2020-04-25,11.631
2020-04-26,11.631
2020-04-27,11.735
2020-04-28,11.461
2020-04-29,12.072
2020-04-30,11.956
2020-05-01,11.611
2020-05-02,11.611
2020-05-03,11.611
2020-05-04,11.394
2020-05-05,11.788
2020-05-06,11.575
2020-05-07,11.926
2020-05-08,12.172
2020-05-09,12.172
2020-05-10,12.172
2020-05-11,11.352
2020-05-12,10.928
2020-05-13,10.686
2020-05-14,10.785
2020-05-15,10.813
2020-05-16,10.813
2020-05-17,10.813
2020-05-18,11.802
2020-05-19,11.925
2020-05-20,12.18
2020-05-21,11.738
2020-05-22,11.872
2020-05-23,11.872
2020-05-24,11.872
2020-05-25,11.872
2020-05-26,12.194
2020-05-27,12.348
2020-05-28,12.314
2020-05-29,12.155
2020-05-30,12.155
2020-05-31,12.155
2020-06-01,12.303
2020-06-02,12.361
2020-06-03,12.543
2020-06-04,12.46
2020-06-05,13.219
2020-06-06,13.219
2020-06-07,13.219
2020-06-08,13.133
2020-06-09,12.906
2020-06-10,12.92
2020-06-11,11.655
2020-06-12,12.044
2020-06-13,12.044
2020-06-14,12.044
2020-06-15,12.231
2020-06-16,12.609
2020-06-17,12.322
2020-06-18,12.261
2020-06-19,12.144
2020-06-20,12.144
2020-06-21,12.144
2020-06-22,11.988
2020-06-23,12.119
2020-06-24,11.374
2020-06-25,11.093
2020-06-26,11.129
2020-06-27,11.129
2020-06-28,11.129
2020-06-29,11.27
2020-06-30,11.508
2020-07-01,11.506
2020-07-02,11.628
2020-07-03,11.628
2020-07-04,11.628
2020-07-05,11.628
2020-07-06,11.383
2020-07-07,11.28
2020-07-08,11.465
2020-07-09,11.342
2020-07-10,11.514
2020-07-11,11.514
2020-07-12,11.514
2020-07-13,11.926
2020-07-14,12.252
2020-07-15,12.997
2020-07-16,12.882
2020-07-17,13.334
2020-07-18,13.334
2020-07-19,13.334
2020-07-20,12.894
2020-07-21,13.077
2020-07-22,13.132
2020-07-23,13.1
2020-07-24,13.232
2020-07-25,13.232
2020-07-26,13.232
2020-07-27,13.245
2020-07-28,13.237
2020-07-29,13.772
2020-07-30,13.646
2020-07-31,13.306
2020-08-01,13.306
2020-08-02,13.306
