,COR US Equity
,BEST_PE_RATIO
2020-01-01,7.785
2020-01-02,7.79
2020-01-03,7.692
2020-01-04,7.692
2020-01-05,7.692
2020-01-06,7.805
2020-01-07,7.749
2020-01-08,7.824
2020-01-09,7.935
2020-01-10,7.969
2020-01-11,7.969
2020-01-12,7.969
2020-01-13,7.888
2020-01-14,8.133
2020-01-15,8.366
2020-01-16,8.374
2020-01-17,8.338
2020-01-18,8.338
2020-01-19,8.338
2020-01-20,8.338
2020-01-21,8.355
2020-01-22,8.426
2020-01-23,8.347
2020-01-24,8.142
2020-01-25,8.142
2020-01-26,8.142
2020-01-27,8.013
2020-01-28,8.159
2020-01-29,8.228
2020-01-30,7.62
2020-01-31,7.335
2020-02-01,7.335
2020-02-02,7.335
2020-02-03,7.347
2020-02-04,7.552
2020-02-05,7.84
2020-02-06,7.929
2020-02-07,7.882
2020-02-08,7.882
2020-02-09,7.882
2020-02-10,8.025
2020-02-11,8.108
2020-02-12,8.212
2020-02-13,8.139
2020-02-14,8.126
2020-02-15,8.126
2020-02-16,8.126
2020-02-17,8.126
2020-02-18,8.121
2020-02-19,8.192
2020-02-20,8.312
2020-02-21,8.353
2020-02-22,8.353
2020-02-23,8.353
2020-02-24,8.175
2020-02-25,8.002
2020-02-26,8.07
2020-02-27,7.456
2020-02-28,7.261
2020-02-29,7.261
2020-03-01,7.261
2020-03-02,7.506
2020-03-03,7.394
2020-03-04,7.783
2020-03-05,7.489
2020-03-06,7.389
2020-03-07,7.389
2020-03-08,7.389
2020-03-09,7.171
2020-03-10,7.412
2020-03-11,7.316
2020-03-12,6.931
2020-03-13,7.75
2020-03-14,7.75
2020-03-15,7.75
2020-03-16,6.932
2020-03-17,7.707
2020-03-18,7.317
2020-03-19,7.406
2020-03-20,6.941
2020-03-21,6.941
2020-03-22,6.941
2020-03-23,6.366
2020-03-24,6.876
2020-03-25,6.489
2020-03-26,7.247
2020-03-27,7.042
2020-03-28,7.042
2020-03-29,7.042
2020-03-30,7.586
2020-03-31,7.621
2020-04-01,7.425
2020-04-02,7.224
2020-04-03,7.004
2020-04-04,7.004
2020-04-05,7.004
2020-04-06,7.431
2020-04-07,7.509
2020-04-08,7.606
2020-04-09,7.561
2020-04-10,7.561
2020-04-11,7.561
2020-04-12,7.561
2020-04-13,7.358
2020-04-14,7.7
2020-04-15,7.606
2020-04-16,7.43
2020-04-17,7.68
2020-04-18,7.68
2020-04-19,7.68
2020-04-20,7.717
2020-04-21,7.369
2020-04-22,7.449
2020-04-23,7.514
2020-04-24,7.638
2020-04-25,7.638
2020-04-26,7.638
2020-04-27,7.817
2020-04-28,7.71
2020-04-29,7.693
2020-04-30,7.721
2020-05-01,7.438
2020-05-02,7.438
2020-05-03,7.438
2020-05-04,7.442
2020-05-05,7.575
2020-05-06,7.363
2020-05-07,7.546
2020-05-08,7.49
2020-05-09,7.49
2020-05-10,7.49
2020-05-11,7.707
2020-05-12,7.532
2020-05-13,7.155
2020-05-14,7.145
2020-05-15,7.328
2020-05-16,7.328
2020-05-17,7.328
2020-05-18,7.623
2020-05-19,7.659
2020-05-20,7.924
2020-05-21,7.883
2020-05-22,7.959
2020-05-23,7.959
2020-05-24,7.959
2020-05-25,7.959
2020-05-26,7.758
2020-05-27,7.976
2020-05-28,8.067
2020-05-29,8.147
2020-05-30,8.147
2020-05-31,8.147
2020-06-01,8.131
2020-06-02,8.431
2020-06-03,8.502
2020-06-04,8.499
2020-06-05,8.458
2020-06-06,8.458
2020-06-07,8.458
2020-06-08,8.742
2020-06-09,8.537
2020-06-10,8.285
2020-06-11,7.991
2020-06-12,8.107
2020-06-13,8.107
2020-06-14,8.107
2020-06-15,8.222
2020-06-16,8.47
2020-06-17,8.558
2020-06-18,8.567
2020-06-19,8.729
2020-06-20,8.729
2020-06-21,8.729
2020-06-22,8.694
2020-06-23,8.674
2020-06-24,8.447
2020-06-25,8.603
2020-06-26,8.476
2020-06-27,8.476
2020-06-28,8.476
2020-06-29,8.459
2020-06-30,8.611
2020-07-01,8.499
2020-07-02,8.553
2020-07-03,8.553
2020-07-04,8.553
2020-07-05,8.553
2020-07-06,8.607
2020-07-07,8.4
2020-07-08,8.307
2020-07-09,8.237
2020-07-10,8.294
2020-07-11,8.294
2020-07-12,8.294
2020-07-13,8.312
2020-07-14,8.488
2020-07-15,8.708
2020-07-16,8.78
2020-07-17,8.926
2020-07-18,8.926
2020-07-19,8.926
2020-07-20,8.733
2020-07-21,8.9
2020-07-22,8.871
2020-07-23,8.89
2020-07-24,8.867
2020-07-25,8.867
2020-07-26,8.867
2020-07-27,8.888
2020-07-28,8.726
2020-07-29,8.829
2020-07-30,8.731
2020-07-31,8.562
2020-08-01,8.562
2020-08-02,8.562
2020-08-03,8.929
2020-08-04,8.947
2020-08-05,8.845
2020-08-06,8.683
2020-08-07,8.725
2020-08-08,8.725
2020-08-09,8.725
2020-08-10,8.805
2020-08-11,8.602
2020-08-12,8.786
2020-08-13,8.716
2020-08-14,8.839
2020-08-15,8.839
2020-08-16,8.839
2020-08-17,8.811
2020-08-18,8.762
2020-08-19,8.665
2020-08-20,8.438
2020-08-21,8.362
2020-08-22,8.362
2020-08-23,8.362
2020-08-24,8.313
2020-08-25,8.373
2020-08-26,8.32
2020-08-27,8.36
2020-08-28,8.311
2020-08-29,8.311
2020-08-30,8.311
2020-08-31,8.267
2020-09-01,8.034
2020-09-02,8.374
2020-09-03,8.313
2020-09-04,8.23
2020-09-05,8.23
2020-09-06,8.23
2020-09-07,8.23
2020-09-08,8.124
2020-09-09,8.196
2020-09-10,8.031
2020-09-11,8.015
2020-09-12,8.015
2020-09-13,8.015
2020-09-14,8.06
2020-09-15,8.085
2020-09-16,8.246
2020-09-17,8.248
2020-09-18,8.25
2020-09-19,8.25
2020-09-20,8.25
2020-09-21,8.163
2020-09-22,8.116
2020-09-23,8.02
2020-09-24,8.065
2020-09-25,8.247
2020-09-26,8.247
2020-09-27,8.247
2020-09-28,8.313
2020-09-29,8.192
2020-09-30,8.257
2020-10-01,8.124
2020-10-02,8.126
2020-10-03,8.126
2020-10-04,8.126
2020-10-05,8.212
2020-10-06,8.147
2020-10-07,8.144
2020-10-08,8.391
2020-10-09,8.252
2020-10-10,8.252
2020-10-11,8.252
2020-10-12,8.252
2020-10-13,8.287
2020-10-14,8.387
2020-10-15,8.464
2020-10-16,8.479
2020-10-17,8.479
2020-10-18,8.479
2020-10-19,8.332
2020-10-20,8.348
2020-10-21,8.326
2020-10-22,8.411
2020-10-23,8.467
2020-10-24,8.467
2020-10-25,8.467
2020-10-26,8.381
2020-10-27,8.319
2020-10-28,8.153
2020-10-29,8.059
2020-10-30,8.185
2020-10-31,8.185
2020-11-01,8.185
2020-11-02,8.429
2020-11-03,8.703
2020-11-04,8.945
2020-11-05,8.981
2020-11-06,8.856
2020-11-07,8.856
2020-11-08,8.856
2020-11-09,8.832
2020-11-10,9.15
2020-11-11,8.921
2020-11-12,9.348
2020-11-13,9.565
2020-11-14,9.565
2020-11-15,9.565
2020-11-16,9.644
2020-11-17,9.279
2020-11-18,9.151
2020-11-19,9.015
2020-11-20,8.887
2020-11-21,8.887
2020-11-22,8.887
2020-11-23,8.889
2020-11-24,9.121
2020-11-25,9.122
2020-11-26,9.122
2020-11-27,9.13
2020-11-28,9.13
2020-11-29,9.13
2020-11-30,9.122
2020-12-01,9.041
2020-12-02,9.123
2020-12-03,8.979
2020-12-04,9.11
2020-12-05,9.11
2020-12-06,9.11
2020-12-07,8.802
2020-12-08,8.885
2020-12-09,8.945
2020-12-10,8.791
2020-12-11,8.675
2020-12-12,8.675
2020-12-13,8.675
2020-12-14,8.592
2020-12-15,8.761
2020-12-16,8.703
2020-12-17,8.735
2020-12-18,8.724
2020-12-19,8.724
2020-12-20,8.724
2020-12-21,8.641
2020-12-22,8.557
2020-12-23,8.603
2020-12-24,8.579
2020-12-25,8.579
2020-12-26,8.579
2020-12-27,8.579
2020-12-28,8.564
2020-12-29,8.592
2020-12-30,8.578
2020-12-31,8.649
2021-01-01,8.649
2021-01-02,8.649
2021-01-03,8.649
2021-01-04,8.537
2021-01-05,8.649
2021-01-06,8.721
2021-01-07,9.047
2021-01-08,9.184
2021-01-09,9.184
2021-01-10,9.184
2021-01-11,8.96
2021-01-12,8.891
2021-01-13,8.816
2021-01-14,8.818
2021-01-15,8.914
2021-01-16,8.914
2021-01-17,8.914
2021-01-18,8.914
2021-01-19,8.639
2021-01-20,8.663
2021-01-21,8.757
2021-01-22,8.994
2021-01-23,8.994
2021-01-24,8.994
2021-01-25,8.92
2021-01-26,9.085
2021-01-27,8.918
2021-01-28,8.923
2021-01-29,8.697
2021-01-30,8.697
2021-01-31,8.697
2021-02-01,7.413
2021-02-02,7.325
2021-02-03,7.319
2021-02-04,7.762
2021-02-05,7.608
2021-02-06,7.608
2021-02-07,7.608
2021-02-08,7.428
2021-02-09,7.355
2021-02-10,7.276
2021-02-11,7.186
2021-02-12,7.231
2021-02-13,7.231
2021-02-14,7.231
2021-02-15,7.231
2021-02-16,7.107
2021-02-17,7.24
2021-02-18,7.237
2021-02-19,7.279
2021-02-20,7.279
2021-02-21,7.279
2021-02-22,7.296
2021-02-23,7.32
2021-02-24,7.232
2021-02-25,7.071
2021-02-26,6.959
2021-02-27,6.959
2021-02-28,6.959
2021-03-01,7.093
2021-03-02,7.167
2021-03-03,7.105
2021-03-04,7.081
2021-03-05,7.207
2021-03-06,7.207
2021-03-07,7.207
2021-03-08,7.391
2021-03-09,7.571
2021-03-10,7.688
2021-03-11,7.553
2021-03-12,7.763
2021-03-13,7.763
2021-03-14,7.763
2021-03-15,7.828
2021-03-16,7.759
2021-03-17,7.837
2021-03-18,7.949
2021-03-19,7.969
2021-03-20,7.969
2021-03-21,7.969
2021-03-22,7.999
2021-03-23,7.822
2021-03-24,7.932
2021-03-25,8.067
2021-03-26,8.163
2021-03-27,8.163
2021-03-28,8.163
2021-03-29,8.185
2021-03-30,8.185
2021-03-31,8.117
2021-04-01,8.036
2021-04-02,8.036
2021-04-03,8.036
2021-04-04,8.036
2021-04-05,8.044
2021-04-06,7.974
2021-04-07,8.008
2021-04-08,7.937
2021-04-09,8.031
2021-04-10,8.031
2021-04-11,8.031
2021-04-12,8.081
2021-04-13,8.052
2021-04-14,8.112
2021-04-15,8.184
2021-04-16,8.229
2021-04-17,8.229
2021-04-18,8.229
2021-04-19,8.216
2021-04-20,8.284
2021-04-21,8.33
2021-04-22,8.311
2021-04-23,8.363
2021-04-24,8.363
2021-04-25,8.363
2021-04-26,8.231
2021-04-27,8.167
2021-04-28,8.204
2021-04-29,8.336
2021-04-30,8.305
2021-05-01,8.305
2021-05-02,8.305
2021-05-03,8.498
2021-05-04,8.64
2021-05-05,8.169
2021-05-06,8.087
2021-05-07,9.479
2021-05-08,9.479
2021-05-09,9.479
2021-05-10,9.666
2021-05-11,9.419
2021-05-12,9.418
2021-05-13,9.369
2021-05-14,9.172
2021-05-15,9.172
2021-05-16,9.172
2021-05-17,9.297
2021-05-18,9.206
2021-05-19,9.347
2021-05-20,9.449
2021-05-21,9.452
2021-05-22,9.452
2021-05-23,9.452
2021-05-24,9.33
2021-05-25,9.052
2021-05-26,9.027
2021-05-27,9.053
2021-05-28,9.032
2021-05-29,9.032
2021-05-30,9.032
2021-05-31,9.032
2021-06-01,8.999
2021-06-02,9.062
2021-06-03,9.194
2021-06-04,9.204
2021-06-05,9.204
2021-06-06,9.204
2021-06-07,9.309
2021-06-08,9.281
2021-06-09,9.241
2021-06-10,9.52
2021-06-11,9.433
2021-06-12,9.433
2021-06-13,9.433
2021-06-14,9.346
2021-06-15,9.37
2021-06-16,9.317
2021-06-17,9.297
2021-06-18,9.007
2021-06-19,9.007
2021-06-20,9.007
2021-06-21,9.18
2021-06-22,9.185
2021-06-23,9.116
2021-06-24,9.09
2021-06-25,9.158
2021-06-26,9.158
2021-06-27,9.158
2021-06-28,9.032
2021-06-29,9.008
2021-06-30,9.012
2021-07-01,9.166
2021-07-02,9.18
2021-07-03,9.18
2021-07-04,9.18
2021-07-05,9.18
2021-07-06,9.086
2021-07-07,9.056
2021-07-08,9.008
2021-07-09,9.063
2021-07-10,9.063
2021-07-11,9.063
2021-07-12,9.096
2021-07-13,7.881
2021-07-14,7.836
2021-07-15,7.808
2021-07-16,7.789
2021-07-17,7.789
2021-07-18,7.789
2021-07-19,7.77
2021-07-20,9.36
2021-07-21,9.499
2021-07-22,9.629
2021-07-23,9.747
2021-07-24,9.747
2021-07-25,9.747
2021-07-26,9.706
2021-07-27,9.755
2021-07-28,9.75
2021-07-29,9.86
2021-07-30,9.817
2021-07-31,9.817
2021-08-01,9.817
2021-08-02,9.862
2021-08-03,9.94
2021-08-04,9.791
2021-08-05,9.506
2021-08-06,9.408
2021-08-07,9.408
2021-08-08,9.408
2021-08-09,9.331
2021-08-10,9.233
2021-08-11,9.254
2021-08-12,9.317
2021-08-13,9.314
2021-08-14,9.314
2021-08-15,9.314
2021-08-16,9.353
2021-08-17,9.421
2021-08-18,9.237
2021-08-19,9.29
2021-08-20,9.312
2021-08-21,9.312
2021-08-22,9.312
2021-08-23,9.323
2021-08-24,9.192
2021-08-25,9.199
2021-08-26,9.099
2021-08-27,9.339
2021-08-28,9.339
2021-08-29,9.339
2021-08-30,9.31
2021-08-31,9.52
2021-09-01,9.556
2021-09-02,9.736
2021-09-03,9.748
2021-09-04,9.748
2021-09-05,9.748
2021-09-06,9.748
2021-09-07,9.676
2021-09-08,9.683
2021-09-09,9.628
2021-09-10,9.567
2021-09-11,9.567
2021-09-12,9.567
2021-09-13,9.631
2021-09-14,9.588
2021-09-15,9.799
2021-09-16,9.677
2021-09-17,9.618
2021-09-18,9.618
2021-09-19,9.618
2021-09-20,9.501
2021-09-21,9.465
2021-09-22,9.51
2021-09-23,9.546
2021-09-24,9.527
2021-09-25,9.527
2021-09-26,9.527
2021-09-27,9.553
2021-09-28,9.448
2021-09-29,9.542
2021-09-30,9.305
2021-10-01,9.333
2021-10-02,9.333
2021-10-03,9.333
2021-10-04,9.218
2021-10-05,9.239
2021-10-06,9.106
2021-10-07,9.236
2021-10-08,9.299
2021-10-09,9.299
2021-10-10,9.299
2021-10-11,9.535
2021-10-12,9.327
2021-10-13,9.257
2021-10-14,9.356
2021-10-15,9.337
2021-10-16,9.337
2021-10-17,9.337
2021-10-18,9.221
2021-10-19,9.335
2021-10-20,9.523
2021-10-21,9.559
2021-10-22,9.606
2021-10-23,9.606
2021-10-24,9.606
2021-10-25,9.55
2021-10-26,9.578
2021-10-27,9.313
2021-10-28,9.402
2021-10-29,9.505
2021-10-30,9.505
2021-10-31,9.505
2021-11-01,9.567
2021-11-02,9.753
2021-11-03,9.993
2021-11-04,9.876
2021-11-05,9.998
2021-11-06,9.998
2021-11-07,9.998
2021-11-08,10.082
2021-11-09,9.977
2021-11-10,10.058
2021-11-11,10.059
2021-11-12,10.068
2021-11-13,10.068
2021-11-14,10.068
2021-11-15,9.994
2021-11-16,9.949
2021-11-17,10.014
2021-11-18,9.999
2021-11-19,9.68
2021-11-20,9.68
2021-11-21,9.68
2021-11-22,9.729
2021-11-23,9.933
2021-11-24,9.915
2021-11-25,9.915
2021-11-26,9.657
2021-11-27,9.657
2021-11-28,9.657
2021-11-29,9.657
2021-11-30,9.297
2021-12-01,9.163
2021-12-02,9.301
2021-12-03,9.378
2021-12-04,9.378
2021-12-05,9.378
2021-12-06,9.539
2021-12-07,9.588
2021-12-08,9.695
2021-12-09,9.762
2021-12-10,9.878
2021-12-11,9.878
2021-12-12,9.878
2021-12-13,9.803
2021-12-14,9.866
2021-12-15,9.903
2021-12-16,9.927
2021-12-17,10.023
2021-12-18,10.023
2021-12-19,10.023
2021-12-20,10.089
2021-12-21,10.217
2021-12-22,10.233
2021-12-23,10.371
2021-12-24,10.371
2021-12-25,10.371
2021-12-26,10.371
2021-12-27,10.561
2021-12-28,10.597
2021-12-29,10.676
2021-12-30,10.71
2021-12-31,10.64
2022-01-01,10.64
2022-01-02,10.64
2022-01-03,10.618
2022-01-04,10.517
2022-01-05,10.609
2022-01-06,10.445
2022-01-07,10.658
2022-01-08,10.658
2022-01-09,10.658
2022-01-10,10.78
2022-01-11,10.913
2022-01-12,10.854
2022-01-13,10.788
2022-01-14,10.893
2022-01-15,10.893
2022-01-16,10.893
2022-01-17,10.893
2022-01-18,10.678
2022-01-19,10.569
2022-01-20,10.575
2022-01-21,10.467
2022-01-22,10.467
2022-01-23,10.467
2022-01-24,10.469
2022-01-25,10.43
2022-01-26,10.389
2022-01-27,10.719
2022-01-28,10.887
2022-01-29,10.887
2022-01-30,10.887
2022-01-31,10.839
2022-02-01,10.955
2022-02-02,10.764
2022-02-03,10.843
2022-02-04,10.744
2022-02-05,10.744
2022-02-06,10.744
2022-02-07,10.964
2022-02-08,11.186
2022-02-09,11.206
2022-02-10,11.098
2022-02-11,11.032
2022-02-12,11.032
2022-02-13,11.032
2022-02-14,11.027
2022-02-15,11.13
2022-02-16,11.228
2022-02-17,11.179
