,PNM US Equity
,BEST_PE_RATIO
2020-01-01,
2020-01-02,
2020-01-03,
2020-01-04,
2020-01-05,
2020-01-06,
2020-01-07,
2020-01-08,
2020-01-09,
2020-01-10,
2020-01-11,
2020-01-12,
2020-01-13,
2020-01-14,
2020-01-15,15.844
2020-01-16,15.848
2020-01-17,15.906
2020-01-18,15.906
2020-01-19,15.906
2020-01-20,15.906
2020-01-21,16.061
2020-01-22,16.2
2020-01-23,16.374
2020-01-24,16.544
2020-01-25,16.544
2020-01-26,16.544
2020-01-27,16.634
2020-01-28,16.817
2020-01-29,16.903
2020-01-30,17.027
2020-01-31,16.883
2020-02-01,16.883
2020-02-02,16.883
2020-02-03,16.973
2020-02-04,16.864
2020-02-05,16.97
2020-02-06,17.023
2020-02-07,16.964
2020-02-08,16.964
2020-02-09,16.964
2020-02-10,16.952
2020-02-11,17.163
2020-02-12,17.157
2020-02-13,17.363
2020-02-14,17.366
2020-02-15,17.366
2020-02-16,17.366
2020-02-17,17.366
2020-02-18,17.369
2020-02-19,17.138
2020-02-20,17.07
2020-02-21,16.97
2020-02-22,16.97
2020-02-23,16.97
2020-02-24,16.892
2020-02-25,16.531
2020-02-26,16.26
2020-02-27,15.426
2020-02-28,15.426
2020-02-29,15.426
2020-03-01,15.426
2020-03-02,15.426
2020-03-03,15.426
2020-03-04,15.426
2020-03-05,15.426
2020-03-06,15.426
2020-03-07,15.426
2020-03-08,15.426
2020-03-09,15.426
2020-03-10,15.426
2020-03-11,15.426
2020-03-12,15.426
2020-03-13,15.426
2020-03-14,15.426
2020-03-15,15.426
2020-03-16,15.426
2020-03-17,15.426
2020-03-18,15.426
2020-03-19,15.426
2020-03-20,15.426
2020-03-21,15.426
2020-03-22,15.426
2020-03-23,15.426
2020-03-24,15.426
2020-03-25,15.426
2020-03-26,15.426
2020-03-27,15.426
2020-03-28,15.426
2020-03-29,15.426
2020-03-30,15.426
2020-03-31,15.426
2020-04-01,15.426
2020-04-02,15.426
2020-04-03,15.426
2020-04-04,15.426
2020-04-05,15.426
2020-04-06,15.426
2020-04-07,15.426
2020-04-08,15.426
2020-04-09,15.426
2020-04-10,15.426
2020-04-11,15.426
2020-04-12,15.426
2020-04-13,15.426
2020-04-14,15.426
2020-04-15,15.426
2020-04-16,15.426
2020-04-17,15.426
2020-04-18,15.426
2020-04-19,15.426
2020-04-20,15.426
2020-04-21,15.426
2020-04-22,15.426
2020-04-23,15.426
2020-04-24,15.426
2020-04-25,15.426
2020-04-26,15.426
2020-04-27,15.426
2020-04-28,15.426
2020-04-29,15.426
2020-04-30,15.426
2020-05-01,15.426
2020-05-02,15.426
2020-05-03,15.426
2020-05-04,15.426
2020-05-05,15.426
2020-05-06,15.426
2020-05-07,15.426
2020-05-08,15.426
2020-05-09,15.426
2020-05-10,15.426
2020-05-11,15.426
2020-05-12,15.426
2020-05-13,15.426
2020-05-14,15.426
2020-05-15,15.426
2020-05-16,15.426
2020-05-17,15.426
2020-05-18,15.426
2020-05-19,15.426
2020-05-20,15.426
2020-05-21,15.426
2020-05-22,15.426
2020-05-23,15.426
2020-05-24,15.426
2020-05-25,15.426
2020-05-26,15.426
2020-05-27,15.426
2020-05-28,15.426
2020-05-29,15.426
2020-05-30,15.426
2020-05-31,15.426
2020-06-01,15.426
2020-06-02,15.426
2020-06-03,15.426
2020-06-04,15.426
2020-06-05,15.426
2020-06-06,15.426
2020-06-07,15.426
2020-06-08,15.426
2020-06-09,15.426
2020-06-10,15.426
2020-06-11,15.426
2020-06-12,15.426
2020-06-13,15.426
2020-06-14,15.426
2020-06-15,15.426
2020-06-16,15.426
2020-06-17,15.426
2020-06-18,15.426
2020-06-19,15.426
2020-06-20,15.426
2020-06-21,15.426
2020-06-22,15.426
2020-06-23,15.426
2020-06-24,15.426
2020-06-25,15.426
2020-06-26,15.426
2020-06-27,15.426
2020-06-28,15.426
2020-06-29,15.426
2020-06-30,15.426
2020-07-01,15.426
2020-07-02,15.426
2020-07-03,15.426
2020-07-04,15.426
2020-07-05,15.426
2020-07-06,15.426
2020-07-07,15.426
2020-07-08,15.426
2020-07-09,15.426
2020-07-10,15.426
2020-07-11,15.426
2020-07-12,15.426
2020-07-13,15.426
2020-07-14,15.426
2020-07-15,15.426
2020-07-16,15.426
2020-07-17,15.426
2020-07-18,15.426
2020-07-19,15.426
2020-07-20,15.426
2020-07-21,15.426
2020-07-22,15.426
2020-07-23,15.426
2020-07-24,15.426
2020-07-25,15.426
2020-07-26,15.426
2020-07-27,15.426
2020-07-28,15.426
2020-07-29,15.426
2020-07-30,15.426
2020-07-31,13.336
2020-08-01,13.336
2020-08-02,13.336
2020-08-03,13.225
2020-08-04,13.361
2020-08-05,13.314
2020-08-06,13.628
2020-08-07,14.099
2020-08-08,14.099
2020-08-09,14.099
2020-08-10,14.293
2020-08-11,13.962
2020-08-12,14.137
2020-08-13,14.245
2020-08-14,14.252
2020-08-15,14.252
2020-08-16,14.252
2020-08-17,14.309
2020-08-18,14.0
2020-08-19,13.937
2020-08-20,13.813
2020-08-21,13.949
2020-08-22,13.949
2020-08-23,13.949
2020-08-24,14.271
2020-08-25,14.042
2020-08-26,13.733
2020-08-27,13.828
2020-08-28,13.911
2020-08-29,13.911
2020-08-30,13.911
2020-08-31,13.895
2020-09-01,13.714
2020-09-02,13.991
2020-09-03,13.8
2020-09-04,13.682
2020-09-05,13.682
