,OXY US Equity
,BEST_PE_RATIO
2020-01-01,
2020-01-02,
2020-01-03,
2020-01-04,
2020-01-05,
2020-01-06,
2020-01-07,
2020-01-08,
2020-01-09,
2020-01-10,
2020-01-11,
2020-01-12,
2020-01-13,
2020-01-14,12.568
2020-01-15,12.574
2020-01-16,12.417
2020-01-17,12.193
2020-01-18,12.193
2020-01-19,12.193
2020-01-20,12.193
2020-01-21,11.791
2020-01-22,11.517
2020-01-23,11.313
2020-01-24,11.233
2020-01-25,11.233
2020-01-26,11.233
2020-01-27,10.972
2020-01-28,10.961
2020-01-29,10.767
2020-01-30,10.799
2020-01-31,10.568
2020-02-01,10.568
2020-02-02,10.568
2020-02-03,10.663
2020-02-04,10.775
2020-02-05,11.206
2020-02-06,11.206
2020-02-07,11.145
2020-02-08,11.145
2020-02-09,11.145
2020-02-10,10.775
2020-02-11,9.97
2020-02-12,10.29
2020-02-13,10.181
2020-02-14,10.075
2020-02-15,10.075
2020-02-16,10.075
2020-02-17,10.075
2020-02-18,10.065
2020-02-19,10.295
2020-02-20,10.406
2020-02-21,10.2
2020-02-22,10.2
2020-02-23,10.2
2020-02-24,9.561
2020-02-25,8.764
2020-02-26,8.287
2020-02-27,7.704
2020-02-28,7.929
2020-02-29,7.929
2020-03-01,7.929
2020-03-02,10.549
2020-03-03,10.562
2020-03-04,10.543
2020-03-05,10.079
2020-03-06,8.6
2020-03-07,8.6
2020-03-08,8.6
2020-03-09,4.127
2020-03-10,4.73
2020-03-11,5.341
2020-03-12,5.382
2020-03-13,6.454
2020-03-14,6.454
2020-03-15,6.454
2020-03-16,5.44
2020-03-17,5.133
2020-03-18,4.766
2020-03-19,4.902
2020-03-20,4.63
2020-03-21,4.63
2020-03-22,4.63
2020-03-23,4.386
2020-03-24,4.852
2020-03-25,5.431
2020-03-26,5.549
2020-03-27,5.021
2020-03-28,5.021
2020-03-29,5.021
2020-03-30,4.762
2020-03-31,5.008
2020-04-01,4.645
2020-04-02,5.523
2020-04-03,5.622
2020-04-04,5.622
2020-04-05,5.622
2020-04-06,5.813
2020-04-07,5.986
2020-04-08,6.73
2020-04-09,6.643
2020-04-10,6.643
2020-04-11,6.643
2020-04-12,6.643
2020-04-13,6.63
2020-04-14,6.444
2020-04-15,5.886
2020-04-16,7.42
2020-04-17,8.29
2020-04-18,8.29
2020-04-19,8.29
2020-04-20,7.657
2020-04-21,7.505
2020-04-22,7.919
2020-04-23,8.436
2020-04-24,8.399
2020-04-25,8.399
2020-04-26,8.399
2020-04-27,8.606
2020-04-28,9.226
2020-04-29,10.206
2020-04-30,10.096
2020-05-01,9.269
2020-05-02,9.269
2020-05-03,9.269
2020-05-04,9.439
2020-05-05,9.618
2020-05-06,8.413
2020-05-07,5.403
2020-05-08,4.146
2020-05-09,4.146
2020-05-10,4.146
2020-05-11,4.149
2020-05-12,4.025
2020-05-13,3.71
2020-05-14,3.799
2020-05-15,3.815
2020-05-16,3.815
2020-05-17,3.815
2020-05-18,4.16
2020-05-19,3.967
2020-05-20,4.138
2020-05-21,3.934
2020-05-22,6.685
2020-05-23,6.685
2020-05-24,6.685
2020-05-25,6.685
2020-05-26,6.812
2020-05-27,6.822
2020-05-28,6.453
2020-05-29,6.886
2020-05-30,6.886
2020-05-31,6.886
2020-06-01,7.344
2020-06-02,7.843
2020-06-03,12.85
2020-06-04,12.933
2020-06-05,17.291
2020-06-06,17.291
2020-06-07,17.291
2020-06-08,20.294
2020-06-09,19.279
2020-06-10,17.164
2020-06-11,14.394
2020-06-12,15.304
2020-06-13,15.304
2020-06-14,15.304
2020-06-15,15.759
2020-06-16,16.785
2020-06-17,15.751
2020-06-18,16.272
2020-06-19,16.305
2020-06-20,16.305
2020-06-21,16.305
2020-06-22,16.47
2020-06-23,16.371
2020-06-24,14.89
2020-06-25,15.337
2020-06-26,14.634
2020-06-27,14.634
2020-06-28,14.634
2020-06-29,17.167
2020-06-30,17.59
2020-07-01,16.554
2020-07-02,16.906
2020-07-03,16.906
2020-07-04,16.906
2020-07-05,16.906
2020-07-06,17.286
2020-07-07,16.307
2020-07-08,16.431
2020-07-09,15.48
2020-07-10,16.061
2020-07-11,16.061
2020-07-12,16.061
2020-07-13,15.533
2020-07-14,14.322
2020-07-15,14.622
2020-07-16,14.477
2020-07-17,13.856
2020-07-18,13.856
2020-07-19,13.856
2020-07-20,13.354
2020-07-21,14.257
2020-07-22,13.88
2020-07-23,13.774
2020-07-24,11.249
2020-07-25,11.249
2020-07-26,11.249
2020-07-27,11.222
2020-07-28,10.987
2020-07-29,11.443
2020-07-30,10.597
2020-07-31,10.577
2020-08-01,10.577
2020-08-02,10.577
2020-08-03,10.247
2020-08-04,10.577
2020-08-05,10.711
2020-08-06,10.382
2020-08-07,10.382
2020-08-08,10.382
2020-08-09,10.382
2020-08-10,11.074
2020-08-11,10.055
2020-08-12,12.106
2020-08-13,12.415
2020-08-14,12.449
2020-08-15,12.449
2020-08-16,12.449
2020-08-17,11.829
2020-08-18,11.142
2020-08-19,10.696
2020-08-20,9.544
2020-08-21,9.373
2020-08-22,9.373
2020-08-23,9.373
2020-08-24,9.701
2020-08-25,9.623
2020-08-26,9.144
2020-08-27,9.2
2020-08-28,9.264
2020-08-29,9.264
2020-08-30,9.264
2020-08-31,8.989
2020-09-01,8.805
2020-09-02,8.749
2020-09-03,8.883
2020-09-04,8.757
2020-09-05,8.757
