,MOH US Equity
,BEST_PE_RATIO
2020-01-01,
2020-01-02,
2020-01-03,
2020-01-04,
2020-01-05,
2020-01-06,
2020-01-07,
2020-01-08,
2020-01-09,
2020-01-10,7.876
2020-01-11,7.876
2020-01-12,7.876
2020-01-13,7.68
2020-01-14,7.245
2020-01-15,7.635
2020-01-16,7.74
2020-01-17,7.518
2020-01-18,7.518
2020-01-19,7.518
2020-01-20,7.518
2020-01-21,7.603
2020-01-22,7.569
2020-01-23,7.581
2020-01-24,7.394
2020-01-25,7.394
2020-01-26,7.394
2020-01-27,7.058
2020-01-28,7.218
2020-01-29,7.101
2020-01-30,6.964
2020-01-31,6.757
2020-02-01,6.757
2020-02-02,6.757
2020-02-03,6.866
2020-02-04,6.84
2020-02-05,7.131
2020-02-06,7.035
2020-02-07,7.033
2020-02-08,7.033
2020-02-09,7.033
2020-02-10,7.107
2020-02-11,8.334
2020-02-12,8.588
2020-02-13,8.579
2020-02-14,8.544
2020-02-15,8.544
2020-02-16,8.544
2020-02-17,8.544
2020-02-18,8.793
2020-02-19,9.065
2020-02-20,8.868
2020-02-21,8.827
2020-02-22,8.827
2020-02-23,8.827
2020-02-24,8.144
2020-02-25,7.604
2020-02-26,7.586
2020-02-27,7.318
2020-02-28,7.222
2020-02-29,7.222
2020-03-01,7.222
2020-03-02,7.503
2020-03-03,7.214
2020-03-04,8.388
2020-03-05,8.251
2020-03-06,8.144
2020-03-07,8.144
2020-03-08,8.144
2020-03-09,7.824
2020-03-10,8.037
2020-03-11,7.774
2020-03-12,7.663
2020-03-13,8.624
2020-03-14,8.624
2020-03-15,8.624
2020-03-16,7.171
2020-03-17,7.41
2020-03-18,7.074
2020-03-19,7.1
2020-03-20,6.703
2020-03-21,6.703
2020-03-22,6.703
2020-03-23,6.352
2020-03-24,6.948
2020-03-25,7.674
2020-03-26,8.249
2020-03-27,7.965
2020-03-28,7.965
2020-03-29,7.965
2020-03-30,8.212
2020-03-31,8.233
2020-04-01,7.729
2020-04-02,7.866
2020-04-03,7.786
2020-04-04,7.786
2020-04-05,7.786
2020-04-06,8.309
2020-04-07,8.256
2020-04-08,9.285
2020-04-09,9.032
2020-04-10,9.032
2020-04-11,9.032
2020-04-12,9.032
2020-04-13,9.235
2020-04-14,9.622
2020-04-15,9.44
2020-04-16,10.075
2020-04-17,10.007
2020-04-18,10.007
2020-04-19,10.007
2020-04-20,9.682
2020-04-21,9.454
2020-04-22,9.627
2020-04-23,9.854
2020-04-24,9.916
2020-04-25,9.916
2020-04-26,9.916
2020-04-27,10.069
2020-04-28,9.803
2020-04-29,9.709
2020-04-30,9.662
2020-05-01,10.209
2020-05-02,10.209
2020-05-03,10.209
2020-05-04,8.423
2020-05-05,8.554
2020-05-06,8.649
2020-05-07,8.374
2020-05-08,8.292
2020-05-09,8.292
2020-05-10,8.292
2020-05-11,8.449
2020-05-12,8.526
2020-05-13,8.237
2020-05-14,8.336
2020-05-15,8.57
2020-05-16,8.57
2020-05-17,8.57
2020-05-18,8.207
2020-05-19,8.345
2020-05-20,8.359
2020-05-21,8.584
2020-05-22,8.607
2020-05-23,8.607
2020-05-24,8.607
2020-05-25,8.607
2020-05-26,8.678
2020-05-27,8.675
2020-05-28,8.827
2020-05-29,8.778
2020-05-30,8.778
2020-05-31,8.778
2020-06-01,8.648
2020-06-02,8.65
2020-06-03,8.462
2020-06-04,8.199
2020-06-05,8.079
2020-06-06,8.079
2020-06-07,8.079
2020-06-08,8.114
2020-06-09,8.271
2020-06-10,8.448
2020-06-11,7.981
2020-06-12,8.025
2020-06-13,8.025
2020-06-14,8.025
2020-06-15,7.85
2020-06-16,8.38
2020-06-17,8.19
2020-06-18,8.305
2020-06-19,8.721
2020-06-20,8.721
2020-06-21,8.721
2020-06-22,8.726
2020-06-23,8.668
2020-06-24,8.388
2020-06-25,8.478
2020-06-26,8.204
2020-06-27,8.204
2020-06-28,8.204
2020-06-29,8.326
2020-06-30,8.636
2020-07-01,8.691
2020-07-02,8.833
2020-07-03,8.833
2020-07-04,8.833
2020-07-05,8.833
2020-07-06,8.876
2020-07-07,8.851
2020-07-08,8.848
2020-07-09,8.667
2020-07-10,8.566
2020-07-11,8.566
2020-07-12,8.566
2020-07-13,8.572
2020-07-14,9.0
2020-07-15,9.018
2020-07-16,8.936
2020-07-17,9.019
2020-07-18,9.019
2020-07-19,9.019
2020-07-20,8.695
2020-07-21,8.804
2020-07-22,8.916
2020-07-23,8.905
2020-07-24,8.94
2020-07-25,8.94
2020-07-26,8.94
2020-07-27,8.842
2020-07-28,8.806
2020-07-29,9.105
2020-07-30,9.074
2020-07-31,8.962
2020-08-01,8.962
2020-08-02,8.962
2020-08-03,8.895
2020-08-04,8.937
2020-08-05,9.285
2020-08-06,9.299
2020-08-07,9.383
2020-08-08,9.383
2020-08-09,9.383
2020-08-10,9.062
2020-08-11,8.885
2020-08-12,9.181
2020-08-13,9.24
2020-08-14,9.275
2020-08-15,9.275
2020-08-16,9.275
2020-08-17,9.361
2020-08-18,9.229
2020-08-19,9.263
2020-08-20,9.093
2020-08-21,9.026
2020-08-22,9.026
2020-08-23,9.026
2020-08-24,8.693
2020-08-25,8.725
2020-08-26,8.674
2020-08-27,8.796
2020-08-28,8.799
2020-08-29,8.799
2020-08-30,8.799
2020-08-31,8.854
2020-09-01,8.905
2020-09-02,9.246
2020-09-03,8.813
2020-09-04,8.76
