,PNC US Equity
,BEST_PE_RATIO
2020-01-01,6.86
2020-01-02,6.892
2020-01-03,6.826
2020-01-04,6.826
2020-01-05,6.826
2020-01-06,6.812
2020-01-07,6.758
2020-01-08,6.828
2020-01-09,6.911
2020-01-10,6.814
2020-01-11,6.814
2020-01-12,6.814
2020-01-13,6.852
2020-01-14,6.871
2020-01-15,6.621
2020-01-16,6.608
2020-01-17,6.64
2020-01-18,6.64
2020-01-19,6.64
2020-01-20,6.64
2020-01-21,6.566
2020-01-22,6.592
2020-01-23,6.612
2020-01-24,6.511
2020-01-25,6.511
2020-01-26,6.511
2020-01-27,6.431
2020-01-28,6.481
2020-01-29,6.434
2020-01-30,6.536
2020-01-31,6.432
2020-02-01,6.432
2020-02-02,6.432
2020-02-03,6.475
2020-02-04,6.523
2020-02-05,6.659
2020-02-06,6.618
2020-02-07,6.64
2020-02-08,6.64
2020-02-09,6.64
2020-02-10,6.662
2020-02-11,6.702
2020-02-12,6.72
2020-02-13,6.725
2020-02-14,6.673
2020-02-15,6.673
2020-02-16,6.673
2020-02-17,6.673
2020-02-18,6.555
2020-02-19,6.64
2020-02-20,6.689
2020-02-21,6.659
2020-02-22,6.659
2020-02-23,6.659
2020-02-24,6.443
2020-02-25,6.12
2020-02-26,6.006
2020-02-27,5.655
2020-02-28,5.473
2020-02-29,5.473
2020-03-01,5.473
2020-03-02,5.743
2020-03-03,5.433
2020-03-04,5.603
2020-03-05,5.226
2020-03-06,4.946
2020-03-07,4.946
2020-03-08,4.946
2020-03-09,4.276
2020-03-10,4.678
2020-03-11,4.414
2020-03-12,4.101
2020-03-13,4.632
2020-03-14,4.632
2020-03-15,4.632
2020-03-16,3.895
2020-03-17,4.157
2020-03-18,3.79
2020-03-19,4.002
2020-03-20,3.875
2020-03-21,3.875
2020-03-22,3.875
2020-03-23,3.491
2020-03-24,3.905
2020-03-25,3.986
2020-03-26,4.456
2020-03-27,4.335
2020-03-28,4.335
2020-03-29,4.335
2020-03-30,4.372
2020-03-31,4.144
2020-04-01,3.782
2020-04-02,3.928
2020-04-03,3.688
2020-04-04,3.688
2020-04-05,3.688
2020-04-06,4.127
2020-04-07,4.11
2020-04-08,4.308
2020-04-09,4.564
2020-04-10,4.564
2020-04-11,4.564
2020-04-12,4.564
