,MCO US Equity
,BEST_PE_RATIO
2020-01-01,15.837
2020-01-02,16.124
2020-01-03,16.084
2020-01-04,16.084
2020-01-05,16.084
2020-01-06,16.134
2020-01-07,16.076
2020-01-08,16.385
2020-01-09,16.6
2020-01-10,16.545
2020-01-11,16.545
2020-01-12,16.545
2020-01-13,16.776
2020-01-14,16.639
2020-01-15,16.879
2020-01-16,17.08
2020-01-17,17.186
2020-01-18,17.186
2020-01-19,17.186
2020-01-20,17.186
2020-01-21,17.1
2020-01-22,17.175
2020-01-23,17.15
2020-01-24,17.052
2020-01-25,17.052
2020-01-26,17.052
2020-01-27,17.018
2020-01-28,17.357
2020-01-29,17.389
2020-01-30,17.598
2020-01-31,17.13
2020-02-01,17.13
2020-02-02,17.13
2020-02-03,17.411
2020-02-04,17.802
2020-02-05,17.633
2020-02-06,17.878
2020-02-07,17.844
2020-02-08,17.844
2020-02-09,17.844
2020-02-10,17.906
2020-02-11,18.077
2020-02-12,18.238
2020-02-13,18.196
2020-02-14,18.533
2020-02-15,18.533
2020-02-16,18.533
2020-02-17,18.533
2020-02-18,18.723
2020-02-19,19.032
2020-02-20,18.603
2020-02-21,18.133
2020-02-22,18.133
2020-02-23,18.133
2020-02-24,17.798
2020-02-25,17.382
2020-02-26,17.447
2020-02-27,16.315
2020-02-28,16.045
2020-02-29,16.045
2020-03-01,16.045
2020-03-02,17.348
2020-03-03,16.903
2020-03-04,18.02
2020-03-05,16.886
2020-03-06,15.941
2020-03-07,15.941
2020-03-08,15.941
2020-03-09,14.094
2020-03-10,15.214
2020-03-11,14.122
2020-03-12,12.924
2020-03-13,14.243
2020-03-14,14.243
2020-03-15,14.243
2020-03-16,12.393
2020-03-17,13.509
2020-03-18,11.654
2020-03-19,11.892
2020-03-20,11.751
2020-03-21,11.751
2020-03-22,11.751
2020-03-23,11.035
2020-03-24,13.085
2020-03-25,13.846
2020-03-26,15.561
2020-03-27,15.274
2020-03-28,15.274
2020-03-29,15.274
2020-03-30,15.414
2020-03-31,14.671
2020-04-01,13.703
2020-04-02,14.339
2020-04-03,14.483
2020-04-04,14.483
2020-04-05,14.483
2020-04-06,15.896
2020-04-07,15.865
2020-04-08,15.713
2020-04-09,16.764
2020-04-10,16.764
2020-04-11,16.764
2020-04-12,16.764
2020-04-13,16.03
2020-04-14,16.492
2020-04-15,15.942
2020-04-16,16.281
2020-04-17,16.603
2020-04-18,16.603
2020-04-19,16.603
2020-04-20,16.611
2020-04-21,16.152
2020-04-22,16.971
2020-04-23,16.983
2020-04-24,17.351
2020-04-25,17.351
2020-04-26,17.351
2020-04-27,18.013
2020-04-28,17.834
2020-04-29,18.043
2020-04-30,17.483
2020-05-01,17.335
2020-05-02,17.335
2020-05-03,17.335
2020-05-04,17.59
2020-05-05,17.954
2020-05-06,17.31
2020-05-07,17.755
2020-05-08,18.046
2020-05-09,18.046
2020-05-10,18.046
2020-05-11,18.14
2020-05-12,17.956
2020-05-13,17.757
2020-05-14,18.198
2020-05-15,18.014
2020-05-16,18.014
2020-05-17,18.014
2020-05-18,18.624
2020-05-19,18.241
2020-05-20,18.41
2020-05-21,18.23
2020-05-22,18.449
2020-05-23,18.449
2020-05-24,18.449
2020-05-25,18.449
2020-05-26,18.656
2020-05-27,18.591
2020-05-28,19.022
2020-05-29,19.21
2020-05-30,19.21
2020-05-31,19.21
2020-06-01,19.902
2020-06-02,19.858
2020-06-03,20.3
2020-06-04,19.829
2020-06-05,20.092
2020-06-06,20.092
2020-06-07,20.092
2020-06-08,21.284
2020-06-09,20.768
2020-06-10,20.905
2020-06-11,19.506
2020-06-12,20.164
2020-06-13,20.164
2020-06-14,20.164
2020-06-15,20.407
2020-06-16,20.735
2020-06-17,20.771
2020-06-18,20.761
2020-06-19,20.653
2020-06-20,20.653
2020-06-21,20.653
2020-06-22,20.753
2020-06-23,20.788
2020-06-24,19.925
2020-06-25,20.723
2020-06-26,20.184
2020-06-27,20.184
2020-06-28,20.184
2020-06-29,20.194
2020-06-30,20.615
2020-07-01,20.89
2020-07-02,20.861
2020-07-03,20.861
2020-07-04,20.861
2020-07-05,20.861
2020-07-06,21.285
2020-07-07,21.455
2020-07-08,22.122
2020-07-09,22.126
2020-07-10,22.023
2020-07-11,22.023
2020-07-12,22.023
2020-07-13,21.485
2020-07-14,21.897
2020-07-15,22.068
2020-07-16,21.757
2020-07-17,21.992
