,DFS US Equity
,BEST_PE_RATIO
2020-01-01,4.985
2020-01-02,5.013
2020-01-03,4.93
2020-01-04,4.93
2020-01-05,4.93
2020-01-06,4.843
2020-01-07,4.789
2020-01-08,4.841
2020-01-09,4.903
2020-01-10,4.859
2020-01-11,4.859
2020-01-12,4.859
2020-01-13,4.871
2020-01-14,4.88
2020-01-15,4.897
2020-01-16,4.916
2020-01-17,4.963
2020-01-18,4.963
2020-01-19,4.963
2020-01-20,4.963
2020-01-21,4.918
2020-01-22,5.016
2020-01-23,5.046
2020-01-24,4.484
2020-01-25,4.484
2020-01-26,4.484
2020-01-27,4.344
2020-01-28,4.421
2020-01-29,4.455
2020-01-30,4.488
2020-01-31,4.416
2020-02-01,4.416
2020-02-02,4.416
2020-02-03,4.413
2020-02-04,4.455
2020-02-05,4.548
2020-02-06,4.487
2020-02-07,4.425
2020-02-08,4.425
2020-02-09,4.425
2020-02-10,4.457
2020-02-11,4.452
2020-02-12,4.469
2020-02-13,4.478
2020-02-14,4.491
2020-02-15,4.491
2020-02-16,4.491
2020-02-17,4.491
2020-02-18,4.428
2020-02-19,4.467
2020-02-20,4.481
2020-02-21,4.453
2020-02-22,4.453
2020-02-23,4.453
2020-02-24,4.324
2020-02-25,4.108
2020-02-26,4.079
2020-02-27,3.912
2020-02-28,3.877
2020-02-29,3.877
2020-03-01,3.877
2020-03-02,4.013
2020-03-03,3.802
2020-03-04,3.943
2020-03-05,3.817
2020-03-06,3.7
2020-03-07,3.7
2020-03-08,3.7
2020-03-09,3.237
2020-03-10,3.41
2020-03-11,3.145
2020-03-12,2.653
2020-03-13,3.06
2020-03-14,3.06
2020-03-15,3.06
2020-03-16,2.239
2020-03-17,2.18
2020-03-18,1.596
2020-03-19,1.675
2020-03-20,1.493
2020-03-21,1.493
2020-03-22,1.493
2020-03-23,1.575
2020-03-24,1.997
2020-03-25,2.214
2020-03-26,2.466
2020-03-27,2.271
2020-03-28,2.271
2020-03-29,2.271
2020-03-30,2.222
2020-03-31,2.109
2020-04-01,1.864
2020-04-02,1.832
2020-04-03,1.687
2020-04-04,1.687
2020-04-05,1.687
2020-04-06,1.978
2020-04-07,2.069
2020-04-08,2.2
2020-04-09,2.318
2020-04-10,2.318
2020-04-11,2.318
2020-04-12,2.318
2020-04-13,2.139
2020-04-14,2.1
2020-04-15,1.95
2020-04-16,1.873
2020-04-17,2.071
2020-04-18,2.071
2020-04-19,2.071
2020-04-20,2.082
2020-04-21,2.028
2020-04-22,2.078
2020-04-23,2.058
2020-04-24,2.142
2020-04-25,2.142
2020-04-26,2.142
2020-04-27,2.213
2020-04-28,2.368
2020-04-29,2.714
2020-04-30,2.54
2020-05-01,2.446
2020-05-02,2.446
2020-05-03,2.446
2020-05-04,2.446
2020-05-05,2.43
2020-05-06,2.314
2020-05-07,2.393
2020-05-08,2.526
2020-05-09,2.526
2020-05-10,2.526
2020-05-11,2.392
