,MKC US Equity
,BEST_PE_RATIO
2020-01-01,43.986
2020-01-02,43.416
2020-01-03,44.108
2020-01-04,44.108
2020-01-05,44.108
2020-01-06,44.372
2020-01-07,43.61
2020-01-08,43.377
2020-01-09,42.045
2020-01-10,42.561
2020-01-11,42.561
2020-01-12,42.561
2020-01-13,42.838
2020-01-14,43.25
2020-01-15,43.437
2020-01-16,43.318
2020-01-17,43.714
2020-01-18,43.714
2020-01-19,43.714
2020-01-20,43.714
2020-01-21,44.354
2020-01-22,44.712
2020-01-23,44.774
2020-01-24,44.748
2020-01-25,44.748
2020-01-26,44.748
2020-01-27,44.758
2020-01-28,43.035
2020-01-29,43.385
2020-01-30,42.892
2020-01-31,42.338
2020-02-01,42.338
2020-02-02,42.338
2020-02-03,42.283
2020-02-04,41.646
2020-02-05,41.985
2020-02-06,42.014
2020-02-07,42.271
2020-02-08,42.271
2020-02-09,42.271
2020-02-10,42.4
2020-02-11,42.307
2020-02-12,42.771
2020-02-13,43.299
2020-02-14,43.237
2020-02-15,43.237
2020-02-16,43.237
2020-02-17,43.237
2020-02-18,42.737
2020-02-19,42.509
2020-02-20,42.457
2020-02-21,42.035
2020-02-22,42.035
2020-02-23,42.035
2020-02-24,41.721
2020-02-25,41.042
2020-02-26,39.679
2020-02-27,38.94
2020-02-28,37.886
2020-02-29,37.886
2020-03-01,37.886
2020-03-02,39.513
2020-03-03,38.847
2020-03-04,39.879
2020-03-05,39.79
2020-03-06,39.039
2020-03-07,39.039
2020-03-08,39.039
2020-03-09,37.326
2020-03-10,39.27
2020-03-11,37.994
2020-03-12,33.996
2020-03-13,34.986
2020-03-14,34.986
2020-03-15,34.986
2020-03-16,31.194
2020-03-17,35.945
2020-03-18,36.548
2020-03-19,32.557
2020-03-20,32.275
2020-03-21,32.275
2020-03-22,32.275
2020-03-23,29.499
2020-03-24,32.376
2020-03-25,32.184
2020-03-26,34.115
2020-03-27,34.283
2020-03-28,34.283
2020-03-29,34.283
2020-03-30,37.098
2020-03-31,36.595
2020-04-01,35.924
2020-04-02,37.632
2020-04-03,38.064
2020-04-04,38.064
2020-04-05,38.064
2020-04-06,39.394
2020-04-07,38.951
2020-04-08,38.64
2020-04-09,40.154
2020-04-10,40.154
2020-04-11,40.154
2020-04-12,40.154
2020-04-13,38.694
2020-04-14,39.865
2020-04-15,39.702
2020-04-16,40.446
2020-04-17,40.828
2020-04-18,40.828
2020-04-19,40.828
2020-04-20,40.628
2020-04-21,39.342
2020-04-22,39.912
2020-04-23,39.457
2020-04-24,40.144
2020-04-25,40.144
2020-04-26,40.144
2020-04-27,40.823
2020-04-28,40.779
2020-04-29,40.716
2020-04-30,40.815
2020-05-01,40.186
2020-05-02,40.186
2020-05-03,40.186
2020-05-04,40.958
2020-05-05,41.692
2020-05-06,41.695
2020-05-07,41.861
2020-05-08,42.686
2020-05-09,42.686
2020-05-10,42.686
2020-05-11,42.9
2020-05-12,43.881
2020-05-13,43.855
2020-05-14,45.677
2020-05-15,46.317
2020-05-16,46.317
2020-05-17,46.317
2020-05-18,45.887
2020-05-19,44.896
2020-05-20,45.174
2020-05-21,44.386
2020-05-22,44.727
2020-05-23,44.727
2020-05-24,44.727
2020-05-25,44.727
2020-05-26,44.508
2020-05-27,44.761
2020-05-28,44.893
2020-05-29,45.583
2020-05-30,45.583
2020-05-31,45.583
2020-06-01,45.95
2020-06-02,45.651
2020-06-03,45.359
2020-06-04,44.44
2020-06-05,44.456
2020-06-06,44.456
2020-06-07,44.456
2020-06-08,44.961
2020-06-09,44.526
2020-06-10,44.867
2020-06-11,43.678
2020-06-12,43.34
2020-06-13,43.34
2020-06-14,43.34
2020-06-15,44.344
2020-06-16,45.013
2020-06-17,45.317
2020-06-18,45.25
2020-06-19,44.813
2020-06-20,44.813
2020-06-21,44.813
2020-06-22,44.943
2020-06-23,44.867
2020-06-24,44.831
2020-06-25,46.462
2020-06-26,33.039
2020-06-27,33.039
2020-06-28,33.039
2020-06-29,33.625
2020-06-30,33.631
2020-07-01,33.648
2020-07-02,34.161
2020-07-03,34.161
2020-07-04,34.161
2020-07-05,34.161
2020-07-06,34.154
2020-07-07,34.449
2020-07-08,34.543
2020-07-09,34.583
2020-07-10,34.97
2020-07-11,34.97
2020-07-12,34.97
2020-07-13,34.406
2020-07-14,35.63
2020-07-15,29.979
2020-07-16,30.062
2020-07-17,30.247
2020-07-18,30.247
2020-07-19,30.247
2020-07-20,30.353
2020-07-21,30.673
2020-07-22,30.711
2020-07-23,31.039
2020-07-24,30.664
2020-07-25,30.664
2020-07-26,30.664
2020-07-27,31.06
2020-07-28,30.58
2020-07-29,30.794
2020-07-30,30.715
2020-07-31,30.882
2020-08-01,30.882
2020-08-02,30.882
2020-08-03,31.103
2020-08-04,31.415
2020-08-05,31.255
2020-08-06,31.54
2020-08-07,31.936
2020-08-08,31.936
2020-08-09,31.936
2020-08-10,31.979
2020-08-11,31.337
2020-08-12,31.954
2020-08-13,32.014
2020-08-14,31.936
2020-08-15,31.936
2020-08-16,31.936
2020-08-17,32.055
2020-08-18,32.085
2020-08-19,32.09
2020-08-20,32.149
2020-08-21,32.19
2020-08-22,32.19
2020-08-23,32.19
2020-08-24,32.141
2020-08-25,32.131
2020-08-26,32.562
2020-08-27,32.554
2020-08-28,32.418
2020-08-29,32.418
2020-08-30,32.418
2020-08-31,32.673
2020-09-01,32.63
2020-09-02,33.24
2020-09-03,32.326
2020-09-04,31.984
2020-09-05,31.984
2020-09-06,31.984
2020-09-07,31.984
2020-09-08,31.298
2020-09-09,32.117
2020-09-10,31.404
2020-09-11,31.475
2020-09-12,31.475
2020-09-13,31.475
2020-09-14,31.706
2020-09-15,31.746
2020-09-16,31.481
2020-09-17,30.539
2020-09-18,30.1
2020-09-19,30.1
2020-09-20,30.1
2020-09-21,30.169
2020-09-22,30.485
2020-09-23,29.391
2020-09-24,29.924
2020-09-25,30.386
2020-09-26,30.386
2020-09-27,30.386
2020-09-28,30.958
2020-09-29,30.119
2020-09-30,31.178
2020-10-01,31.034
2020-10-02,31.076
2020-10-03,31.076
2020-10-04,31.076
2020-10-05,31.437
2020-10-06,30.882
2020-10-07,31.292
2020-10-08,31.316
2020-10-09,31.603
2020-10-10,31.603
2020-10-11,31.603
2020-10-12,32.375
2020-10-13,32.267
2020-10-14,31.909
2020-10-15,32.093
2020-10-16,32.131
2020-10-17,32.131
2020-10-18,32.131
2020-10-19,31.832
2020-10-20,31.575
2020-10-21,31.479
2020-10-22,31.364
2020-10-23,31.659
2020-10-24,31.659
2020-10-25,31.659
2020-10-26,31.272
2020-10-27,30.974
2020-10-28,29.92
2020-10-29,29.635
2020-10-30,29.089
2020-10-31,29.089
2020-11-01,29.089
2020-11-02,29.84
2020-11-03,30.244
2020-11-04,30.454
2020-11-05,30.383
2020-11-06,30.402
2020-11-07,30.402
2020-11-08,30.402
2020-11-09,28.736
2020-11-10,29.319
2020-11-11,30.117
2020-11-12,29.809
2020-11-13,29.751
2020-11-14,29.751
2020-11-15,29.751
2020-11-16,29.68
2020-11-17,29.435
2020-11-18,29.36
2020-11-19,29.529
2020-11-20,29.598
2020-11-21,29.598
2020-11-22,29.598
2020-11-23,29.49
2020-11-24,29.855
2020-11-25,29.703
2020-11-26,29.703
2020-11-27,29.846
2020-11-28,29.846
2020-11-29,29.846
2020-11-30,29.926
2020-12-01,29.974
2020-12-02,27.632
2020-12-03,28.003
2020-12-04,28.396
2020-12-05,28.396
2020-12-06,28.396
2020-12-07,28.0
2020-12-08,28.242
2020-12-09,28.146
2020-12-10,28.124
2020-12-11,28.236
2020-12-12,28.236
2020-12-13,28.236
2020-12-14,28.194
2020-12-15,27.737
2020-12-16,27.959
2020-12-17,28.528
2020-12-18,28.158
2020-12-19,28.158
2020-12-20,28.158
2020-12-21,28.254
2020-12-22,28.034
2020-12-23,28.04
2020-12-24,28.188
2020-12-25,28.188
2020-12-26,28.188
2020-12-27,28.188
2020-12-28,28.173
2020-12-29,28.595
2020-12-30,28.619
2020-12-31,28.999
2021-01-01,28.999
2021-01-02,28.999
2021-01-03,28.999
2021-01-04,28.511
2021-01-05,28.584
2021-01-06,28.493
2021-01-07,28.753
2021-01-08,28.881
2021-01-09,28.881
2021-01-10,28.881
2021-01-11,28.402
2021-01-12,28.044
2021-01-13,28.289
2021-01-14,27.792
2021-01-15,28.341
2021-01-16,28.341
2021-01-17,28.341
2021-01-18,28.341
2021-01-19,28.213
2021-01-20,27.831
2021-01-21,27.61
2021-01-22,27.734
2021-01-23,27.734
2021-01-24,27.734
2021-01-25,28.543
2021-01-26,29.008
2021-01-27,28.398
2021-01-28,27.477
2021-01-29,28.696
2021-01-30,28.696
2021-01-31,28.696
2021-02-01,28.581
2021-02-02,28.677
2021-02-03,28.433
2021-02-04,28.484
2021-02-05,28.936
2021-02-06,28.936
2021-02-07,28.936
2021-02-08,29.109
2021-02-09,29.09
2021-02-10,29.1
2021-02-11,28.805
2021-02-12,28.731
2021-02-13,28.731
2021-02-14,28.731
2021-02-15,28.731
2021-02-16,27.86
2021-02-17,27.545
2021-02-18,27.719
2021-02-19,26.959
2021-02-20,26.959
2021-02-21,26.959
2021-02-22,26.908
2021-02-23,27.039
2021-02-24,27.177
2021-02-25,26.724
2021-02-26,26.683
2021-02-27,26.683
2021-02-28,26.683
2021-03-01,26.769
2021-03-02,26.879
2021-03-03,26.338
2021-03-04,26.246
2021-03-05,26.731
2021-03-06,26.731
2021-03-07,26.731
2021-03-08,26.642
2021-03-09,26.917
2021-03-10,27.196
2021-03-11,27.171
2021-03-12,27.484
2021-03-13,27.484
2021-03-14,27.484
2021-03-15,27.652
2021-03-16,27.617
2021-03-17,27.434
2021-03-18,27.329
2021-03-19,27.399
2021-03-20,27.399
2021-03-21,27.399
2021-03-22,27.813
2021-03-23,27.722
2021-03-24,27.712
2021-03-25,28.083
2021-03-26,28.561
2021-03-27,28.561
2021-03-28,28.561
2021-03-29,28.535
2021-03-30,28.141
2021-03-31,27.909
2021-04-01,27.934
2021-04-02,27.934
2021-04-03,27.934
2021-04-04,27.934
2021-04-05,27.884
2021-04-06,28.087
2021-04-07,27.909
2021-04-08,28.059
2021-04-09,27.685
2021-04-10,27.685
2021-04-11,27.685
2021-04-12,27.723
2021-04-13,27.657
2021-04-14,27.623
2021-04-15,27.802
2021-04-16,27.899
2021-04-17,27.899
2021-04-18,27.899
2021-04-19,27.918
2021-04-20,28.474
2021-04-21,28.883
2021-04-22,32.111
2021-04-23,32.128
2021-04-24,32.128
2021-04-25,32.128
2021-04-26,31.735
2021-04-27,31.566
2021-04-28,31.373
2021-04-29,31.823
2021-04-30,31.738
2021-05-01,31.738
2021-05-02,31.738
2021-05-03,31.928
2021-05-04,31.742
2021-05-05,31.773
2021-05-06,31.693
2021-05-07,31.376
2021-05-08,31.376
2021-05-09,31.376
2021-05-10,31.851
2021-05-11,31.513
2021-05-12,31.239
2021-05-13,31.703
2021-05-14,31.457
2021-05-15,31.457
2021-05-16,31.457
2021-05-17,31.31
2021-05-18,31.327
2021-05-19,31.545
2021-05-20,31.917
2021-05-21,31.823
2021-05-22,31.823
2021-05-23,31.823
2021-05-24,31.823
2021-05-25,31.717
2021-05-26,31.492
2021-05-27,31.155
2021-05-28,31.282
2021-05-29,31.282
2021-05-30,31.282
2021-05-31,31.282
2021-06-01,31.236
2021-06-02,31.499
2021-06-03,31.496
2021-06-04,31.545
2021-06-05,31.545
2021-06-06,31.545
2021-06-07,31.433
2021-06-08,31.085
2021-06-09,30.955
2021-06-10,31.169
2021-06-11,31.208
2021-06-12,31.208
2021-06-13,31.208
2021-06-14,31.331
2021-06-15,31.18
2021-06-16,30.758
2021-06-17,30.748
2021-06-18,30.252
2021-06-19,30.252
2021-06-20,30.252
2021-06-21,30.847
2021-06-22,30.879
2021-06-23,30.472
2021-06-24,30.532
2021-06-25,30.886
2021-06-26,30.886
2021-06-27,30.886
2021-06-28,31.194
2021-06-29,31.006
2021-06-30,31.254
2021-07-01,31.247
2021-07-02,26.828
2021-07-03,26.828
2021-07-04,26.828
2021-07-05,26.828
2021-07-06,26.665
2021-07-07,26.704
2021-07-08,26.371
2021-07-09,26.48
2021-07-10,26.48
2021-07-11,26.48
2021-07-12,26.356
2021-07-13,26.055
2021-07-14,25.324
2021-07-15,25.585
2021-07-16,25.829
2021-07-17,25.829
2021-07-18,25.829
2021-07-19,25.822
2021-07-20,25.557
2021-07-21,24.933
2021-07-22,24.691
2021-07-23,24.98
2021-07-24,24.98
2021-07-25,24.98
2021-07-26,24.881
2021-07-27,24.989
2021-07-28,24.683
2021-07-29,24.551
2021-07-30,24.528
2021-07-31,24.528
2021-08-01,24.528
2021-08-02,24.505
2021-08-03,24.417
2021-08-04,24.24
2021-08-05,24.26
2021-08-06,24.312
2021-08-07,24.312
2021-08-08,24.312
2021-08-09,24.391
2021-08-10,24.548
2021-08-11,24.91
2021-08-12,24.968
2021-08-13,25.26
2021-08-14,25.26
2021-08-15,25.26
2021-08-16,25.464
2021-08-17,25.598
2021-08-18,25.16
2021-08-19,25.493
2021-08-20,25.516
2021-08-21,25.516
2021-08-22,25.516
2021-08-23,25.274
2021-08-24,25.026
2021-08-25,24.933
2021-08-26,24.75
2021-08-27,24.834
2021-08-28,24.834
2021-08-29,24.834
2021-08-30,24.901
2021-08-31,25.146
2021-09-01,25.469
2021-09-02,25.656
2021-09-03,25.668
2021-09-04,25.668
2021-09-05,25.668
2021-09-06,25.668
2021-09-07,25.344
2021-09-08,25.746
2021-09-09,25.283
2021-09-10,24.93
2021-09-11,24.93
2021-09-12,24.93
2021-09-13,25.021
2021-09-14,25.001
2021-09-15,25.08
2021-09-16,25.21
2021-09-17,25.256
2021-09-18,25.256
2021-09-19,25.256
2021-09-20,25.075
2021-09-21,25.022
2021-09-22,24.981
2021-09-23,24.82
2021-09-24,24.753
2021-09-25,24.753
2021-09-26,24.753
2021-09-27,24.694
2021-09-28,24.375
2021-09-29,24.501
2021-09-30,24.019
2021-10-01,23.924
2021-10-02,23.924
2021-10-03,23.924
2021-10-04,23.918
2021-10-05,23.728
2021-10-06,23.797
2021-10-07,23.841
2021-10-08,23.609
2021-10-09,23.609
2021-10-10,23.609
2021-10-11,23.344
2021-10-12,23.249
2021-10-13,23.484
2021-10-14,23.892
2021-10-15,23.704
2021-10-16,23.704
2021-10-17,23.704
2021-10-18,23.639
2021-10-19,23.779
2021-10-20,24.02
2021-10-21,23.907
2021-10-22,24.032
2021-10-23,24.032
2021-10-24,24.032
2021-10-25,24.017
2021-10-26,24.13
2021-10-27,23.954
2021-10-28,24.166
2021-10-29,23.883
2021-10-30,23.883
2021-10-31,23.883
2021-11-01,24.02
2021-11-02,24.219
2021-11-03,24.484
2021-11-04,24.204
2021-11-05,24.18
2021-11-06,24.18
2021-11-07,24.18
2021-11-08,23.91
2021-11-09,24.106
2021-11-10,24.502
2021-11-11,24.249
2021-11-12,24.038
2021-11-13,24.038
2021-11-14,24.038
2021-11-15,24.311
2021-11-16,24.543
2021-11-17,24.682
2021-11-18,24.564
2021-11-19,24.687
2021-11-20,24.687
2021-11-21,24.687
2021-11-22,24.923
2021-11-23,25.111
2021-11-24,25.134
2021-11-25,25.134
2021-11-26,25.149
2021-11-27,25.149
2021-11-28,25.149
2021-11-29,25.575
2021-11-30,25.231
2021-12-01,25.446
2021-12-02,25.581
2021-12-03,26.031
2021-12-04,26.031
2021-12-05,26.031
2021-12-06,26.493
2021-12-07,25.822
2021-12-08,26.063
2021-12-09,26.084
2021-12-10,26.61
2021-12-11,26.61
2021-12-12,26.61
2021-12-13,27.36
2021-12-14,26.809
2021-12-15,26.993
2021-12-16,27.711
2021-12-17,27.553
2021-12-18,27.553
2021-12-19,27.553
2021-12-20,27.491
2021-12-21,27.231
2021-12-22,27.339
2021-12-23,27.233
2021-12-24,27.233
2021-12-25,27.233
2021-12-26,27.233
2021-12-27,27.555
2021-12-28,27.798
2021-12-29,27.992
2021-12-30,28.086
2021-12-31,28.391
2022-01-01,28.391
2022-01-02,28.391
2022-01-03,28.159
2022-01-04,28.359
2022-01-05,28.482
2022-01-06,28.356
2022-01-07,28.224
2022-01-08,28.224
2022-01-09,28.224
2022-01-10,27.806
2022-01-11,27.98
2022-01-12,28.027
2022-01-13,28.068
2022-01-14,28.315
2022-01-15,28.315
2022-01-16,28.315
2022-01-17,28.315
2022-01-18,28.662
2022-01-19,28.247
2022-01-20,28.035
2022-01-21,28.144
2022-01-22,28.144
2022-01-23,28.144
2022-01-24,27.691
2022-01-25,27.353
2022-01-26,27.036
2022-01-27,25.685
2022-01-28,25.679
2022-01-29,25.679
2022-01-30,25.679
2022-01-31,26.223
2022-02-01,26.27
2022-02-02,26.576
2022-02-03,26.9
2022-02-04,26.594
2022-02-05,26.594
2022-02-06,26.594
2022-02-07,26.636
2022-02-08,26.78
2022-02-09,26.743
2022-02-10,26.022
2022-02-11,26.102
2022-02-12,26.102
2022-02-13,26.102
2022-02-14,26.012
2022-02-15,25.939
2022-02-16,25.491
2022-02-17,25.411
2022-02-18,25.336
2022-02-19,25.336
2022-02-20,25.336
2022-02-21,25.336
2022-02-22,25.123
2022-02-23,25.03
2022-02-24,24.385
2022-02-25,24.926
2022-02-26,24.926
2022-02-27,24.926
2022-02-28,24.657
2022-03-01,24.937
2022-03-02,25.216
2022-03-03,25.794
2022-03-04,26.792
2022-03-05,26.792
2022-03-06,26.792
2022-03-07,26.96
2022-03-08,25.273
2022-03-09,25.47
2022-03-10,25.374
2022-03-11,25.007
2022-03-12,25.007
2022-03-13,25.007
2022-03-14,25.442
2022-03-15,25.685
