,NFG US Equity
,BEST_PE_RATIO
2020-04-07,8.094
2020-04-08,8.287
2020-04-09,8.531
2020-04-10,8.531
2020-04-11,8.531
2020-04-12,8.531
2020-04-13,8.377
2020-04-14,8.49
2020-04-15,8.649
2020-04-16,8.718
2020-04-17,9.043
2020-04-18,9.043
2020-04-19,9.043
2020-04-20,8.934
2020-04-21,8.842
2020-04-22,8.849
2020-04-23,8.895
2020-04-24,8.835
2020-04-25,8.835
2020-04-26,8.835
2020-04-27,9.154
2020-04-28,9.049
2020-04-29,9.167
2020-04-30,8.62
2020-05-01,8.494
2020-05-02,8.494
2020-05-03,8.494
2020-05-04,8.185
2020-05-05,8.349
2020-05-06,8.143
2020-05-07,8.574
2020-05-08,8.873
2020-05-09,8.873
2020-05-10,8.873
2020-05-11,8.805
2020-05-12,8.549
2020-05-13,8.585
2020-05-14,8.416
2020-05-15,8.402
2020-05-16,8.402
2020-05-17,8.402
2020-05-18,8.74
2020-05-19,8.49
2020-05-20,8.683
2020-05-21,8.782
2020-05-22,8.812
2020-05-23,8.812
2020-05-24,8.812
2020-05-25,8.812
2020-05-26,9.041
2020-05-27,9.005
2020-05-28,9.049
2020-05-29,8.417
2020-05-30,8.417
2020-05-31,8.417
2020-06-01,8.527
2020-06-02,8.531
2020-06-03,8.609
2020-06-04,8.551
2020-06-05,8.521
2020-06-06,8.521
2020-06-07,8.521
2020-06-08,8.998
2020-06-09,8.846
2020-06-10,8.621
2020-06-11,8.164
2020-06-12,8.314
2020-06-13,8.314
2020-06-14,8.314
2020-06-15,8.188
2020-06-16,8.445
2020-06-17,8.288
2020-06-18,8.322
2020-06-19,8.158
2020-06-20,8.158
2020-06-21,8.158
2020-06-22,8.074
2020-06-23,8.072
2020-06-24,8.09
2020-06-25,8.022
2020-06-26,7.994
2020-06-27,7.994
2020-06-28,7.994
2020-06-29,8.226
2020-06-30,8.504
2020-07-01,8.301
2020-07-02,8.372
2020-07-03,8.372
2020-07-04,8.372
2020-07-05,8.372
2020-07-06,8.485
2020-07-07,8.599
2020-07-08,8.38
2020-07-09,8.066
2020-07-10,8.137
2020-07-11,8.137
2020-07-12,8.137
2020-07-13,8.106
2020-07-14,8.204
2020-07-15,8.279
2020-07-16,8.285
2020-07-17,8.295
2020-07-18,8.295
2020-07-19,8.295
2020-07-20,8.124
2020-07-21,8.337
2020-07-22,8.364
2020-07-23,8.51
2020-07-24,8.51
2020-07-25,8.51
2020-07-26,8.51
2020-07-27,8.51
2020-07-28,8.51
2020-07-29,8.51
2020-07-30,8.51
2020-07-31,8.51
2020-08-01,8.51
2020-08-02,8.51
2020-08-03,8.51
2020-08-04,8.51
2020-08-05,8.51
2020-08-06,8.51
2020-08-07,8.51
2020-08-08,8.51
2020-08-09,8.51
2020-08-10,8.51
2020-08-11,8.51
2020-08-12,8.51
2020-08-13,8.51
2020-08-14,8.51
2020-08-15,8.51
2020-08-16,8.51
2020-08-17,8.51
2020-08-18,8.51
2020-08-19,8.51
2020-08-20,8.51
2020-08-21,8.51
2020-08-22,8.51
2020-08-23,8.51
2020-08-24,8.51
2020-08-25,8.51
2020-08-26,8.51
2020-08-27,8.51
2020-08-28,8.51
2020-08-29,8.51
2020-08-30,8.51
2020-08-31,8.51
