,IFF US Equity
,BEST_PE_RATIO
2020-01-01,13.262
2020-01-02,13.111
2020-01-03,12.988
2020-01-04,12.988
2020-01-05,12.988
2020-01-06,12.902
2020-01-07,12.881
2020-01-08,13.475
2020-01-09,13.42
2020-01-10,13.675
2020-01-11,13.675
2020-01-12,13.675
2020-01-13,13.824
2020-01-14,14.035
2020-01-15,14.104
2020-01-16,14.45
2020-01-17,14.64
2020-01-18,14.64
2020-01-19,14.64
2020-01-20,14.64
2020-01-21,14.632
2020-01-22,14.751
2020-01-23,14.767
2020-01-24,14.739
2020-01-25,14.739
2020-01-26,14.739
2020-01-27,14.543
2020-01-28,14.702
2020-01-29,14.659
2020-01-30,14.433
2020-01-31,14.231
2020-02-01,14.231
2020-02-02,14.231
2020-02-03,14.745
2020-02-04,15.195
2020-02-05,15.486
2020-02-06,15.436
2020-02-07,16.364
2020-02-08,16.364
2020-02-09,16.364
2020-02-10,16.254
2020-02-11,16.127
2020-02-12,16.292
2020-02-13,15.763
2020-02-14,15.663
2020-02-15,15.663
2020-02-16,15.663
2020-02-17,15.663
2020-02-18,15.544
2020-02-19,15.477
2020-02-20,15.296
2020-02-21,15.149
2020-02-22,15.149
2020-02-23,15.149
2020-02-24,14.659
2020-02-25,14.204
2020-02-26,14.147
2020-02-27,14.008
2020-02-28,13.727
2020-02-29,13.727
2020-03-01,13.727
2020-03-02,14.046
2020-03-03,14.017
2020-03-04,14.641
2020-03-05,14.306
2020-03-06,14.066
2020-03-07,14.066
2020-03-08,14.066
2020-03-09,12.918
2020-03-10,13.589
2020-03-11,12.753
2020-03-12,11.454
2020-03-13,12.511
2020-03-14,12.511
2020-03-15,12.511
2020-03-16,11.646
2020-03-17,12.563
2020-03-18,12.441
2020-03-19,12.327
2020-03-20,11.752
2020-03-21,11.752
2020-03-22,11.752
2020-03-23,10.819
2020-03-24,11.584
2020-03-25,12.09
2020-03-26,13.244
2020-03-27,12.743
2020-03-28,12.743
2020-03-29,12.743
2020-03-30,12.545
2020-03-31,11.856
2020-04-01,11.699
2020-04-02,11.519
2020-04-03,11.486
2020-04-04,11.486
2020-04-05,11.486
2020-04-06,12.81
2020-04-07,13.4
2020-04-08,14.25
2020-04-09,14.969
2020-04-10,14.969
2020-04-11,14.969
2020-04-12,14.969
2020-04-13,14.111
2020-04-14,14.381
2020-04-15,13.795
2020-04-16,14.09
2020-04-17,14.705
2020-04-18,14.705
2020-04-19,14.705
2020-04-20,14.167
2020-04-21,14.358
2020-04-22,14.606
2020-04-23,14.474
2020-04-24,14.866
2020-04-25,14.866
2020-04-26,14.866
2020-04-27,15.342
2020-04-28,15.479
2020-04-29,15.666
2020-04-30,15.399
2020-05-01,14.882
2020-05-02,14.882
2020-05-03,14.882
2020-05-04,15.031
2020-05-05,15.149
2020-05-06,15.432
2020-05-07,15.311
2020-05-08,15.803
2020-05-09,15.803
2020-05-10,15.803
2020-05-11,15.587
2020-05-12,15.669
2020-05-13,15.032
2020-05-14,14.649
2020-05-15,14.901
2020-05-16,14.901
2020-05-17,14.901
2020-05-18,15.329
2020-05-19,14.974
2020-05-20,15.141
2020-05-21,14.99
2020-05-22,15.041
2020-05-23,15.041
2020-05-24,15.041
2020-05-25,15.041
2020-05-26,15.472
2020-05-27,15.832
2020-05-28,15.608
2020-05-29,15.479
2020-05-30,15.479
2020-05-31,15.479
2020-06-01,15.227
2020-06-02,15.565
2020-06-03,15.9
2020-06-04,15.778
2020-06-05,16.022
2020-06-06,16.022
2020-06-07,16.022
2020-06-08,15.756
2020-06-09,15.639
2020-06-10,15.517
2020-06-11,14.673
2020-06-12,14.804
2020-06-13,14.804
2020-06-14,14.804
2020-06-15,14.861
2020-06-16,15.061
2020-06-17,15.014
2020-06-18,15.0
2020-06-19,14.715
2020-06-20,14.715
2020-06-21,14.715
2020-06-22,14.761
2020-06-23,14.553
2020-06-24,14.495
2020-06-25,14.534
2020-06-26,14.137
2020-06-27,14.137
2020-06-28,14.137
2020-06-29,14.473
2020-06-30,14.542
2020-07-01,14.745
2020-07-02,15.066
2020-07-03,15.066
2020-07-04,15.066
2020-07-05,15.066
2020-07-06,15.223
2020-07-07,15.087
2020-07-08,14.65
2020-07-09,14.523
2020-07-10,14.873
2020-07-11,14.873
2020-07-12,14.873
2020-07-13,14.786
2020-07-14,15.082
2020-07-15,15.404
2020-07-16,15.391
2020-07-17,15.554
2020-07-18,15.554
2020-07-19,15.554
2020-07-20,15.285
2020-07-21,15.192
2020-07-22,15.265
2020-07-23,15.258
2020-07-24,15.059
2020-07-25,15.059
2020-07-26,15.059
2020-07-27,15.293
2020-07-28,15.24
2020-07-29,15.228
2020-07-30,14.783
2020-07-31,14.956
2020-08-01,14.956
2020-08-02,14.956
2020-08-03,14.789
2020-08-04,14.949
2020-08-05,15.012
2020-08-06,14.888
2020-08-07,15.057
2020-08-08,15.057
2020-08-09,15.057
2020-08-10,15.502
2020-08-11,14.878
2020-08-12,15.153
2020-08-13,15.181
2020-08-14,15.103
2020-08-15,15.103
2020-08-16,15.103
2020-08-17,15.118
2020-08-18,15.036
2020-08-19,15.067
2020-08-20,14.907
2020-08-21,14.89
2020-08-22,14.89
2020-08-23,14.89
2020-08-24,15.179
2020-08-25,15.178
2020-08-26,15.427
2020-08-27,15.264
2020-08-28,15.374
2020-08-29,15.374
2020-08-30,15.374
2020-08-31,15.29
2020-09-01,15.407
2020-09-02,15.558
2020-09-03,15.301
2020-09-04,15.207
2020-09-05,15.207
2020-09-06,15.207
2020-09-07,15.207
2020-09-08,15.023
2020-09-09,15.069
2020-09-10,14.866
2020-09-11,14.949
2020-09-12,14.949
2020-09-13,14.949
2020-09-14,15.19
2020-09-15,15.346
2020-09-16,15.346
2020-09-17,15.338
2020-09-18,15.136
2020-09-19,15.136
2020-09-20,15.136
2020-09-21,14.875
2020-09-22,14.939
2020-09-23,14.475
2020-09-24,14.528
2020-09-25,14.83
2020-09-26,14.83
2020-09-27,14.83
2020-09-28,15.133
2020-09-29,15.146
2020-09-30,15.264
2020-10-01,14.97
2020-10-02,14.855
2020-10-03,14.855
2020-10-04,14.855
2020-10-05,14.754
2020-10-06,14.374
2020-10-07,14.524
2020-10-08,14.223
2020-10-09,14.616
2020-10-10,14.616
2020-10-11,14.616
2020-10-12,14.522
2020-10-13,14.342
2020-10-14,14.31
2020-10-15,14.2
2020-10-16,14.231
2020-10-17,14.231
2020-10-18,14.231
2020-10-19,13.899
2020-10-20,13.905
2020-10-21,13.519
2020-10-22,13.69
2020-10-23,13.534
2020-10-24,13.534
2020-10-25,13.534
2020-10-26,13.336
2020-10-27,12.928
2020-10-28,12.416
2020-10-29,12.597
2020-10-30,12.566
2020-10-31,12.566
2020-11-01,12.566
2020-11-02,12.734
2020-11-03,12.996
2020-11-04,12.728
2020-11-05,13.035
2020-11-06,13.157
2020-11-07,13.157
2020-11-08,13.157
2020-11-09,13.62
2020-11-10,13.823
2020-11-11,13.415
2020-11-12,13.498
2020-11-13,13.78
2020-11-14,13.78
2020-11-15,13.78
2020-11-16,14.098
2020-11-17,14.068
2020-11-18,13.807
2020-11-19,13.753
2020-11-20,13.767
2020-11-21,13.767
2020-11-22,13.767
2020-11-23,13.671
2020-11-24,14.144
2020-11-25,13.808
2020-11-26,13.808
2020-11-27,13.866
2020-11-28,13.866
2020-11-29,13.866
2020-11-30,13.772
2020-12-01,13.713
2020-12-02,13.822
