,LVS US Equity
,BEST_PE_RATIO
2020-01-01,18.484
2020-01-02,18.956
2020-01-03,18.666
2020-01-04,18.666
2020-01-05,18.666
2020-01-06,18.766
2020-01-07,18.784
2020-01-08,18.956
2020-01-09,19.148
2020-01-10,18.985
2020-01-11,18.985
2020-01-12,18.985
2020-01-13,19.32
2020-01-14,19.641
2020-01-15,19.483
2020-01-16,19.652
2020-01-17,19.828
2020-01-18,19.828
2020-01-19,19.828
2020-01-20,19.828
2020-01-21,18.758
2020-01-22,18.594
2020-01-23,18.594
2020-01-24,18.166
2020-01-25,18.166
2020-01-26,18.166
2020-01-27,16.94
2020-01-28,17.245
2020-01-29,17.322
2020-01-30,17.724
2020-01-31,17.486
2020-02-01,17.486
2020-02-02,17.486
2020-02-03,17.82
2020-02-04,18.163
2020-02-05,18.177
2020-02-06,18.6
2020-02-07,17.885
2020-02-08,17.885
2020-02-09,17.885
2020-02-10,18.249
2020-02-11,18.434
2020-02-12,19.044
2020-02-13,18.557
2020-02-14,18.225
2020-02-15,18.225
2020-02-16,18.225
2020-02-17,18.225
2020-02-18,18.249
2020-02-19,18.5
2020-02-20,18.056
2020-02-21,17.563
2020-02-22,17.563
2020-02-23,17.563
2020-02-24,16.656
2020-02-25,16.107
2020-02-26,15.839
2020-02-27,15.644
2020-02-28,15.612
2020-02-29,15.612
2020-03-01,15.612
2020-03-02,15.598
2020-03-03,14.966
2020-03-04,15.328
2020-03-05,14.709
2020-03-06,14.688
2020-03-07,14.688
2020-03-08,14.688
2020-03-09,13.296
2020-03-10,14.292
2020-03-11,13.02
2020-03-12,11.82
2020-03-13,13.122
2020-03-14,13.122
2020-03-15,13.122
2020-03-16,10.814
2020-03-17,11.158
2020-03-18,10.29
2020-03-19,11.021
2020-03-20,11.827
2020-03-21,11.827
2020-03-22,11.827
2020-03-23,11.865
2020-03-24,12.245
2020-03-25,12.93
2020-03-26,13.206
2020-03-27,11.496
2020-03-28,11.496
2020-03-29,11.496
2020-03-30,11.876
2020-03-31,11.598
2020-04-01,11.005
2020-04-02,10.997
2020-04-03,10.355
2020-04-04,10.355
2020-04-05,10.355
2020-04-06,11.114
2020-04-07,11.66
2020-04-08,12.712
2020-04-09,13.069
2020-04-10,13.069
2020-04-11,13.069
2020-04-12,13.069
2020-04-13,12.695
2020-04-14,13.143
2020-04-15,12.862
2020-04-16,12.534
2020-04-17,12.837
2020-04-18,12.837
2020-04-19,12.837
2020-04-20,11.778
2020-04-21,11.111
2020-04-22,11.204
2020-04-23,12.551
2020-04-24,11.955
2020-04-25,11.955
2020-04-26,11.955
2020-04-27,12.665
2020-04-28,12.72
2020-04-29,13.351
2020-04-30,13.113
2020-05-01,12.455
2020-05-02,12.455
2020-05-03,12.455
2020-05-04,12.411
2020-05-05,12.668
2020-05-06,12.682
2020-05-07,12.936
2020-05-08,13.91
2020-05-09,13.91
2020-05-10,13.91
2020-05-11,13.244
2020-05-12,12.551
2020-05-13,12.13
2020-05-14,12.474
2020-05-15,12.223
2020-05-16,12.223
2020-05-17,12.223
2020-05-18,13.214
2020-05-19,13.176
2020-05-20,13.7
2020-05-21,13.263
2020-05-22,12.807
2020-05-23,12.807
2020-05-24,12.807
2020-05-25,12.807
