,PINC US Equity
,BEST_PE_RATIO
2020-01-01,8.648
2020-01-02,8.317
2020-01-03,8.214
2020-01-04,8.214
2020-01-05,8.214
2020-01-06,8.249
2020-01-07,8.212
2020-01-08,8.201
2020-01-09,8.226
2020-01-10,8.166
2020-01-11,8.166
2020-01-12,8.166
2020-01-13,8.036
2020-01-14,8.119
2020-01-15,8.39
2020-01-16,8.456
2020-01-17,8.395
2020-01-18,8.395
2020-01-19,8.395
2020-01-20,8.395
2020-01-21,8.365
2020-01-22,8.411
2020-01-23,8.424
2020-01-24,8.155
2020-01-25,8.155
2020-01-26,8.155
2020-01-27,8.073
2020-01-28,8.068
2020-01-29,7.993
2020-01-30,8.0
2020-01-31,7.938
2020-02-01,7.938
2020-02-02,7.938
2020-02-03,7.975
2020-02-04,7.577
2020-02-05,7.508
2020-02-06,7.437
2020-02-07,7.487
2020-02-08,7.487
2020-02-09,7.487
2020-02-10,7.584
2020-02-11,7.603
2020-02-12,7.479
2020-02-13,7.6
2020-02-14,7.593
2020-02-15,7.593
2020-02-16,7.593
2020-02-17,7.593
2020-02-18,7.482
2020-02-19,7.487
2020-02-20,7.387
2020-02-21,7.382
2020-02-22,7.382
2020-02-23,7.382
2020-02-24,7.264
2020-02-25,7.197
2020-02-26,6.943
2020-02-27,6.853
2020-02-28,6.984
2020-02-29,6.984
2020-03-01,6.984
2020-03-02,7.283
2020-03-03,7.14
2020-03-04,7.173
2020-03-05,6.829
2020-03-06,6.853
2020-03-07,6.853
2020-03-08,6.853
2020-03-09,6.884
2020-03-10,6.948
2020-03-11,7.145
2020-03-12,7.192
2020-03-13,8.293
2020-03-14,8.293
2020-03-15,8.293
2020-03-16,7.809
2020-03-17,8.077
2020-03-18,7.987
2020-03-19,7.38
2020-03-20,6.851
2020-03-21,6.851
2020-03-22,6.851
2020-03-23,6.502
2020-03-24,6.881
2020-03-25,6.701
2020-03-26,7.095
2020-03-27,7.233
2020-03-28,7.233
2020-03-29,7.233
2020-03-30,7.515
2020-03-31,7.764
2020-04-01,7.838
2020-04-02,7.441
2020-04-03,7.43
2020-04-04,7.43
2020-04-05,7.43
2020-04-06,7.802
2020-04-07,8.009
2020-04-08,8.248
2020-04-09,7.736
2020-04-10,7.736
2020-04-11,7.736
2020-04-12,7.736
2020-04-13,7.389
2020-04-14,7.572
2020-04-15,7.795
2020-04-16,7.672
2020-04-17,7.862
2020-04-18,7.862
2020-04-19,7.862
2020-04-20,7.845
2020-04-21,7.679
2020-04-22,7.593
2020-04-23,7.71
2020-04-24,7.835
2020-04-25,7.835
2020-04-26,7.835
2020-04-27,7.997
2020-04-28,7.814
2020-04-29,7.918
2020-04-30,7.869
2020-05-01,7.681
2020-05-02,7.681
2020-05-03,7.681
2020-05-04,7.459
2020-05-05,8.169
2020-05-06,8.115
2020-05-07,8.775
2020-05-08,8.997
2020-05-09,8.997
2020-05-10,8.997
2020-05-11,9.041
2020-05-12,8.846
2020-05-13,8.758
2020-05-14,8.826
2020-05-15,8.893
2020-05-16,8.893
2020-05-17,8.893
2020-05-18,9.233
2020-05-19,9.625
2020-05-20,9.56
2020-05-21,9.955
2020-05-22,9.793
2020-05-23,9.793
2020-05-24,9.793
2020-05-25,9.793
2020-05-26,10.035
2020-05-27,10.094
2020-05-28,10.132
2020-05-29,10.262
2020-05-30,10.262
2020-05-31,10.262
2020-06-01,10.032
2020-06-02,10.059
2020-06-03,10.05
2020-06-04,10.112
2020-06-05,10.162
2020-06-06,10.162
2020-06-07,10.162
2020-06-08,10.451
2020-06-09,10.271
2020-06-10,10.165
2020-06-11,9.79
2020-06-12,9.536
2020-06-13,9.536
2020-06-14,9.536
2020-06-15,9.657
2020-06-16,10.002
2020-06-17,10.056
2020-06-18,10.235
2020-06-19,10.283
2020-06-20,10.283
2020-06-21,10.283
2020-06-22,9.938
2020-06-23,10.097
2020-06-24,9.876
2020-06-25,9.914
2020-06-26,9.604
2020-06-27,9.604
2020-06-28,9.604
2020-06-29,9.899
2020-06-30,10.112
2020-07-01,10.212
2020-07-02,9.837
2020-07-03,9.837
2020-07-04,9.837
2020-07-05,9.837
2020-07-06,9.915
2020-07-07,9.902
2020-07-08,9.421
2020-07-09,9.236
2020-07-10,9.345
2020-07-11,9.345
2020-07-12,9.345
2020-07-13,9.203
2020-07-14,9.377
2020-07-15,9.663
2020-07-16,9.988
2020-07-17,10.265
2020-07-18,10.265
2020-07-19,10.265
2020-07-20,10.026
2020-07-21,10.188
2020-07-22,10.274
2020-07-23,10.356
2020-07-24,10.238
2020-07-25,10.238
2020-07-26,10.238
2020-07-27,10.185
2020-07-28,10.05
2020-07-29,10.059
2020-07-30,10.235
2020-07-31,10.315
2020-08-01,10.315
2020-08-02,10.315
2020-08-03,10.271
2020-08-04,10.294
2020-08-05,10.138
2020-08-06,10.1
2020-08-07,10.238
2020-08-08,10.238
2020-08-09,10.238
2020-08-10,10.25
2020-08-11,10.424
2020-08-12,12.238
2020-08-13,12.442
2020-08-14,13.059
2020-08-15,13.059
2020-08-16,13.059
2020-08-17,12.381
2020-08-18,12.58
2020-08-19,12.076
2020-08-20,12.023
2020-08-21,11.921
2020-08-22,11.921
2020-08-23,11.921
2020-08-24,11.878
2020-08-25,10.584
2020-08-26,10.273
2020-08-27,10.273
2020-08-28,10.273
2020-08-29,10.273
2020-08-30,10.273
2020-08-31,10.273
2020-09-01,10.273
2020-09-02,10.273
2020-09-03,10.273
2020-09-04,10.273
2020-09-05,10.273
2020-09-06,10.273
2020-09-07,10.273
2020-09-08,10.273
2020-09-09,10.273
2020-09-10,10.273
2020-09-11,10.273
2020-09-12,10.273
2020-09-13,10.273
2020-09-14,10.273
2020-09-15,10.273
2020-09-16,10.273
2020-09-17,10.273
2020-09-18,10.273
2020-09-19,10.273
2020-09-20,10.273
2020-09-21,10.273
2020-09-22,10.273
2020-09-23,10.273
2020-09-24,10.273
2020-09-25,10.273
2020-09-26,10.273
2020-09-27,10.273
2020-09-28,10.273
2020-09-29,10.273
2020-09-30,10.273
2020-10-01,10.273
