,WM US Equity
,BEST_PE_RATIO
2020-01-01,15.895
2020-01-02,15.932
2020-01-03,16.087
2020-01-04,16.087
2020-01-05,16.087
2020-01-06,16.17
2020-01-07,16.181
2020-01-08,16.191
2020-01-09,16.198
2020-01-10,16.208
2020-01-11,16.208
2020-01-12,16.208
2020-01-13,16.412
2020-01-14,16.469
2020-01-15,16.49
2020-01-16,16.667
2020-01-17,16.689
2020-01-18,16.689
2020-01-19,16.689
2020-01-20,16.689
2020-01-21,16.795
2020-01-22,16.783
2020-01-23,16.897
2020-01-24,16.877
2020-01-25,16.877
2020-01-26,16.877
2020-01-27,16.904
2020-01-28,16.884
2020-01-29,16.943
2020-01-30,17.123
2020-01-31,16.975
2020-02-01,16.975
2020-02-02,16.975
2020-02-03,17.113
2020-02-04,17.137
2020-02-05,17.241
2020-02-06,17.26
2020-02-07,17.283
2020-02-08,17.283
2020-02-09,17.283
2020-02-10,17.441
2020-02-11,17.433
2020-02-12,17.52
2020-02-13,17.328
2020-02-14,17.54
2020-02-15,17.54
2020-02-16,17.54
2020-02-17,17.54
2020-02-18,17.606
2020-02-19,17.467
2020-02-20,17.303
2020-02-21,17.374
2020-02-22,17.374
2020-02-23,17.374
2020-02-24,17.294
2020-02-25,17.01
2020-02-26,16.868
2020-02-27,15.848
2020-02-28,15.456
2020-02-29,15.456
2020-03-01,15.456
2020-03-02,16.324
2020-03-03,15.721
2020-03-04,16.778
2020-03-05,16.493
2020-03-06,16.412
2020-03-07,16.412
2020-03-08,16.412
2020-03-09,15.703
2020-03-10,15.898
2020-03-11,15.409
2020-03-12,13.695
2020-03-13,14.757
2020-03-14,14.757
2020-03-15,14.757
2020-03-16,13.996
2020-03-17,15.263
2020-03-18,14.356
2020-03-19,13.991
2020-03-20,13.775
2020-03-21,13.775
2020-03-22,13.775
2020-03-23,12.312
2020-03-24,12.901
2020-03-25,12.742
2020-03-26,13.687
2020-03-27,13.353
2020-03-28,13.353
2020-03-29,13.353
2020-03-30,13.255
2020-03-31,12.969
2020-04-01,12.391
2020-04-02,12.77
2020-04-03,12.473
2020-04-04,12.473
2020-04-05,12.473
2020-04-06,12.791
2020-04-07,12.811
2020-04-08,13.398
2020-04-09,13.991
2020-04-10,13.991
2020-04-11,13.991
2020-04-12,13.991
2020-04-13,13.556
2020-04-14,13.96
2020-04-15,13.54
2020-04-16,13.668
2020-04-17,14.05
2020-04-18,14.05
2020-04-19,14.05
2020-04-20,13.76
2020-04-21,13.554
2020-04-22,13.838
2020-04-23,13.702
2020-04-24,13.799
2020-04-25,13.799
2020-04-26,13.799
2020-04-27,14.17
2020-04-28,14.244
2020-04-29,14.143
2020-04-30,14.015
2020-05-01,13.761
2020-05-02,13.761
2020-05-03,13.761
2020-05-04,13.95
2020-05-05,13.874
2020-05-06,13.563
2020-05-07,14.215
2020-05-08,14.148
2020-05-09,14.148
2020-05-10,14.148
2020-05-11,14.082
2020-05-12,13.775
2020-05-13,13.524
2020-05-14,13.617
2020-05-15,13.442
2020-05-16,13.442
2020-05-17,13.442
2020-05-18,13.964
2020-05-19,13.778
2020-05-20,13.935
2020-05-21,13.862
2020-05-22,13.86
2020-05-23,13.86
2020-05-24,13.86
2020-05-25,13.86
2020-05-26,14.236
2020-05-27,14.614
2020-05-28,14.923
2020-05-29,14.958
2020-05-30,14.958
2020-05-31,14.958
2020-06-01,14.854
2020-06-02,15.053
2020-06-03,15.442
2020-06-04,15.207
2020-06-05,15.799
2020-06-06,15.799
2020-06-07,15.799
2020-06-08,15.987
2020-06-09,15.666
2020-06-10,15.395
2020-06-11,14.532
2020-06-12,14.629
2020-06-13,14.629
2020-06-14,14.629
2020-06-15,14.714
2020-06-16,14.884
2020-06-17,14.884
2020-06-18,14.735
2020-06-19,14.331
2020-06-20,14.331
2020-06-21,14.331
2020-06-22,14.602
2020-06-23,14.625
2020-06-24,14.274
2020-06-25,14.682
2020-06-26,14.742
2020-06-27,14.742
2020-06-28,14.742
2020-06-29,14.85
2020-06-30,15.187
2020-07-01,15.069
2020-07-02,15.052
2020-07-03,15.052
2020-07-04,15.052
2020-07-05,15.052
2020-07-06,15.086
2020-07-07,15.002
2020-07-08,14.787
2020-07-09,14.638
2020-07-10,14.887
2020-07-11,14.887
2020-07-12,14.887
2020-07-13,14.96
2020-07-14,15.513
2020-07-15,15.599
2020-07-16,15.697
2020-07-17,15.878
2020-07-18,15.878
2020-07-19,15.878
2020-07-20,15.567
2020-07-21,15.705
2020-07-22,15.806
2020-07-23,15.78
2020-07-24,15.67
2020-07-25,15.67
2020-07-26,15.67
2020-07-27,15.64
2020-07-28,15.705
2020-07-29,16.017
2020-07-30,17.713
2020-07-31,17.748
2020-08-01,17.748
2020-08-02,17.748
2020-08-03,17.648
2020-08-04,17.622
2020-08-05,17.68
2020-08-06,17.873
2020-08-07,18.253
2020-08-08,18.253
2020-08-09,18.253
2020-08-10,18.074
2020-08-11,18.07
2020-08-12,18.177
2020-08-13,18.03
2020-08-14,18.051
2020-08-15,18.051
2020-08-16,18.051
2020-08-17,17.954
2020-08-18,17.977
2020-08-19,17.904
2020-08-20,17.837
2020-08-21,18.001
2020-08-22,18.001
2020-08-23,18.001
2020-08-24,18.219
2020-08-25,18.33
2020-08-26,18.445
2020-08-27,18.504
2020-08-28,18.462
2020-08-29,18.462
2020-08-30,18.462
2020-08-31,18.461
2020-09-01,18.402
2020-09-02,18.485
2020-09-03,18.097
2020-09-04,18.095
2020-09-05,18.095
2020-09-06,18.095
2020-09-07,18.095
2020-09-08,17.973
2020-09-09,18.315
2020-09-10,18.172
2020-09-11,18.411
2020-09-12,18.411
2020-09-13,18.411
2020-09-14,18.933
2020-09-15,19.049
2020-09-16,19.013
2020-09-17,18.803
2020-09-18,18.756
2020-09-19,18.756
2020-09-20,18.756
2020-09-21,18.598
2020-09-22,18.707
2020-09-23,18.18
2020-09-24,18.11
2020-09-25,18.489
2020-09-26,18.489
2020-09-27,18.489
2020-09-28,18.556
2020-09-29,18.453
2020-09-30,18.414
2020-10-01,18.369
2020-10-02,18.531
2020-10-03,18.531
2020-10-04,18.531
2020-10-05,18.588
2020-10-06,18.427
2020-10-07,18.53
2020-10-08,18.663
2020-10-09,18.769
2020-10-10,18.769
2020-10-11,18.769
2020-10-12,19.008
2020-10-13,18.793
2020-10-14,18.644
2020-10-15,18.756
2020-10-16,18.854
2020-10-17,18.854
2020-10-18,18.854
2020-10-19,18.5
2020-10-20,18.6
2020-10-21,18.577
2020-10-22,18.837
2020-10-23,18.989
2020-10-24,18.989
2020-10-25,18.989
2020-10-26,18.452
2020-10-27,18.001
2020-10-28,17.404
2020-10-29,17.5
2020-10-30,17.558
2020-10-31,17.558
2020-11-01,17.558
2020-11-02,18.007
2020-11-03,16.995
2020-11-04,17.193
2020-11-05,17.732
2020-11-06,17.672
2020-11-07,17.672
2020-11-08,17.672
2020-11-09,17.921
2020-11-10,18.279
2020-11-11,18.193
2020-11-12,17.94
2020-11-13,18.063
2020-11-14,18.063
2020-11-15,18.063
2020-11-16,18.073
2020-11-17,17.971
2020-11-18,17.857
2020-11-19,17.864
2020-11-20,17.83
2020-11-21,17.83
2020-11-22,17.83
2020-11-23,17.795
2020-11-24,17.842
2020-11-25,17.725
2020-11-26,17.725
2020-11-27,17.658
2020-11-28,17.658
2020-11-29,17.658
2020-11-30,17.649
2020-12-01,17.725
2020-12-02,17.353
2020-12-03,17.436
2020-12-04,17.495
2020-12-05,17.495
2020-12-06,17.495
2020-12-07,17.381
2020-12-08,17.378
2020-12-09,17.352
2020-12-10,17.108
2020-12-11,17.178
2020-12-12,17.178
2020-12-13,17.178
2020-12-14,17.085
2020-12-15,17.382
2020-12-16,17.278
2020-12-17,17.491
2020-12-18,17.476
2020-12-19,17.476
2020-12-20,17.476
2020-12-21,17.342
2020-12-22,17.552
2020-12-23,17.303
2020-12-24,17.415
2020-12-25,17.415
2020-12-26,17.415
2020-12-27,17.415
2020-12-28,17.577
2020-12-29,17.388
2020-12-30,17.405
2020-12-31,17.553
2021-01-01,17.553
2021-01-02,17.553
2021-01-03,17.553
2021-01-04,17.092
2021-01-05,17.149
2021-01-06,17.528
2021-01-07,17.571
2021-01-08,17.653
2021-01-09,17.653
2021-01-10,17.653
2021-01-11,17.421
2021-01-12,17.326
2021-01-13,17.297
2021-01-14,17.064
2021-01-15,17.076
2021-01-16,17.076
2021-01-17,17.076
2021-01-18,17.076
2021-01-19,17.119
2021-01-20,17.125
2021-01-21,17.055
2021-01-22,17.171
2021-01-23,17.171
2021-01-24,17.171
2021-01-25,16.997
2021-01-26,16.961
2021-01-27,16.516
2021-01-28,16.687
2021-01-29,16.57
2021-01-30,16.57
2021-01-31,16.57
2021-02-01,16.684
2021-02-02,16.82
2021-02-03,16.703
2021-02-04,16.831
2021-02-05,16.928
2021-02-06,16.928
2021-02-07,16.928
2021-02-08,17.025
2021-02-09,16.901
2021-02-10,16.922
2021-02-11,16.852
2021-02-12,16.857
2021-02-13,16.857
2021-02-14,16.857
2021-02-15,16.857
2021-02-16,16.76
2021-02-17,16.702
2021-02-18,16.884
2021-02-19,16.384
2021-02-20,16.384
2021-02-21,16.384
2021-02-22,16.227
2021-02-23,16.133
2021-02-24,16.419
2021-02-25,16.478
2021-02-26,16.276
2021-02-27,16.276
2021-02-28,16.276
2021-03-01,16.509
2021-03-02,16.78
2021-03-03,16.153
2021-03-04,17.276
2021-03-05,17.749
2021-03-06,17.749
2021-03-07,17.749
2021-03-08,18.205
2021-03-09,17.886
2021-03-10,18.199
2021-03-11,18.031
2021-03-12,18.3
2021-03-13,18.3
2021-03-14,18.3
2021-03-15,18.425
2021-03-16,18.468
2021-03-17,17.879
2021-03-18,18.317
2021-03-19,18.267
2021-03-20,18.267
2021-03-21,18.267
2021-03-22,18.538
2021-03-23,18.647
2021-03-24,18.755
2021-03-25,19.148
2021-03-26,19.504
2021-03-27,19.504
2021-03-28,19.504
