,MTZ US Equity
,BEST_PE_RATIO
2020-01-01,8.647
2020-01-02,8.584
2020-01-03,8.592
2020-01-04,8.592
2020-01-05,8.592
2020-01-06,8.671
2020-01-07,8.54
2020-01-08,8.516
2020-01-09,8.387
2020-01-10,8.317
2020-01-11,8.317
2020-01-12,8.317
2020-01-13,8.402
2020-01-14,8.536
2020-01-15,8.528
2020-01-16,8.6
2020-01-17,8.592
2020-01-18,8.592
2020-01-19,8.592
2020-01-20,8.592
2020-01-21,8.534
2020-01-22,8.558
2020-01-23,8.426
2020-01-24,8.213
2020-01-25,8.213
2020-01-26,8.213
2020-01-27,8.063
2020-01-28,7.885
2020-01-29,7.844
2020-01-30,7.88
2020-01-31,7.783
2020-02-01,7.783
2020-02-02,7.783
2020-02-03,7.78
2020-02-04,7.856
2020-02-05,7.91
2020-02-06,7.733
2020-02-07,7.663
2020-02-08,7.663
2020-02-09,7.663
2020-02-10,7.629
2020-02-11,8.019
2020-02-12,8.159
2020-02-13,8.187
2020-02-14,8.154
2020-02-15,8.154
2020-02-16,8.154
2020-02-17,8.154
2020-02-18,8.162
2020-02-19,8.278
2020-02-20,8.29
2020-02-21,8.302
2020-02-22,8.302
2020-02-23,8.302
2020-02-24,7.906
2020-02-25,7.547
2020-02-26,7.183
2020-02-27,7.059
2020-02-28,6.615
2020-02-29,6.615
2020-03-01,6.615
2020-03-02,6.834
2020-03-03,6.644
2020-03-04,6.864
2020-03-05,6.57
2020-03-06,6.248
2020-03-07,6.248
2020-03-08,6.248
2020-03-09,5.085
2020-03-10,5.044
2020-03-11,4.558
2020-03-12,3.594
2020-03-13,3.841
2020-03-14,3.841
2020-03-15,3.841
2020-03-16,3.72
2020-03-17,3.57
2020-03-18,3.148
2020-03-19,3.675
2020-03-20,3.604
2020-03-21,3.604
2020-03-22,3.604
2020-03-23,3.504
2020-03-24,3.863
2020-03-25,3.989
2020-03-26,4.27
2020-03-27,3.976
2020-03-28,3.976
2020-03-29,3.976
2020-03-30,4.171
2020-03-31,4.411
2020-04-01,3.896
2020-04-02,4.151
2020-04-03,4.098
2020-04-04,4.098
2020-04-05,4.098
2020-04-06,4.472
2020-04-07,4.686
2020-04-08,5.077
2020-04-09,5.228
2020-04-10,5.228
2020-04-11,5.228
2020-04-12,5.228
2020-04-13,4.896
2020-04-14,4.848
2020-04-15,4.48
2020-04-16,4.477
2020-04-17,4.69
2020-04-18,4.69
2020-04-19,4.69
2020-04-20,4.337
2020-04-21,4.132
2020-04-22,4.139
2020-04-23,4.375
2020-04-24,4.478
2020-04-25,4.478
2020-04-26,4.478
2020-04-27,4.642
2020-04-28,4.84
2020-04-29,5.112
2020-04-30,4.838
2020-05-01,5.004
2020-05-02,5.004
2020-05-03,5.004
2020-05-04,4.728
2020-05-05,4.778
2020-05-06,4.602
2020-05-07,4.704
2020-05-08,4.919
2020-05-09,4.919
2020-05-10,4.919
2020-05-11,4.716
2020-05-12,4.377
2020-05-13,4.182
2020-05-14,4.372
2020-05-15,4.464
2020-05-16,4.464
2020-05-17,4.464
2020-05-18,4.938
2020-05-19,4.943
2020-05-20,5.074
2020-05-21,4.984
2020-05-22,4.916
2020-05-23,4.916
2020-05-24,4.916
2020-05-25,4.916
2020-05-26,5.412
2020-05-27,5.611
2020-05-28,5.323
2020-05-29,5.276
2020-05-30,5.276
2020-05-31,5.276
2020-06-01,5.492
2020-06-02,5.761
2020-06-03,5.951
2020-06-04,6.008
2020-06-05,6.344
2020-06-06,6.344
2020-06-07,6.344
2020-06-08,6.232
2020-06-09,5.981
2020-06-10,5.643
2020-06-11,5.055
2020-06-12,5.257
2020-06-13,5.257
2020-06-14,5.257
2020-06-15,5.508
2020-06-16,6.066
2020-06-17,5.861
2020-06-18,5.783
2020-06-19,6.031
2020-06-20,6.031
2020-06-21,6.031
2020-06-22,6.117
2020-06-23,6.112
2020-06-24,5.62
2020-06-25,5.858
2020-06-26,5.85
2020-06-27,5.85
2020-06-28,5.85
2020-06-29,6.003
2020-06-30,6.047
2020-07-01,5.827
2020-07-02,5.879
2020-07-03,5.879
2020-07-04,5.879
2020-07-05,5.879
2020-07-06,5.752
2020-07-07,5.42
2020-07-08,5.346
2020-07-09,5.005
2020-07-10,5.131
2020-07-11,5.131
2020-07-12,5.131
2020-07-13,5.125
