,ES US Equity
,BEST_PE_RATIO
2020-01-01,
2020-01-02,
2020-01-03,
2020-01-04,
2020-01-05,
2020-01-06,
2020-01-07,
2020-01-08,
2020-01-09,
2020-01-10,
2020-01-11,
2020-01-12,
2020-01-13,
2020-01-14,
2020-01-15,16.209
2020-01-16,16.29
2020-01-17,16.756
2020-01-18,16.756
2020-01-19,16.756
2020-01-20,16.756
2020-01-21,16.958
2020-01-22,16.986
2020-01-23,17.23
2020-01-24,17.337
2020-01-25,17.337
2020-01-26,17.337
2020-01-27,17.254
2020-01-28,17.333
2020-01-29,17.447
2020-01-30,17.602
2020-01-31,17.456
2020-02-01,17.456
2020-02-02,17.456
2020-02-03,17.45
2020-02-04,17.109
2020-02-05,17.088
2020-02-06,17.16
2020-02-07,17.105
2020-02-08,17.105
2020-02-09,17.105
2020-02-10,17.254
2020-02-11,17.218
2020-02-12,17.233
2020-02-13,17.464
2020-02-14,17.687
2020-02-15,17.687
2020-02-16,17.687
2020-02-17,17.687
2020-02-18,17.904
2020-02-19,17.807
2020-02-20,18.062
2020-02-21,18.121
2020-02-22,18.121
2020-02-23,18.121
2020-02-24,17.979
2020-02-25,17.634
2020-02-26,17.649
2020-02-27,16.905
2020-02-28,16.327
2020-02-29,16.327
2020-03-01,16.327
2020-03-02,17.679
2020-03-03,17.555
2020-03-04,18.722
2020-03-05,18.513
2020-03-06,18.307
2020-03-07,18.307
2020-03-08,18.307
2020-03-09,17.585
2020-03-10,17.316
2020-03-11,16.589
2020-03-12,15.612
2020-03-13,16.729
2020-03-14,16.729
2020-03-15,16.729
2020-03-16,14.584
2020-03-17,16.48
2020-03-18,16.298
2020-03-19,14.56
2020-03-20,12.914
2020-03-21,12.914
2020-03-22,12.914
2020-03-23,11.759
2020-03-24,13.5
2020-03-25,13.587
2020-03-26,14.879
2020-03-27,15.299
2020-03-28,15.299
2020-03-29,15.299
2020-03-30,15.807
2020-03-31,14.779
2020-04-01,14.36
2020-04-02,14.983
2020-04-03,14.184
2020-04-04,14.184
2020-04-05,14.184
2020-04-06,15.512
2020-04-07,15.076
2020-04-08,15.75
2020-04-09,17.026
2020-04-10,17.026
2020-04-11,17.026
2020-04-12,17.026
2020-04-13,16.387
2020-04-14,17.272
2020-04-15,16.803
2020-04-16,16.967
2020-04-17,17.302
2020-04-18,17.302
2020-04-19,17.302
2020-04-20,16.392
2020-04-21,16.285
2020-04-22,16.436
2020-04-23,16.166
2020-04-24,16.167
2020-04-25,16.167
2020-04-26,16.167
2020-04-27,15.981
2020-04-28,16.102
2020-04-29,15.57
2020-04-30,15.071
2020-05-01,14.916
2020-05-02,14.916
2020-05-03,14.916
2020-05-04,15.09
2020-05-05,15.125
2020-05-06,14.242
2020-05-07,14.5
2020-05-08,14.528
2020-05-09,14.528
2020-05-10,14.528
2020-05-11,14.384
2020-05-12,14.132
2020-05-13,14.313
2020-05-14,14.431
2020-05-15,14.266
2020-05-16,14.266
2020-05-17,14.266
2020-05-18,14.903
2020-05-19,14.514
2020-05-20,14.731
2020-05-21,14.623
2020-05-22,14.556
2020-05-23,14.556
2020-05-24,14.556
2020-05-25,14.556
2020-05-26,14.24
2020-05-27,14.141
2020-05-28,14.766
2020-05-29,15.279
2020-05-30,15.279
2020-05-31,15.279
2020-06-01,15.622
2020-06-02,15.656
2020-06-03,15.866
2020-06-04,15.613
2020-06-05,15.793
2020-06-06,15.793
2020-06-07,15.793
2020-06-08,16.02
2020-06-09,15.565
2020-06-10,16.037
2020-06-11,15.682
2020-06-12,15.675
2020-06-13,15.675
2020-06-14,15.675
2020-06-15,15.665
2020-06-16,15.651
2020-06-17,15.809
2020-06-18,15.751
2020-06-19,15.411
2020-06-20,15.411
2020-06-21,15.411
2020-06-22,15.651
2020-06-23,15.504
2020-06-24,15.323
2020-06-25,15.312
2020-06-26,15.217
2020-06-27,15.217
2020-06-28,15.217
2020-06-29,15.448
2020-06-30,15.481
2020-07-01,15.823
2020-07-02,15.742
2020-07-03,15.742
2020-07-04,15.742
2020-07-05,15.742
2020-07-06,15.591
2020-07-07,15.678
2020-07-08,15.829
2020-07-09,15.723
2020-07-10,15.885
2020-07-11,15.885
2020-07-12,15.885
2020-07-13,15.978
2020-07-14,16.067
2020-07-15,15.803
2020-07-16,15.89
2020-07-17,16.266
2020-07-18,16.266
2020-07-19,16.266
2020-07-20,15.803
2020-07-21,15.905
2020-07-22,16.354
2020-07-23,16.427
2020-07-24,16.327
2020-07-25,16.327
2020-07-26,16.327
2020-07-27,16.185
2020-07-28,16.447
2020-07-29,16.511
2020-07-30,16.534
2020-07-31,16.367
2020-08-01,16.367
2020-08-02,16.367
2020-08-03,16.262
2020-08-04,16.403
2020-08-05,16.024
2020-08-06,16.009
2020-08-07,16.176
2020-08-08,16.176
2020-08-09,16.176
2020-08-10,16.091
2020-08-11,15.628
2020-08-12,15.958
2020-08-13,15.96
2020-08-14,15.843
2020-08-15,15.843
2020-08-16,15.843
2020-08-17,15.899
2020-08-18,15.805
2020-08-19,15.672
2020-08-20,15.574
2020-08-21,15.732
2020-08-22,15.732
2020-08-23,15.732
2020-08-24,15.612
2020-08-25,15.439
2020-08-26,15.272
2020-08-27,15.321
2020-08-28,15.41
2020-08-29,15.41
2020-08-30,15.41
2020-08-31,15.581
2020-09-01,15.208
2020-09-02,15.719
2020-09-03,15.648
2020-09-04,15.648
2020-09-05,15.648
