,DK US Equity
,BEST_PE_RATIO
2020-01-01,
2020-01-02,
2020-01-03,
2020-01-04,
2020-01-05,
2020-01-06,
2020-01-07,
2020-01-08,
2020-01-09,
2020-01-10,
2020-01-11,
2020-01-12,
2020-01-13,
2020-01-14,24.186
2020-01-15,23.144
2020-01-16,23.196
2020-01-17,23.004
2020-01-18,23.004
2020-01-19,23.004
2020-01-20,23.004
2020-01-21,22.568
2020-01-22,22.531
2020-01-23,22.257
2020-01-24,22.56
2020-01-25,22.56
2020-01-26,22.56
2020-01-27,21.4
2020-01-28,21.585
2020-01-29,21.43
2020-01-30,21.082
2020-01-31,20.292
2020-02-01,20.292
2020-02-02,20.292
2020-02-03,19.575
2020-02-04,19.582
2020-02-05,20.735
2020-02-06,20.602
2020-02-07,20.898
2020-02-08,20.898
2020-02-09,20.898
2020-02-10,21.245
2020-02-11,20.986
2020-02-12,21.171
2020-02-13,21.26
2020-02-14,20.979
2020-02-15,20.979
2020-02-16,20.979
2020-02-17,20.979
2020-02-18,20.107
2020-02-19,20.321
2020-02-20,20.617
2020-02-21,20.89
2020-02-22,20.89
2020-02-23,20.89
2020-02-24,19.7
2020-02-25,18.54
2020-02-26,16.42
2020-02-27,60.21
2020-02-28,63.195
2020-02-29,63.195
2020-03-01,63.195
2020-03-02,60.742
2020-03-03,54.949
2020-03-04,56.397
2020-03-05,54.417
2020-03-06,51.549
2020-03-07,51.549
2020-03-08,51.549
2020-03-09,37.646
2020-03-10,38.158
2020-03-11,31.959
2020-03-12,26.632
2020-03-13,31.026
2020-03-14,31.026
2020-03-15,31.026
2020-03-16,29.581
2020-03-17,31.899
2020-03-18,32.2
2020-03-19,34.697
2020-03-20,45.38
2020-03-21,45.38
2020-03-22,45.38
2020-03-23,39.964
2020-03-24,38.429
2020-03-25,40.896
2020-03-26,42.371
2020-03-27,41.528
2020-03-28,41.528
2020-03-29,41.528
2020-03-30,48.269
2020-03-31,47.427
2020-04-01,43.725
2020-04-02,46.223
2020-04-03,46.674
2020-04-04,46.674
2020-04-05,46.674
2020-04-06,50.105
2020-04-07,52.573
2020-04-08,55.642
2020-04-09,55.642
2020-04-10,55.642
2020-04-11,55.642
2020-04-12,55.642
2020-04-13,78.362
2020-04-14,78.362
2020-04-15,78.362
2020-04-16,78.362
2020-04-17,78.362
2020-04-18,78.362
2020-04-19,78.362
2020-04-20,78.362
2020-04-21,78.362
2020-04-22,78.362
2020-04-23,78.362
2020-04-24,78.362
2020-04-25,78.362
2020-04-26,78.362
2020-04-27,78.362
2020-04-28,78.362
2020-04-29,78.362
2020-04-30,78.362
2020-05-01,78.362
2020-05-02,78.362
2020-05-03,78.362
2020-05-04,78.362
2020-05-05,78.362
2020-05-06,78.362
2020-05-07,78.362
2020-05-08,78.362
2020-05-09,78.362
2020-05-10,78.362
2020-05-11,78.362
2020-05-12,78.362
2020-05-13,78.362
2020-05-14,78.362
2020-05-15,78.362
2020-05-16,78.362
2020-05-17,78.362
2020-05-18,78.362
2020-05-19,78.362
2020-05-20,78.362
2020-05-21,78.362
2020-05-22,78.362
2020-05-23,78.362
2020-05-24,78.362
2020-05-25,78.362
2020-05-26,78.362
2020-05-27,78.362
2020-05-28,78.362
2020-05-29,78.362
2020-05-30,78.362
2020-05-31,78.362
2020-06-01,78.362
2020-06-02,78.362
2020-06-03,78.362
2020-06-04,78.362
2020-06-05,78.362
2020-06-06,78.362
2020-06-07,78.362
2020-06-08,78.362
2020-06-09,78.362
2020-06-10,78.362
2020-06-11,78.362
2020-06-12,78.362
2020-06-13,78.362
2020-06-14,78.362
2020-06-15,78.362
2020-06-16,78.362
2020-06-17,78.362
2020-06-18,78.362
2020-06-19,78.362
2020-06-20,78.362
2020-06-21,78.362
2020-06-22,78.362
2020-06-23,78.362
2020-06-24,78.362
2020-06-25,78.362
2020-06-26,78.362
2020-06-27,78.362
2020-06-28,78.362
2020-06-29,78.362
2020-06-30,78.362
2020-07-01,78.362
2020-07-02,78.362
2020-07-03,78.362
2020-07-04,78.362
2020-07-05,78.362
2020-07-06,78.362
2020-07-07,78.362
2020-07-08,78.362
2020-07-09,78.362
2020-07-10,21.51
2020-07-11,21.51
2020-07-12,21.51
2020-07-13,6.53
2020-07-14,6.638
2020-07-15,7.011
2020-07-16,6.93
2020-07-17,6.834
2020-07-18,6.834
2020-07-19,6.834
2020-07-20,6.753
2020-07-21,7.161
2020-07-22,7.084
2020-07-23,7.073
2020-07-24,6.934
2020-07-25,6.934
2020-07-26,6.934
2020-07-27,6.738
2020-07-28,6.738
2020-07-29,6.977
2020-07-30,6.746
2020-07-31,13.176
2020-08-01,13.176
2020-08-02,13.176
2020-08-03,13.417
2020-08-04,13.304
2020-08-05,11.578
2020-08-06,5.51
2020-08-07,5.772
2020-08-08,5.772
2020-08-09,5.772
2020-08-10,7.048
2020-08-11,7.199
2020-08-12,7.695
2020-08-13,7.28
2020-08-14,7.738
2020-08-15,7.738
2020-08-16,7.738
2020-08-17,7.832
2020-08-18,7.774
2020-08-19,7.947
2020-08-20,7.716
2020-08-21,7.538
2020-08-22,7.538
2020-08-23,7.538
2020-08-24,8.25
2020-08-25,8.106
2020-08-26,7.962
2020-08-27,7.904
2020-08-28,8.361
2020-08-29,8.361
2020-08-30,8.361
2020-08-31,7.567
2020-09-01,7.303
2020-09-02,7.341
2020-09-03,7.211
2020-09-04,7.125
2020-09-05,7.125
