,FE US Equity
,BEST_PE_RATIO
2020-01-01,13.832
2020-01-02,13.527
2020-01-03,13.507
2020-01-04,13.507
2020-01-05,13.507
2020-01-06,13.533
2020-01-07,13.524
2020-01-08,13.553
2020-01-09,13.624
2020-01-10,13.558
2020-01-11,13.558
2020-01-12,13.558
2020-01-13,13.595
2020-01-14,13.672
2020-01-15,13.789
2020-01-16,13.883
2020-01-17,13.437
2020-01-18,13.437
2020-01-19,13.437
2020-01-20,13.437
2020-01-21,13.503
2020-01-22,13.664
2020-01-23,13.79
2020-01-24,13.823
2020-01-25,13.823
2020-01-26,13.823
2020-01-27,13.765
2020-01-28,13.883
2020-01-29,13.96
2020-01-30,13.963
2020-01-31,13.911
2020-02-01,13.911
2020-02-02,13.911
2020-02-03,14.105
2020-02-04,14.102
2020-02-05,14.217
2020-02-06,14.143
2020-02-07,14.137
2020-02-08,14.137
2020-02-09,14.137
2020-02-10,14.081
2020-02-11,14.13
2020-02-12,14.114
2020-02-13,14.251
2020-02-14,14.32
2020-02-15,14.32
2020-02-16,14.32
2020-02-17,14.32
2020-02-18,14.331
2020-02-19,14.298
2020-02-20,14.199
2020-02-21,14.139
2020-02-22,14.139
2020-02-23,14.139
2020-02-24,13.881
2020-02-25,13.404
2020-02-26,13.242
2020-02-27,12.675
2020-02-28,12.209
2020-02-29,12.209
2020-03-01,12.209
2020-03-02,12.973
2020-03-03,12.59
2020-03-04,13.297
2020-03-05,12.921
2020-03-06,12.743
2020-03-07,12.743
2020-03-08,12.743
2020-03-09,11.77
2020-03-10,12.324
2020-03-11,11.825
2020-03-12,10.561
2020-03-13,11.307
2020-03-14,11.307
2020-03-15,11.307
2020-03-16,9.404
2020-03-17,10.997
2020-03-18,10.199
2020-03-19,9.867
2020-03-20,9.398
2020-03-21,9.398
2020-03-22,9.398
2020-03-23,9.1
2020-03-24,9.727
2020-03-25,9.733
2020-03-26,10.602
2020-03-27,10.583
2020-03-28,10.583
2020-03-29,10.583
2020-03-30,11.101
2020-03-31,10.986
2020-04-01,10.654
2020-04-02,10.967
2020-04-03,10.405
2020-04-04,10.405
2020-04-05,10.405
2020-04-06,11.339
2020-04-07,11.095
2020-04-08,11.852
2020-04-09,12.269
2020-04-10,12.269
2020-04-11,12.269
2020-04-12,12.269
2020-04-13,12.044
2020-04-14,12.466
2020-04-15,12.05
2020-04-16,12.299
2020-04-17,12.669
2020-04-18,12.669
2020-04-19,12.669
2020-04-20,12.758
2020-04-21,12.388
2020-04-22,12.68
2020-04-23,12.339
2020-04-24,11.603
2020-04-25,11.603
2020-04-26,11.603
2020-04-27,11.806
2020-04-28,11.57
2020-04-29,11.491
2020-04-30,11.198
2020-05-01,11.082
2020-05-02,11.082
2020-05-03,11.082
2020-05-04,11.177
2020-05-05,11.309
2020-05-06,10.956
2020-05-07,11.014
2020-05-08,11.12
2020-05-09,11.12
2020-05-10,11.12
2020-05-11,11.071
2020-05-12,10.847
2020-05-13,10.696
2020-05-14,10.945
2020-05-15,10.762
2020-05-16,10.762
2020-05-17,10.762
2020-05-18,11.26
2020-05-19,11.055
2020-05-20,11.033
2020-05-21,11.074
2020-05-22,11.131
2020-05-23,11.131
2020-05-24,11.131
2020-05-25,11.131
2020-05-26,11.151
2020-05-27,11.919
2020-05-28,12.303
2020-05-29,12.179
2020-05-30,12.179
2020-05-31,12.179
2020-06-01,12.323
2020-06-02,12.412
2020-06-03,12.533
2020-06-04,12.208
2020-06-05,12.47
2020-06-06,12.47
2020-06-07,12.47
2020-06-08,12.674
2020-06-09,12.36
2020-06-10,11.969
2020-06-11,11.473
2020-06-12,11.454
2020-06-13,11.454
2020-06-14,11.454
2020-06-15,11.465
2020-06-16,11.476
2020-06-17,11.403
2020-06-18,11.476
2020-06-19,11.043
2020-06-20,11.043
2020-06-21,11.043
2020-06-22,11.247
2020-06-23,10.986
2020-06-24,10.703
2020-06-25,10.632
2020-06-26,10.439
2020-06-27,10.439
2020-06-28,10.439
2020-06-29,10.762
2020-06-30,10.986
2020-07-01,11.298
2020-07-02,11.309
2020-07-03,11.309
2020-07-04,11.309
2020-07-05,11.309
2020-07-06,11.383
2020-07-07,11.403
2020-07-08,11.51
2020-07-09,11.386
2020-07-10,11.692
2020-07-11,11.692
2020-07-12,11.692
2020-07-13,11.57
2020-07-14,11.592
2020-07-15,11.564
2020-07-16,11.697
2020-07-17,11.938
2020-07-18,11.938
2020-07-19,11.938
2020-07-20,11.635
2020-07-21,9.857
2020-07-22,7.796
2020-07-23,7.886
2020-07-24,8.484
2020-07-25,8.484
2020-07-26,8.484
2020-07-27,8.455
2020-07-28,8.415
2020-07-29,8.27
2020-07-30,8.337
2020-07-31,8.374
2020-08-01,8.374
2020-08-02,8.374
2020-08-03,8.429
2020-08-04,8.559
2020-08-05,8.357
2020-08-06,8.542
2020-08-07,8.618
2020-08-08,8.618
2020-08-09,8.618
2020-08-10,8.799
2020-08-11,8.752
2020-08-12,8.744
2020-08-13,8.664
2020-08-14,8.585
2020-08-15,8.585
2020-08-16,8.585
2020-08-17,8.471
2020-08-18,8.454
2020-08-19,8.383
2020-08-20,8.302
2020-08-21,8.228
2020-08-22,8.228
2020-08-23,8.228
2020-08-24,8.287
2020-08-25,8.179
2020-08-26,8.199
2020-08-27,8.225
2020-08-28,8.287
2020-08-29,8.287
2020-08-30,8.287
2020-08-31,8.369
2020-09-01,8.272
2020-09-02,8.53
2020-09-03,8.603
2020-09-04,8.426
2020-09-05,8.426
2020-09-06,8.426
2020-09-07,8.426
2020-09-08,8.348
2020-09-09,8.351
2020-09-10,8.326
2020-09-11,8.406
2020-09-12,8.406
2020-09-13,8.406
2020-09-14,8.5
2020-09-15,8.411
2020-09-16,8.529
2020-09-17,8.076
2020-09-18,7.849
2020-09-19,7.849
2020-09-20,7.849
2020-09-21,7.759
2020-09-22,7.743
2020-09-23,7.475
2020-09-24,7.632
2020-09-25,7.751
2020-09-26,7.751
2020-09-27,7.751
2020-09-28,7.71
2020-09-29,7.751
2020-09-30,7.781
2020-10-01,7.794
2020-10-02,8.0
2020-10-03,8.0
2020-10-04,8.0
2020-10-05,8.106
2020-10-06,8.242
2020-10-07,8.282
2020-10-08,8.477
2020-10-09,8.461
2020-10-10,8.461
2020-10-11,8.461
2020-10-12,8.472
2020-10-13,8.485
2020-10-14,8.518
2020-10-15,8.54
2020-10-16,8.588
2020-10-17,8.588
2020-10-18,8.588
2020-10-19,8.621
2020-10-20,8.648
2020-10-21,8.784
2020-10-22,8.974
2020-10-23,9.048
2020-10-24,9.048
2020-10-25,9.048
2020-10-26,9.053
2020-10-27,9.072
2020-10-28,8.629
2020-10-29,8.643
2020-10-30,8.075
2020-10-31,8.075
2020-11-01,8.075
2020-11-02,8.132
2020-11-03,8.196
2020-11-04,7.908
2020-11-05,8.107
2020-11-06,8.018
2020-11-07,8.018
2020-11-08,8.018
2020-11-09,8.142
2020-11-10,8.085
2020-11-11,8.217
2020-11-12,8.09
2020-11-13,8.14
2020-11-14,8.14
2020-11-15,8.14
2020-11-16,7.861
2020-11-17,7.927
2020-11-18,7.875
2020-11-19,8.01
2020-11-20,7.723
2020-11-21,7.723
2020-11-22,7.723
2020-11-23,7.716
2020-11-24,7.424
2020-11-25,7.396
2020-11-26,7.396
2020-11-27,7.441
