,LYB US Equity
,BEST_PE_RATIO
2020-01-01,5.75
2020-01-02,5.712
2020-01-03,5.571
2020-01-04,5.571
2020-01-05,5.571
2020-01-06,5.557
2020-01-07,5.533
2020-01-08,5.51
2020-01-09,5.512
2020-01-10,5.442
2020-01-11,5.442
2020-01-12,5.442
2020-01-13,5.55
2020-01-14,5.594
2020-01-15,5.549
2020-01-16,5.569
2020-01-17,5.599
2020-01-18,5.599
2020-01-19,5.599
2020-01-20,5.599
2020-01-21,5.44
2020-01-22,5.273
2020-01-23,5.248
2020-01-24,5.17
2020-01-25,5.17
2020-01-26,5.17
2020-01-27,4.997
2020-01-28,3.65
2020-01-29,3.69
2020-01-30,3.673
2020-01-31,3.427
2020-02-01,3.427
2020-02-02,3.427
2020-02-03,3.412
2020-02-04,3.522
2020-02-05,3.624
2020-02-06,3.594
2020-02-07,3.538
2020-02-08,3.538
2020-02-09,3.538
2020-02-10,3.531
2020-02-11,3.619
2020-02-12,3.69
2020-02-13,3.598
2020-02-14,3.56
2020-02-15,3.56
2020-02-16,3.56
2020-02-17,3.56
2020-02-18,3.505
2020-02-19,3.532
2020-02-20,3.592
2020-02-21,3.573
2020-02-22,3.573
2020-02-23,3.573
2020-02-24,3.433
2020-02-25,3.25
2020-02-26,3.206
2020-02-27,3.056
2020-02-28,3.126
2020-02-29,3.126
2020-03-01,3.126
2020-03-02,3.26
2020-03-03,3.16
2020-03-04,3.291
2020-03-05,3.233
2020-03-06,3.149
2020-03-07,3.149
2020-03-08,3.149
2020-03-09,2.608
2020-03-10,2.613
2020-03-11,2.362
2020-03-12,3.736
2020-03-13,3.799
2020-03-14,3.799
2020-03-15,3.799
2020-03-16,2.83
2020-03-17,3.384
2020-03-18,3.29
2020-03-19,3.506
2020-03-20,3.406
2020-03-21,3.406
2020-03-22,3.406
2020-03-23,3.284
2020-03-24,3.673
2020-03-25,4.225
2020-03-26,4.374
2020-03-27,4.006
2020-03-28,4.006
2020-03-29,4.006
2020-03-30,4.021
2020-03-31,4.025
2020-04-01,3.652
2020-04-02,3.724
2020-04-03,3.739
2020-04-04,3.739
2020-04-05,3.739
2020-04-06,4.045
2020-04-07,4.189
2020-04-08,4.698
2020-04-09,4.991
2020-04-10,4.991
2020-04-11,4.991
2020-04-12,4.991
2020-04-13,4.916
2020-04-14,4.967
2020-04-15,4.464
2020-04-16,4.188
2020-04-17,4.421
2020-04-18,4.421
2020-04-19,4.421
2020-04-20,4.1
2020-04-21,3.95
2020-04-22,4.075
2020-04-23,4.182
2020-04-24,4.239
2020-04-25,4.239
2020-04-26,4.239
2020-04-27,4.439
2020-04-28,4.715
2020-04-29,5.076
2020-04-30,4.908
2020-05-01,4.672
2020-05-02,4.672
2020-05-03,4.672
2020-05-04,4.501
2020-05-05,4.543
2020-05-06,4.316
2020-05-07,4.45
2020-05-08,4.675
2020-05-09,4.675
2020-05-10,4.675
2020-05-11,4.643
2020-05-12,4.626
2020-05-13,4.355
2020-05-14,4.413
2020-05-15,4.439
2020-05-16,4.439
2020-05-17,4.439
2020-05-18,4.917
2020-05-19,4.809
2020-05-20,5.001
2020-05-21,4.991
2020-05-22,5.004
2020-05-23,5.004
2020-05-24,5.004
2020-05-25,5.004
2020-05-26,5.608
2020-05-27,5.574
2020-05-28,5.333
2020-05-29,5.28
2020-05-30,5.28
2020-05-31,5.28
2020-06-01,5.411
2020-06-02,5.664
2020-06-03,5.839
2020-06-04,6.124
2020-06-05,6.29
2020-06-06,6.29
2020-06-07,6.29
2020-06-08,6.418
2020-06-09,6.385
2020-06-10,6.181
2020-06-11,5.368
2020-06-12,5.596
2020-06-13,5.596
2020-06-14,5.596
2020-06-15,5.652
2020-06-16,5.802
2020-06-17,5.614
2020-06-18,5.624
2020-06-19,5.59
2020-06-20,5.59
2020-06-21,5.59
2020-06-22,5.604
2020-06-23,5.544
2020-06-24,5.094
2020-06-25,5.377
2020-06-26,5.324
2020-06-27,5.324
2020-06-28,5.324
2020-06-29,5.457
2020-06-30,5.521
2020-07-01,5.512
2020-07-02,5.625
2020-07-03,5.625
2020-07-04,5.625
2020-07-05,5.625
2020-07-06,5.734
2020-07-07,5.67
2020-07-08,5.532
2020-07-09,5.302
2020-07-10,5.464
2020-07-11,5.464
2020-07-12,5.464
2020-07-13,5.489
2020-07-14,5.625
2020-07-15,5.603
2020-07-16,5.603
2020-07-17,5.603
2020-07-18,5.603
2020-07-19,5.603
2020-07-20,5.603
2020-07-21,5.603
2020-07-22,5.603
2020-07-23,5.603
2020-07-24,5.603
2020-07-25,5.603
2020-07-26,5.603
2020-07-27,5.603
2020-07-28,5.603
2020-07-29,5.603
2020-07-30,5.603
2020-07-31,5.603
2020-08-01,5.603
2020-08-02,5.603
2020-08-03,5.603
2020-08-04,5.603
2020-08-05,5.603
2020-08-06,5.603
2020-08-07,5.603
2020-08-08,5.603
2020-08-09,5.603
2020-08-10,5.603
2020-08-11,5.603
2020-08-12,5.603
2020-08-13,5.603
2020-08-14,6.415
2020-08-15,6.415
2020-08-16,6.415
2020-08-17,6.371
2020-08-18,6.362
2020-08-19,6.287
2020-08-20,6.131
2020-08-21,6.105
2020-08-22,6.105
2020-08-23,6.105
2020-08-24,6.469
2020-08-25,6.391
2020-08-26,6.443
2020-08-27,6.407
2020-08-28,6.433
2020-08-29,6.433
2020-08-30,6.433
2020-08-31,6.181
2020-09-01,6.463
2020-09-02,6.749
2020-09-03,6.65
2020-09-04,6.803
2020-09-05,6.803
2020-09-06,6.803
2020-09-07,6.803
2020-09-08,6.616
2020-09-09,6.862
2020-09-10,6.697
2020-09-11,7.015
2020-09-12,7.015
2020-09-13,7.015
2020-09-14,7.221
2020-09-15,7.226
2020-09-16,7.263
2020-09-17,7.543
2020-09-18,7.458
2020-09-19,7.458
2020-09-20,7.458
2020-09-21,6.939
2020-09-22,6.939
2020-09-23,6.607
2020-09-24,6.629
2020-09-25,6.572
2020-09-26,6.572
2020-09-27,6.572
2020-09-28,6.722
2020-09-29,6.635
2020-09-30,6.654
2020-10-01,6.433
2020-10-02,6.82
2020-10-03,6.82
2020-10-04,6.82
2020-10-05,7.118
2020-10-06,7.174
2020-10-07,7.496
2020-10-08,7.482
2020-10-09,7.537
2020-10-10,7.537
2020-10-11,7.537
2020-10-12,7.311
2020-10-13,7.24
2020-10-14,7.363
2020-10-15,7.268
2020-10-16,7.27
2020-10-17,7.27
2020-10-18,7.27
2020-10-19,7.274
2020-10-20,7.347
2020-10-21,7.23
2020-10-22,7.276
2020-10-23,7.259
2020-10-24,7.259
2020-10-25,7.259
2020-10-26,7.121
2020-10-27,6.926
2020-10-28,6.545
2020-10-29,6.817
2020-10-30,6.462
2020-10-31,6.462
2020-11-01,6.462
2020-11-02,7.348
2020-11-03,7.445
2020-11-04,7.108
2020-11-05,7.583
2020-11-06,7.425
2020-11-07,7.425
2020-11-08,7.425
2020-11-09,8.112
2020-11-10,8.314
2020-11-11,7.884
2020-11-12,7.596
2020-11-13,7.231
2020-11-14,7.231
2020-11-15,7.231
2020-11-16,7.517
2020-11-17,7.645
2020-11-18,7.755
2020-11-19,7.758
2020-11-20,7.703
2020-11-21,7.703
2020-11-22,7.703
2020-11-23,8.035
2020-11-24,8.571
2020-11-25,8.428
2020-11-26,8.428
2020-11-27,8.388
2020-11-28,8.388
2020-11-29,8.388
2020-11-30,8.124
2020-12-01,8.187
2020-12-02,8.203
2020-12-03,8.175
2020-12-04,8.521
2020-12-05,8.521
2020-12-06,8.521
2020-12-07,8.316
2020-12-08,8.391
2020-12-09,8.326
2020-12-10,8.295
2020-12-11,8.322
2020-12-12,8.322
2020-12-13,8.322
2020-12-14,8.191
2020-12-15,8.37
2020-12-16,8.377
2020-12-17,8.473
2020-12-18,8.551
2020-12-19,8.551
2020-12-20,8.551
2020-12-21,8.5
2020-12-22,8.446
2020-12-23,8.523
2020-12-24,8.521
2020-12-25,8.521
2020-12-26,8.521
2020-12-27,8.521
2020-12-28,8.52
2020-12-29,8.415
2020-12-30,8.564
2020-12-31,8.619
2021-01-01,8.619
2021-01-02,8.619
2021-01-03,8.619
2021-01-04,8.397
2021-01-05,8.683
2021-01-06,9.095
2021-01-07,9.161
2021-01-08,9.093
2021-01-09,9.093
2021-01-10,9.093
2021-01-11,9.115
2021-01-12,9.324
2021-01-13,9.13
2021-01-14,9.292
2021-01-15,8.92
2021-01-16,8.92
2021-01-17,8.92
2021-01-18,8.92
2021-01-19,8.818
2021-01-20,8.87
2021-01-21,8.705
2021-01-22,8.196
2021-01-23,8.196
2021-01-24,8.196
2021-01-25,8.062
2021-01-26,7.875
2021-01-27,7.711
2021-01-28,7.817
2021-01-29,7.684
2021-01-30,7.684
2021-01-31,7.684
2021-02-01,7.109
2021-02-02,7.28
2021-02-03,7.312
2021-02-04,7.449
2021-02-05,7.642
2021-02-06,7.642
2021-02-07,7.642
2021-02-08,7.828
2021-02-09,7.761
2021-02-10,7.823
2021-02-11,7.77
2021-02-12,7.878
2021-02-13,7.878
2021-02-14,7.878
2021-02-15,7.878
2021-02-16,8.03
2021-02-17,7.65
2021-02-18,7.424
2021-02-19,7.839
2021-02-20,7.839
2021-02-21,7.839
2021-02-22,8.05
2021-02-23,8.056
2021-02-24,8.395
2021-02-25,8.166
2021-02-26,8.063
2021-02-27,8.063
2021-02-28,8.063
2021-03-01,8.317
2021-03-02,8.439
2021-03-03,8.432
2021-03-04,8.304
2021-03-05,8.523
2021-03-06,8.523
2021-03-07,8.523
2021-03-08,8.202
2021-03-09,8.082
2021-03-10,8.213
2021-03-11,8.002
2021-03-12,7.945
2021-03-13,7.945
2021-03-14,7.945
2021-03-15,7.865
2021-03-16,7.699
2021-03-17,7.945
2021-03-18,7.899
2021-03-19,7.802
2021-03-20,7.802
2021-03-21,7.802
2021-03-22,7.746
2021-03-23,7.327
2021-03-24,7.463
2021-03-25,7.647
2021-03-26,7.715
2021-03-27,7.715
2021-03-28,7.715
2021-03-29,7.617
2021-03-30,7.675
2021-03-31,7.603
2021-04-01,7.713
2021-04-02,7.713
2021-04-03,7.713
2021-04-04,7.713
2021-04-05,7.615
2021-04-06,7.658
2021-04-07,7.725
2021-04-08,7.68
2021-04-09,7.761
2021-04-10,7.761
2021-04-11,7.761
2021-04-12,7.857
2021-04-13,7.797
2021-04-14,7.974
2021-04-15,7.986
2021-04-16,8.019
2021-04-17,8.019
2021-04-18,8.019
2021-04-19,7.993
2021-04-20,7.802
2021-04-21,8.062
2021-04-22,7.605
2021-04-23,7.785
2021-04-24,7.785
2021-04-25,7.785
2021-04-26,7.825
2021-04-27,7.822
2021-04-28,7.931
2021-04-29,8.015
2021-04-30,8.018
2021-05-01,8.018
2021-05-02,8.018
2021-05-03,8.337
2021-05-04,8.449
2021-05-05,8.66
2021-05-06,8.821
2021-05-07,8.816
2021-05-08,8.816
2021-05-09,8.816
2021-05-10,8.768
2021-05-11,8.698
2021-05-12,8.507
2021-05-13,8.544
2021-05-14,8.817
2021-05-15,8.817
2021-05-16,8.817
2021-05-17,8.926
2021-05-18,8.757
2021-05-19,8.531
2021-05-20,8.487
2021-05-21,8.541
2021-05-22,8.541
2021-05-23,8.541
2021-05-24,8.626
2021-05-25,8.494
2021-05-26,8.575
2021-05-27,8.777
2021-05-28,8.705
2021-05-29,8.705
2021-05-30,8.705
2021-05-31,8.705
2021-06-01,9.033
2021-06-02,9.033
2021-06-03,9.033
2021-06-04,9.033
2021-06-05,9.033
2021-06-06,9.033
2021-06-07,9.033
2021-06-08,9.033
2021-06-09,9.033
2021-06-10,9.033
2021-06-11,9.033
2021-06-12,9.033
2021-06-13,9.033
2021-06-14,9.033
2021-06-15,9.033
2021-06-16,9.033
2021-06-17,9.033
2021-06-18,9.033
2021-06-19,9.033
2021-06-20,9.033
2021-06-21,9.033
2021-06-22,9.033
2021-06-23,9.033
2021-06-24,9.033
2021-06-25,9.033
2021-06-26,9.033
2021-06-27,9.033
2021-06-28,9.033
2021-06-29,9.033
2021-06-30,9.033
2021-07-01,9.033
2021-07-02,9.033
2021-07-03,9.033
2021-07-04,9.033
2021-07-05,9.033
2021-07-06,9.033
2021-07-07,9.033
2021-07-08,9.033
2021-07-09,9.033
2021-07-10,9.033
2021-07-11,9.033
2021-07-12,9.033
2021-07-13,9.033
2021-07-14,9.033
2021-07-15,9.033
2021-07-16,9.033
2021-07-17,9.033
2021-07-18,9.033
2021-07-19,9.033
2021-07-20,9.033
2021-07-21,9.033
2021-07-22,9.033
2021-07-23,9.033
2021-07-24,9.033
2021-07-25,9.033
2021-07-26,9.033
2021-07-27,9.033
2021-07-28,9.033
2021-07-29,9.033
2021-07-30,9.033
2021-07-31,9.033
2021-08-01,9.033
2021-08-02,9.033
2021-08-03,9.033
2021-08-04,9.033
2021-08-05,9.033
2021-08-06,9.033
2021-08-07,9.033
2021-08-08,9.033
2021-08-09,9.033
2021-08-10,9.033
2021-08-11,9.033
2021-08-12,9.033
2021-08-13,9.033
2021-08-14,9.033
2021-08-15,9.033
2021-08-16,9.033
2021-08-17,9.033
2021-08-18,9.033
2021-08-19,9.033
2021-08-20,9.033
2021-08-21,9.033
2021-08-22,9.033
2021-08-23,9.033
2021-08-24,9.033
2021-08-25,9.033
2021-08-26,9.033
2021-08-27,9.033
2021-08-28,9.033
2021-08-29,9.033
2021-08-30,9.033
2021-08-31,9.033
2021-09-01,9.033
2021-09-02,9.033
2021-09-03,9.033
2021-09-04,9.033
2021-09-05,9.033
2021-09-06,9.033
2021-09-07,9.033
2021-09-08,9.033
2021-09-09,9.033
2021-09-10,9.033
2021-09-11,9.033
2021-09-12,9.033
2021-09-13,9.033
2021-09-14,9.033
2021-09-15,9.033
2021-09-16,9.033
2021-09-17,9.033
2021-09-18,9.033
2021-09-19,9.033
2021-09-20,9.033
2021-09-21,9.033
2021-09-22,9.033
2021-09-23,9.033
2021-09-24,9.033
2021-09-25,9.033
2021-09-26,9.033
2021-09-27,9.033
2021-09-28,9.033
2021-09-29,9.033
2021-09-30,9.033
2021-10-01,9.033
2021-10-02,9.033
2021-10-03,9.033
2021-10-04,9.033
2021-10-05,7.445
2021-10-06,7.372
2021-10-07,7.54
2021-10-08,7.539
2021-10-09,7.539
2021-10-10,7.539
2021-10-11,7.498
2021-10-12,7.455
2021-10-13,7.411
2021-10-14,7.569
2021-10-15,7.628
2021-10-16,7.628
2021-10-17,7.628
2021-10-18,7.576
2021-10-19,7.59
2021-10-20,7.656
2021-10-21,7.432
2021-10-22,7.496
2021-10-23,7.496
2021-10-24,7.496
2021-10-25,7.513
2021-10-26,7.515
2021-10-27,7.27
2021-10-28,7.415
2021-10-29,6.518
2021-10-30,6.518
2021-10-31,6.518
2021-11-01,6.621
2021-11-02,6.627
2021-11-03,6.571
2021-11-04,6.396
2021-11-05,6.529
2021-11-06,6.529
2021-11-07,6.529
2021-11-08,6.55
2021-11-09,6.518
2021-11-10,6.519
2021-11-11,6.65
2021-11-12,6.699
2021-11-13,6.699
2021-11-14,6.699
2021-11-15,6.687
2021-11-16,6.531
2021-11-17,6.46
2021-11-18,6.409
2021-11-19,6.278
2021-11-20,6.278
2021-11-21,6.278
2021-11-22,6.516
2021-11-23,6.562
2021-11-24,6.43
2021-11-25,6.43
2021-11-26,6.359
2021-11-27,6.359
2021-11-28,6.359
2021-11-29,6.34
2021-11-30,6.195
2021-12-01,5.068
2021-12-02,4.526
2021-12-03,4.621
2021-12-04,4.621
2021-12-05,4.621
2021-12-06,4.703
2021-12-07,5.157
2021-12-08,5.18
2021-12-09,5.148
2021-12-10,5.146
2021-12-11,5.146
2021-12-12,5.146
2021-12-13,5.017
2021-12-14,5.103
2021-12-15,4.982
2021-12-16,5.1
2021-12-17,5.023
2021-12-18,5.023
2021-12-19,5.023
2021-12-20,4.974
2021-12-21,5.055
2021-12-22,5.038
2021-12-23,5.183
2021-12-24,5.183
2021-12-25,5.183
2021-12-26,5.183
2021-12-27,5.247
2021-12-28,5.307
2021-12-29,5.304
2021-12-30,5.276
2021-12-31,5.279
2022-01-01,5.279
2022-01-02,5.279
2022-01-03,5.066
2022-01-04,5.273
2022-01-05,5.236
2022-01-06,5.131
2022-01-07,5.179
2022-01-08,5.179
2022-01-09,5.179
2022-01-10,5.189
2022-01-11,5.27
2022-01-12,5.3
2022-01-13,5.379
2022-01-14,5.455
2022-01-15,5.455
2022-01-16,5.455
2022-01-17,5.455
