,AVNT US Equity
,BEST_PE_RATIO
2020-01-01,6.287
2020-01-02,6.287
2020-01-03,6.287
2020-01-04,6.287
2020-01-05,6.287
2020-01-06,6.287
2020-01-07,6.287
2020-01-08,6.287
2020-01-09,6.287
2020-01-10,6.287
2020-01-11,6.287
2020-01-12,6.287
2020-01-13,6.287
2020-01-14,6.287
2020-01-15,6.287
2020-01-16,6.287
2020-01-17,6.287
2020-01-18,6.287
2020-01-19,6.287
2020-01-20,6.287
2020-01-21,6.287
2020-01-22,6.287
2020-01-23,6.287
2020-01-24,6.287
2020-01-25,6.287
2020-01-26,6.287
2020-01-27,6.287
2020-01-28,6.287
2020-01-29,12.106
2020-01-30,11.68
2020-01-31,11.283
2020-02-01,11.283
2020-02-02,11.283
2020-02-03,11.565
2020-02-04,11.714
2020-02-05,11.731
2020-02-06,11.116
2020-02-07,10.929
2020-02-08,10.929
2020-02-09,10.929
2020-02-10,10.705
2020-02-11,10.851
2020-02-12,10.875
2020-02-13,10.82
2020-02-14,10.708
2020-02-15,10.708
2020-02-16,10.708
2020-02-17,10.708
2020-02-18,10.552
2020-02-19,10.569
2020-02-20,10.548
2020-02-21,10.065
2020-02-22,10.065
2020-02-23,10.065
2020-02-24,9.657
2020-02-25,8.845
2020-02-26,8.763
2020-02-27,8.297
2020-02-28,8.419
2020-02-29,8.419
2020-03-01,8.419
2020-03-02,8.538
2020-03-03,8.236
2020-03-04,8.6
2020-03-05,8.314
2020-03-06,7.93
2020-03-07,7.93
2020-03-08,7.93
2020-03-09,7.199
2020-03-10,7.508
2020-03-11,6.855
2020-03-12,5.869
2020-03-13,6.427
2020-03-14,6.427
2020-03-15,6.427
2020-03-16,5.252
2020-03-17,5.139
2020-03-18,3.482
2020-03-19,4.596
2020-03-20,5.008
2020-03-21,5.008
2020-03-22,5.008
2020-03-23,5.232
2020-03-24,5.232
2020-03-25,5.232
2020-03-26,5.232
2020-03-27,5.232
2020-03-28,5.232
2020-03-29,5.232
2020-03-30,5.232
2020-03-31,5.232
2020-04-01,5.232
2020-04-02,5.232
2020-04-03,5.232
2020-04-04,5.232
2020-04-05,5.232
2020-04-06,5.232
2020-04-07,5.232
2020-04-08,5.232
2020-04-09,5.232
2020-04-10,5.232
2020-04-11,5.232
2020-04-12,5.232
2020-04-13,5.232
2020-04-14,5.232
2020-04-15,5.232
2020-04-16,5.232
2020-04-17,5.232
2020-04-18,5.232
2020-04-19,5.232
2020-04-20,5.232
2020-04-21,5.232
2020-04-22,8.833
2020-04-23,9.549
2020-04-24,9.442
2020-04-25,9.442
2020-04-26,9.442
2020-04-27,9.877
2020-04-28,9.926
2020-04-29,10.833
2020-04-30,10.348
2020-05-01,9.891
2020-05-02,9.891
2020-05-03,9.891
2020-05-04,9.78
2020-05-05,9.815
2020-05-06,9.553
2020-05-07,9.633
2020-05-08,10.157
2020-05-09,10.157
2020-05-10,10.157
2020-05-11,10.024
2020-05-12,9.566
2020-05-13,9.091
2020-05-14,9.358
2020-05-15,9.438
2020-05-16,9.438
2020-05-17,9.438
2020-05-18,10.437
2020-05-19,9.984
2020-05-20,10.446
2020-05-21,10.633
2020-05-22,10.708
2020-05-23,10.708
2020-05-24,10.708
2020-05-25,10.708
2020-05-26,10.811
2020-05-27,11.455
2020-05-28,10.997
2020-05-29,11.01
2020-05-30,11.01
2020-05-31,11.01
2020-06-01,11.37
2020-06-02,11.904
2020-06-03,12.17
2020-06-04,12.272
2020-06-05,12.819
2020-06-06,12.819
2020-06-07,12.819
2020-06-08,13.01
2020-06-09,12.734
2020-06-10,12.246
2020-06-11,11.168
2020-06-12,11.593
2020-06-13,11.593
2020-06-14,11.593
2020-06-15,11.651
2020-06-16,11.705
2020-06-17,11.705
2020-06-18,11.705
2020-06-19,11.705
2020-06-20,11.705
2020-06-21,11.705
2020-06-22,11.705
2020-06-23,11.705
2020-06-24,11.705
2020-06-25,11.705
2020-06-26,11.705
2020-06-27,11.705
2020-06-28,11.705
2020-06-29,11.705
2020-06-30,11.705
2020-07-01,11.705
2020-07-02,11.705
2020-07-03,11.705
2020-07-04,11.705
2020-07-05,11.705
2020-07-06,11.705
2020-07-07,11.705
2020-07-08,11.705
2020-07-09,11.705
2020-07-10,11.705
2020-07-11,11.705
2020-07-12,11.705
2020-07-13,11.705
2020-07-14,11.705
2020-07-15,11.705
2020-07-16,11.705
2020-07-17,11.705
2020-07-18,11.705
2020-07-19,11.705
2020-07-20,11.705
2020-07-21,11.705
2020-07-22,11.705
2020-07-23,9.239
2020-07-24,9.092
2020-07-25,9.092
2020-07-26,9.092
2020-07-27,9.345
2020-07-28,9.0
2020-07-29,9.264
2020-07-30,8.872
2020-07-31,8.772
2020-08-01,8.772
2020-08-02,8.772
2020-08-03,8.883
2020-08-04,8.967
2020-08-05,9.15
2020-08-06,9.077
2020-08-07,9.495
2020-08-08,9.495
2020-08-09,9.495
2020-08-10,9.778
2020-08-11,9.991
2020-08-12,9.991
2020-08-13,9.73
2020-08-14,9.631
2020-08-15,9.631
2020-08-16,9.631
2020-08-17,9.536
2020-08-18,9.437
2020-08-19,9.532
2020-08-20,9.576
2020-08-21,9.518
2020-08-22,9.518
2020-08-23,9.518
2020-08-24,9.951
2020-08-25,9.811
2020-08-26,9.54
2020-08-27,9.708
2020-08-28,9.837
2020-08-29,9.837
2020-08-30,9.837
2020-08-31,9.367
2020-09-01,9.833
2020-09-02,10.189
2020-09-03,9.852
2020-09-04,10.226
2020-09-05,10.226
2020-09-06,10.226
2020-09-07,10.226
2020-09-08,7.88
2020-09-09,8.008
2020-09-10,7.795
2020-09-11,7.792
2020-09-12,7.792
2020-09-13,7.792
2020-09-14,7.97
2020-09-15,8.069
2020-09-16,8.008
2020-09-17,8.153
2020-09-18,7.994
2020-09-19,7.994
2020-09-20,7.994
2020-09-21,7.498
2020-09-22,7.516
2020-09-23,7.237
2020-09-24,7.369
2020-09-25,7.877
2020-09-26,7.877
2020-09-27,7.877
2020-09-28,7.898
2020-09-29,7.823
2020-09-30,7.644
2020-10-01,7.745
2020-10-02,8.305
2020-10-03,8.305
2020-10-04,8.305
2020-10-05,8.707
2020-10-06,8.955
2020-10-07,9.348
2020-10-08,9.377
2020-10-09,9.166
2020-10-10,9.166
2020-10-11,9.166
2020-10-12,11.338
2020-10-13,11.289
2020-10-14,11.392
2020-10-15,11.349
2020-10-16,11.456
2020-10-17,11.456
2020-10-18,11.456
2020-10-19,11.285
2020-10-20,11.353
2020-10-21,11.58
2020-10-22,11.641
2020-10-23,11.605
2020-10-24,11.605
2020-10-25,11.605
2020-10-26,11.289
2020-10-27,10.986
2020-10-28,10.816
2020-10-29,11.1
2020-10-30,11.047
2020-10-31,11.047
2020-11-01,11.047
2020-11-02,11.431
2020-11-03,11.68
2020-11-04,10.421
2020-11-05,11.144
2020-11-06,10.969
2020-11-07,10.969
2020-11-08,10.969
2020-11-09,11.685
2020-11-10,12.105
2020-11-11,11.752
2020-11-12,11.628
2020-11-13,11.836
2020-11-14,11.836
2020-11-15,11.836
2020-11-16,12.202
2020-11-17,12.189
2020-11-18,11.91
2020-11-19,11.947
2020-11-20,11.964
2020-11-21,11.964
2020-11-22,11.964
2020-11-23,12.26
2020-11-24,12.942
2020-11-25,12.505
2020-11-26,12.505
2020-11-27,12.572
2020-11-28,12.572
2020-11-29,12.572
2020-11-30,12.286
2020-12-01,12.428
2020-12-02,12.492
2020-12-03,12.461
2020-12-04,13.164
2020-12-05,13.164
2020-12-06,13.164
2020-12-07,12.929
2020-12-08,13.11
2020-12-09,13.097
2020-12-10,13.073
2020-12-11,13.016
2020-12-12,13.016
2020-12-13,13.016
2020-12-14,10.487
2020-12-15,10.218
2020-12-16,9.971
2020-12-17,10.292
2020-12-18,10.187
2020-12-19,10.187
2020-12-20,10.187
2020-12-21,10.256
2020-12-22,10.323
2020-12-23,10.349
2020-12-24,10.315
2020-12-25,10.315
2020-12-26,10.315
2020-12-27,10.315
2020-12-28,10.315
2020-12-29,10.136
2020-12-30,10.351
2020-12-31,10.328
2021-01-01,10.328
2021-01-02,10.328
2021-01-03,10.328
2021-01-04,10.115
2021-01-05,10.426
2021-01-06,11.22
2021-01-07,11.638
2021-01-08,13.088
2021-01-09,13.088
2021-01-10,13.088
2021-01-11,12.972
2021-01-12,13.294
2021-01-13,12.882
2021-01-14,12.876
2021-01-15,12.44
2021-01-16,12.44
2021-01-17,12.44
2021-01-18,12.44
2021-01-19,12.443
2021-01-20,12.295
2021-01-21,12.077
2021-01-22,12.35
2021-01-23,12.35
2021-01-24,12.35
2021-01-25,11.987
2021-01-26,11.592
2021-01-27,11.151
2021-01-28,11.531
2021-01-29,11.162
2021-01-30,11.162
2021-01-31,11.162
2021-02-01,11.813
2021-02-02,11.825
2021-02-03,11.749
2021-02-04,11.709
2021-02-05,11.9
2021-02-06,11.9
2021-02-07,11.9
2021-02-08,12.278
2021-02-09,12.374
2021-02-10,12.374
2021-02-11,12.374
2021-02-12,12.374
2021-02-13,12.374
2021-02-14,12.374
2021-02-15,12.374
2021-02-16,12.374
2021-02-17,12.374
2021-02-18,12.374
2021-02-19,12.374
2021-02-20,12.374
2021-02-21,12.374
2021-02-22,11.823
2021-02-23,11.703
2021-02-24,12.027
2021-02-25,11.539
