,HA US Equity
,BEST_PE_RATIO
2020-01-01,5.556
2020-01-02,5.545
2020-01-03,5.518
2020-01-04,5.518
2020-01-05,5.518
2020-01-06,5.516
2020-01-07,5.529
2020-01-08,5.518
2020-01-09,5.474
2020-01-10,5.52
2020-01-11,5.52
2020-01-12,5.52
2020-01-13,5.602
2020-01-14,5.617
2020-01-15,5.626
2020-01-16,5.774
2020-01-17,5.7
2020-01-18,5.7
2020-01-19,5.7
2020-01-20,5.7
2020-01-21,5.387
2020-01-22,5.524
2020-01-23,5.659
2020-01-24,5.505
2020-01-25,5.505
2020-01-26,5.505
2020-01-27,5.203
2020-01-28,5.232
2020-01-29,5.177
2020-01-30,5.292
2020-01-31,5.289
2020-02-01,5.289
2020-02-02,5.289
2020-02-03,5.235
2020-02-04,5.537
2020-02-05,5.685
2020-02-06,5.459
2020-02-07,5.376
2020-02-08,5.376
2020-02-09,5.376
2020-02-10,5.361
2020-02-11,5.419
2020-02-12,5.524
2020-02-13,5.43
2020-02-14,5.326
2020-02-15,5.326
2020-02-16,5.326
2020-02-17,5.326
2020-02-18,5.15
2020-02-19,5.086
2020-02-20,5.103
2020-02-21,5.107
2020-02-22,5.107
2020-02-23,5.107
2020-02-24,4.83
2020-02-25,4.608
2020-02-26,4.431
2020-02-27,4.204
2020-02-28,3.977
2020-02-29,3.977
2020-03-01,3.977
2020-03-02,3.804
2020-03-03,3.648
2020-03-04,3.619
2020-03-05,3.204
2020-03-06,3.356
2020-03-07,3.356
2020-03-08,3.356
2020-03-09,3.21
2020-03-10,3.326
2020-03-11,2.998
2020-03-12,2.335
2020-03-13,2.691
2020-03-14,2.691
2020-03-15,2.691
2020-03-16,2.507
2020-03-17,2.322
2020-03-18,1.707
2020-03-19,1.644
2020-03-20,1.648
2020-03-21,1.648
2020-03-22,1.648
2020-03-23,1.67
2020-03-24,1.945
2020-03-25,2.423
2020-03-26,2.4
2020-03-27,2.109
2020-03-28,2.109
2020-03-29,2.109
2020-03-30,2.019
2020-03-31,1.989
2020-04-01,1.874
2020-04-02,1.819
2020-04-03,1.817
2020-04-04,1.817
2020-04-05,1.817
2020-04-06,1.857
2020-04-07,2.023
2020-04-08,2.135
2020-04-09,2.251
2020-04-10,2.251
2020-04-11,2.251
2020-04-12,2.251
2020-04-13,2.173
2020-04-14,2.185
2020-04-15,2.227
2020-04-16,2.05
2020-04-17,2.192
2020-04-18,2.192
2020-04-19,2.192
2020-04-20,2.198
2020-04-21,2.177
2020-04-22,2.173
2020-04-23,2.147
2020-04-24,2.179
2020-04-25,2.179
2020-04-26,2.179
2020-04-27,2.194
2020-04-28,2.59
2020-04-29,2.981
2020-04-30,2.743
2020-05-01,2.47
2020-05-02,2.47
2020-05-03,2.47
2020-05-04,2.472
2020-05-05,2.392
2020-05-06,2.227
2020-05-07,2.248
2020-05-08,2.459
2020-05-09,2.459
2020-05-10,2.459
2020-05-11,2.328
2020-05-12,2.21
2020-05-13,2.19
2020-05-14,2.185
2020-05-15,2.126
2020-05-16,2.126
2020-05-17,2.126
2020-05-18,2.535
2020-05-19,2.368
2020-05-20,2.497
2020-05-21,2.558
2020-05-22,2.549
2020-05-23,2.549
2020-05-24,2.549
2020-05-25,2.549
2020-05-26,2.886
2020-05-27,3.131
2020-05-28,2.829
2020-05-29,2.749
2020-05-30,2.749
2020-05-31,2.749
2020-06-01,2.855
2020-06-02,3.025
2020-06-03,3.229
2020-06-04,3.707
2020-06-05,3.688
2020-06-06,3.688
2020-06-07,3.688
2020-06-08,4.038
2020-06-09,3.724
2020-06-10,3.398
2020-06-11,2.85
2020-06-12,3.086
2020-06-13,3.086
2020-06-14,3.086
2020-06-15,3.159
2020-06-16,3.229
2020-06-17,3.118
2020-06-18,3.095
2020-06-19,2.983
2020-06-20,2.983
2020-06-21,2.983
2020-06-22,2.77
2020-06-23,2.804
2020-06-24,2.608
2020-06-25,2.68
2020-06-26,2.575
2020-06-27,2.575
2020-06-28,2.575
2020-06-29,2.718
2020-06-30,2.674
2020-07-01,2.623
2020-07-02,2.623
2020-07-03,2.623
2020-07-04,2.623
2020-07-05,2.623
2020-07-06,2.714
2020-07-07,2.587
2020-07-08,2.629
2020-07-09,2.442
2020-07-10,2.59
2020-07-11,2.59
2020-07-12,2.59
2020-07-13,2.488
2020-07-14,2.526
2020-07-15,2.8
2020-07-16,2.64
2020-07-17,2.594
2020-07-18,2.594
2020-07-19,2.594
2020-07-20,2.52
2020-07-21,2.59
2020-07-22,2.543
2020-07-23,2.575
2020-07-24,2.503
2020-07-25,2.503
2020-07-26,2.503
2020-07-27,2.488
2020-07-28,2.509
2020-07-29,2.312
2020-07-30,2.213
2020-07-31,2.265
2020-08-01,2.265
2020-08-02,2.265
2020-08-03,2.213
2020-08-04,2.333
2020-08-05,2.436
2020-08-06,2.491
2020-08-07,2.507
2020-08-08,2.507
2020-08-09,2.507
2020-08-10,2.623
2020-08-11,2.646
2020-08-12,2.623
2020-08-13,2.539
2020-08-14,2.575
2020-08-15,2.575
2020-08-16,2.575
2020-08-17,2.497
2020-08-18,2.486
2020-08-19,2.478
2020-08-20,2.432
2020-08-21,2.385
2020-08-22,2.385
2020-08-23,2.385
2020-08-24,2.543
2020-08-25,2.535
2020-08-26,2.465
2020-08-27,2.562
2020-08-28,2.661
2020-08-29,2.661
2020-08-30,2.661
2020-08-31,2.56
2020-09-01,2.541
2020-09-02,2.636
2020-09-03,2.585
2020-09-04,2.636
2020-09-05,2.636
2020-09-06,2.636
2020-09-07,2.636
2020-09-08,2.661
2020-09-09,2.579
2020-09-10,2.623
2020-09-11,2.67
2020-09-12,2.67
2020-09-13,2.67
2020-09-14,2.727
2020-09-15,2.73
2020-09-16,2.836
2020-09-17,2.804
2020-09-18,2.699
2020-09-19,2.699
2020-09-20,2.699
2020-09-21,2.497
2020-09-22,2.518
2020-09-23,2.44
2020-09-24,2.362
2020-09-25,2.438
2020-09-26,2.438
2020-09-27,2.438
2020-09-28,2.549
2020-09-29,2.45
2020-09-30,2.455
2020-10-01,2.49
2020-10-02,2.558
2020-10-03,2.558
2020-10-04,2.558
2020-10-05,2.539
2020-10-06,2.463
2020-10-07,2.524
2020-10-08,2.602
2020-10-09,2.611
2020-10-10,2.611
2020-10-11,2.611
2020-10-12,2.509
2020-10-13,2.47
2020-10-14,2.478
2020-10-15,2.436
2020-10-16,2.539
2020-10-17,2.539
2020-10-18,2.539
2020-10-19,2.646
2020-10-20,2.71
2020-10-21,2.657
2020-10-22,3.124
2020-10-23,2.947
2020-10-24,2.947
2020-10-25,2.947
2020-10-26,2.777
2020-10-27,2.794
2020-10-28,2.509
2020-10-29,2.661
2020-10-30,2.638
2020-10-31,2.638
2020-11-01,2.638
2020-11-02,2.602
2020-11-03,2.674
2020-11-04,2.57
2020-11-05,2.724
2020-11-06,2.638
2020-11-07,2.638
2020-11-08,2.638
2020-11-09,3.979
2020-11-10,3.691
2020-11-11,3.408
2020-11-12,3.255
2020-11-13,3.537
2020-11-14,3.537
2020-11-15,3.537
2020-11-16,3.653
2020-11-17,3.682
2020-11-18,3.693
2020-11-19,3.718
2020-11-20,3.539
2020-11-21,3.539
2020-11-22,3.539
2020-11-23,3.853
2020-11-24,3.962
2020-11-25,3.966
2020-11-26,3.966
2020-11-27,3.998
2020-11-28,3.998
2020-11-29,3.998
2020-11-30,3.859
2020-12-01,3.945
2020-12-02,3.907
2020-12-03,3.981
2020-12-04,3.92
2020-12-05,3.92
2020-12-06,3.92
2020-12-07,3.775
2020-12-08,3.806
2020-12-09,3.716
2020-12-10,3.861
2020-12-11,3.665
2020-12-12,3.665
2020-12-13,3.665
2020-12-14,3.596
2020-12-15,3.587
2020-12-16,3.602
2020-12-17,3.604
2020-12-18,3.476
2020-12-19,3.476
2020-12-20,3.476
2020-12-21,3.432
2020-12-22,3.282
2020-12-23,3.44
2020-12-24,3.387
2020-12-25,3.387
2020-12-26,3.387
2020-12-27,3.387
2020-12-28,3.457
2020-12-29,3.43
2020-12-30,3.469
2020-12-31,3.371
2021-01-01,3.371
2021-01-02,3.371
2021-01-03,3.371
2021-01-04,3.242
2021-01-05,3.432
2021-01-06,3.739
2021-01-07,3.663
2021-01-08,3.741
2021-01-09,3.741
2021-01-10,3.741
2021-01-11,3.642
2021-01-12,3.712
2021-01-13,3.855
2021-01-14,3.979
2021-01-15,3.714
2021-01-16,3.714
2021-01-17,3.714
2021-01-18,3.714
2021-01-19,3.872
2021-01-20,4.025
2021-01-21,3.893
2021-01-22,3.95
2021-01-23,3.95
2021-01-24,3.95
2021-01-25,3.851
2021-01-26,3.855
2021-01-27,3.747
2021-01-28,3.93
2021-01-29,3.728
2021-01-30,3.728
2021-01-31,3.728
2021-02-01,3.77
2021-02-02,3.829
2021-02-03,3.987
2021-02-04,4.2
2021-02-05,4.236
2021-02-06,4.236
2021-02-07,4.236
2021-02-08,4.378
2021-02-09,4.324
2021-02-10,4.381
2021-02-11,4.322
2021-02-12,4.316
2021-02-13,4.316
2021-02-14,4.316
2021-02-15,4.316
2021-02-16,4.413
2021-02-17,4.497
2021-02-18,4.482
2021-02-19,4.669
2021-02-20,4.669
2021-02-21,4.669
2021-02-22,5.029
2021-02-23,5.074
2021-02-24,5.272
2021-02-25,5.059
2021-02-26,5.109
2021-02-27,5.109
2021-02-28,5.109
2021-03-01,5.048
2021-03-02,4.97
2021-03-03,5.154
2021-03-04,4.977
2021-03-05,5.069
2021-03-06,5.069
2021-03-07,5.069
2021-03-08,5.316
2021-03-09,5.2
2021-03-10,5.194
2021-03-11,5.088
2021-03-12,5.305
2021-03-13,5.305
2021-03-14,5.305
2021-03-15,5.535
2021-03-16,5.301
2021-03-17,5.43
2021-03-18,5.404
2021-03-19,5.341
2021-03-20,5.341
2021-03-21,5.341
2021-03-22,5.122
2021-03-23,4.899
2021-03-24,4.766
2021-03-25,4.963
2021-03-26,5.097
2021-03-27,5.097
2021-03-28,5.097
2021-03-29,5.015
2021-03-30,5.156
2021-03-31,5.08
2021-04-01,5.107
2021-04-02,5.107
2021-04-03,5.107
2021-04-04,5.107
2021-04-05,5.137
2021-04-06,5.15
2021-04-07,5.015
2021-04-08,5.0
2021-04-09,4.968
2021-04-10,4.968
2021-04-11,4.968
2021-04-12,4.855
2021-04-13,4.853
2021-04-14,4.844
2021-04-15,4.81
2021-04-16,4.766
2021-04-17,4.766
2021-04-18,4.766
2021-04-19,4.703
2021-04-20,4.566
2021-04-21,4.72
2021-04-22,4.61
2021-04-23,4.775
2021-04-24,4.775
2021-04-25,4.775
2021-04-26,4.83
2021-04-27,4.789
2021-04-28,4.71
2021-04-29,4.726
2021-04-30,4.783
2021-05-01,4.783
2021-05-02,4.783
2021-05-03,4.83
2021-05-04,4.69
2021-05-05,4.794
2021-05-06,4.757
2021-05-07,4.762
2021-05-08,4.762
2021-05-09,4.762
2021-05-10,4.577
2021-05-11,4.581
2021-05-12,4.36
2021-05-13,5.593
2021-05-14,5.823
2021-05-15,5.823
2021-05-16,5.823
2021-05-17,5.89
2021-05-18,5.91
2021-05-19,5.95
2021-05-20,5.863
2021-05-21,5.842
2021-05-22,5.842
2021-05-23,5.842
2021-05-24,5.991
2021-05-25,6.206
2021-05-26,6.279
2021-05-27,5.98
2021-05-28,5.714
2021-05-29,5.714
2021-05-30,5.714
2021-05-31,5.714
2021-06-01,5.825
2021-06-02,5.708
2021-06-03,5.741
2021-06-04,5.767
2021-06-05,5.767
2021-06-06,5.767
2021-06-07,5.759
2021-06-08,6.385
2021-06-09,6.627
2021-06-10,5.803
2021-06-11,6.385
2021-06-12,6.385
2021-06-13,6.385
2021-06-14,6.062
2021-06-15,6.066
2021-06-16,6.102
2021-06-17,5.952
2021-06-18,5.894
2021-06-19,5.894
2021-06-20,5.894
2021-06-21,6.075
2021-06-22,6.024
2021-06-23,6.084
2021-06-24,6.081
2021-06-25,5.886
2021-06-26,5.886
2021-06-27,5.886
2021-06-28,5.591
2021-06-29,5.375
2021-06-30,5.362
2021-07-01,5.476
2021-07-02,5.344
2021-07-03,5.344
2021-07-04,5.344
2021-07-05,5.344
2021-07-06,5.226
2021-07-07,4.895
2021-07-08,4.821
2021-07-09,5.019
2021-07-10,5.019
2021-07-11,5.019
2021-07-12,5.323
2021-07-13,5.165
2021-07-14,4.933
2021-07-15,4.863
2021-07-16,4.556
2021-07-17,4.556
2021-07-18,4.556
2021-07-19,4.286
2021-07-20,4.47
2021-07-21,4.721
2021-07-22,4.619
2021-07-23,4.574
2021-07-24,4.574
2021-07-25,4.574
2021-07-26,4.847
2021-07-27,4.746
2021-07-28,4.734
2021-07-29,4.72
2021-07-30,4.599
2021-07-31,4.599
2021-08-01,4.599
2021-08-02,4.545
2021-08-03,4.483
2021-08-04,4.352
2021-08-05,4.688
2021-08-06,4.734
2021-08-07,4.734
2021-08-08,4.734
2021-08-09,4.641
2021-08-10,4.767
2021-08-11,4.945
2021-08-12,4.805
2021-08-13,4.698
2021-08-14,4.698
2021-08-15,4.698
2021-08-16,4.629
2021-08-17,4.462
2021-08-18,4.398
2021-08-19,4.269
2021-08-20,4.305
2021-08-21,4.305
2021-08-22,4.305
2021-08-23,4.536
2021-08-24,4.698
2021-08-25,4.681
2021-08-26,4.65
2021-08-27,4.814
2021-08-28,4.814
2021-08-29,4.814
2021-08-30,4.714
2021-08-31,4.814
2021-09-01,4.831
2021-09-02,4.886
2021-09-03,4.788
2021-09-04,4.788
2021-09-05,4.788
2021-09-06,4.788
2021-09-07,4.876
2021-09-08,4.743
2021-09-09,4.794
2021-09-10,4.68
2021-09-11,4.68
2021-09-12,4.68
2021-09-13,4.91
2021-09-14,4.842
2021-09-15,4.902
2021-09-16,4.934
2021-09-17,4.958
2021-09-18,4.958
2021-09-19,4.958
2021-09-20,4.979
2021-09-21,4.823
2021-09-22,4.999
2021-09-23,5.228
2021-09-24,5.315
2021-09-25,5.315
2021-09-26,5.315
2021-09-27,5.45
2021-09-28,5.407
2021-09-29,5.351
2021-09-30,5.226
2021-10-01,5.551
2021-10-02,5.551
2021-10-03,5.551
2021-10-04,5.443
2021-10-05,5.714
2021-10-06,5.532
2021-10-07,5.343
2021-10-08,5.368
2021-10-09,5.368
2021-10-10,5.368
2021-10-11,5.381
2021-10-12,5.479
2021-10-13,5.287
2021-10-14,5.436
2021-10-15,5.358
2021-10-16,5.358
2021-10-17,5.358
2021-10-18,5.244
2021-10-19,5.163
2021-10-20,5.138
2021-10-21,5.231
2021-10-22,5.082
2021-10-23,5.082
2021-10-24,5.082
2021-10-25,5.125
2021-10-26,5.762
2021-10-27,5.213
2021-10-28,5.328
2021-10-29,5.42
2021-10-30,5.42
2021-10-31,5.42
2021-11-01,5.658
2021-11-02,5.835
2021-11-03,6.064
2021-11-04,6.028
2021-11-05,6.507
2021-11-06,6.507
2021-11-07,6.507
2021-11-08,6.613
2021-11-09,6.709
2021-11-10,6.552
2021-11-11,6.487
2021-11-12,6.221
2021-11-13,6.221
2021-11-14,6.221
2021-11-15,6.249
2021-11-16,6.02
2021-11-17,5.994
2021-11-18,5.599
2021-11-19,5.432
2021-11-20,5.432
2021-11-21,5.432
2021-11-22,5.591
2021-11-23,5.452
2021-11-24,5.408
2021-11-25,5.408
2021-11-26,4.982
2021-11-27,4.982
2021-11-28,4.982
2021-11-29,5.056
2021-11-30,4.988
2021-12-01,4.72
2021-12-02,4.963
2021-12-03,4.844
2021-12-04,4.844
2021-12-05,4.844
2021-12-06,5.248
2021-12-07,5.222
2021-12-08,5.277
2021-12-09,5.208
2021-12-10,5.066
2021-12-11,5.066
2021-12-12,5.066
2021-12-13,5.135
2021-12-14,5.06
2021-12-15,5.119
2021-12-16,4.898
2021-12-17,5.021
2021-12-18,5.021
2021-12-19,5.021
2021-12-20,4.96
2021-12-21,5.328
2021-12-22,5.322
2021-12-23,5.367
2021-12-24,5.367
2021-12-25,5.367
2021-12-26,5.367
2021-12-27,5.037
2021-12-28,5.034
2021-12-29,4.921
2021-12-30,4.873
2021-12-31,4.847
2022-01-01,4.847
2022-01-02,4.847
2022-01-03,5.103
2022-01-04,5.161
2022-01-05,5.061
2022-01-06,5.026
2022-01-07,5.211
2022-01-08,5.211
2022-01-09,5.211
2022-01-10,5.063
2022-01-11,5.91
2022-01-12,5.826
2022-01-13,6.153
2022-01-14,6.069
2022-01-15,6.069
2022-01-16,6.069
2022-01-17,6.069
2022-01-18,5.97
2022-01-19,5.841
2022-01-20,5.811
2022-01-21,5.552
2022-01-22,5.552
2022-01-23,5.552
2022-01-24,5.531
2022-01-25,5.907
2022-01-26,5.082
2022-01-27,4.819
2022-01-28,4.801
2022-01-29,4.801
2022-01-30,4.801
2022-01-31,5.127
2022-02-01,5.322
2022-02-02,5.364
2022-02-03,5.229
2022-02-04,5.259
2022-02-05,5.259
2022-02-06,5.259
2022-02-07,5.505
2022-02-08,5.799
2022-02-09,5.988
2022-02-10,5.94
2022-02-11,5.652
2022-02-12,5.652
2022-02-13,5.652
2022-02-14,6.454
2022-02-15,6.997
2022-02-16,7.047
2022-02-17,6.861
2022-02-18,4.074
2022-02-19,4.074
2022-02-20,4.074
2022-02-21,4.074
2022-02-22,3.953
2022-02-23,3.819
2022-02-24,3.981
2022-02-25,4.072
2022-02-26,4.072
2022-02-27,4.072
2022-02-28,3.955
2022-03-01,3.773
2022-03-02,3.858
2022-03-03,3.73
2022-03-04,3.466
2022-03-05,3.466
2022-03-06,3.466
2022-03-07,3.074
2022-03-08,3.334
2022-03-09,3.503
2022-03-10,3.534
2022-03-11,3.402
2022-03-12,3.402
2022-03-13,3.402
2022-03-14,3.392
2022-03-15,3.586
2022-03-16,3.852
2022-03-17,3.808
2022-03-18,3.839
2022-03-19,3.839
2022-03-20,3.839
2022-03-21,3.728
2022-03-22,3.804
2022-03-23,3.689
2022-03-24,3.827
2022-03-25,3.827
2022-03-26,3.827
2022-03-27,3.827
2022-03-28,3.866
2022-03-29,4.004
2022-03-30,3.942
2022-03-31,4.062
2022-04-01,4.054
2022-04-02,4.054
2022-04-03,4.054
2022-04-04,4.039
2022-04-05,3.895
2022-04-06,3.478
2022-04-07,3.417
2022-04-08,3.345
2022-04-09,3.345
2022-04-10,3.345
2022-04-11,3.84
2022-04-12,3.974
2022-04-13,4.151
2022-04-14,4.125
2022-04-15,4.125
2022-04-16,4.125
2022-04-17,4.125
2022-04-18,4.106
2022-04-19,4.268
2022-04-20,4.326
2022-04-21,4.495
2022-04-22,4.236
2022-04-23,4.236
2022-04-24,4.236
2022-04-25,4.24
2022-04-26,4.013
2022-04-27,3.684
2022-04-28,3.809
2022-04-29,3.667
2022-04-30,3.667
2022-05-01,3.667
2022-05-02,3.663
2022-05-03,3.747
2022-05-04,3.842
2022-05-05,3.691
2022-05-06,3.535
2022-05-07,3.535
2022-05-08,3.535
2022-05-09,3.343
2022-05-10,3.373
2022-05-11,3.263
2022-05-12,3.206
2022-05-13,3.302
2022-05-14,3.302
2022-05-15,3.302
2022-05-16,3.256
2022-05-17,3.604
2022-05-18,3.565
2022-05-19,3.594
2022-05-20,3.464
2022-05-21,3.464
2022-05-22,3.464
2022-05-23,3.548
2022-05-24,3.349
2022-05-25,3.39
2022-05-26,3.606
2022-05-27,3.898
2022-05-28,3.898
2022-05-29,3.898
2022-05-30,3.898
2022-05-31,3.838
2022-06-01,3.712
2022-06-02,3.738
2022-06-03,3.552
2022-06-04,3.552
2022-06-05,3.552
2022-06-06,3.68
2022-06-07,3.754
2022-06-08,3.652
2022-06-09,3.462
2022-06-10,3.274
2022-06-11,3.274
2022-06-12,3.274
2022-06-13,2.995
2022-06-14,2.921
2022-06-15,2.969
2022-06-16,3.225
2022-06-17,3.423
2022-06-18,3.423
2022-06-19,3.423
2022-06-20,3.423
2022-06-21,4.804
2022-06-22,4.977
2022-06-23,5.04
2022-06-24,5.348
2022-06-25,5.348
2022-06-26,5.348
2022-06-27,5.199
2022-06-28,5.192
2022-06-29,4.991
2022-06-30,4.96
2022-07-01,5.078
2022-07-02,5.078
2022-07-03,5.078
