,JAZZ US Equity
,BEST_PE_RATIO
2020-01-01,8.066
2020-01-02,7.937
2020-01-03,7.812
2020-01-04,7.812
2020-01-05,7.812
2020-01-06,7.799
2020-01-07,7.716
2020-01-08,7.707
2020-01-09,7.868
2020-01-10,7.927
2020-01-11,7.927
2020-01-12,7.927
2020-01-13,7.883
2020-01-14,8.119
2020-01-15,8.255
2020-01-16,8.193
2020-01-17,8.164
2020-01-18,8.164
2020-01-19,8.164
2020-01-20,8.164
2020-01-21,8.126
2020-01-22,8.133
2020-01-23,8.059
2020-01-24,7.87
2020-01-25,7.87
2020-01-26,7.87
2020-01-27,7.795
2020-01-28,7.884
2020-01-29,7.588
2020-01-30,7.513
2020-01-31,7.348
2020-02-01,7.348
2020-02-02,7.348
2020-02-03,7.256
2020-02-04,7.274
2020-02-05,7.414
2020-02-06,7.487
2020-02-07,7.307
2020-02-08,7.307
2020-02-09,7.307
2020-02-10,7.275
2020-02-11,7.325
2020-02-12,7.257
2020-02-13,7.201
2020-02-14,7.146
2020-02-15,7.146
2020-02-16,7.146
2020-02-17,7.146
2020-02-18,6.942
2020-02-19,6.982
2020-02-20,6.875
2020-02-21,6.84
2020-02-22,6.84
2020-02-23,6.84
2020-02-24,6.639
2020-02-25,6.487
2020-02-26,5.809
2020-02-27,5.635
2020-02-28,5.709
2020-02-29,5.709
2020-03-01,5.709
2020-03-02,6.234
2020-03-03,5.744
2020-03-04,6.234
2020-03-05,6.203
2020-03-06,5.966
2020-03-07,5.966
2020-03-08,5.966
2020-03-09,5.503
2020-03-10,5.62
2020-03-11,5.397
2020-03-12,5.222
2020-03-13,5.562
2020-03-14,5.562
2020-03-15,5.562
2020-03-16,4.96
2020-03-17,5.286
2020-03-18,5.289
2020-03-19,5.233
2020-03-20,4.802
2020-03-21,4.802
2020-03-22,4.802
2020-03-23,4.454
2020-03-24,4.854
2020-03-25,4.855
2020-03-26,5.114
2020-03-27,4.922
2020-03-28,4.922
2020-03-29,4.922
2020-03-30,5.056
2020-03-31,5.063
2020-04-01,4.857
2020-04-02,5.052
2020-04-03,5.013
2020-04-04,5.013
2020-04-05,5.013
2020-04-06,5.369
2020-04-07,5.341
2020-04-08,5.506
2020-04-09,5.568
2020-04-10,5.568
2020-04-11,5.568
2020-04-12,5.568
2020-04-13,5.528
2020-04-14,5.638
2020-04-15,5.487
2020-04-16,5.54
2020-04-17,5.738
2020-04-18,5.738
2020-04-19,5.738
2020-04-20,5.614
2020-04-21,5.328
2020-04-22,5.287
2020-04-23,5.405
2020-04-24,5.53
2020-04-25,5.53
2020-04-26,5.53
2020-04-27,5.682
2020-04-28,5.8
2020-04-29,5.903
