,HZNP US Equity
,BEST_PE_RATIO
2020-01-01,10.973
2020-01-02,11.028
2020-01-03,10.943
2020-01-04,10.943
2020-01-05,10.943
2020-01-06,10.979
2020-01-07,11.025
2020-01-08,10.967
2020-01-09,11.027
2020-01-10,11.125
2020-01-11,11.125
2020-01-12,11.125
2020-01-13,11.629
2020-01-14,11.395
2020-01-15,11.199
2020-01-16,11.362
2020-01-17,11.395
2020-01-18,11.395
2020-01-19,11.395
2020-01-20,11.395
2020-01-21,11.263
2020-01-22,11.355
2020-01-23,10.928
2020-01-24,10.618
2020-01-25,10.618
2020-01-26,10.618
2020-01-27,10.61
2020-01-28,10.707
2020-01-29,10.562
2020-01-30,10.306
2020-01-31,10.156
2020-02-01,10.156
2020-02-02,10.156
2020-02-03,10.08
2020-02-04,10.224
2020-02-05,10.474
2020-02-06,10.392
2020-02-07,10.406
2020-02-08,10.406
2020-02-09,10.406
2020-02-10,10.651
2020-02-11,10.552
2020-02-12,10.581
2020-02-13,10.419
2020-02-14,10.445
2020-02-15,10.445
2020-02-16,10.445
2020-02-17,10.445
2020-02-18,10.375
2020-02-19,10.483
2020-02-20,10.477
2020-02-21,10.32
2020-02-22,10.32
2020-02-23,10.32
2020-02-24,10.029
2020-02-25,9.849
2020-02-26,9.966
2020-02-27,9.662
2020-02-28,9.708
2020-02-29,9.708
2020-03-01,9.708
2020-03-02,9.986
2020-03-03,9.756
2020-03-04,10.448
2020-03-05,10.227
2020-03-06,9.952
2020-03-07,9.952
2020-03-08,9.952
2020-03-09,8.871
2020-03-10,8.874
2020-03-11,8.4
2020-03-12,7.417
2020-03-13,7.996
2020-03-14,7.996
2020-03-15,7.996
2020-03-16,7.208
2020-03-17,7.533
2020-03-18,7.01
2020-03-19,7.236
2020-03-20,6.886
2020-03-21,6.886
2020-03-22,6.886
2020-03-23,6.847
2020-03-24,7.442
2020-03-25,7.781
2020-03-26,7.819
2020-03-27,7.58
2020-03-28,7.58
2020-03-29,7.58
2020-03-30,8.081
2020-03-31,8.155
2020-04-01,8.314
2020-04-02,8.769
2020-04-03,8.637
2020-04-04,8.637
2020-04-05,8.637
2020-04-06,8.79
2020-04-07,8.46
2020-04-08,8.586
2020-04-09,8.534
2020-04-10,8.534
2020-04-11,8.534
2020-04-12,8.534
2020-04-13,8.376
2020-04-14,8.656
2020-04-15,8.763
2020-04-16,9.014
2020-04-17,9.283
2020-04-18,9.283
2020-04-19,9.283
2020-04-20,9.338
2020-04-21,8.948
2020-04-22,9.294
2020-04-23,9.204
2020-04-24,9.141
2020-04-25,9.141
2020-04-26,9.141
2020-04-27,9.522
2020-04-28,9.245
2020-04-29,9.679
2020-04-30,10.146
2020-05-01,10.028
2020-05-02,10.028
2020-05-03,10.028
2020-05-04,10.218
2020-05-05,10.524
2020-05-06,10.96
2020-05-07,10.813
2020-05-08,11.176
2020-05-09,11.176
2020-05-10,11.176
2020-05-11,11.706
2020-05-12,11.881
2020-05-13,11.649
2020-05-14,11.526
2020-05-15,12.11
2020-05-16,12.11
2020-05-17,12.11
2020-05-18,11.882
2020-05-19,11.888
2020-05-20,11.736
2020-05-21,11.855
2020-05-22,12.258
2020-05-23,12.258
2020-05-24,12.258
2020-05-25,12.258
2020-05-26,12.199
2020-05-27,12.144
2020-05-28,11.795
2020-05-29,12.274
2020-05-30,12.274
2020-05-31,12.274
2020-06-01,12.071
2020-06-02,12.341
2020-06-03,11.966
2020-06-04,11.662
2020-06-05,11.794
2020-06-06,11.794
2020-06-07,11.794
2020-06-08,12.012
2020-06-09,11.804
2020-06-10,11.911
2020-06-11,11.275
2020-06-12,11.292
2020-06-13,11.292
2020-06-14,11.292
2020-06-15,11.537
2020-06-16,11.721
2020-06-17,11.801
2020-06-18,11.87
2020-06-19,12.248
2020-06-20,12.248
2020-06-21,12.248
2020-06-22,12.873
2020-06-23,13.006
2020-06-24,13.398
2020-06-25,13.881
2020-06-26,13.418
2020-06-27,13.418
2020-06-28,13.418
2020-06-29,13.467
2020-06-30,13.54
2020-07-01,13.454
2020-07-02,13.457
2020-07-03,13.457
2020-07-04,13.457
2020-07-05,13.457
2020-07-06,14.156
2020-07-07,13.956
2020-07-08,14.314
2020-07-09,14.129
2020-07-10,13.942
2020-07-11,13.942
2020-07-12,13.942
2020-07-13,13.605
2020-07-14,13.683
2020-07-15,13.866
2020-07-16,13.651
2020-07-17,13.847
2020-07-18,13.847
