,AJRD US Equity
,BEST_PE_RATIO
2020-01-01,20.169
2020-01-02,20.703
2020-01-03,21.551
2020-01-04,21.551
2020-01-05,21.551
2020-01-06,21.6
2020-01-07,23.04
2020-01-08,23.164
2020-01-09,23.27
2020-01-10,23.08
2020-01-11,23.08
2020-01-12,23.08
2020-01-13,23.619
2020-01-14,23.358
2020-01-15,23.482
2020-01-16,23.588
2020-01-17,23.469
2020-01-18,23.469
2020-01-19,23.469
2020-01-20,23.469
2020-01-21,22.766
2020-01-22,22.868
2020-01-23,22.837
2020-01-24,22.784
2020-01-25,22.784
2020-01-26,22.784
2020-01-27,23.349
2020-01-28,23.539
2020-01-29,23.323
2020-01-30,23.336
2020-01-31,23.0
2020-02-01,23.0
2020-02-02,23.0
2020-02-03,22.753
2020-02-04,23.363
2020-02-05,23.725
2020-02-06,23.751
2020-02-07,23.84
2020-02-08,23.84
2020-02-09,23.84
2020-02-10,23.871
2020-02-11,23.919
2020-02-12,24.25
2020-02-13,24.515
2020-02-14,24.719
2020-02-15,24.719
2020-02-16,24.719
2020-02-17,24.719
2020-02-18,23.676
2020-02-19,23.354
2020-02-20,23.899
2020-02-21,23.82
2020-02-22,23.82
2020-02-23,23.82
2020-02-24,23.24
2020-02-25,22.479
2020-02-26,22.413
2020-02-27,22.163
2020-02-28,21.662
2020-02-29,21.662
2020-03-01,21.662
2020-03-02,22.413
2020-03-03,22.093
2020-03-04,23.183
2020-03-05,21.921
2020-03-06,21.332
2020-03-07,21.332
2020-03-08,21.332
2020-03-09,19.912
2020-03-10,19.917
2020-03-11,19.02
2020-03-12,16.752
2020-03-13,19.011
2020-03-14,19.011
2020-03-15,19.011
2020-03-16,15.644
2020-03-17,17.429
2020-03-18,17.121
2020-03-19,17.921
2020-03-20,16.976
2020-03-21,16.976
2020-03-22,16.976
2020-03-23,16.743
2020-03-24,17.776
2020-03-25,16.655
2020-03-26,18.892
2020-03-27,17.969
2020-03-28,17.969
2020-03-29,17.969
2020-03-30,18.963
2020-03-31,18.387
2020-04-01,17.741
2020-04-02,18.268
2020-04-03,17.903
2020-04-04,17.903
2020-04-05,17.903
2020-04-06,19.31
2020-04-07,18.413
2020-04-08,19.121
2020-04-09,19.117
2020-04-10,19.117
2020-04-11,19.117
2020-04-12,19.117
2020-04-13,18.787
2020-04-14,19.178
2020-04-15,18.154
2020-04-16,18.427
2020-04-17,19.143
2020-04-18,19.143
2020-04-19,19.143
2020-04-20,18.554
2020-04-21,17.881
2020-04-22,18.132
2020-04-23,17.776
2020-04-24,18.356
2020-04-25,18.356
2020-04-26,18.356
2020-04-27,18.26
2020-04-28,19.031
2020-04-29,19.094
2020-04-30,18.536
2020-05-01,18.45
2020-05-02,18.45
2020-05-03,18.45
2020-05-04,18.031
2020-05-05,18.283
2020-05-06,17.995
2020-05-07,18.076
2020-05-08,18.684
2020-05-09,18.684
2020-05-10,18.684
2020-05-11,18.356
2020-05-12,17.707
2020-05-13,17.914
2020-05-14,17.504
2020-05-15,17.409
2020-05-16,17.409
2020-05-17,17.409
2020-05-18,18.198
2020-05-19,18.031
2020-05-20,18.247
2020-05-21,18.378
2020-05-22,18.108
2020-05-23,18.108
2020-05-24,18.108
2020-05-25,18.108
2020-05-26,18.608
2020-05-27,20.014
2020-05-28,19.685
2020-05-29,19.757
2020-05-30,19.757
2020-05-31,19.757
2020-06-01,19.667
2020-06-02,19.671
2020-06-03,20.122
2020-06-04,20.392
2020-06-05,20.482
2020-06-06,20.482
2020-06-07,20.482
2020-06-08,20.734
2020-06-09,20.793
2020-06-10,19.901
2020-06-11,18.446
2020-06-12,18.423
2020-06-13,18.423
2020-06-14,18.423
2020-06-15,18.513
2020-06-16,18.919
2020-06-17,18.558
2020-06-18,18.265
2020-06-19,17.594
2020-06-20,17.594
2020-06-21,17.594
2020-06-22,18.468
2020-06-23,18.0
2020-06-24,17.702
2020-06-25,18.274
2020-06-26,17.513
2020-06-27,17.513
2020-06-28,17.513
2020-06-29,18.374
2020-06-30,17.86
2020-07-01,17.621
2020-07-02,17.481
2020-07-03,17.481
2020-07-04,17.481
2020-07-05,17.481
2020-07-06,17.459
2020-07-07,16.765
2020-07-08,16.54
2020-07-09,16.04
2020-07-10,16.22
2020-07-11,16.22
2020-07-12,16.22
2020-07-13,16.004
2020-07-14,16.256
2020-07-15,17.189
2020-07-16,17.22
2020-07-17,17.171
2020-07-18,17.171
2020-07-19,17.171
2020-07-20,16.801
2020-07-21,16.891
2020-07-22,17.279
2020-07-23,17.139
2020-07-24,16.801
2020-07-25,16.801
2020-07-26,16.801
2020-07-27,16.585
2020-07-28,19.239
2020-07-29,18.374
2020-07-30,18.225
2020-07-31,18.585
2020-08-01,18.585
2020-08-02,18.585
2020-08-03,18.324
2020-08-04,19.374
2020-08-05,19.563
2020-08-06,19.338
2020-08-07,19.617
2020-08-08,19.617
2020-08-09,19.617
2020-08-10,19.432
2020-08-11,19.757
2020-08-12,19.712
2020-08-13,19.5
2020-08-14,19.595
2020-08-15,19.595
2020-08-16,19.595
2020-08-17,19.414
2020-08-18,19.149
2020-08-19,19.374
2020-08-20,19.013
2020-08-21,18.86
2020-08-22,18.86
2020-08-23,18.86
2020-08-24,19.099
2020-08-25,19.054
2020-08-26,18.653
2020-08-27,18.766
2020-08-28,18.743
2020-08-29,18.743
2020-08-30,18.743
2020-08-31,18.639
2020-09-01,18.567
2020-09-02,18.734
2020-09-03,18.919
2020-09-04,18.766
2020-09-05,18.766
2020-09-06,18.766
2020-09-07,18.766
2020-09-08,18.41
2020-09-09,18.342
2020-09-10,17.946
2020-09-11,18.139
2020-09-12,18.139
2020-09-13,18.139
2020-09-14,18.342
2020-09-15,18.171
2020-09-16,18.094
2020-09-17,18.018
2020-09-18,18.108
2020-09-19,18.108
2020-09-20,18.108
2020-09-21,18.108
2020-09-22,19.423
2020-09-23,18.356
2020-09-24,18.446
2020-09-25,18.757
2020-09-26,18.757
2020-09-27,18.757
2020-09-28,18.54
2020-09-29,18.198
2020-09-30,17.973
2020-10-01,18.067
2020-10-02,18.049
2020-10-03,18.049
2020-10-04,18.049
2020-10-05,18.198
2020-10-06,18.329
2020-10-07,18.229
2020-10-08,18.518
2020-10-09,18.392
2020-10-10,18.392
2020-10-11,18.392
2020-10-12,18.666
