,OMF US Equity
,BEST_PE_RATIO
2020-01-01,2.722
2020-01-02,2.751
2020-01-03,2.712
2020-01-04,2.712
2020-01-05,2.712
2020-01-06,2.691
2020-01-07,2.642
2020-01-08,2.678
2020-01-09,2.691
2020-01-10,2.667
2020-01-11,2.667
2020-01-12,2.667
2020-01-13,2.718
2020-01-14,2.699
2020-01-15,2.694
2020-01-16,2.761
2020-01-17,2.789
2020-01-18,2.789
2020-01-19,2.789
2020-01-20,2.789
2020-01-21,2.751
2020-01-22,2.83
2020-01-23,2.819
2020-01-24,2.755
2020-01-25,2.755
2020-01-26,2.755
2020-01-27,2.664
2020-01-28,2.706
2020-01-29,2.719
2020-01-30,2.749
2020-01-31,2.736
2020-02-01,2.736
2020-02-02,2.736
2020-02-03,2.609
2020-02-04,2.651
2020-02-05,2.77
2020-02-06,2.817
2020-02-07,2.824
2020-02-08,2.824
2020-02-09,2.824
2020-02-10,2.905
2020-02-11,3.034
2020-02-12,3.021
2020-02-13,3.034
2020-02-14,3.094
2020-02-15,3.094
2020-02-16,3.094
2020-02-17,3.094
2020-02-18,3.083
2020-02-19,3.101
2020-02-20,3.146
2020-02-21,3.098
2020-02-22,3.098
2020-02-23,3.098
2020-02-24,3.001
2020-02-25,2.781
2020-02-26,2.706
2020-02-27,2.603
2020-02-28,2.527
2020-02-29,2.527
2020-03-01,2.527
2020-03-02,2.652
2020-03-03,2.503
2020-03-04,2.704
2020-03-05,2.583
2020-03-06,2.479
2020-03-07,2.479
2020-03-08,2.479
2020-03-09,2.113
2020-03-10,2.383
2020-03-11,2.19
2020-03-12,1.98
2020-03-13,2.171
2020-03-14,2.171
2020-03-15,2.171
2020-03-16,1.712
2020-03-17,1.471
2020-03-18,0.986
2020-03-19,1.161
2020-03-20,1.257
2020-03-21,1.257
2020-03-22,1.257
2020-03-23,1.206
2020-03-24,1.393
2020-03-25,1.502
2020-03-26,1.556
2020-03-27,1.541
2020-03-28,1.541
2020-03-29,1.541
2020-03-30,1.372
2020-03-31,1.315
2020-04-01,1.124
2020-04-02,1.16
2020-04-03,1.05
2020-04-04,1.05
2020-04-05,1.05
2020-04-06,1.214
2020-04-07,1.306
2020-04-08,1.383
2020-04-09,1.533
2020-04-10,1.533
2020-04-11,1.533
2020-04-12,1.533
2020-04-13,1.434
2020-04-14,1.392
2020-04-15,1.278
2020-04-16,1.218
2020-04-17,1.429
2020-04-18,1.429
2020-04-19,1.429
2020-04-20,1.343
2020-04-21,1.256
2020-04-22,1.232
2020-04-23,1.258
2020-04-24,1.311
2020-04-25,1.311
2020-04-26,1.311
2020-04-27,1.412
2020-04-28,1.579
2020-04-29,1.808
2020-04-30,1.665
2020-05-01,1.546
2020-05-02,1.546
2020-05-03,1.546
2020-05-04,1.531
2020-05-05,1.514
2020-05-06,1.434
2020-05-07,1.458
2020-05-08,1.544
2020-05-09,1.544
2020-05-10,1.544
2020-05-11,1.463
2020-05-12,1.354
2020-05-13,1.28
2020-05-14,1.403
2020-05-15,1.39
2020-05-16,1.39
2020-05-17,1.39
2020-05-18,1.522
2020-05-19,1.492
2020-05-20,1.516
2020-05-21,1.513
2020-05-22,1.49
2020-05-23,1.49
2020-05-24,1.49
2020-05-25,1.49
2020-05-26,1.617
2020-05-27,1.762
2020-05-28,1.732
2020-05-29,1.625
2020-05-30,1.625
2020-05-31,1.625
2020-06-01,1.719
2020-06-02,1.788
2020-06-03,1.909
2020-06-04,1.941
2020-06-05,2.097
2020-06-06,2.097
2020-06-07,2.097
2020-06-08,2.198
2020-06-09,2.069
2020-06-10,1.927
2020-06-11,1.708
2020-06-12,1.847
2020-06-13,1.847
2020-06-14,1.847
2020-06-15,1.876
2020-06-16,1.891
2020-06-17,1.835
2020-06-18,1.815
2020-06-19,1.808
2020-06-20,1.808
2020-06-21,1.808
2020-06-22,1.807
