,UNP US Equity
,BEST_PE_RATIO
2020-01-01,11.629
2020-01-02,11.724
2020-01-03,11.641
2020-01-04,11.641
2020-01-05,11.641
2020-01-06,11.557
2020-01-07,11.47
2020-01-08,11.595
2020-01-09,11.536
2020-01-10,11.461
2020-01-11,11.461
2020-01-12,11.461
2020-01-13,11.588
2020-01-14,11.646
2020-01-15,11.646
2020-01-16,11.845
2020-01-17,11.937
2020-01-18,11.937
2020-01-19,11.937
2020-01-20,11.937
2020-01-21,11.753
2020-01-22,11.654
2020-01-23,12.336
2020-01-24,12.529
2020-01-25,12.529
2020-01-26,12.529
2020-01-27,12.043
2020-01-28,12.122
2020-01-29,12.266
2020-01-30,12.353
2020-01-31,12.107
2020-02-01,12.107
2020-02-02,12.107
2020-02-03,12.166
2020-02-04,12.365
2020-02-05,12.49
2020-02-06,12.558
2020-02-07,12.405
2020-02-08,12.405
2020-02-09,12.405
2020-02-10,12.461
2020-02-11,12.369
2020-02-12,12.474
2020-02-13,12.459
2020-02-14,12.416
2020-02-15,12.416
2020-02-16,12.416
2020-02-17,12.416
2020-02-18,12.288
2020-02-19,12.382
2020-02-20,12.376
2020-02-21,12.262
2020-02-22,12.262
2020-02-23,12.262
2020-02-24,11.93
2020-02-25,11.531
2020-02-26,11.185
2020-02-27,10.834
2020-02-28,10.847
2020-02-29,10.847
2020-03-01,10.847
2020-03-02,10.883
2020-03-03,10.68
2020-03-04,11.007
2020-03-05,10.518
2020-03-06,10.595
2020-03-07,10.595
2020-03-08,10.595
2020-03-09,9.22
2020-03-10,9.965
2020-03-11,9.608
2020-03-12,8.963
2020-03-13,9.764
2020-03-14,9.764
2020-03-15,9.764
2020-03-16,8.491
2020-03-17,8.731
2020-03-18,7.811
2020-03-19,8.606
2020-03-20,8.336
2020-03-21,8.336
2020-03-22,8.336
2020-03-23,8.067
2020-03-24,9.116
2020-03-25,9.402
2020-03-26,10.08
2020-03-27,9.836
2020-03-28,9.836
2020-03-29,9.836
2020-03-30,9.918
2020-03-31,9.977
2020-04-01,9.655
2020-04-02,10.031
2020-04-03,9.802
2020-04-04,9.802
2020-04-05,9.802
2020-04-06,10.459
2020-04-07,10.311
2020-04-08,10.584
2020-04-09,10.521
2020-04-10,10.521
2020-04-11,10.521
2020-04-12,10.521
2020-04-13,10.392
2020-04-14,10.538
2020-04-15,10.375
2020-04-16,10.186
2020-04-17,10.603
2020-04-18,10.603
2020-04-19,10.603
2020-04-20,10.657
2020-04-21,10.497
2020-04-22,10.692
2020-04-23,11.199
2020-04-24,11.478
2020-04-25,11.478
2020-04-26,11.478
2020-04-27,11.69
2020-04-28,11.866
2020-04-29,11.99
2020-04-30,11.751
2020-05-01,11.519
2020-05-02,11.519
2020-05-03,11.519
2020-05-04,11.385
2020-05-05,11.5
2020-05-06,11.347
2020-05-07,11.488
2020-05-08,11.638
2020-05-09,11.638
2020-05-10,11.638
2020-05-11,11.534
2020-05-12,11.324
2020-05-13,11.232
2020-05-14,11.21
2020-05-15,11.122
2020-05-16,11.122
2020-05-17,11.122
2020-05-18,11.701
2020-05-19,11.712
2020-05-20,12.209
2020-05-21,12.03
2020-05-22,12.145
2020-05-23,12.145
2020-05-24,12.145
2020-05-25,12.145
2020-05-26,12.494
2020-05-27,12.784
2020-05-28,12.609
2020-05-29,12.561
2020-05-30,12.561
2020-05-31,12.561
2020-06-01,12.535
2020-06-02,12.641
2020-06-03,13.167
2020-06-04,13.047
2020-06-05,13.668
2020-06-06,13.668
2020-06-07,13.668
2020-06-08,13.434
2020-06-09,13.175
2020-06-10,12.973
2020-06-11,12.075
2020-06-12,12.289
2020-06-13,12.289
2020-06-14,12.289
2020-06-15,12.418
2020-06-16,12.643
2020-06-17,12.658
2020-06-18,12.848
2020-06-19,12.622
2020-06-20,12.622
2020-06-21,12.622
2020-06-22,12.648
2020-06-23,12.736
2020-06-24,12.449
2020-06-25,12.542
2020-06-26,12.213
2020-06-27,12.213
2020-06-28,12.213
2020-06-29,12.429
2020-06-30,12.696
2020-07-01,12.532
2020-07-02,12.697
2020-07-03,12.697
2020-07-04,12.697
2020-07-05,12.697
2020-07-06,12.928
2020-07-07,12.75
2020-07-08,12.694
2020-07-09,12.465
2020-07-10,12.495
2020-07-11,12.495
2020-07-12,12.495
2020-07-13,12.704
2020-07-14,12.908
2020-07-15,13.096
2020-07-16,13.282
2020-07-17,13.611
2020-07-18,13.611
2020-07-19,13.611
2020-07-20,13.321
2020-07-21,13.416
2020-07-22,13.47
2020-07-23,13.195
2020-07-24,13.269
2020-07-25,13.269
2020-07-26,13.269
2020-07-27,13.322
2020-07-28,13.158
2020-07-29,13.428
2020-07-30,13.037
2020-07-31,13.078
2020-08-01,13.078
2020-08-02,13.078
2020-08-03,12.981
2020-08-04,13.103
2020-08-05,13.389
2020-08-06,13.551
2020-08-07,13.801
2020-08-08,13.801
2020-08-09,13.801
2020-08-10,14.097
2020-08-11,14.361
2020-08-12,14.473
2020-08-13,14.313
2020-08-14,14.479
2020-08-15,14.479
2020-08-16,14.479
2020-08-17,14.627
2020-08-18,14.387
2020-08-19,14.406
2020-08-20,14.329
2020-08-21,14.453
2020-08-22,14.453
2020-08-23,14.453
2020-08-24,14.528
2020-08-25,14.704
2020-08-26,14.66
2020-08-27,14.67
2020-08-28,14.795
2020-08-29,14.795
2020-08-30,14.795
2020-08-31,14.591
2020-09-01,14.846
2020-09-02,14.883
2020-09-03,14.448
2020-09-04,14.493
2020-09-05,14.493
2020-09-06,14.493
2020-09-07,14.493
2020-09-08,14.305
2020-09-09,14.623
2020-09-10,14.64
2020-09-11,14.857
2020-09-12,14.857
2020-09-13,14.857
2020-09-14,15.077
2020-09-15,15.344
2020-09-16,15.272
2020-09-17,15.29
2020-09-18,15.149
2020-09-19,15.149
2020-09-20,15.149
2020-09-21,14.71
2020-09-22,14.974
2020-09-23,14.746
2020-09-24,14.922
2020-09-25,15.111
2020-09-26,15.111
2020-09-27,15.111
2020-09-28,15.21
2020-09-29,15.042
2020-09-30,15.013
2020-10-01,14.812
2020-10-02,14.974
2020-10-03,14.974
2020-10-04,14.974
2020-10-05,15.353
2020-10-06,15.207
2020-10-07,15.604
2020-10-08,15.54
2020-10-09,15.693
2020-10-10,15.693
2020-10-11,15.693
2020-10-12,15.523
2020-10-13,15.271
2020-10-14,15.407
2020-10-15,15.708
2020-10-16,15.786
2020-10-17,15.786
2020-10-18,15.786
2020-10-19,15.471
2020-10-20,15.555
2020-10-21,15.006
2020-10-22,14.101
2020-10-23,14.138
2020-10-24,14.138
2020-10-25,14.138
2020-10-26,13.88
2020-10-27,13.494
2020-10-28,13.028
2020-10-29,13.229
2020-10-30,13.315
2020-10-31,13.315
2020-11-01,13.315
2020-11-02,13.469
2020-11-03,13.931
2020-11-04,14.033
2020-11-05,14.433
2020-11-06,14.283
2020-11-07,14.283
2020-11-08,14.283
2020-11-09,14.879
2020-11-10,15.124
2020-11-11,15.029
2020-11-12,15.066
2020-11-13,15.288
2020-11-14,15.288
2020-11-15,15.288
2020-11-16,15.534
2020-11-17,15.469
2020-11-18,15.332
2020-11-19,15.371
2020-11-20,15.284
2020-11-21,15.284
2020-11-22,15.284
2020-11-23,15.585
2020-11-24,15.683
2020-11-25,15.573
2020-11-26,15.573
2020-11-27,15.526
2020-11-28,15.526
2020-11-29,15.526
2020-11-30,15.408
2020-12-01,15.281
2020-12-02,15.369
2020-12-03,15.271
2020-12-04,15.557
2020-12-05,15.557
2020-12-06,15.557
2020-12-07,15.477
2020-12-08,15.493
2020-12-09,15.544
2020-12-10,15.29
2020-12-11,15.331
2020-12-12,15.331
2020-12-13,15.331
2020-12-14,14.901
