,BBY US Equity
,BEST_PE_RATIO
2020-01-01,8.136
2020-01-02,8.091
2020-01-03,8.079
2020-01-04,8.079
2020-01-05,8.079
2020-01-06,8.146
2020-01-07,8.193
2020-01-08,8.215
2020-01-09,8.282
2020-01-10,8.4
2020-01-11,8.4
2020-01-12,8.4
2020-01-13,8.457
2020-01-14,8.384
2020-01-15,8.24
2020-01-16,8.243
2020-01-17,8.334
2020-01-18,8.334
2020-01-19,8.334
2020-01-20,8.334
2020-01-21,8.362
2020-01-22,8.272
2020-01-23,8.323
2020-01-24,8.288
2020-01-25,8.288
2020-01-26,8.288
2020-01-27,8.136
2020-01-28,8.237
2020-01-29,8.166
2020-01-30,8.071
2020-01-31,7.848
2020-02-01,7.848
2020-02-02,7.848
2020-02-03,7.901
2020-02-04,8.033
2020-02-05,8.294
2020-02-06,8.214
2020-02-07,8.064
2020-02-08,8.064
2020-02-09,8.064
2020-02-10,8.22
2020-02-11,8.33
2020-02-12,8.426
2020-02-13,8.377
2020-02-14,8.36
2020-02-15,8.36
2020-02-16,8.36
2020-02-17,8.36
2020-02-18,8.355
2020-02-19,8.427
2020-02-20,8.519
2020-02-21,8.364
2020-02-22,8.364
2020-02-23,8.364
2020-02-24,8.364
2020-02-25,8.364
2020-02-26,8.364
2020-02-27,8.364
2020-02-28,8.364
2020-02-29,8.364
2020-03-01,8.364
2020-03-02,8.364
2020-03-03,8.364
2020-03-04,8.364
2020-03-05,8.364
2020-03-06,8.364
2020-03-07,8.364
2020-03-08,8.364
2020-03-09,8.364
2020-03-10,8.364
2020-03-11,8.364
2020-03-12,8.364
2020-03-13,8.364
2020-03-14,8.364
2020-03-15,8.364
2020-03-16,8.364
2020-03-17,8.364
2020-03-18,8.364
2020-03-19,8.364
2020-03-20,8.364
2020-03-21,8.364
2020-03-22,8.364
2020-03-23,8.364
2020-03-24,8.364
2020-03-25,8.364
2020-03-26,8.364
2020-03-27,8.364
2020-03-28,8.364
2020-03-29,8.364
2020-03-30,8.364
2020-03-31,8.364
2020-04-01,8.364
2020-04-02,8.364
2020-04-03,8.364
2020-04-04,8.364
2020-04-05,8.364
2020-04-06,8.364
2020-04-07,8.364
2020-04-08,8.364
2020-04-09,8.364
2020-04-10,8.364
2020-04-11,8.364
2020-04-12,8.364
2020-04-13,8.364
2020-04-14,8.364
2020-04-15,8.364
2020-04-16,8.364
2020-04-17,8.364
2020-04-18,8.364
2020-04-19,8.364
2020-04-20,8.364
2020-04-21,8.364
2020-04-22,8.364
2020-04-23,8.364
2020-04-24,8.364
2020-04-25,8.364
2020-04-26,8.364
2020-04-27,8.364
2020-04-28,8.364
2020-04-29,8.364
2020-04-30,8.364
2020-05-01,8.364
2020-05-02,8.364
2020-05-03,8.364
2020-05-04,8.364
2020-05-05,8.364
2020-05-06,8.364
2020-05-07,8.364
2020-05-08,8.364
2020-05-09,8.364
2020-05-10,8.364
2020-05-11,8.364
2020-05-12,8.364
2020-05-13,8.364
2020-05-14,8.364
2020-05-15,8.364
2020-05-16,8.364
2020-05-17,8.364
2020-05-18,8.364
2020-05-19,8.364
2020-05-20,8.364
2020-05-21,8.364
2020-05-22,9.974
2020-05-23,9.974
2020-05-24,9.974
2020-05-25,9.974
2020-05-26,10.304
2020-05-27,10.254
2020-05-28,9.91
2020-05-29,10.125
2020-05-30,10.125
2020-05-31,10.125
2020-06-01,10.049
2020-06-02,10.442
2020-06-03,10.661
2020-06-04,10.363
2020-06-05,10.701
2020-06-06,10.701
2020-06-07,10.701
2020-06-08,10.85
2020-06-09,10.583
2020-06-10,10.665
2020-06-11,10.084
2020-06-12,10.151
2020-06-13,10.151
2020-06-14,10.151
2020-06-15,10.445
2020-06-16,10.896
2020-06-17,10.866
2020-06-18,10.221
2020-06-19,10.084
2020-06-20,10.084
2020-06-21,10.084
2020-06-22,10.529
2020-06-23,10.661
2020-06-24,10.41
2020-06-25,10.52
2020-06-26,10.531
2020-06-27,10.531
2020-06-28,10.531
2020-06-29,10.721
2020-06-30,10.838
2020-07-01,10.848
2020-07-02,10.861
2020-07-03,10.861
2020-07-04,10.861
2020-07-05,10.861
2020-07-06,10.892
2020-07-07,10.63
2020-07-08,10.827
2020-07-09,10.55
2020-07-10,10.544
2020-07-11,10.544
2020-07-12,10.544
2020-07-13,10.631
2020-07-14,10.791
2020-07-15,10.981
2020-07-16,10.972
2020-07-17,10.924
2020-07-18,10.924
2020-07-19,10.924
2020-07-20,10.976
2020-07-21,11.212
2020-07-22,12.091
2020-07-23,11.932
2020-07-24,12.045
2020-07-25,12.045
2020-07-26,12.045
2020-07-27,12.161
2020-07-28,12.07
2020-07-29,12.183
2020-07-30,12.423
2020-07-31,12.368
2020-08-01,12.368
2020-08-02,12.368
2020-08-03,12.53
2020-08-04,12.483
2020-08-05,12.656
2020-08-06,12.501
2020-08-07,12.52
2020-08-08,12.52
2020-08-09,12.52
2020-08-10,12.68
2020-08-11,12.668
2020-08-12,12.773
2020-08-13,13.128
2020-08-14,13.321
2020-08-15,13.321
2020-08-16,13.321
2020-08-17,13.395
2020-08-18,13.362
2020-08-19,13.537
2020-08-20,13.505
2020-08-21,13.783
2020-08-22,13.783
2020-08-23,13.783
2020-08-24,14.191
2020-08-25,13.619
2020-08-26,12.654
2020-08-27,12.531
2020-08-28,11.373
2020-08-29,11.373
2020-08-30,11.373
2020-08-31,11.341
2020-09-01,11.605
2020-09-02,11.659
2020-09-03,11.115
2020-09-04,10.87
2020-09-05,10.87
2020-09-06,10.87
2020-09-07,10.87
2020-09-08,10.763
2020-09-09,11.13
2020-09-10,10.98
2020-09-11,10.952
2020-09-12,10.952
2020-09-13,10.952
2020-09-14,11.069
2020-09-15,11.096
2020-09-16,11.005
2020-09-17,10.856
2020-09-18,10.851
2020-09-19,10.851
2020-09-20,10.851
2020-09-21,10.891
2020-09-22,11.062
2020-09-23,10.945
2020-09-24,10.768
2020-09-25,10.891
2020-09-26,10.891
2020-09-27,10.891
2020-09-28,11.145
2020-09-29,11.314
2020-09-30,11.438
