,AMGN US Equity
,BEST_PE_RATIO
2020-01-01,10.79
2020-01-02,10.805
2020-01-03,10.732
2020-01-04,10.732
2020-01-05,10.732
2020-01-06,10.814
2020-01-07,10.712
2020-01-08,10.72
2020-01-09,10.556
2020-01-10,10.527
2020-01-11,10.527
2020-01-12,10.527
2020-01-13,10.468
2020-01-14,10.604
2020-01-15,10.679
2020-01-16,10.626
2020-01-17,10.669
2020-01-18,10.669
2020-01-19,10.669
2020-01-20,10.669
2020-01-21,10.488
2020-01-22,10.451
2020-01-23,10.375
2020-01-24,9.916
2020-01-25,9.916
2020-01-26,9.916
2020-01-27,9.799
2020-01-28,9.883
2020-01-29,9.665
2020-01-30,9.625
2020-01-31,8.997
2020-02-01,8.997
2020-02-02,8.997
2020-02-03,9.032
2020-02-04,9.237
2020-02-05,9.659
2020-02-06,9.639
2020-02-07,9.55
2020-02-08,9.55
2020-02-09,9.55
2020-02-10,9.444
2020-02-11,9.508
2020-02-12,9.427
2020-02-13,9.328
2020-02-14,9.347
2020-02-15,9.347
2020-02-16,9.347
2020-02-17,9.347
2020-02-18,9.285
2020-02-19,9.339
2020-02-20,9.304
2020-02-21,9.192
2020-02-22,9.192
2020-02-23,9.192
2020-02-24,8.989
2020-02-25,8.68
2020-02-26,8.852
2020-02-27,8.396
2020-02-28,8.241
2020-02-29,8.241
2020-03-01,8.241
2020-03-02,8.755
2020-03-03,8.434
2020-03-04,8.875
2020-03-05,8.752
2020-03-06,8.691
2020-03-07,8.691
2020-03-08,8.691
2020-03-09,8.184
2020-03-10,8.532
2020-03-11,8.196
2020-03-12,7.519
2020-03-13,8.338
2020-03-14,8.338
2020-03-15,8.338
2020-03-16,7.785
2020-03-17,8.574
2020-03-18,8.453
2020-03-19,8.201
2020-03-20,7.767
2020-03-21,7.767
2020-03-22,7.767
2020-03-23,7.671
2020-03-24,8.348
2020-03-25,7.969
2020-03-26,8.189
2020-03-27,8.18
2020-03-28,8.18
2020-03-29,8.18
2020-03-30,8.558
2020-03-31,8.322
2020-04-01,8.12
2020-04-02,8.574
2020-04-03,8.432
2020-04-04,8.432
2020-04-05,8.432
2020-04-06,8.685
2020-04-07,8.57
2020-04-08,8.998
2020-04-09,8.957
2020-04-10,8.957
2020-04-11,8.957
2020-04-12,8.957
2020-04-13,8.96
2020-04-14,9.31
2020-04-15,9.105
2020-04-16,9.466
2020-04-17,9.633
2020-04-18,9.633
2020-04-19,9.633
2020-04-20,9.702
2020-04-21,9.467
2020-04-22,9.407
2020-04-23,9.538
2020-04-24,9.694
2020-04-25,9.694
2020-04-26,9.694
2020-04-27,9.946
2020-04-28,9.751
2020-04-29,9.67
2020-04-30,9.833
2020-05-01,9.566
2020-05-02,9.566
2020-05-03,9.566
2020-05-04,9.571
2020-05-05,9.797
2020-05-06,9.806
2020-05-07,9.671
2020-05-08,9.733
2020-05-09,9.733
2020-05-10,9.733
2020-05-11,10.061
2020-05-12,9.891
2020-05-13,10.116
2020-05-14,10.165
2020-05-15,10.329
2020-05-16,10.329
2020-05-17,10.329
2020-05-18,10.028
2020-05-19,9.807
2020-05-20,9.826
2020-05-21,9.693
2020-05-22,9.764
2020-05-23,9.764
2020-05-24,9.764
2020-05-25,9.764
2020-05-26,9.725
2020-05-27,9.831
2020-05-28,9.801
2020-05-29,10.044
2020-05-30,10.044
2020-05-31,10.044
2020-06-01,9.922
2020-06-02,9.783
2020-06-03,9.664
2020-06-04,9.659
2020-06-05,9.868
2020-06-06,9.868
2020-06-07,9.868
2020-06-08,9.934
2020-06-09,9.896
2020-06-10,9.994
2020-06-11,9.632
2020-06-12,9.588
2020-06-13,9.588
2020-06-14,9.588
2020-06-15,9.671
2020-06-16,10.017
2020-06-17,9.977
2020-06-18,10.104
2020-06-19,10.471
2020-06-20,10.471
2020-06-21,10.471
2020-06-22,10.292
2020-06-23,10.361
2020-06-24,10.219
