,JPM US Equity,JPM US Equity,JPM US Equity,JPM US Equity,JPM US Equity
,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
2020-01-01,121.2748,122.1241,121.0866,122.0541,7201834.0
2020-01-02,122.3956,123.5425,121.9359,123.5338,10811019.0
2020-01-03,121.1634,122.6879,120.7933,121.9036,10387518.0
2020-01-04,121.1634,122.6879,120.7933,121.9036,10387518.0
2020-01-05,121.1634,122.6879,120.7933,121.9036,10387518.0
2020-01-06,120.3351,121.8419,120.2822,121.8067,10266522.0
2020-01-07,120.9695,121.4806,119.683,119.7359,10576911.0
2020-01-08,119.5773,121.2339,119.4891,120.6699,9697731.0
2020-01-09,121.6481,121.8067,120.7581,121.1105,9470746.0
2020-01-10,120.9079,120.9431,119.6742,119.9033,10192026.0
2020-01-11,120.9079,120.9431,119.6742,119.9033,10192026.0
2020-01-12,120.9079,120.9431,119.6742,119.9033,10192026.0
2020-01-13,120.0091,120.8991,119.6257,120.8991,12381809.0
2020-01-14,121.5511,124.0361,121.3308,122.309,24942958.0
2020-01-15,121.4718,122.1327,119.9738,120.4761,16293416.0
2020-01-16,121.1193,121.5159,120.5818,120.9431,10783752.0
2020-01-17,121.1987,121.8551,121.0048,121.7802,14697672.0
2020-01-18,121.1987,121.8551,121.0048,121.7802,14697672.0
2020-01-19,121.1987,121.8551,121.0048,121.7802,14697672.0
2020-01-20,121.1987,121.8551,121.0048,121.7802,14697672.0
2020-01-21,120.8902,121.6657,120.4496,120.5818,8474247.0
2020-01-22,120.9343,121.0753,120.1765,120.4408,7549111.0
2020-01-23,119.5861,120.4978,118.7137,120.3175,9345683.0
2020-01-24,120.1677,120.2205,116.5989,117.3302,15166392.0
2020-01-25,120.1677,120.2205,116.5989,117.3302,15166392.0
2020-01-26,120.1677,120.2205,116.5989,117.3302,15166392.0
2020-01-27,114.7924,117.1452,114.2989,116.3433,12860456.0
2020-01-28,117.0571,118.934,116.7384,118.4582,13062789.0
2020-01-29,118.793,119.4363,117.8061,118.2819,9326173.0
2020-01-30,116.9249,119.9562,116.9249,119.7447,9048887.0
2020-01-31,118.511,118.8106,115.8498,116.6341,12785242.0
2020-02-01,118.511,118.8106,115.8498,116.6341,12785242.0
2020-02-02,118.511,118.8106,115.8498,116.6341,12785242.0
2020-02-03,116.8985,118.2907,116.8985,117.5241,10021369.0
2020-02-04,119.4451,120.3703,119.0309,119.216,9157126.0
2020-02-05,120.3439,121.3661,119.8504,121.2427,10150709.0
2020-02-06,121.8155,121.8595,120.8197,121.2603,8992592.0
2020-02-07,120.4849,121.3132,120.106,120.8726,6379784.0
2020-02-08,120.4849,121.3132,120.106,120.8726,6379784.0
2020-02-09,120.4849,121.3132,120.106,120.8726,6379784.0
2020-02-10,120.6788,121.4727,120.5025,121.3749,5960700.0
2020-02-11,121.8331,122.3266,121.4101,121.604,6578649.0
2020-02-12,122.1327,122.7363,121.4278,121.604,7957984.0
2020-02-13,121.3837,121.9036,120.1941,121.4983,7447535.0
2020-02-14,121.463,121.7714,120.6699,121.1282,6627891.0
2020-02-15,121.463,121.7714,120.6699,121.1282,6627891.0
2020-02-16,121.463,121.7714,120.6699,121.1282,6627891.0
2020-02-17,121.463,121.7714,120.6699,121.1282,6627891.0
2020-02-18,121.0224,121.3441,119.0045,119.5244,8997247.0
2020-02-19,120.6435,121.9477,120.1412,121.1546,7071399.0
2020-02-20,120.8726,121.9212,120.3087,121.1546,7422800.0
2020-02-21,120.3263,120.6523,118.8921,119.6742,9772770.0
2020-02-22,120.3263,120.6523,118.8921,119.6742,9772770.0
2020-02-23,120.3263,120.6523,118.8921,119.6742,9772770.0
2020-02-24,115.8234,117.3743,115.2584,116.4579,13618432.0
2020-02-25,115.4357,116.5195,110.6685,111.2588,20797188.0
2020-02-26,111.8492,113.6292,111.3293,111.5937,24836163.0
2020-02-27,108.3069,110.6949,106.8882,106.9498,23005470.0
2020-02-28,103.5573,104.412,99.2747,102.3148,45942580.0
2020-02-29,103.5573,104.412,99.2747,102.3148,45942580.0
2020-03-01,103.5573,104.412,99.2747,102.3148,45942580.0
2020-03-02,102.773,107.1349,100.8608,107.082,27355446.0
