,AZTA US Equity,AZTA US Equity,AZTA US Equity,AZTA US Equity,AZTA US Equity
,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
2019-01-01,25.5652,25.9069,25.1622,25.5652,458358.0
2019-01-02,25.1062,26.0339,25.1062,25.487,379925.0
2019-01-03,24.9597,25.1746,23.5828,23.8074,738478.0
2019-01-04,24.2469,25.282,24.2469,25.155,748141.0
2019-01-05,24.2469,25.282,24.2469,25.155,748141.0
2019-01-06,24.2469,25.282,24.2469,25.155,748141.0
2019-01-07,25.2331,25.9655,24.9695,25.6921,599563.0
2019-01-08,25.8776,26.0631,25.1208,25.6042,418459.0
2019-01-09,25.8191,27.0885,25.8191,26.3073,701803.0
2019-01-10,26.1218,27.7819,25.0671,27.7037,605505.0
2019-01-11,27.6354,28.1529,27.3424,27.4205,600251.0
2019-01-12,27.6354,28.1529,27.3424,27.4205,600251.0
2019-01-13,27.6354,28.1529,27.3424,27.4205,600251.0
2019-01-14,27.1374,27.401,26.4245,26.8151,396731.0
2019-01-15,26.8932,27.0983,26.5807,26.7077,311603.0
2019-01-16,26.8249,27.2643,26.5807,26.6198,282143.0
2019-01-17,26.5124,27.4008,26.4929,27.1374,392510.0
2019-01-18,27.1471,28.5533,27.0592,28.3873,753639.0
2019-01-19,27.1471,28.5533,27.0592,28.3873,753639.0
2019-01-20,27.1471,28.5533,27.0592,28.3873,753639.0
2019-01-21,27.1471,28.5533,27.0592,28.3873,753639.0
2019-01-22,28.192,28.192,26.5514,27.1276,791849.0
2019-01-23,27.3912,27.5084,26.8151,27.1178,476991.0
2019-01-24,27.6158,29.6372,27.6158,28.8463,656394.0
2019-01-25,28.9634,30.1645,28.7779,29.7739,703563.0
2019-01-26,28.9634,30.1645,28.7779,29.7739,703563.0
2019-01-27,28.9634,30.1645,28.7779,29.7739,703563.0
2019-01-28,28.7877,29.7398,28.3678,29.5689,381822.0
2019-01-29,29.5689,29.6372,28.6998,28.8755,314206.0
2019-01-30,29.2955,30.1938,29.0709,30.0767,432376.0
2019-01-31,29.94,30.5454,29.7691,30.3989,431675.0
2019-02-01,30.2915,30.5307,29.7154,30.1743,542158.0
2019-02-02,30.2915,30.5307,29.7154,30.1743,542158.0
2019-02-03,30.2915,30.5307,29.7154,30.1743,542158.0
2019-02-04,30.0669,30.7016,29.6665,30.6919,436046.0
2019-02-05,30.6235,31.0336,30.269,30.6528,414209.0
2019-02-06,31.7367,32.7035,30.9458,30.9653,1465127.0
2019-02-07,30.0669,30.8751,29.149,29.4419,1094693.0
2019-02-08,28.8951,29.5689,28.1139,29.0611,911002.0
2019-02-09,28.8951,29.5689,28.1139,29.0611,911002.0
2019-02-10,28.8951,29.5689,28.1139,29.0611,911002.0
2019-02-11,29.1392,29.4126,28.6021,29.0611,447775.0
2019-02-12,29.3833,29.94,29.1924,29.8716,360643.0
2019-02-13,30.2231,30.77,29.9302,30.7602,484984.0
2019-02-14,30.604,31.5024,30.3061,31.4438,566462.0
2019-02-15,31.5805,32.2055,31.1435,32.1859,591691.0
2019-02-16,31.5805,32.2055,31.1435,32.1859,591691.0
2019-02-17,31.5805,32.2055,31.1435,32.1859,591691.0
2019-02-18,31.5805,32.2055,31.1435,32.1859,591691.0
2019-02-19,32.059,32.8207,31.9809,32.7133,800245.0
2019-02-20,32.5472,33.0453,32.1957,32.9574,619619.0
2019-02-21,32.9671,33.0648,32.4203,32.4887,531585.0
2019-02-22,32.6644,32.8011,31.9809,32.1664,537946.0
2019-02-23,32.6644,32.8011,31.9809,32.1664,537946.0
2019-02-24,32.6644,32.8011,31.9809,32.1664,537946.0
2019-02-25,32.5668,32.5765,32.0395,32.2836,683259.0
2019-02-26,32.2543,32.4496,31.7172,31.9125,466419.0
2019-02-27,31.7953,31.7953,31.1118,31.6781,305232.0
2019-02-28,31.5998,31.6537,31.0611,31.4529,504947.0
2019-03-01,31.7173,32.0406,31.2374,31.3843,536629.0
2019-03-02,31.7173,32.0406,31.2374,31.3843,536629.0
2019-03-03,31.7173,32.0406,31.2374,31.3843,536629.0
2019-03-04,31.4725,31.9671,31.3059,31.9426,797787.0
2019-03-05,31.972,32.4863,31.972,32.2855,766114.0
2019-03-06,32.2267,32.4226,31.2863,31.8937,1633014.0
2019-03-07,31.7761,32.119,30.3362,30.6692,1465350.0
2019-03-08,30.1893,30.7476,29.7534,29.8856,824770.0
2019-03-09,30.1893,30.7476,29.7534,29.8856,824770.0
2019-03-10,30.1893,30.7476,29.7534,29.8856,824770.0
2019-03-11,30.0423,30.9239,29.8464,30.8945,784769.0
2019-03-12,31.0513,31.0513,29.964,30.0619,557165.0
2019-03-13,30.3068,30.3068,29.435,29.4742,451323.0
2019-03-14,29.5134,30.0521,29.5036,29.6603,1088098.0
2019-03-15,29.866,30.8847,29.7289,29.9934,1194502.0
2019-03-16,29.866,30.8847,29.7289,29.9934,1194502.0
2019-03-17,29.866,30.8847,29.7289,29.9934,1194502.0
2019-03-18,29.8856,30.1991,28.9795,29.3958,1058478.0
2019-03-19,29.5722,29.8954,29.1412,29.484,547760.0
2019-03-20,29.4644,29.6799,28.7787,28.9746,504735.0
2019-03-21,28.9551,30.5811,28.7102,30.3852,712777.0
2019-03-22,30.1501,30.3558,28.7102,28.9061,648817.0
2019-03-23,30.1501,30.3558,28.7102,28.9061,648817.0
2019-03-24,30.1501,30.3558,28.7102,28.9061,648817.0
2019-03-25,28.7494,28.9844,28.0539,28.3869,419488.0
2019-03-26,28.6416,29.1118,28.4751,28.5828,434070.0
2019-03-27,28.4947,28.7391,27.8433,28.2596,444041.0
2019-03-28,28.2596,28.6808,27.8482,28.3673,745000.0
2019-03-29,28.7396,29.1118,28.6612,28.7298,456062.0
2019-03-30,28.7396,29.1118,28.6612,28.7298,456062.0
2019-03-31,28.7396,29.1118,28.6612,28.7298,456062.0
2019-04-01,29.1314,29.5134,28.8179,29.3469,302693.0
2019-04-02,29.3371,29.4154,28.8277,28.9257,283182.0
2019-04-03,29.4448,30.297,29.2685,29.7583,552841.0
2019-04-04,29.7583,30.346,29.6113,30.3166,438109.0
2019-04-05,30.3656,31.11,30.346,30.9239,672780.0
2019-04-06,30.3656,31.11,30.346,30.9239,672780.0
2019-04-07,30.3656,31.11,30.346,30.9239,672780.0
