,ALLY US Equity,ALLY US Equity,ALLY US Equity,ALLY US Equity,ALLY US Equity
,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
2019-01-01,19.0372,19.2234,18.7447,19.1726,3172342.0
2019-01-02,18.868,19.5364,18.6819,19.3588,3298761.0
2019-01-03,19.2657,19.6126,19.1219,19.1726,3976214.0
2019-01-04,19.5703,20.006,19.5449,19.8157,3149409.0
2019-01-05,19.5703,20.006,19.5449,19.8157,3149409.0
2019-01-06,19.5703,20.006,19.5449,19.8157,3149409.0
2019-01-07,19.841,20.2726,19.7607,20.1964,3601256.0
2019-01-08,20.4418,20.7125,20.2556,20.3825,3110189.0
2019-01-09,20.4925,20.7041,20.3825,20.501,2564520.0
2019-01-10,20.391,20.6068,20.2472,20.5348,4054772.0
2019-01-11,20.5264,20.9579,20.4333,20.9156,3284720.0
2019-01-12,20.5264,20.9579,20.4333,20.9156,3284720.0
2019-01-13,20.5264,20.9579,20.4333,20.9156,3284720.0
2019-01-14,20.7464,21.1102,20.6406,20.9071,2622963.0
2019-01-15,20.9241,21.309,20.7971,21.271,2732213.0
2019-01-16,21.3809,21.8082,21.3302,21.694,2863314.0
2019-01-17,21.5755,22.1594,21.5755,21.9478,3058886.0
2019-01-18,22.0494,22.3286,21.9563,22.1171,3402678.0
2019-01-19,22.0494,22.3286,21.9563,22.1171,3402678.0
2019-01-20,22.0494,22.3286,21.9563,22.1171,3402678.0
2019-01-21,22.0494,22.3286,21.9563,22.1171,3402678.0
2019-01-22,21.9563,21.9901,21.5502,21.7109,3102814.0
2019-01-23,21.8378,21.9224,21.5206,21.5586,3477016.0
2019-01-24,21.584,21.8294,21.4656,21.4994,3568978.0
2019-01-25,21.6009,21.9605,21.5586,21.804,4316540.0
2019-01-26,21.6009,21.9605,21.5586,21.804,4316540.0
2019-01-27,21.6009,21.9605,21.5586,21.804,4316540.0
2019-01-28,21.6179,21.8717,21.4825,21.8632,4806397.0
2019-01-29,21.7786,21.8632,21.4148,21.4148,5138988.0
2019-01-30,21.9732,22.7939,21.7871,22.6416,8951523.0
2019-01-31,22.6927,22.7523,22.0584,22.1903,6069868.0
2019-02-01,22.2244,22.5224,22.0541,22.3436,3314754.0
2019-02-02,22.2244,22.5224,22.0541,22.3436,3314754.0
2019-02-03,22.2244,22.5224,22.0541,22.3436,3314754.0
2019-02-04,22.3521,22.7268,22.2414,22.5735,3616720.0
2019-02-05,22.6076,22.9226,22.6076,22.6757,3187132.0
2019-02-06,22.7098,22.829,22.5565,22.6246,3080059.0
2019-02-07,22.5224,22.6331,22.2414,22.4458,4130879.0
2019-02-08,22.2499,22.4969,22.1009,22.4969,4268548.0
2019-02-09,22.2499,22.4969,22.1009,22.4969,4268548.0
2019-02-10,22.2499,22.4969,22.1009,22.4969,4268548.0
2019-02-11,22.5224,22.6331,22.4288,22.4884,2563553.0
2019-02-12,22.6161,22.9865,22.6161,22.829,2728049.0
2019-02-13,22.863,23.0333,22.7438,22.829,3212417.0
2019-02-14,22.7949,22.846,22.6331,22.6416,3235656.0
2019-02-15,22.829,23.1227,22.7438,22.9993,3385724.0
2019-02-16,22.829,23.1227,22.7438,22.9993,3385724.0
2019-02-17,22.829,23.1227,22.7438,22.9993,3385724.0
2019-02-18,22.829,23.1227,22.7438,22.9993,3385724.0
2019-02-19,22.8715,23.2462,22.8375,23.1525,2682467.0
2019-02-20,23.1781,23.2121,23.0418,23.1355,2386470.0
2019-02-21,23.127,23.1781,22.9567,22.9993,3504985.0
2019-02-22,23.0589,23.1185,22.8971,22.9482,2261518.0
2019-02-23,23.0589,23.1185,22.8971,22.9482,2261518.0
