,EIX US Equity,EIX US Equity,EIX US Equity,EIX US Equity,EIX US Equity
,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
2020-01-01,61.772,62.4171,61.7059,62.3675,1556551.0
2020-01-02,61.7886,62.5081,61.4578,61.5157,2521946.0
2020-01-03,61.466,61.9209,61.3089,61.8465,1459386.0
2020-01-04,61.466,61.9209,61.3089,61.8465,1459386.0
2020-01-05,61.466,61.9209,61.3089,61.8465,1459386.0
2020-01-06,61.8299,62.1856,61.4102,62.1359,1360126.0
2020-01-07,62.1359,63.0209,61.8961,62.7397,1615836.0
2020-01-08,62.9795,63.5378,62.5908,62.6404,1886209.0
2020-01-09,62.6322,63.0292,62.3675,62.9713,1414175.0
2020-01-10,62.9713,63.2649,62.1194,62.442,1676924.0
2020-01-11,62.9713,63.2649,62.1194,62.442,1676924.0
2020-01-12,62.9713,63.2649,62.1194,62.442,1676924.0
2020-01-13,62.3096,62.7604,62.2435,62.3344,1243736.0
2020-01-14,62.2683,62.5743,61.7142,62.0532,2325834.0
2020-01-15,62.6818,63.9058,62.6818,63.6246,1983206.0
2020-01-16,63.5915,63.6824,63.0995,63.3186,1681232.0
2020-01-17,63.4261,64.0712,63.3765,63.6494,1626301.0
2020-01-18,63.4261,64.0712,63.3765,63.6494,1626301.0
2020-01-19,63.4261,64.0712,63.3765,63.6494,1626301.0
2020-01-20,63.4261,64.0712,63.3765,63.6494,1626301.0
2020-01-21,63.7652,64.7246,63.7156,64.675,1675013.0
2020-01-22,64.799,64.9148,63.5667,63.7404,1503866.0
2020-01-23,63.6329,64.3772,63.5502,64.2532,1388004.0
2020-01-24,64.0795,64.5013,63.4675,63.6164,1535097.0
2020-01-25,64.0795,64.5013,63.4675,63.6164,1535097.0
2020-01-26,64.0795,64.5013,63.4675,63.6164,1535097.0
2020-01-27,63.6577,63.9968,62.872,63.0292,1475679.0
2020-01-28,63.1615,63.8893,63.1615,63.5171,1587507.0
2020-01-29,63.5006,63.8603,63.3021,63.666,1239609.0
2020-01-30,63.5171,63.6908,63.269,63.4096,1318147.0
2020-01-31,63.3104,64.0051,63.1119,63.3104,2950530.0
2020-02-01,63.3104,64.0051,63.1119,63.3104,2950530.0
2020-02-02,63.3104,64.0051,63.1119,63.3104,2950530.0
2020-02-03,63.484,64.3855,63.3434,64.2284,1315403.0
2020-02-04,64.4599,64.4599,62.0946,62.4171,2916515.0
2020-02-05,62.657,64.2366,62.5081,63.9554,1695388.0
2020-02-06,64.0299,64.187,63.0374,63.0953,1329535.0
2020-02-07,63.1615,63.9472,63.0292,63.6825,1195265.0
2020-02-08,63.1615,63.9472,63.0292,63.6825,1195265.0
2020-02-09,63.1615,63.9472,63.0292,63.6825,1195265.0
2020-02-10,63.8562,64.766,63.4592,64.675,1047628.0
