,INTC US Equity,INTC US Equity,INTC US Equity,INTC US Equity,INTC US Equity
,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
2019-01-01,40.7853,41.1231,40.3176,40.6467,20490405.0
2019-01-02,39.8066,41.1144,39.642,40.7766,18774573.0
2019-01-03,39.9712,40.0837,38.4468,38.5334,32267297.0
2019-01-04,39.6983,41.201,39.4428,40.8979,35447286.0
2019-01-05,39.6983,41.201,39.4428,40.8979,35447286.0
2019-01-06,39.6983,41.201,39.4428,40.8979,35447286.0
2019-01-07,40.794,41.5691,40.4908,41.0884,22736796.0
2019-01-08,41.4002,41.5994,40.5168,41.3483,22749206.0
2019-01-09,41.5388,42.0671,41.3829,41.5821,22554525.0
2019-01-10,41.3569,42.1364,41.0625,42.0585,27202575.0
2019-01-11,41.6601,42.6916,41.6168,42.3789,21751291.0
2019-01-12,41.6601,42.6916,41.6168,42.3789,21751291.0
2019-01-13,41.6601,42.6916,41.6168,42.3789,21751291.0
2019-01-14,41.9719,42.2923,41.8333,41.8766,19193910.0
2019-01-15,42.1884,42.5522,41.9546,42.0931,22480820.0
2019-01-16,42.0931,42.3443,41.6427,41.6861,19057707.0
2019-01-17,41.5735,42.301,41.4912,41.9805,17448657.0
2019-01-18,42.5348,42.7687,42.1711,42.6041,29874317.0
2019-01-19,42.5348,42.7687,42.1711,42.6041,29874317.0
2019-01-20,42.5348,42.7687,42.1711,42.6041,29874317.0
2019-01-21,42.5348,42.7687,42.1711,42.6041,29874317.0
2019-01-22,42.4049,42.4223,41.4609,41.8073,25940722.0
2019-01-23,41.9286,42.2664,41.1577,41.5215,18960709.0
2019-01-24,42.1797,43.336,42.0931,43.0978,50578269.0
2019-01-25,40.5774,41.0798,39.6247,40.742,86471848.0
2019-01-26,40.5774,41.0798,39.6247,40.742,86471848.0
2019-01-27,40.5774,41.0798,39.6247,40.742,86471848.0
2019-01-28,39.9538,40.4735,39.8845,40.4562,35928704.0
2019-01-29,40.5168,40.6814,40.1271,40.3089,20988342.0
2019-01-30,40.4302,41.2963,40.231,41.175,26931676.0
2019-01-31,40.4475,40.8632,39.9278,40.8113,43051306.0
2019-02-01,40.7593,42.4829,40.716,42.2057,37442926.0
2019-02-02,40.7593,42.4829,40.716,42.2057,37442926.0
2019-02-03,40.7593,42.4829,40.716,42.2057,37442926.0
2019-02-04,42.1105,42.6474,41.7813,42.6301,20905010.0
2019-02-05,42.5955,43.9257,42.5955,43.3143,31641570.0
2019-02-06,43.5366,44.138,43.4233,43.493,21647843.0
2019-02-07,43.1444,43.4495,42.4297,42.9091,27825875.0
2019-02-08,42.5081,42.726,41.8457,42.5691,18851208.0
2019-02-09,42.5081,42.726,41.8457,42.5691,18851208.0
2019-02-10,42.5081,42.726,41.8457,42.5691,18851208.0
2019-02-11,42.726,42.9875,42.3425,42.5081,18004088.0
2019-02-12,43.0224,43.7022,42.9439,43.5889,18050058.0
2019-02-13,43.6935,44.2862,43.5802,43.9899,17712782.0
2019-02-14,43.9376,44.4867,43.8853,44.2862,17545365.0
2019-02-15,44.6697,45.0358,44.5302,45.0271,22520361.0
2019-02-16,44.6697,45.0358,44.5302,45.0271,22520361.0
2019-02-17,44.6697,45.0358,44.5302,45.0271,22520361.0
2019-02-18,44.6697,45.0358,44.5302,45.0271,22520361.0
2019-02-19,44.7569,45.0706,44.7481,44.8004,15611772.0
2019-02-20,45.0009,45.0881,44.5041,44.7917,21607726.0
2019-02-21,44.7307,45.184,44.6348,44.8092,16162142.0
2019-02-22,45.9335,46.1732,45.3713,45.7505,31934146.0
2019-02-23,45.9335,46.1732,45.3713,45.7505,31934146.0
2019-02-24,45.9335,46.1732,45.3713,45.7505,31934146.0
2019-02-25,46.2473,46.7267,46.073,46.2822,20711750.0
2019-02-26,46.2037,46.5175,46.1166,46.3955,16082213.0
2019-02-27,45.9858,46.5262,45.7679,46.4042,17590309.0
2019-02-28,46.1253,46.3519,46.0294,46.1601,18388820.0
2019-03-01,46.5785,46.7877,46.0991,46.4565,18359325.0
2019-03-02,46.5785,46.7877,46.0991,46.4565,18359325.0
2019-03-03,46.5785,46.7877,46.0991,46.4565,18359325.0
2019-03-04,46.8487,47.1538,46.3737,47.0143,21706135.0
2019-03-05,46.9359,47.0579,46.2909,46.7877,21057745.0
2019-03-06,46.7441,46.7616,46.1427,46.1514,14740525.0
2019-03-07,45.9945,46.1819,45.6372,45.8464,17803407.0
2019-03-08,45.2973,45.8115,45.0619,45.7418,16793891.0
2019-03-09,45.2973,45.8115,45.0619,45.7418,16793891.0
2019-03-10,45.2973,45.8115,45.0619,45.7418,16793891.0
2019-03-11,46.0904,46.7616,45.8202,46.5001,18962954.0
2019-03-12,46.4914,47.0318,46.3475,46.6918,20782077.0
2019-03-13,47.0666,47.5634,46.7616,47.3891,25522312.0
2019-03-14,47.3281,47.4588,46.4826,46.5785,26647060.0
2019-03-15,46.7877,47.668,46.7877,47.3542,46485239.0
2019-03-16,46.7877,47.668,46.7877,47.3542,46485239.0
2019-03-17,46.7877,47.668,46.7877,47.3542,46485239.0
2019-03-18,47.4327,47.5068,46.9533,47.1538,16273986.0
2019-03-19,47.4763,47.6288,47.0666,47.2148,18274766.0
2019-03-20,47.1189,47.4153,46.7267,46.9097,24325283.0
2019-03-21,46.9969,47.9295,46.9272,47.6244,19127216.0
2019-03-22,47.4153,47.6027,46.378,46.4216,21438435.0
2019-03-23,47.4153,47.6027,46.378,46.4216,21438435.0
2019-03-24,47.4153,47.6027,46.378,46.4216,21438435.0
2019-03-25,46.1689,46.67,45.6503,46.0033,16971406.0
2019-03-26,46.4739,46.8661,46.2299,46.5785,17724346.0
2019-03-27,46.7093,46.9446,46.1427,46.3345,19655973.0
