,SOI US Equity,SOI US Equity,SOI US Equity,SOI US Equity,SOI US Equity
,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
2019-01-01,9.446,9.5088,9.2183,9.4931,324588.0
2019-01-02,9.3361,10.0035,9.1947,9.9014,372375.0
2019-01-03,9.7993,9.9721,9.3793,9.6973,317691.0
2019-01-04,9.9407,10.3529,9.8818,10.3176,285530.0
2019-01-05,9.9407,10.3529,9.8818,10.3176,285530.0
2019-01-06,9.9407,10.3529,9.8818,10.3176,285530.0
2019-01-07,10.3097,10.4825,10.0506,10.4825,407879.0
2019-01-08,10.7102,10.7102,10.1841,10.4432,282761.0
2019-01-09,10.6003,11.1303,10.4511,10.7966,485735.0
2019-01-10,10.6238,10.8908,10.3725,10.7651,473987.0
2019-01-11,10.6474,11.2166,10.6003,11.1028,478782.0
2019-01-12,10.6474,11.2166,10.6003,11.1028,478782.0
2019-01-13,10.6474,11.2166,10.6003,11.1028,478782.0
2019-01-14,10.9457,11.3069,10.7337,11.2049,333835.0
2019-01-15,11.2598,11.4875,11.1028,11.4718,309440.0
2019-01-16,11.4483,11.7702,11.3462,11.7152,342538.0
2019-01-17,11.6053,11.9979,11.6053,11.9351,760386.0
2019-01-18,12.0686,12.3199,11.9587,12.2492,381083.0
2019-01-19,12.0686,12.3199,11.9587,12.2492,381083.0
2019-01-20,12.0686,12.3199,11.9587,12.2492,381083.0
2019-01-21,12.0686,12.3199,11.9587,12.2492,381083.0
2019-01-22,12.0843,12.0843,11.5739,11.7231,379190.0
2019-01-23,11.8173,11.8723,11.3776,11.4954,374937.0
2019-01-24,11.6289,12.0136,11.5661,11.9901,249495.0
2019-01-25,12.1942,12.3041,12.0961,12.1785,367657.0
2019-01-26,12.1942,12.3041,12.0961,12.1785,367657.0
2019-01-27,12.1942,12.3041,12.0961,12.1785,367657.0
2019-01-28,11.9508,12.0293,11.833,11.8958,343195.0
2019-01-29,11.9822,11.9979,11.6603,11.7388,332078.0
2019-01-30,11.8644,11.8644,11.4561,11.464,418511.0
2019-01-31,11.4718,11.8644,11.2763,11.8095,252977.0
2019-02-01,11.8409,12.2256,11.8409,11.9351,337899.0
2019-02-02,11.8409,12.2256,11.8409,11.9351,337899.0
2019-02-03,11.8409,12.2256,11.8409,11.9351,337899.0
2019-02-04,11.8409,12.2681,11.676,11.8566,442276.0
2019-02-05,11.9037,11.9037,11.6995,11.7702,216632.0
2019-02-06,11.7309,11.8301,11.6053,11.6289,285484.0
2019-02-07,11.5425,11.5739,11.0792,11.2049,419756.0
2019-02-08,11.1263,11.2441,10.6945,10.7416,542152.0
2019-02-09,11.1263,11.2441,10.6945,10.7416,542152.0
2019-02-10,11.1263,11.2441,10.6945,10.7416,542152.0
2019-02-11,10.6709,11.3383,10.6498,11.0635,681345.0
2019-02-12,11.2284,11.4797,10.9693,11.3226,374164.0
2019-02-13,11.3619,12.1471,11.3619,11.7702,466051.0
2019-02-14,11.7231,12.1157,11.5818,12.0529,260048.0
2019-02-15,12.1864,12.5476,12.1314,12.3827,265216.0
2019-02-16,12.1864,12.5476,12.1314,12.3827,265216.0
2019-02-17,12.1864,12.5476,12.1314,12.3827,265216.0
2019-02-18,12.1864,12.5476,12.1314,12.3827,265216.0
2019-02-19,12.2884,13.0736,12.2884,12.9559,596151.0
2019-02-20,12.7596,12.9951,12.5397,12.7988,678935.0
2019-02-21,12.7674,12.8773,12.5004,12.5319,430637.0
2019-02-22,12.6261,12.7596,12.5083,12.5947,147842.0
2019-02-23,12.6261,12.7596,12.5083,12.5947,147842.0
2019-02-24,12.6261,12.7596,12.5083,12.5947,147842.0
2019-02-25,12.6025,12.8616,12.5397,12.6261,202567.0
2019-02-26,12.6339,12.8381,12.6025,12.6889,327515.0
2019-02-27,12.8459,12.9951,12.5436,12.9402,542018.0
2019-02-28,13.3642,13.6233,12.5633,13.3485,914803.0
2019-03-01,13.2935,13.5134,13.0422,13.3642,426169.0
2019-03-02,13.2935,13.5134,13.0422,13.3642,426169.0
2019-03-03,13.2935,13.5134,13.0422,13.3642,426169.0
2019-03-04,13.6311,13.8196,13.2346,13.4427,940820.0
2019-03-05,13.6704,13.6861,13.0658,13.2228,260229.0
2019-03-06,13.215,13.215,12.3591,12.4455,443938.0
2019-03-07,12.4612,12.4612,12.0922,12.155,282690.0
2019-03-08,11.833,12.0686,11.6681,11.9979,349688.0
2019-03-09,11.833,12.0686,11.6681,11.9979,349688.0
2019-03-10,11.833,12.0686,11.6681,11.9979,349688.0
2019-03-11,11.9901,12.257,11.8958,12.1236,386999.0
2019-03-12,12.1785,12.6889,12.1393,12.5947,498003.0
2019-03-13,12.8773,12.9088,12.5868,12.7046,697667.0
2019-03-14,12.736,13.0265,12.6575,12.9794,1112766.0
2019-03-15,12.948,13.4034,12.948,13.1443,1113652.0
2019-03-16,12.948,13.4034,12.948,13.1443,1113652.0
2019-03-17,12.948,13.4034,12.948,13.1443,1113652.0
2019-03-18,13.2464,13.4034,12.8931,12.9245,598771.0
2019-03-19,13.1129,13.1887,12.736,12.8224,269331.0
2019-03-20,12.8224,13.1836,12.5947,13.0501,415273.0
2019-03-21,12.9948,13.4609,12.8921,13.4135,337267.0
2019-03-22,13.2713,13.2713,12.2285,12.2443,373621.0
2019-03-23,13.2713,13.2713,12.2285,12.2443,373621.0
2019-03-24,13.2713,13.2713,12.2285,12.2443,373621.0
2019-03-25,12.1969,12.5366,12.0074,12.5287,420274.0
2019-03-26,12.6709,13.0185,12.663,12.8447,252570.0
2019-03-27,12.7973,12.8724,12.4576,12.6867,236739.0
2019-03-28,12.6709,13.1449,12.6709,13.0896,242612.0
2019-03-29,13.1923,13.2002,12.7025,12.9869,490754.0
2019-03-30,13.1923,13.2002,12.7025,12.9869,490754.0
2019-03-31,13.1923,13.2002,12.7025,12.9869,490754.0
2019-04-01,13.1133,13.2831,12.9948,13.1686,281695.0
2019-04-02,13.1923,13.5241,12.9871,13.453,448588.0
2019-04-03,13.5794,14.0691,13.3779,13.4135,500858.0
2019-04-04,13.4293,13.4609,13.1528,13.2476,277914.0
2019-04-05,13.2871,13.4293,13.1291,13.2871,437309.0
2019-04-06,13.2871,13.4293,13.1291,13.2871,437309.0
2019-04-07,13.2871,13.4293,13.1291,13.2871,437309.0
2019-04-08,13.2476,13.5794,13.2096,13.3345,231974.0
2019-04-09,13.2634,13.374,13.0145,13.0975,281535.0
2019-04-10,13.1449,13.5328,13.1449,13.4135,228286.0
2019-04-11,13.4688,13.9822,13.4293,13.9585,472465.0
2019-04-12,14.0217,14.5273,14.0217,14.4167,621112.0
2019-04-13,14.0217,14.5273,14.0217,14.4167,621112.0
2019-04-14,14.0217,14.5273,14.0217,14.4167,621112.0
2019-04-15,14.4167,14.8039,14.322,14.4009,628268.0
2019-04-16,14.4878,14.9144,14.3693,14.8749,384527.0
2019-04-17,14.9697,14.9776,14.5668,14.6458,613914.0
2019-04-18,14.6853,14.8117,14.5155,14.5589,855828.0
2019-04-19,14.6853,14.8117,14.5155,14.5589,855828.0
2019-04-20,14.6853,14.8117,14.5155,14.5589,855828.0
2019-04-21,14.6853,14.8117,14.5155,14.5589,855828.0
2019-04-22,14.6853,14.946,14.6221,14.946,545387.0
2019-04-23,14.946,15.2541,14.7564,14.9302,1104853.0
2019-04-24,14.9302,15.0803,14.6853,14.709,480686.0
2019-04-25,14.709,14.8749,14.5589,14.6853,309457.0
2019-04-26,14.5589,15.0858,14.5273,14.6537,888633.0
2019-04-27,14.5589,15.0858,14.5273,14.6537,888633.0
2019-04-28,14.5589,15.0858,14.5273,14.6537,888633.0
2019-04-29,14.6932,14.7327,14.1481,14.2192,562431.0
2019-04-30,14.2982,14.4167,13.2792,13.4214,686571.0
2019-05-01,14.3061,14.4167,13.5952,14.0217,895244.0
2019-05-02,13.8637,14.393,13.6544,13.8243,582746.0
2019-05-03,13.9032,14.472,13.848,14.3298,1673756.0
2019-05-04,13.9032,14.472,13.848,14.3298,1673756.0
2019-05-05,13.9032,14.472,13.848,14.3298,1673756.0
2019-05-06,14.1481,14.8907,13.998,14.8117,587500.0
2019-05-07,14.6458,14.788,14.0375,14.1481,792759.0
2019-05-08,14.2824,14.4246,13.9901,14.1086,843964.0
2019-05-09,13.9585,14.2476,13.8637,14.0612,704620.0
2019-05-10,14.0138,14.1639,13.611,13.8006,697419.0
2019-05-11,14.0138,14.1639,13.611,13.8006,697419.0
2019-05-12,14.0138,14.1639,13.611,13.8006,697419.0
2019-05-13,13.5873,13.7058,13.2792,13.4372,371475.0
2019-05-14,13.6031,13.8322,13.5399,13.611,368569.0
2019-05-15,13.4609,14.0217,13.4372,13.9585,261601.0
2019-05-16,13.9585,14.4009,13.9585,14.3219,361723.0
2019-05-17,14.1402,14.3298,13.5399,13.5794,617916.0
2019-05-18,14.1402,14.3298,13.5399,13.5794,617916.0
2019-05-19,14.1402,14.3298,13.5399,13.5794,617916.0
2019-05-20,13.5162,13.6169,13.3424,13.374,373029.0
2019-05-21,13.4372,13.6426,13.3345,13.4056,317607.0
2019-05-22,13.2555,13.3187,12.3549,12.5761,486735.0
2019-05-23,12.3233,12.3233,11.9126,12.1258,941767.0
2019-05-24,12.2759,12.3391,11.5729,11.7072,1124839.0
2019-05-25,12.2759,12.3391,11.5729,11.7072,1124839.0
2019-05-26,12.2759,12.3391,11.5729,11.7072,1124839.0
2019-05-27,12.2759,12.3391,11.5729,11.7072,1124839.0
2019-05-28,11.6835,11.8099,11.5176,11.6519,855697.0
2019-05-29,11.3833,11.7388,11.1463,11.5966,479587.0
2019-05-30,11.5887,11.723,11.2332,11.2885,367243.0
2019-05-31,11.0594,11.3438,10.9488,11.2411,760625.0
2019-06-01,11.0594,11.3438,10.9488,11.2411,760625.0
2019-06-02,11.0594,11.3438,10.9488,11.2411,760625.0
2019-06-03,11.2253,11.5176,11.2095,11.407,825064.0
2019-06-04,11.4307,11.6914,11.3991,11.5176,243674.0
2019-06-05,11.6519,11.7346,11.1937,11.4781,384606.0
2019-06-06,11.4386,11.6519,11.3635,11.565,530005.0
2019-06-07,11.6203,12.2759,11.4939,12.11,699304.0
2019-06-08,11.6203,12.2759,11.4939,12.11,699304.0
2019-06-09,11.6203,12.2759,11.4939,12.11,699304.0
2019-06-10,12.1969,12.5682,12.1811,12.4023,425712.0
2019-06-11,12.5761,12.8171,12.2996,12.3391,402317.0
2019-06-12,12.2522,12.2522,11.7388,11.9047,326877.0
2019-06-13,12.1353,12.2466,11.8141,12.0478,475870.0
2019-06-14,12.008,12.0558,11.8649,11.9285,324077.0
2019-06-15,12.008,12.0558,11.8649,11.9285,324077.0
2019-06-16,12.008,12.0558,11.8649,11.9285,324077.0
2019-06-17,11.9126,12.3102,11.7655,12.2864,372207.0
2019-06-18,12.3341,12.6919,12.3182,12.4216,413653.0
2019-06-19,12.3579,12.5249,12.2068,12.2307,309036.0
2019-06-20,12.5011,12.6243,12.2387,12.5727,948720.0
2019-06-21,12.5727,12.7317,12.0239,12.3659,614976.0
2019-06-22,12.5727,12.7317,12.0239,12.3659,614976.0
2019-06-23,12.5727,12.7317,12.0239,12.3659,614976.0
2019-06-24,12.3261,12.7158,11.8013,11.8331,579628.0
2019-06-25,11.8092,12.2228,11.6502,12.0239,493671.0
2019-06-26,12.1273,12.5408,12.0876,12.2625,427220.0
2019-06-27,12.2625,12.3182,11.8729,11.9206,450856.0
2019-06-28,11.9921,12.1512,11.849,11.9126,1101852.0
2019-06-29,11.9921,12.1512,11.849,11.9126,1101852.0
2019-06-30,11.9921,12.1512,11.849,11.9126,1101852.0
2019-07-01,12.1273,12.2864,11.7615,11.7854,434108.0
2019-07-02,11.7218,11.7218,11.2208,11.2446,788472.0
2019-07-03,11.34,11.34,10.9265,10.9822,364072.0
2019-07-04,11.34,11.34,10.9265,10.9822,364072.0
2019-07-05,10.8629,11.1094,10.7675,10.9583,556105.0
2019-07-06,10.8629,11.1094,10.7675,10.9583,556105.0
2019-07-07,10.8629,11.1094,10.7675,10.9583,556105.0
2019-07-08,10.8868,11.1094,10.7357,10.9345,305541.0
2019-07-09,10.9345,11.0219,10.7436,10.9504,325340.0
2019-07-10,10.9822,11.3241,10.839,11.1889,497125.0
2019-07-11,11.1969,11.4115,11.0776,11.173,317231.0
2019-07-12,11.1651,11.5707,11.1333,11.3957,521390.0
2019-07-13,11.1651,11.5707,11.1333,11.3957,521390.0
2019-07-14,11.1651,11.5707,11.1333,11.3957,521390.0
2019-07-15,11.4275,11.5309,10.7834,10.8311,536173.0
2019-07-16,10.7436,11.0458,10.6084,10.672,454940.0
2019-07-17,10.6164,10.672,10.2585,10.2744,655832.0
2019-07-18,10.2665,10.5528,10.012,10.4335,639942.0
2019-07-19,10.4176,10.521,10.2426,10.4096,444239.0
2019-07-20,10.4176,10.521,10.2426,10.4096,444239.0
2019-07-21,10.4176,10.521,10.2426,10.4096,444239.0
2019-07-22,10.4891,10.9345,10.4891,10.8629,450172.0
2019-07-23,10.8629,11.0379,10.6561,10.7357,406304.0
2019-07-24,10.7118,11.0299,10.7118,10.9504,375213.0
2019-07-25,10.9663,11.0299,10.5448,10.6243,378840.0
2019-07-26,10.7436,10.7516,10.5289,10.7357,359950.0
2019-07-27,10.7436,10.7516,10.5289,10.7357,359950.0
2019-07-28,10.7436,10.7516,10.5289,10.7357,359950.0
2019-07-29,10.7277,10.839,10.1989,10.346,469084.0
2019-07-30,10.3778,11.1651,10.3142,11.1412,541844.0
2019-07-31,10.7436,11.841,10.5369,11.3798,1305882.0
2019-08-01,11.1412,11.1412,10.3659,10.6005,564531.0
2019-08-02,10.5607,10.9106,10.4653,10.8629,480015.0
2019-08-03,10.5607,10.9106,10.4653,10.8629,480015.0
2019-08-04,10.5607,10.9106,10.4653,10.8629,480015.0
2019-08-05,10.4176,10.6561,10.338,10.5687,366611.0
2019-08-06,10.672,10.7277,10.354,10.688,497749.0
2019-08-07,10.5289,10.8231,10.3062,10.7277,301298.0
2019-08-08,10.8629,10.9901,10.688,10.9822,307934.0
2019-08-09,11.014,11.1333,10.7198,11.0219,390149.0
2019-08-10,11.014,11.1333,10.7198,11.0219,390149.0
2019-08-11,11.014,11.1333,10.7198,11.0219,390149.0
2019-08-12,10.9424,11.1452,10.839,11.0856,208759.0
2019-08-13,11.0697,11.4355,11.0458,11.0617,384402.0
2019-08-14,10.7754,10.8311,10.4414,10.4891,410570.0
2019-08-15,10.4255,10.6164,10.2784,10.4494,394047.0
2019-08-16,10.4971,11.0617,10.4414,11.014,697518.0
2019-08-17,10.4971,11.0617,10.4414,11.014,697518.0
2019-08-18,10.4971,11.0617,10.4414,11.014,697518.0
2019-08-19,11.1333,11.1969,10.9345,11.0617,433234.0
2019-08-20,11.0219,11.0776,10.847,10.9901,337935.0
2019-08-21,11.1889,11.1889,10.9066,10.9822,316003.0
2019-08-22,11.0538,11.1412,10.8947,10.9345,244665.0
2019-08-23,10.7595,11.0299,10.4732,10.6005,355799.0
2019-08-24,10.7595,11.0299,10.4732,10.6005,355799.0
2019-08-25,10.7595,11.0299,10.4732,10.6005,355799.0
2019-08-26,10.7436,10.851,10.521,10.5846,453019.0
2019-08-27,10.672,10.7357,10.171,10.2108,338610.0
2019-08-28,10.2665,10.9345,10.2588,10.847,320138.0
2019-08-29,10.9027,11.3241,10.9027,11.2844,618604.0
2019-08-30,11.3639,11.5707,10.9186,10.9345,320451.0
2019-08-31,11.3639,11.5707,10.9186,10.9345,320451.0
2019-09-01,11.3639,11.5707,10.9186,10.9345,320451.0
2019-09-02,11.3639,11.5707,10.9186,10.9345,320451.0
2019-09-03,10.7039,10.7993,10.521,10.5607,386134.0
2019-09-04,10.7913,10.8947,10.4971,10.8788,494955.0
2019-09-05,11.014,11.1571,10.6959,10.7198,583789.0
