,BKH US Equity,BKH US Equity,BKH US Equity,BKH US Equity,BKH US Equity
,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
2020-01-01,66.6704,67.4648,66.6704,67.0889,301947.0
2020-01-02,67.1829,67.3367,65.0548,65.4745,282124.0
2020-01-03,65.1499,65.6624,65.073,65.2268,269384.0
2020-01-04,65.1499,65.6624,65.073,65.2268,269384.0
2020-01-05,65.1499,65.6624,65.073,65.2268,269384.0
2020-01-06,65.1584,65.8162,65.1584,65.2524,370630.0
2020-01-07,64.9193,65.1841,64.2786,65.0901,333786.0
2020-01-08,65.0901,65.2866,64.8082,64.9961,298718.0
2020-01-09,65.0132,65.6624,64.5263,65.6539,267687.0
2020-01-10,65.688,66.3714,65.688,66.1664,210515.0
2020-01-11,65.688,66.3714,65.688,66.1664,210515.0
2020-01-12,65.688,66.3714,65.688,66.1664,210515.0
2020-01-13,66.0724,67.3196,66.0724,67.1402,190655.0
2020-01-14,67.1829,67.2939,66.8711,67.2171,166922.0
2020-01-15,67.3367,68.6436,67.3367,68.3531,291353.0
2020-01-16,68.7717,69.3013,68.7205,69.2757,297773.0
2020-01-17,69.344,69.5319,68.9255,69.2159,237630.0
2020-01-18,69.344,69.5319,68.9255,69.2159,237630.0
2020-01-19,69.344,69.5319,68.9255,69.2159,237630.0
2020-01-20,69.344,69.5319,68.9255,69.2159,237630.0
2020-01-21,69.1817,69.6003,68.9767,69.5747,253501.0
2020-01-22,69.8395,70.2238,69.6686,70.0957,189067.0
2020-01-23,70.0359,70.7022,69.942,70.5484,303237.0
2020-01-24,70.6253,70.9755,70.1043,70.4459,223512.0
2020-01-25,70.6253,70.9755,70.1043,70.4459,223512.0
2020-01-26,70.6253,70.9755,70.1043,70.4459,223512.0
2020-01-27,70.3605,70.8645,69.6942,70.4459,344436.0
2020-01-28,70.6082,70.9499,70.2666,70.7705,316492.0
2020-01-29,70.7022,71.2574,70.1128,71.0866,346559.0
2020-01-30,70.9243,71.7614,70.9243,71.5735,315429.0
2020-01-31,71.2916,71.6333,70.8303,70.9243,538764.0
2020-02-01,71.2916,71.6333,70.8303,70.9243,538764.0
2020-02-02,71.2916,71.6333,70.8303,70.9243,538764.0
2020-02-03,70.9328,71.4368,70.9328,71.377,401952.0
2020-02-04,71.3258,71.4112,70.9158,70.9243,309625.0
2020-02-05,70.9243,71.9835,70.8901,71.7956,287736.0
2020-02-06,71.9237,72.8377,71.8895,71.9493,463408.0
2020-02-07,72.3935,74.418,71.4112,71.676,476106.0
2020-02-08,72.3935,74.418,71.4112,71.676,476106.0
2020-02-09,72.3935,74.418,71.4112,71.676,476106.0
2020-02-10,71.9664,72.3764,71.6931,72.1543,361959.0
