,WDR US Equity,WDR US Equity,WDR US Equity,WDR US Equity,WDR US Equity
,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
2019-01-01,15.427,15.608,15.2632,15.5821,762714.0
2019-01-02,15.3322,15.7545,15.2805,15.5649,912492.0
2019-01-03,15.4184,15.7286,15.2805,15.3322,717572.0
2019-01-04,15.4097,15.7114,15.4097,15.4787,954524.0
2019-01-05,15.4097,15.7114,15.4097,15.4787,954524.0
2019-01-06,15.4097,15.7114,15.4097,15.4787,954524.0
2019-01-07,16.0604,16.0604,15.2977,15.3322,1239512.0
2019-01-08,15.4356,15.6166,15.2201,15.2977,1005363.0
2019-01-09,15.3236,15.4787,15.2374,15.3667,1152214.0
2019-01-10,15.3754,15.7775,15.2749,15.5327,933797.0
2019-01-11,15.3492,15.3688,14.3789,14.8334,2575926.0
2019-01-12,15.3492,15.3688,14.3789,14.8334,2575926.0
2019-01-13,15.3492,15.3688,14.3789,14.8334,2575926.0
2019-01-14,14.5887,14.9908,14.545,14.6411,1465872.0
2019-01-15,14.6062,15.1569,14.6058,15.017,742233.0
2019-01-16,15.1306,15.4759,15.0957,15.3754,1702184.0
2019-01-17,15.017,15.4104,14.9296,15.3055,959781.0
2019-01-18,15.3929,15.725,15.3929,15.6027,787318.0
2019-01-19,15.3929,15.725,15.3929,15.6027,787318.0
2019-01-20,15.3929,15.725,15.3929,15.6027,787318.0
2019-01-21,15.3929,15.725,15.3929,15.6027,787318.0
2019-01-22,15.489,15.5852,15.1787,15.3142,1042490.0
2019-01-23,15.3754,15.5065,14.9908,15.1918,1161210.0
2019-01-24,15.1743,15.3841,15.0432,15.2355,686510.0
2019-01-25,15.3317,15.489,15.2618,15.3754,680479.0
2019-01-26,15.3317,15.489,15.2618,15.3754,680479.0
2019-01-27,15.3317,15.489,15.2618,15.3754,680479.0
2019-01-28,15.253,15.4803,15.1481,15.3317,655634.0
2019-01-29,15.3404,15.4278,15.0432,15.0782,924628.0
2019-01-30,15.1132,15.1726,14.5363,14.7111,1387842.0
2019-01-31,14.6411,15.0389,14.6411,14.9646,1741839.0
2019-02-01,14.982,15.1219,14.9209,15.1132,885525.0
2019-02-02,14.982,15.1219,14.9209,15.1132,885525.0
2019-02-03,14.982,15.1219,14.9209,15.1132,885525.0
2019-02-04,15.1569,15.2355,14.8772,15.0695,1022972.0
2019-02-05,15.4453,15.4453,13.9943,15.017,4775550.0
2019-02-06,14.5013,15.3142,14.4576,15.2443,1866815.0
2019-02-07,15.2093,15.5852,15.1394,15.2093,1752225.0
2019-02-08,15.0957,15.1394,14.7023,14.7635,1029968.0
2019-02-09,15.0957,15.1394,14.7023,14.7635,1029968.0
2019-02-10,15.0957,15.1394,14.7023,14.7635,1029968.0
2019-02-11,14.8334,15.5415,14.7198,15.5327,1652454.0
2019-02-12,15.6551,15.7425,15.1044,15.2268,1157878.0
2019-02-13,15.2618,15.5327,15.2618,15.3317,658152.0
2019-02-14,15.2618,15.3229,15.0782,15.1831,921158.0
2019-02-15,15.3229,15.524,15.2191,15.5152,641100.0
2019-02-16,15.3229,15.524,15.2191,15.5152,641100.0
2019-02-17,15.3229,15.524,15.2191,15.5152,641100.0
2019-02-18,15.3229,15.524,15.2191,15.5152,641100.0
2019-02-19,15.4278,15.5852,15.2967,15.5764,972480.0
2019-02-20,15.5327,15.8343,15.5327,15.8212,1117608.0
2019-02-21,15.7775,15.7775,15.5546,15.6551,685078.0
2019-02-22,15.7338,15.8911,15.6289,15.8649,478102.0
2019-02-23,15.7338,15.8911,15.6289,15.8649,478102.0
2019-02-24,15.7338,15.8911,15.6289,15.8649,478102.0
2019-02-25,15.9523,16.1096,15.7862,15.961,1178755.0
2019-02-26,15.9698,16.1184,15.8649,15.8911,601776.0
2019-02-27,15.8911,16.0921,15.8212,16.0659,491350.0
2019-02-28,16.1096,16.3282,15.9785,16.1796,915391.0
2019-03-01,16.2932,16.4768,16.0616,16.1271,654737.0
2019-03-02,16.2932,16.4768,16.0616,16.1271,654737.0
2019-03-03,16.2932,16.4768,16.0616,16.1271,654737.0
2019-03-04,16.1621,16.232,15.8911,16.0572,968586.0
2019-03-05,16.0659,16.1271,15.8561,15.961,723285.0
2019-03-06,15.9436,16.0921,15.6813,15.6901,568210.0
2019-03-07,15.6813,15.7513,15.2792,15.3404,947894.0
2019-03-08,15.288,15.4628,15.1394,15.3754,1015574.0
2019-03-09,15.288,15.4628,15.1394,15.3754,1015574.0
2019-03-10,15.288,15.4628,15.1394,15.3754,1015574.0
2019-03-11,15.489,15.8299,15.4278,15.8212,666790.0
2019-03-12,15.8649,15.9436,15.4803,15.5065,861834.0
2019-03-13,15.6027,15.6464,15.4016,15.5152,806960.0
2019-03-14,15.5327,15.5852,15.3317,15.4715,769906.0
