,HLIO US Equity,HLIO US Equity,HLIO US Equity,HLIO US Equity,HLIO US Equity
,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
2020-01-01,44.1601,45.6451,44.1601,44.8686,73497.0
2020-01-02,45.1798,45.5105,43.8685,44.5964,75861.0
2020-01-03,43.8184,45.034,43.585,44.9464,63874.0
2020-01-04,43.8184,45.034,43.585,44.9464,63874.0
2020-01-05,43.8184,45.034,43.585,44.9464,63874.0
2020-01-06,44.3532,45.7536,44.0323,45.5396,71525.0
2020-01-07,45.1895,45.4618,44.6353,45.2284,40158.0
2020-01-08,45.1507,45.8119,44.9075,45.1409,115038.0
2020-01-09,45.2673,45.7049,44.3727,44.6353,48943.0
2020-01-10,44.5964,44.8297,43.5753,43.692,68944.0
2020-01-11,44.5964,44.8297,43.5753,43.692,68944.0
2020-01-12,44.5964,44.8297,43.5753,43.692,68944.0
2020-01-13,43.6823,44.431,43.5169,44.4213,38900.0
2020-01-14,44.1588,46.4635,44.149,45.2771,76591.0
2020-01-15,45.1215,46.0161,45.0729,45.7244,47234.0
2020-01-16,46.162,47.4845,45.9189,47.4651,68186.0
2020-01-17,47.9027,47.9027,46.0064,46.0745,100083.0
2020-01-18,47.9027,47.9027,46.0064,46.0745,100083.0
2020-01-19,47.9027,47.9027,46.0064,46.0745,100083.0
2020-01-20,47.9027,47.9027,46.0064,46.0745,100083.0
2020-01-21,45.7049,45.8022,43.9545,44.0032,43148.0
2020-01-22,44.1782,44.2511,43.1669,43.7309,49534.0
2020-01-23,43.4294,44.8784,42.846,44.4797,66828.0
2020-01-24,44.645,44.645,42.7293,43.0502,44621.0
2020-01-25,44.645,44.645,42.7293,43.0502,44621.0
2020-01-26,44.645,44.645,42.7293,43.0502,44621.0
2020-01-27,41.786,43.0793,41.786,42.6223,36770.0
2020-01-28,42.9821,43.4314,42.5737,42.8362,32420.0
2020-01-29,42.9626,43.5656,42.2819,42.9626,43934.0
2020-01-30,42.3695,44.0421,42.2917,43.8476,52926.0
2020-01-31,43.4975,43.4975,41.0858,41.3484,72716.0
2020-02-01,43.4975,43.4975,41.0858,41.3484,72716.0
2020-02-02,43.4975,43.4975,41.0858,41.3484,72716.0
2020-02-03,41.7276,42.739,41.4554,41.6887,37715.0
2020-02-04,42.7098,43.0988,42.3986,42.6223,44957.0
2020-02-05,43.3516,43.7017,42.9918,43.4294,44567.0
2020-02-06,43.7406,43.8962,43.1863,43.7212,33864.0
2020-02-07,43.3808,43.8087,43.0988,43.3322,30619.0
2020-02-08,43.3808,43.8087,43.0988,43.3322,30619.0
2020-02-09,43.3808,43.8087,43.0988,43.3322,30619.0
2020-02-10,43.1669,43.7795,42.8362,43.5169,51145.0
2020-02-11,43.9934,44.9464,43.8476,44.0226,37270.0
2020-02-12,44.4699,45.3743,44.2359,44.9853,42639.0
2020-02-13,44.82,44.9853,43.7795,43.867,28089.0
2020-02-14,43.867,44.6916,43.0453,43.303,36346.0
2020-02-15,43.867,44.6916,43.0453,43.303,36346.0
2020-02-16,43.867,44.6916,43.0453,43.303,36346.0
2020-02-17,43.867,44.6916,43.0453,43.303,36346.0
2020-02-18,43.0988,43.7406,42.1204,42.7487,26916.0
2020-02-19,42.7487,42.7626,41.6876,42.0291,37222.0
2020-02-20,41.8735,42.8849,41.4165,42.5737,31777.0
2020-02-21,42.5737,42.5737,40.5121,40.6677,59844.0
2020-02-22,42.5737,42.5737,40.5121,40.6677,59844.0
2020-02-23,42.5737,42.5737,40.5121,40.6677,59844.0
2020-02-24,38.9951,40.0606,38.0032,38.4894,69573.0
2020-02-25,42.3403,48.1263,39.8022,40.5996,354692.0
2020-02-26,40.6385,41.9708,38.6061,39.7244,130656.0
2020-02-27,38.4602,39.9092,37.5013,38.6644,145069.0
2020-02-28,38.4116,38.8395,36.9821,38.6547,149337.0
2020-02-29,38.4116,38.8395,36.9821,38.6547,149337.0
2020-03-01,38.4116,38.8395,36.9821,38.6547,149337.0
2020-03-02,38.9951,40.9789,38.1588,40.6482,82865.0
2020-03-03,40.3759,41.6012,38.9951,40.1037,145872.0
