,MKC/V US Equity,MKC/V US Equity,MKC/V US Equity,MKC/V US Equity,MKC/V US Equity
,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
2020-01-01,79.3809,79.3809,79.3809,79.3809,316.0
2020-01-02,77.4738,77.4738,77.4459,77.4459,1384.0
2020-01-03,77.6704,78.9726,77.6704,78.9726,3202.0
2020-01-04,77.6704,78.9726,77.6704,78.9726,3202.0
2020-01-05,77.6704,78.9726,77.6704,78.9726,3202.0
2020-01-06,80.7823,80.7823,78.8798,78.8844,1048.0
2020-01-07,78.722,78.722,78.722,78.722,266.0
2020-01-08,79.5944,79.5944,77.6362,78.1559,1550.0
2020-01-09,78.3601,78.3601,74.5096,74.5922,7806.0
2020-01-10,76.1931,76.1931,76.1931,76.1931,510.0
2020-01-11,76.1931,76.1931,76.1931,76.1931,510.0
2020-01-12,76.1931,76.1931,76.1931,76.1931,510.0
2020-01-13,76.903,76.903,76.7963,76.7963,1532.0
2020-01-14,77.0283,77.0283,77.0283,77.0283,856.0
2020-01-15,78.4204,78.4204,78.3183,78.3183,682.0
2020-01-16,77.5248,77.5248,77.1792,77.1792,1132.0
2020-01-17,77.1768,78.0956,77.1768,78.0724,9414.0
2020-01-18,77.1768,78.0956,77.1768,78.0724,9414.0
2020-01-19,77.1768,78.0956,77.1768,78.0724,9414.0
2020-01-20,77.1768,78.0956,77.1768,78.0724,9414.0
2020-01-21,77.5063,78.9417,77.5063,78.7266,4406.0
2020-01-22,79.4737,80.3461,79.432,79.8125,11020.0
2020-01-23,79.2185,80.0909,79.2185,80.0909,9904.0
2020-01-24,80.7823,80.7823,80.1512,80.1518,1760.0
2020-01-25,80.7823,80.7823,80.1512,80.1518,1760.0
2020-01-26,80.7823,80.7823,80.1512,80.1518,1760.0
2020-01-27,80.0445,80.5085,80.0445,80.36,5270.0
2020-01-28,77.4877,78.6756,76.3323,77.1165,4564.0
2020-01-29,77.4877,78.6756,76.3323,77.1165,252.0
2020-01-30,77.2139,77.2232,76.207,76.5596,13286.0
2020-01-31,77.2603,77.2835,76.091,76.091,6358.0
2020-02-01,77.2603,77.2835,76.091,76.091,6358.0
2020-02-02,77.2603,77.2835,76.091,76.091,6358.0
2020-02-03,75.6826,76.3323,75.678,75.678,1586.0
2020-02-04,77.2232,77.2232,75.1629,75.1629,2414.0
2020-02-05,75.3207,75.3207,74.7267,74.7267,1568.0
2020-02-06,74.8752,75.8079,74.0821,75.1072,7476.0
2020-02-07,75.8218,75.8218,75.1768,75.1768,888.0
2020-02-08,75.8218,75.8218,75.1768,75.1768,888.0
2020-02-09,75.8218,75.8218,75.1768,75.1768,888.0
2020-02-10,75.8218,75.8218,75.1768,75.1768,598.0
2020-02-11,76.323,76.323,75.6103,75.9068,1562.0
2020-02-12,76.323,76.323,75.6103,75.9068,694.0
2020-02-13,76.6478,77.5155,75.8017,77.1443,6198.0
2020-02-14,77.7707,77.9564,77.4923,77.4923,3300.0
2020-02-15,77.7707,77.9564,77.4923,77.4923,3300.0
2020-02-16,77.7707,77.9564,77.4923,77.4923,3300.0
2020-02-17,77.7707,77.9564,77.4923,77.4923,3300.0
2020-02-18,70.8985,76.5643,70.8985,76.5643,1502.0
2020-02-19,76.5689,76.6432,75.9564,76.3694,39180.0
2020-02-20,74.8427,75.707,74.8427,75.5434,6284.0
2020-02-21,75.3694,75.3694,75.3694,75.3694,838.0
2020-02-22,75.3694,75.3694,75.3694,75.3694,838.0
2020-02-23,75.3694,75.3694,75.3694,75.3694,838.0
2020-02-24,73.0516,75.1583,73.0516,75.1583,2950.0
2020-02-25,74.2442,74.2442,73.7801,73.7801,1050.0
2020-02-26,73.0655,73.0655,71.0934,71.0934,3896.0
2020-02-27,71.4878,71.4878,69.9148,69.9334,3128.0
2020-02-28,68.2025,68.5142,66.5924,67.1678,6576.0
2020-02-29,68.2025,68.5142,66.5924,67.1678,6576.0
2020-03-01,68.2025,68.5142,66.5924,67.1678,6576.0
2020-03-02,65.1168,70.6526,65.1168,70.6526,13800.0
2020-03-03,72.7871,73.678,69.3116,69.8962,5228.0
2020-03-04,70.996,70.996,70.996,70.996,3004.0
2020-03-05,70.6294,70.6294,70.6294,70.6294,204.0
