,CNS US Equity,CNS US Equity,CNS US Equity,CNS US Equity,CNS US Equity
,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
2019-01-01,27.5471,27.6593,27.0263,27.4991,73135.0
2019-01-02,27.1465,27.6513,27.0686,27.5792,102635.0
2019-01-03,27.4029,28.2122,27.2949,27.5952,207249.0
2019-01-04,27.9478,29.0215,27.6032,28.4766,178189.0
2019-01-05,27.9478,29.0215,27.6032,28.4766,178189.0
2019-01-06,27.9478,29.0215,27.6032,28.4766,178189.0
2019-01-07,28.5888,29.0856,28.2603,28.6369,83643.0
2019-01-08,28.8612,28.9654,28.5647,28.9253,174476.0
2019-01-09,28.8051,29.2298,27.6593,27.8757,293371.0
2019-01-10,27.6513,27.7635,27.2026,27.3949,185605.0
2019-01-11,27.0343,27.3228,26.5696,27.2186,117454.0
2019-01-12,27.0343,27.3228,26.5696,27.2186,117454.0
2019-01-13,27.0343,27.3228,26.5696,27.2186,117454.0
2019-01-14,26.8741,27.7234,26.8741,27.451,150770.0
2019-01-15,27.3468,28.06,27.2988,27.8196,93586.0
2019-01-16,27.8436,28.8372,27.8436,28.757,81850.0
2019-01-17,28.6048,29.0575,28.6048,29.0215,47796.0
2019-01-18,29.1657,29.5743,29.1657,29.4621,125966.0
2019-01-19,29.1657,29.5743,29.1657,29.4621,125966.0
2019-01-20,29.1657,29.5743,29.1657,29.4621,125966.0
2019-01-21,29.1657,29.5743,29.1657,29.4621,125966.0
2019-01-22,29.2458,29.5903,29.1897,29.4541,176950.0
2019-01-23,29.6464,29.8467,29.358,29.6304,173069.0
2019-01-24,28.6929,29.7987,28.3485,29.5022,459710.0
2019-01-25,30.0871,30.2714,29.5343,29.7025,169725.0
2019-01-26,30.0871,30.2714,29.5343,29.7025,169725.0
2019-01-27,30.0871,30.2714,29.5343,29.7025,169725.0
2019-01-28,29.4141,30.6961,29.3339,30.3435,175538.0
2019-01-29,30.3596,30.7041,29.991,30.015,81344.0
2019-01-30,30.1192,30.1192,29.4702,29.7826,90407.0
2019-01-31,29.6625,30.3195,29.6625,30.1512,87906.0
2019-02-01,30.2714,30.3996,30.0551,30.2955,119325.0
2019-02-02,30.2714,30.3996,30.0551,30.2955,119325.0
2019-02-03,30.2714,30.3996,30.0551,30.2955,119325.0
2019-02-04,30.1993,30.2874,29.8868,30.1833,148197.0
2019-02-05,30.2314,30.3596,29.9269,30.1673,95392.0
2019-02-06,30.1512,30.1512,29.7987,30.0391,99999.0
2019-02-07,29.983,30.2073,29.6625,30.1993,148012.0
2019-02-08,30.1993,30.2874,29.9429,30.1352,79875.0
2019-02-09,30.1993,30.2874,29.9429,30.1352,79875.0
2019-02-10,30.1993,30.2874,29.9429,30.1352,79875.0
2019-02-11,30.2153,30.616,30.0631,30.6079,84746.0
2019-02-12,30.7522,31.0927,30.644,30.9284,89572.0
2019-02-13,30.9525,31.1608,30.7522,30.9925,79367.0
2019-02-14,30.8163,31.2329,30.624,31.0807,77091.0
2019-02-15,31.2249,31.6976,31.0918,31.6015,72278.0
2019-02-16,31.2249,31.6976,31.0918,31.6015,72278.0
2019-02-17,31.2249,31.6976,31.0918,31.6015,72278.0
2019-02-18,31.2249,31.6976,31.0918,31.6015,72278.0
2019-02-19,31.4893,32.2826,31.4412,32.1544,122674.0
2019-02-20,32.1063,32.3789,32.0342,32.1704,89567.0
2019-02-21,31.5374,32.0903,31.5294,32.0742,298863.0
2019-02-22,32.1864,32.7954,32.1704,32.7072,90665.0
2019-02-23,32.1864,32.7954,32.1704,32.7072,90665.0
2019-02-24,32.1864,32.7954,32.1704,32.7072,90665.0
2019-02-25,32.7713,33.0037,32.4508,32.539,67496.0
2019-02-26,32.7072,33.6126,32.7072,33.3803,178272.0
2019-02-27,33.3002,33.6081,33.0758,33.4524,102349.0
2019-02-28,33.4524,33.6767,33.1639,33.4604,140763.0
2019-03-01,33.6544,33.8969,33.6221,33.8484,115303.0
2019-03-02,33.6544,33.8969,33.6221,33.8484,115303.0
2019-03-03,33.6544,33.8969,33.6221,33.8484,115303.0
2019-03-04,33.9373,33.9373,33.2503,33.3554,116178.0
2019-03-05,33.3715,33.4847,33.024,33.0725,140682.0
2019-03-06,33.1129,33.3473,32.8381,32.9189,107180.0
2019-03-07,32.8785,33.1129,32.6077,32.8138,57110.0
2019-03-08,32.7815,33.4604,32.7815,33.4119,92744.0
2019-03-09,32.7815,33.4604,32.7815,33.4119,92744.0
2019-03-10,32.7815,33.4604,32.7815,33.4119,92744.0
2019-03-11,33.5251,33.5897,33.1937,33.42,232320.0
2019-03-12,33.6867,33.6867,33.2907,33.5412,143286.0
2019-03-13,33.7433,34.1312,33.7433,34.1232,143871.0
2019-03-14,34.1393,34.1393,33.4362,33.5008,73836.0
2019-03-15,33.5008,33.7514,33.3634,33.4766,207558.0
2019-03-16,33.5008,33.7514,33.3634,33.4766,207558.0
2019-03-17,33.5008,33.7514,33.3634,33.4766,207558.0
2019-03-18,33.5897,34.0504,33.5493,33.8322,87609.0
2019-03-19,33.9454,34.0585,33.2745,33.3877,79375.0
2019-03-20,33.2988,33.3796,32.9108,33.1775,95122.0
2019-03-21,33.0563,33.6301,33.0563,33.4604,82593.0
2019-03-22,33.2341,33.4523,33.1371,33.1937,108242.0
2019-03-23,33.2341,33.4523,33.1371,33.1937,108242.0
2019-03-24,33.2341,33.4523,33.1371,33.1937,108242.0
2019-03-25,33.1856,33.5251,32.8785,33.2826,77785.0
2019-03-26,33.4443,33.7271,33.3149,33.6786,75862.0
2019-03-27,33.3796,33.9696,32.8866,33.8888,197884.0
2019-03-28,33.9858,34.2282,33.6382,34.0908,53744.0
2019-03-29,34.3091,34.3818,34.1474,34.1636,58539.0
2019-03-30,34.3091,34.3818,34.1474,34.1636,58539.0
2019-03-31,34.3091,34.3818,34.1474,34.1636,58539.0
2019-04-01,34.4465,34.7899,34.2969,34.5758,107595.0
2019-04-02,34.6889,34.6889,34.1999,34.3252,131819.0
2019-04-03,34.5354,34.6081,34.2282,34.5273,133136.0
2019-04-04,34.5515,34.7374,34.1312,34.7212,174279.0
2019-04-05,34.9395,36.1518,34.9395,36.1276,200295.0
2019-04-06,34.9395,36.1518,34.9395,36.1276,200295.0
2019-04-07,34.9395,36.1518,34.9395,36.1276,200295.0
2019-04-08,36.0871,36.1276,35.675,35.877,126194.0
2019-04-09,35.9659,36.0063,35.4082,35.5376,138894.0
2019-04-10,35.6992,36.37,35.6992,36.1437,138241.0
2019-04-11,36.4751,36.9762,36.4589,36.7418,204509.0
2019-04-12,37.1378,37.4813,37.0328,37.4692,136793.0
2019-04-13,37.1378,37.4813,37.0328,37.4692,136793.0
2019-04-14,37.1378,37.4813,37.0328,37.4692,136793.0
2019-04-15,37.6147,37.6147,37.3076,37.5743,107894.0
2019-04-16,37.7925,38.0826,37.6228,37.9541,205290.0
2019-04-17,38.1724,38.3785,37.788,38.14,254967.0
