,WHD US Equity,WHD US Equity,WHD US Equity,WHD US Equity,WHD US Equity
,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
2019-01-01,26.1584,26.3674,25.2948,26.0349,295497.0
2019-01-02,25.7975,27.3505,25.5885,27.0988,334707.0
2019-01-03,26.9943,27.1652,25.8925,26.9563,300884.0
2019-01-04,27.4122,28.1721,26.9201,28.0486,380085.0
2019-01-05,27.4122,28.1721,26.9201,28.0486,380085.0
2019-01-06,27.4122,28.1721,26.9201,28.0486,380085.0
2019-01-07,28.0011,28.837,27.0323,28.2101,393214.0
2019-01-08,28.6565,28.8607,27.3457,27.4312,388811.0
2019-01-09,27.8016,28.3525,27.3652,27.9536,155959.0
2019-01-10,28.0011,29.1314,27.4977,29.0839,191718.0
2019-01-11,28.9509,29.1029,27.9061,28.419,308457.0
2019-01-12,28.9509,29.1029,27.9061,28.419,308457.0
2019-01-13,28.9509,29.1029,27.9061,28.419,308457.0
2019-01-14,28.0296,29.2074,27.8301,28.1721,230018.0
2019-01-15,28.438,28.9604,28.0961,28.7135,167950.0
2019-01-16,28.6945,29.9293,28.4164,29.6348,234561.0
2019-01-17,29.5398,30.5657,29.5042,30.2712,279789.0
2019-01-18,30.6511,31.1166,30.3567,30.6036,329605.0
2019-01-19,30.6511,31.1166,30.3567,30.6036,329605.0
2019-01-20,30.6511,31.1166,30.3567,30.6036,329605.0
2019-01-21,30.6511,31.1166,30.3567,30.6036,329605.0
2019-01-22,30.3947,30.3947,29.3689,29.8058,292800.0
2019-01-23,30.0907,30.3567,29.4543,29.6728,346459.0
2019-01-24,29.6918,30.8316,29.6681,30.7271,388678.0
2019-01-25,31.0596,31.7719,30.8221,31.335,137419.0
2019-01-26,31.0596,31.7719,30.8221,31.335,137419.0
2019-01-27,31.0596,31.7719,30.8221,31.335,137419.0
2019-01-28,30.8316,31.0406,29.9863,30.6701,183065.0
2019-01-29,30.9456,31.183,30.4232,30.8031,164195.0
2019-01-30,31.0881,31.3445,30.3248,30.9741,321967.0
2019-01-31,31.0311,31.563,30.9551,31.1735,167547.0
2019-02-01,31.43,31.639,31.2305,31.487,158018.0
2019-02-02,31.43,31.639,31.2305,31.487,158018.0
2019-02-03,31.43,31.639,31.2305,31.487,158018.0
2019-02-04,31.3635,31.6105,30.8886,31.468,103900.0
2019-02-05,31.506,31.9904,30.9551,31.6485,244522.0
2019-02-06,31.544,31.8812,31.373,31.7055,181696.0
2019-02-07,32.6078,33.5932,30.3187,31.1451,423847.0
2019-02-08,30.9171,31.7245,30.4232,30.4517,147810.0
2019-02-09,30.9171,31.7245,30.4232,30.4517,147810.0
2019-02-10,30.9171,31.7245,30.4232,30.4517,147810.0
2019-02-11,30.3947,31.7079,30.1002,31.6295,388967.0
2019-02-12,31.8764,32.7123,31.6675,32.6743,278804.0
2019-02-13,32.7693,33.4911,32.7503,33.3202,324356.0
2019-02-14,33.4152,34.156,33.0732,33.9091,188861.0
2019-02-15,34.194,34.9824,33.5576,34.7639,295988.0
2019-02-16,34.194,34.9824,33.5576,34.7639,295988.0
2019-02-17,34.194,34.9824,33.5576,34.7639,295988.0
2019-02-18,34.194,34.9824,33.5576,34.7639,295988.0
2019-02-19,34.6404,35.5998,34.6119,34.9824,179223.0
2019-02-20,35.1439,35.9512,34.8209,35.3908,237164.0
2019-02-21,35.2103,35.4757,33.7856,34.479,166067.0
2019-02-22,34.8779,34.8779,33.1682,33.9851,516488.0
2019-02-23,34.8779,34.8779,33.1682,33.9851,516488.0
2019-02-24,34.8779,34.8779,33.1682,33.9851,516488.0
2019-02-25,34.0325,34.6499,33.5481,33.5671,417695.0
2019-02-26,33.6716,34.5075,33.5006,34.118,403916.0
2019-02-27,34.194,35.5523,33.9661,35.0014,360639.0
2019-02-28,35.0204,35.3528,33.9043,34.441,200873.0
2019-03-01,34.6689,35.4003,34.5645,35.1154,157243.0
2019-03-02,34.6689,35.4003,34.5645,35.1154,157243.0
2019-03-03,34.6689,35.4003,34.5645,35.1154,157243.0
2019-03-04,35.2958,35.4146,34.346,35.0489,190134.0
2019-03-05,35.1059,35.3167,34.194,34.6309,119273.0
2019-03-06,34.3935,34.6499,32.8643,33.8046,363132.0
2019-03-07,32.4558,35.0584,31.3445,34.27,527505.0
2019-03-08,34.6024,35.2958,33.5576,34.6784,820826.0
2019-03-09,34.6024,35.2958,33.5576,34.6784,820826.0
2019-03-10,34.6024,35.2958,33.5576,34.6784,820826.0
2019-03-11,35.1059,36.0829,34.9064,35.5808,732877.0
2019-03-12,35.7138,35.9417,34.6309,35.0204,334063.0
2019-03-13,35.3338,35.9512,34.7544,35.4763,446203.0
2019-03-14,35.5903,35.8372,35.2483,35.4193,284325.0
2019-03-15,35.3433,36.3027,34.7544,35.5808,965731.0
2019-03-16,35.3433,36.3027,34.7544,35.5808,965731.0
2019-03-17,35.3433,36.3027,34.7544,35.5808,965731.0
2019-03-18,35.5713,36.7396,35.4288,35.8277,576745.0
