,TAP US Equity,TAP US Equity,TAP US Equity,TAP US Equity,TAP US Equity
,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
2020-01-01,49.1349,49.391,48.6962,49.2629,1644725.0
2020-01-02,49.5828,49.7381,48.5226,48.9339,1771356.0
2020-01-03,48.55,48.8699,48.157,48.7876,1955309.0
2020-01-04,48.55,48.8699,48.157,48.7876,1955309.0
2020-01-05,48.55,48.8699,48.157,48.7876,1955309.0
2020-01-06,49.0892,50.25,48.943,49.9301,2429946.0
2020-01-07,49.7107,50.0855,49.4685,49.8021,2388119.0
2020-01-08,49.9209,50.6978,49.4274,50.2865,1979237.0
2020-01-09,50.3779,50.4419,49.6381,50.2317,1341127.0
2020-01-10,50.2865,50.6613,50.2682,50.3322,1044500.0
2020-01-11,50.2865,50.6613,50.2682,50.3322,1044500.0
2020-01-12,50.2865,50.6613,50.2682,50.3322,1044500.0
2020-01-13,50.4236,50.6247,50.0489,50.6247,1778812.0
2020-01-14,50.4967,51.1365,50.3231,51.1365,2209534.0
2020-01-15,50.844,51.7215,50.7252,51.1091,1251245.0
2020-01-16,51.1274,51.822,50.94,51.7032,1139014.0
2020-01-17,51.8403,52.151,51.5844,51.7032,1020063.0
2020-01-18,51.8403,52.151,51.5844,51.7032,1020063.0
2020-01-19,51.8403,52.151,51.5844,51.7032,1020063.0
2020-01-20,51.8403,52.151,51.5844,51.7032,1020063.0
2020-01-21,51.4747,51.9042,51.0817,51.6392,1495725.0
2020-01-22,51.5935,51.7854,51.2005,51.6209,941124.0
2020-01-23,51.3741,52.1443,51.1457,51.8585,1267600.0
2020-01-24,51.9956,52.0231,50.7801,51.2919,1415162.0
2020-01-25,51.9956,52.0231,50.7801,51.2919,1415162.0
2020-01-26,51.9956,52.0231,50.7801,51.2919,1415162.0
2020-01-27,50.5424,51.5478,50.515,51.1274,1294011.0
2020-01-28,51.2096,51.7032,51.0817,51.2645,1274321.0
2020-01-29,51.4747,51.9591,51.2919,51.4564,1043382.0
2020-01-30,51.2736,51.5204,50.9354,51.4198,1136413.0
2020-01-31,51.2553,51.3376,50.6247,50.7983,3851536.0
2020-02-01,51.2553,51.3376,50.6247,50.7983,3851536.0
2020-02-02,51.2553,51.3376,50.6247,50.7983,3851536.0
2020-02-03,50.9537,51.8403,50.9446,51.4655,1656827.0
2020-02-04,51.9774,52.3795,51.9317,52.0139,1382756.0
2020-02-05,52.1236,53.0833,52.1236,53.0284,1489143.0
2020-02-06,53.2569,53.3529,52.5532,52.5532,1257171.0
2020-02-07,52.1876,52.9279,52.1145,52.8091,979309.0
2020-02-08,52.1876,52.9279,52.1145,52.8091,979309.0
2020-02-09,52.1876,52.9279,52.1145,52.8091,979309.0
2020-02-10,52.6263,53.0558,52.4709,52.8639,1316233.0
2020-02-11,53.2569,53.6408,52.9005,53.0558,1890600.0
2020-02-12,55.8343,56.6112,50.7161,50.7252,6471074.0
2020-02-13,50.5242,50.9354,49.7838,50.5973,2232893.0
2020-02-14,50.7069,50.9903,50.1586,50.4967,2123501.0
2020-02-15,50.7069,50.9903,50.1586,50.4967,2123501.0
2020-02-16,50.7069,50.9903,50.1586,50.4967,2123501.0
