,AVA US Equity,AVA US Equity,AVA US Equity,AVA US Equity,AVA US Equity
,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
2020-01-01,39.6987,40.0142,39.6406,39.9229,337897.0
2020-01-02,39.981,40.0391,39.2753,39.4082,307490.0
2020-01-03,39.2504,39.8149,39.2504,39.5576,351562.0
2020-01-04,39.2504,39.8149,39.2504,39.5576,351562.0
2020-01-05,39.2504,39.8149,39.2504,39.5576,351562.0
2020-01-06,39.4414,39.898,39.4082,39.5908,287757.0
2020-01-07,39.35,39.458,39.2421,39.3085,153800.0
2020-01-08,38.3372,39.155,38.3372,38.8852,346386.0
2020-01-09,38.7855,39.0346,38.6444,38.9267,898179.0
2020-01-10,39.1176,39.3999,39.0221,39.2006,220505.0
2020-01-11,39.1176,39.3999,39.0221,39.2006,220505.0
2020-01-12,39.1176,39.3999,39.0221,39.2006,220505.0
2020-01-13,39.1508,39.5327,38.9433,39.5327,260931.0
2020-01-14,39.6074,39.678,39.4082,39.4829,279849.0
2020-01-15,39.5244,39.8731,39.4165,39.8648,344736.0
2020-01-16,40.0723,40.6493,39.9893,40.3629,340328.0
2020-01-17,40.4459,40.9357,40.3629,40.9274,361318.0
2020-01-18,40.4459,40.9357,40.3629,40.9274,361318.0
2020-01-19,40.4459,40.9357,40.3629,40.9274,361318.0
2020-01-20,40.4459,40.9357,40.3629,40.9274,361318.0
2020-01-21,40.8942,41.2179,40.421,41.1847,293879.0
2020-01-22,41.2428,41.3009,41.0436,41.2096,250055.0
2020-01-23,41.3674,41.467,41.0768,41.4006,449960.0
2020-01-24,41.3591,41.3674,41.0104,41.1764,226758.0
2020-01-25,41.3591,41.3674,41.0104,41.1764,226758.0
2020-01-26,41.3591,41.3674,41.0104,41.1764,226758.0
2020-01-27,41.027,41.3259,40.9274,41.2013,337775.0
2020-01-28,41.2594,41.6247,41.2428,41.5002,371331.0
2020-01-29,41.5417,41.8074,41.193,41.8074,312259.0
2020-01-30,41.5915,42.0979,41.5915,42.0813,309149.0
2020-01-31,41.9983,42.2639,41.907,42.2141,340694.0
