,ADI US Equity,ADI US Equity,ADI US Equity,ADI US Equity,ADI US Equity
,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
2019-01-01,77.9257,78.333,76.9119,77.6903,1748374.0
2019-01-02,76.061,78.2334,75.9977,77.7718,2524098.0
2019-01-03,75.1197,76.3507,72.9111,73.074,4376622.0
2019-01-04,73.7348,75.1378,72.8296,74.8481,3470021.0
2019-01-05,73.7348,75.1378,72.8296,74.8481,3470021.0
2019-01-06,73.7348,75.1378,72.8296,74.8481,3470021.0
2019-01-07,74.7123,76.2059,74.296,75.3188,2656324.0
2019-01-08,76.2783,77.1925,74.83,77.1563,3993489.0
2019-01-09,77.6813,80.1071,77.6813,79.1114,3321565.0
2019-01-10,78.6498,80.2519,78.3601,80.2067,2042362.0
2019-01-11,79.7179,82.4696,79.7179,81.5192,3029782.0
2019-01-12,79.7179,82.4696,79.7179,81.5192,3029782.0
2019-01-13,79.7179,82.4696,79.7179,81.5192,3029782.0
2019-01-14,80.27,80.5506,79.0752,79.202,2239285.0
2019-01-15,79.3468,80.1433,78.7554,79.3015,1960489.0
2019-01-16,79.2925,80.1252,78.6498,78.7494,1667126.0
2019-01-17,78.3058,80.4239,77.3373,80.3877,2562998.0
2019-01-18,81.1118,82.8498,80.0438,82.6959,3471566.0
2019-01-19,81.1118,82.8498,80.0438,82.6959,3471566.0
2019-01-20,81.1118,82.8498,80.0438,82.6959,3471566.0
2019-01-21,81.1118,82.8498,80.0438,82.6959,3471566.0
2019-01-22,81.9808,82.1437,79.8446,80.6774,2749466.0
2019-01-23,80.9218,81.2024,79.4463,80.433,1590502.0
2019-01-24,81.9446,86.4433,81.9446,85.7644,6478707.0
2019-01-25,86.7148,88.8374,86.4885,88.4075,4300164.0
2019-01-26,86.7148,88.8374,86.4885,88.4075,4300164.0
2019-01-27,86.7148,88.8374,86.4885,88.4075,4300164.0
2019-01-28,85.9454,88.4346,85.864,88.1088,2260147.0
2019-01-29,88.9777,88.9777,87.4147,87.8101,2171811.0
2019-01-30,88.317,90.0096,87.9006,89.6204,2653877.0
2019-01-31,89.376,89.5751,88.7333,89.4846,2588241.0
2019-02-01,89.7652,91.0868,89.4665,91.0053,3074268.0
2019-02-02,89.7652,91.0868,89.4665,91.0053,3074268.0
2019-02-03,89.7652,91.0868,89.4665,91.0053,3074268.0
2019-02-04,90.9419,91.2316,89.367,90.245,2541880.0
2019-02-05,90.1001,90.9781,89.6566,90.8786,2472731.0
2019-02-06,91.4669,93.6665,91.4217,92.698,3279378.0
2019-02-07,91.7113,92.4174,90.1001,91.0868,3472016.0
2019-02-08,90.0187,91.3493,89.6747,91.1773,2407748.0
2019-02-09,90.0187,91.3493,89.6747,91.1773,2407748.0
2019-02-10,90.0187,91.3493,89.6747,91.1773,2407748.0
2019-02-11,92.6889,92.9152,91.4398,92.1006,2232265.0
2019-02-12,93.3497,94.9337,93.1234,94.1915,3693593.0
2019-02-13,94.5264,95.1238,93.6574,94.5173,2417148.0
2019-02-14,94.3454,95.074,93.7842,94.5807,2971563.0
2019-02-15,95.3773,95.7936,94.3951,95.7122,2289419.0
2019-02-16,95.3773,95.7936,94.3951,95.7122,2289419.0
2019-02-17,95.3773,95.7936,94.3951,95.7122,2289419.0
2019-02-18,95.3773,95.7936,94.3951,95.7122,2289419.0
2019-02-19,95.4406,95.676,94.273,94.3363,3722183.0
2019-02-20,95.1329,98.0113,94.7798,96.6897,4811711.0
2019-02-21,96.2462,96.6716,94.9699,95.2958,3518525.0
2019-02-22,96.0199,96.2462,95.2143,95.866,2248044.0
2019-02-23,96.0199,96.2462,95.2143,95.866,2248044.0
2019-02-24,96.0199,96.2462,95.2143,95.866,2248044.0
2019-02-25,96.6716,97.957,96.4997,97.6673,3987499.0
2019-02-26,97.1785,97.631,96.6716,97.0156,2083544.0
2019-02-27,96.2462,96.5087,95.0152,95.8841,2617056.0
2019-02-28,95.4839,97.5446,95.4839,97.3126,3212327.0
2019-03-01,98.1132,98.9775,97.1216,98.6591,2821391.0
2019-03-02,98.1132,98.9775,97.1216,98.6591,2821391.0
2019-03-03,98.1132,98.9775,97.1216,98.6591,2821391.0
2019-03-04,99.1686,99.6053,97.1306,98.8592,2518086.0
2019-03-05,98.8137,99.205,98.2224,98.468,2843095.0
2019-03-06,98.5499,98.857,96.9486,97.1579,2027957.0
2019-03-07,97.1306,97.1306,95.7304,96.148,2507023.0
