,MUR US Equity,MUR US Equity,MUR US Equity,MUR US Equity,MUR US Equity
,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
2020-01-01,22.8907,23.5936,22.8379,23.5497,2193443.0
2020-01-02,23.6288,23.7957,23.1894,23.33,1933076.0
2020-01-03,23.9891,24.1297,23.5233,23.9979,2738151.0
2020-01-04,23.9891,24.1297,23.5233,23.9979,2738151.0
2020-01-05,23.9891,24.1297,23.5233,23.9979,2738151.0
2020-01-06,24.1385,24.2615,23.8836,24.0945,2107266.0
2020-01-07,24.0769,24.4811,23.9451,24.3581,1578256.0
2020-01-08,24.4724,24.4724,23.5146,23.8045,2011082.0
2020-01-09,23.6112,24.0682,22.9961,24.0594,2366915.0
2020-01-10,23.91,24.1428,23.7342,23.8485,1824673.0
2020-01-11,23.91,24.1428,23.7342,23.8485,1824673.0
2020-01-12,23.91,24.1428,23.7342,23.8485,1824673.0
2020-01-13,23.8045,24.0242,23.5058,23.9891,1877013.0
2020-01-14,24.033,24.6393,23.9715,24.6042,1515191.0
2020-01-15,24.4372,24.7096,24.3054,24.4987,1157353.0
2020-01-16,24.2966,24.3625,22.8204,23.1279,5004634.0
2020-01-17,23.1806,23.3256,22.1965,22.258,3055654.0
2020-01-18,23.1806,23.3256,22.1965,22.258,3055654.0
2020-01-19,23.1806,23.3256,22.1965,22.258,3055654.0
2020-01-20,23.1806,23.3256,22.1965,22.258,3055654.0
2020-01-21,22.135,22.2492,21.4935,21.5726,2052672.0
2020-01-22,21.5287,21.7835,21.1684,21.6605,2102314.0
2020-01-23,21.1772,21.533,21.0278,21.2738,2271288.0
2020-01-24,21.0893,21.164,20.5005,20.9135,2693587.0
2020-01-25,21.0893,21.164,20.5005,20.9135,2693587.0
2020-01-26,21.0893,21.164,20.5005,20.9135,2693587.0
2020-01-27,20.3512,20.6631,20.2018,20.2457,1959927.0
2020-01-28,20.5533,20.5796,20.2018,20.439,2030870.0
2020-01-29,20.5181,20.6411,19.7606,19.8151,2733734.0
2020-01-30,17.882,19.0682,17.4777,18.6464,4876877.0
2020-01-31,18.3565,18.8925,18.0401,18.418,3713802.0
2020-02-01,18.3565,18.8925,18.0401,18.418,3713802.0
2020-02-02,18.3565,18.8925,18.0401,18.418,3713802.0
2020-02-03,18.2422,18.9891,18.1895,18.6904,3665661.0
2020-02-04,19.121,19.2484,18.8573,18.954,1986166.0
2020-02-05,19.49,20.1886,19.49,19.8503,2274398.0
2020-02-06,19.8503,19.9865,19.2879,19.6394,1680306.0
2020-02-07,19.3758,19.534,19.1913,19.2879,1473520.0
2020-02-08,19.3758,19.534,19.1913,19.2879,1473520.0
2020-02-09,19.3758,19.534,19.1913,19.2879,1473520.0
2020-02-10,19.1034,19.1825,18.8222,18.9276,1384373.0
2020-02-11,19.2703,19.4944,19.1429,19.2088,1380861.0
2020-02-12,19.8064,20.0875,19.5252,19.8679,2144990.0
2020-02-13,19.8591,20.193,19.3934,19.657,1914065.0
2020-02-14,19.8169,19.8747,19.3637,19.6037,1334085.0
2020-02-15,19.8169,19.8747,19.3637,19.6037,1334085.0
2020-02-16,19.8169,19.8747,19.3637,19.6037,1334085.0
2020-02-17,19.8169,19.8747,19.3637,19.6037,1334085.0
2020-02-18,19.4082,19.9191,19.4082,19.8614,1742658.0
2020-02-19,20.0302,20.2524,19.7192,19.8703,2120418.0
2020-02-20,19.9769,20.0302,19.5281,19.8614,1216516.0
2020-02-21,19.6037,19.737,19.1505,19.5503,1125792.0
2020-02-22,19.6037,19.737,19.1505,19.5503,1125792.0
2020-02-23,19.6037,19.737,19.1505,19.5503,1125792.0
2020-02-24,18.7683,18.8927,18.3151,18.7061,1816983.0
2020-02-25,18.6173,18.6706,17.4798,17.6931,2026386.0
2020-02-26,17.6842,17.7464,16.5911,16.7333,2253096.0
2020-02-27,16.1201,16.6089,15.0627,15.818,3806709.0
2020-02-28,15.2137,16.8844,15.1903,16.7511,5076087.0
2020-02-29,15.2137,16.8844,15.1903,16.7511,5076087.0
2020-03-01,15.2137,16.8844,15.1903,16.7511,5076087.0
2020-03-02,17.1332,17.2221,16.2001,16.9377,3963833.0
2020-03-03,17.151,17.5011,16.4667,16.6711,3223645.0
2020-03-04,17.0355,17.0621,16.3601,16.8666,2418014.0
2020-03-05,16.4489,16.8222,15.898,16.1379,4269257.0
2020-03-06,15.347,15.5425,14.0762,14.094,3948878.0
2020-03-07,15.347,15.5425,14.0762,14.094,3948878.0
2020-03-08,15.347,15.5425,14.0762,14.094,3948878.0
2020-03-09,10.0951,10.6905,8.0512,8.1045,13065582.0
2020-03-10,8.9132,9.002,7.6246,8.2911,9135240.0
2020-03-11,7.9712,8.1578,6.5849,6.6649,8540340.0
2020-03-12,6.1139,6.1317,5.2964,5.7051,10923151.0
2020-03-13,6.2828,6.7538,5.363,6.7538,12499806.0
2020-03-14,6.2828,6.7538,5.363,6.7538,12499806.0
2020-03-15,6.2828,6.7538,5.363,6.7538,12499806.0
2020-03-16,5.4563,6.6382,5.4563,5.8296,9793786.0
2020-03-17,5.9717,6.0873,4.8876,4.932,8458941.0
2020-03-18,4.4788,4.8165,3.9989,4.1589,8595214.0
2020-03-19,4.3988,4.9853,4.1411,4.9498,9578073.0
2020-03-20,5.1186,5.3941,4.6476,4.8965,7523338.0
2020-03-21,5.1186,5.3941,4.6476,4.8965,7523338.0
2020-03-22,5.1186,5.3941,4.6476,4.8965,7523338.0
2020-03-23,4.8343,4.9765,4.4433,4.7099,5084636.0
2020-03-24,5.1364,5.5985,4.8876,5.563,5828696.0
2020-03-25,5.954,6.3094,5.2519,5.563,6031470.0
2020-03-26,5.6429,6.4694,5.5096,5.7229,5433954.0
2020-03-27,5.4919,5.5185,5.0831,5.1453,6233276.0
2020-03-28,5.4919,5.5185,5.0831,5.1453,6233276.0
2020-03-29,5.4919,5.5185,5.0831,5.1453,6233276.0
2020-03-30,5.0742,5.1453,4.5854,5.0742,5162430.0
2020-03-31,5.2697,5.9451,5.2075,5.4474,6688674.0
2020-04-01,5.2697,5.2875,4.7987,4.9765,6740496.0
2020-04-02,5.323,6.7893,5.1186,5.5363,9360434.0
2020-04-03,5.9184,5.9895,4.8876,5.2964,9350243.0
2020-04-04,5.9184,5.9895,4.8876,5.2964,9350243.0
2020-04-05,5.9184,5.9895,4.8876,5.2964,9350243.0
2020-04-06,5.403,5.5541,5.1218,5.4563,5202089.0
2020-04-07,5.954,6.4161,5.7318,5.874,10270886.0
2020-04-08,6.3716,6.5405,5.8562,6.5138,7180449.0
2020-04-09,7.1625,8.1578,6.2917,7.0292,13823139.0
2020-04-10,7.1625,8.1578,6.2917,7.0292,13823139.0
2020-04-11,7.1625,8.1578,6.2917,7.0292,13823139.0
2020-04-12,7.1625,8.1578,6.2917,7.0292,13823139.0
2020-04-13,7.7313,7.9268,7.1181,7.2514,8253738.0
2020-04-14,7.1981,7.4025,6.5627,6.7271,6729198.0
2020-04-15,6.2028,6.5849,6.105,6.5583,5637968.0
2020-04-16,6.4872,6.7893,6.1317,6.2383,5329345.0
2020-04-17,6.3005,7.0914,6.2472,7.0559,6429472.0
2020-04-18,6.3005,7.0914,6.2472,7.0559,6429472.0
2020-04-19,6.3005,7.0914,6.2472,7.0559,6429472.0
2020-04-20,6.3361,7.2247,6.2561,7.0292,5924518.0
2020-04-21,6.7626,7.1714,6.5938,6.9581,7386180.0
2020-04-22,7.3314,7.5402,7.1448,7.4558,5733724.0
2020-04-23,7.8113,8.2734,7.5269,8.1489,5973057.0
2020-04-24,8.5488,8.7799,7.7401,8.1756,5316165.0
2020-04-25,8.5488,8.7799,7.7401,8.1756,5316165.0
2020-04-26,8.5488,8.7799,7.7401,8.1756,5316165.0
2020-04-27,7.909,8.2689,7.5269,8.1312,4786911.0
2020-04-28,8.3,8.5133,7.8201,8.1489,5958939.0
2020-04-29,8.5844,10.3795,8.5755,10.2817,6984194.0
2020-04-30,10.5572,11.0193,9.4286,10.5394,9413371.0
2020-05-01,9.8729,10.255,9.0687,9.2153,5969747.0
2020-05-02,9.8729,10.255,9.0687,9.2153,5969747.0
2020-05-03,9.8729,10.255,9.0687,9.2153,5969747.0
2020-05-04,8.8776,9.6685,8.7532,9.6419,4719834.0
2020-05-05,10.2906,10.5838,9.2553,9.2953,4940137.0
2020-05-06,9.4108,9.864,9.1528,9.2331,5537699.0
2020-05-07,9.242,9.9085,8.931,9.4197,4841736.0
2020-05-08,9.6419,10.5838,9.5352,10.4239,4939579.0
2020-05-09,9.6419,10.5838,9.5352,10.4239,4939579.0
2020-05-10,9.6419,10.5838,9.5352,10.4239,4939579.0
2020-05-11,10.2195,10.6461,10.1528,10.4861,3866286.0
2020-05-12,10.6638,11.2992,10.5838,10.9126,6143164.0
2020-05-13,10.886,10.8949,9.8996,10.104,7937332.0
2020-05-14,9.7574,10.3883,9.0909,10.0507,6082297.0
2020-05-15,10.0462,10.3966,9.9482,10.163,2896051.0
2020-05-16,10.0462,10.3966,9.9482,10.163,2896051.0
2020-05-17,10.0462,10.3966,9.9482,10.163,2896051.0
2020-05-18,10.8729,11.2682,10.765,11.0795,5560553.0
2020-05-19,11.1694,11.3042,10.6123,10.7291,4173277.0
2020-05-20,11.1784,11.5468,11.0346,11.2233,3809925.0
2020-05-21,11.3311,11.5467,11.0166,11.2862,4258107.0
2020-05-22,11.0526,11.2053,10.774,11.0436,2924746.0
2020-05-23,11.0526,11.2053,10.774,11.0436,2924746.0
2020-05-24,11.0526,11.2053,10.774,11.0436,2924746.0
2020-05-25,11.0526,11.2053,10.774,11.0436,2924746.0
2020-05-26,11.6277,11.6546,11.1245,11.3042,3465712.0
