,NWN US Equity,NWN US Equity,NWN US Equity,NWN US Equity,NWN US Equity
,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
2020-01-01,61.7571,62.4414,61.7571,62.2894,196357.0
2020-01-02,62.4077,62.5175,61.5206,62.2302,192724.0
2020-01-03,62.0782,62.7878,62.0782,62.4837,200819.0
2020-01-04,62.0782,62.7878,62.0782,62.4837,200819.0
2020-01-05,62.0782,62.7878,62.0782,62.4837,200819.0
2020-01-06,62.1204,62.678,61.9768,62.0359,181053.0
2020-01-07,61.8754,61.8754,60.9968,61.3601,201491.0
2020-01-08,61.4445,61.491,60.7602,61.132,288766.0
2020-01-09,59.8394,60.5237,59.2564,60.1097,236566.0
2020-01-10,60.1604,60.5237,59.7042,60.2533,428831.0
2020-01-11,60.1604,60.5237,59.7042,60.2533,428831.0
2020-01-12,60.1604,60.5237,59.7042,60.2533,428831.0
2020-01-13,60.2533,61.2671,60.152,61.0137,320813.0
2020-01-14,60.9545,61.1911,60.6166,60.8701,161138.0
2020-01-15,60.963,62.2978,60.8954,61.9599,181727.0
2020-01-16,62.264,62.7033,61.6389,61.6642,217473.0
2020-01-17,61.8501,62.3147,61.3432,62.2049,220312.0
2020-01-18,61.8501,62.3147,61.3432,62.2049,220312.0
2020-01-19,61.8501,62.3147,61.3432,62.2049,220312.0
2020-01-20,61.8501,62.3147,61.3432,62.2049,220312.0
2020-01-21,62.2725,63.1596,62.019,63.0075,290523.0
2020-01-22,62.9399,63.582,62.9399,63.3285,136784.0
2020-01-23,63.3877,64.4015,63.2356,64.3085,256844.0
2020-01-24,64.2578,64.2832,62.923,63.5482,206778.0
2020-01-25,64.2578,64.2832,62.923,63.5482,206778.0
2020-01-26,64.2578,64.2832,62.923,63.5482,206778.0
2020-01-27,63.658,64.4775,62.923,63.7847,511772.0
2020-01-28,63.827,64.5197,63.337,63.8523,279566.0
2020-01-29,63.5651,63.5904,62.7371,63.1173,311337.0
2020-01-30,62.9366,63.2767,62.1969,62.9706,275617.0
2020-01-31,62.8686,63.6338,61.9078,62.3924,2143379.0
2020-02-01,62.8686,63.6338,61.9078,62.3924,2143379.0
2020-02-02,62.8686,63.6338,61.9078,62.3924,2143379.0
