,BURL US Equity,BURL US Equity,BURL US Equity,BURL US Equity,BURL US Equity
,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
2020-01-01,229.0,230.7011,227.3,228.03,458423.0
2020-01-02,228.78,229.68,227.02,229.18,558889.0
2020-01-03,227.44,229.41,227.08,228.73,330360.0
2020-01-04,227.44,229.41,227.08,228.73,330360.0
2020-01-05,227.44,229.41,227.08,228.73,330360.0
2020-01-06,226.72,233.18,226.72,231.86,807795.0
2020-01-07,231.81,234.93,231.02,234.04,492833.0
2020-01-08,234.07,236.02,232.63,233.13,544253.0
2020-01-09,233.04,235.455,232.29,233.0,561030.0
2020-01-10,233.15,233.45,230.19,231.33,661279.0
2020-01-11,233.15,233.45,230.19,231.33,661279.0
2020-01-12,233.15,233.45,230.19,231.33,661279.0
2020-01-13,230.89,232.82,229.81,231.32,422334.0
2020-01-14,231.12,232.26,229.51,229.79,491736.0
2020-01-15,229.62,231.12,224.0601,224.11,852033.0
2020-01-16,225.29,225.88,223.68,224.98,1208645.0
2020-01-17,225.9,228.655,224.38,226.97,911264.0
2020-01-18,225.9,228.655,224.38,226.97,911264.0
2020-01-19,225.9,228.655,224.38,226.97,911264.0
2020-01-20,225.9,228.655,224.38,226.97,911264.0
2020-01-21,226.5,228.96,225.57,226.86,470093.0
2020-01-22,226.94,229.81,226.83,227.18,432696.0
2020-01-23,226.55,227.54,224.57,225.16,508221.0
2020-01-24,225.23,225.95,220.42,220.74,456705.0
2020-01-25,225.23,225.95,220.42,220.74,456705.0
2020-01-26,225.23,225.95,220.42,220.74,456705.0
2020-01-27,217.64,222.72,216.79,222.26,630980.0
2020-01-28,220.8,222.98,219.2517,221.95,579261.0
2020-01-29,223.15,224.88,220.78,223.84,569679.0
2020-01-30,222.08,223.13,217.7301,218.28,940115.0
2020-01-31,218.01,219.88,216.59,217.47,686138.0
2020-02-01,218.01,219.88,216.59,217.47,686138.0
2020-02-02,218.01,219.88,216.59,217.47,686138.0
2020-02-03,218.55,224.36,218.3,222.47,461639.0
2020-02-04,224.83,229.19,224.34,227.55,449915.0
2020-02-05,228.88,233.05,228.88,231.64,612828.0
2020-02-06,231.65,232.73,230.0,231.45,429159.0
2020-02-07,231.11,231.48,226.69,229.82,388853.0
2020-02-08,231.11,231.48,226.69,229.82,388853.0
2020-02-09,231.11,231.48,226.69,229.82,388853.0
2020-02-10,229.85,230.57,228.0,228.5,303473.0
2020-02-11,235.99,244.64,233.23,243.45,1174687.0
2020-02-12,243.26,244.27,238.375,241.32,749591.0
2020-02-13,240.41,244.2,240.0,244.14,524323.0
2020-02-14,245.02,246.72,243.26,245.68,439921.0
2020-02-15,245.02,246.72,243.26,245.68,439921.0
2020-02-16,245.02,246.72,243.26,245.68,439921.0
2020-02-17,245.02,246.72,243.26,245.68,439921.0
2020-02-18,245.52,248.89,245.52,246.97,362627.0
2020-02-19,247.33,249.29,247.19,248.09,275175.0
2020-02-20,250.0,250.89,243.115,245.8,492054.0
2020-02-21,245.22,246.75,240.14,241.31,454725.0
2020-02-22,245.22,246.75,240.14,241.31,454725.0
2020-02-23,245.22,246.75,240.14,241.31,454725.0
2020-02-24,237.09,238.87,234.47,238.16,634385.0
2020-02-25,238.96,240.975,234.415,235.24,1008939.0
2020-02-26,236.93,241.46,233.95,233.97,838963.0
2020-02-27,229.22,230.56,221.14,221.24,1009176.0
2020-02-28,215.42,220.41,210.69,216.26,1089337.0
2020-02-29,215.42,220.41,210.69,216.26,1089337.0
2020-03-01,215.42,220.41,210.69,216.26,1089337.0
2020-03-02,217.17,219.225,210.32,218.41,853150.0
2020-03-03,218.25,223.04,213.0,215.45,746950.0
2020-03-04,217.55,219.37,211.83,219.37,1296855.0
2020-03-05,216.79,227.7,216.79,218.46,1908652.0
2020-03-06,213.46,217.37,208.86,214.23,1547966.0
2020-03-07,213.46,217.37,208.86,214.23,1547966.0
2020-03-08,213.46,217.37,208.86,214.23,1547966.0
2020-03-09,202.7,209.1,198.95,201.56,1074909.0
2020-03-10,205.15,207.41,193.91,207.17,1551633.0
2020-03-11,203.7,207.84,194.86,195.43,1321667.0
2020-03-12,181.96,185.98,173.89,182.31,1419474.0
2020-03-13,190.0,193.4771,172.99,187.8,1421730.0
2020-03-14,190.0,193.4771,172.99,187.8,1421730.0
2020-03-15,190.0,193.4771,172.99,187.8,1421730.0
2020-03-16,166.35,166.35,131.03,131.78,1829721.0
2020-03-17,133.36,143.61,121.79,139.45,2044810.0
2020-03-18,125.03,126.02,106.385,120.45,2736935.0
2020-03-19,118.08,138.6,105.67,130.51,2303707.0
2020-03-20,132.91,147.25,130.5401,138.01,1951248.0
2020-03-21,132.91,147.25,130.5401,138.01,1951248.0
2020-03-22,132.91,147.25,130.5401,138.01,1951248.0
2020-03-23,136.53,139.74,126.93,134.6,983334.0
2020-03-24,139.6,156.29,139.6,154.54,1648392.0
2020-03-25,158.58,178.98,155.4102,162.0,1450309.0
2020-03-26,165.0,169.76,160.3,169.76,1322748.0
2020-03-27,162.56,163.37,153.36,155.83,1125663.0
2020-03-28,162.56,163.37,153.36,155.83,1125663.0
2020-03-29,162.56,163.37,153.36,155.83,1125663.0
2020-03-30,155.87,164.555,152.9701,162.53,801220.0
2020-03-31,162.77,164.6,157.68,158.46,877163.0
2020-04-01,154.37,156.0,142.27,146.0,788103.0
2020-04-02,144.83,151.59,141.09,145.44,813531.0
2020-04-03,143.87,144.76,137.65,140.56,868742.0
2020-04-04,143.87,144.76,137.65,140.56,868742.0
2020-04-05,143.87,144.76,137.65,140.56,868742.0
2020-04-06,148.66,159.83,146.13,159.21,1312509.0
2020-04-07,170.4,175.88,163.72,166.75,941052.0
2020-04-08,168.64,177.98,166.54,175.71,501193.0
2020-04-09,179.86,187.85,175.65,176.89,710623.0
2020-04-10,179.86,187.85,175.65,176.89,710623.0
2020-04-11,179.86,187.85,175.65,176.89,710623.0
2020-04-12,179.86,187.85,175.65,176.89,710623.0
2020-04-13,168.02,170.895,162.01,166.17,2703975.0
2020-04-14,171.62,178.15,168.33,177.18,2635546.0
2020-04-15,172.64,176.43,169.0,173.48,1427370.0
2020-04-16,175.41,179.47,172.58,175.51,835801.0
2020-04-17,181.96,185.0,175.94,182.61,955480.0
2020-04-18,181.96,185.0,175.94,182.61,955480.0
2020-04-19,181.96,185.0,175.94,182.61,955480.0
2020-04-20,178.23,180.97,176.31,177.16,764218.0
2020-04-21,172.69,177.3,170.92,172.59,842518.0
2020-04-22,173.99,175.865,170.42,174.3,563559.0
2020-04-23,173.11,175.935,170.5668,171.02,443176.0
2020-04-24,173.16,176.47,169.501,174.49,696992.0
2020-04-25,173.16,176.47,169.501,174.49,696992.0
2020-04-26,173.16,176.47,169.501,174.49,696992.0
2020-04-27,176.47,185.27,174.0,182.44,1165554.0
2020-04-28,188.31,191.59,186.02,186.79,818884.0
2020-04-29,191.03,198.45,188.94,194.6,634433.0
2020-04-30,191.23,194.11,182.69,182.69,822937.0
2020-05-01,178.83,180.04,175.14,179.46,519995.0
2020-05-02,178.83,180.04,175.14,179.46,519995.0
2020-05-03,178.83,180.04,175.14,179.46,519995.0
2020-05-04,175.59,179.18,174.78,178.35,578786.0
2020-05-05,180.06,183.24,178.37,178.82,892808.0
2020-05-06,180.33,180.8,174.33,175.67,526907.0
2020-05-07,178.81,181.74,178.15,178.33,671392.0
2020-05-08,181.69,182.07,177.025,179.07,760913.0
2020-05-09,181.69,182.07,177.025,179.07,760913.0
2020-05-10,181.69,182.07,177.025,179.07,760913.0
2020-05-11,178.03,179.29,174.83,176.09,569420.0
2020-05-12,178.12,178.22,167.25,167.4,883237.0
2020-05-13,167.06,167.06,159.365,162.55,1232510.0
2020-05-14,160.42,166.59,155.03,166.28,925664.0
2020-05-15,164.2,170.74,161.75,167.78,874597.0
2020-05-16,164.2,170.74,161.75,167.78,874597.0
2020-05-17,164.2,170.74,161.75,167.78,874597.0
2020-05-18,177.01,185.0,176.55,178.67,864430.0
2020-05-19,178.25,183.43,175.5,177.97,764469.0
2020-05-20,179.79,184.87,179.79,183.93,828127.0
2020-05-21,193.99,203.73,192.38,202.38,2052335.0
2020-05-22,197.78,202.91,197.18,202.35,822047.0
2020-05-23,197.78,202.91,197.18,202.35,822047.0
2020-05-24,197.78,202.91,197.18,202.35,822047.0
2020-05-25,197.78,202.91,197.18,202.35,822047.0
2020-05-26,211.39,214.53,206.55,208.84,1413550.0
2020-05-27,211.0,214.515,204.42,210.32,1515806.0
2020-05-28,209.35,223.5799,208.01,213.42,2250468.0
2020-05-29,212.5,214.8,207.0,209.67,1599518.0
2020-05-30,212.5,214.8,207.0,209.67,1599518.0
2020-05-31,212.5,214.8,207.0,209.67,1599518.0
2020-06-01,207.0,214.24,206.51,206.77,1211519.0
2020-06-02,208.93,212.69,206.03,211.94,903944.0
2020-06-03,214.47,219.775,212.53,216.99,840655.0
2020-06-04,214.83,216.99,208.7,210.05,903774.0
2020-06-05,215.48,219.82,210.89,216.05,911504.0
2020-06-06,215.48,219.82,210.89,216.05,911504.0
2020-06-07,215.48,219.82,210.89,216.05,911504.0
2020-06-08,216.22,218.11,212.255,214.13,903601.0
2020-06-09,210.76,215.14,208.65,212.63,595855.0
2020-06-10,212.6,215.3,208.01,212.14,902545.0
2020-06-11,203.4,208.39,200.26,203.28,931002.0
2020-06-12,209.45,211.1799,198.45,203.53,898459.0
2020-06-13,209.45,211.1799,198.45,203.53,898459.0
2020-06-14,209.45,211.1799,198.45,203.53,898459.0
2020-06-15,197.0,206.18,195.0,206.08,872350.0
2020-06-16,214.74,217.77,206.06,213.74,804430.0
2020-06-17,213.6,215.42,211.67,212.56,585267.0
2020-06-18,209.07,212.5,208.3,209.02,569974.0
2020-06-19,213.34,214.0,204.72,206.67,1211939.0
2020-06-20,213.34,214.0,204.72,206.67,1211939.0
2020-06-21,213.34,214.0,204.72,206.67,1211939.0
2020-06-22,204.73,207.0,201.11,204.81,588796.0
2020-06-23,207.15,211.86,206.45,209.45,680963.0
2020-06-24,206.12,207.72,199.655,203.61,690343.0
