,2061517D US Equity,2061517D US Equity,2061517D US Equity,2061517D US Equity,2061517D US Equity
,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
2020-01-01,120.5,121.77,120.3,120.93,349298.0
2020-01-02,122.19,125.05,121.25,124.94,386536.0
2020-01-03,122.45,124.9075,122.45,124.55,295443.0
2020-01-04,122.45,124.9075,122.45,124.55,295443.0
2020-01-05,122.45,124.9075,122.45,124.55,295443.0
2020-01-06,123.66,126.86,123.51,126.67,510005.0
2020-01-07,126.67,128.93,125.86,128.49,357736.0
2020-01-08,128.83,132.245,128.07,131.14,703541.0
2020-01-09,132.56,136.36,131.78,136.2,732496.0
2020-01-10,137.44,138.42,136.24,138.14,648081.0
2020-01-11,137.44,138.42,136.24,138.14,648081.0
2020-01-12,137.44,138.42,136.24,138.14,648081.0
2020-01-13,138.46,139.26,137.4,138.94,513206.0
2020-01-14,139.32,140.37,137.51,140.08,446744.0
2020-01-15,140.07,142.3177,139.925,140.2,409341.0
2020-01-16,140.8,141.5512,139.935,140.4,324798.0
2020-01-17,141.41,141.9,139.32,141.7,382736.0
2020-01-18,141.41,141.9,139.32,141.7,382736.0
2020-01-19,141.41,141.9,139.32,141.7,382736.0
2020-01-20,141.41,141.9,139.32,141.7,382736.0
2020-01-21,140.91,142.68,140.53,140.75,478697.0
2020-01-22,141.71,142.89,140.27,140.62,610266.0
2020-01-23,140.67,142.0,139.89,140.59,447575.0
2020-01-24,141.02,142.665,139.42,140.31,373890.0
2020-01-25,141.02,142.665,139.42,140.31,373890.0
2020-01-26,141.02,142.665,139.42,140.31,373890.0
2020-01-27,136.45,138.19,135.97,136.2,483503.0
2020-01-28,136.96,139.61,136.3968,138.96,398720.0
2020-01-29,139.17,141.58,138.59,140.35,454149.0
2020-01-30,125.09,127.52,118.0,122.34,3063821.0
2020-01-31,122.1,122.2,118.06,118.98,1211664.0
2020-02-01,122.1,122.2,118.06,118.98,1211664.0
2020-02-02,122.1,122.2,118.06,118.98,1211664.0
2020-02-03,119.26,120.945,118.09,118.51,650317.0
2020-02-04,119.67,122.45,119.0,122.4,1070602.0
2020-02-05,124.02,126.29,122.34,125.99,1030051.0
2020-02-06,126.04,128.32,125.06,127.92,1044885.0
2020-02-07,127.54,129.27,127.34,129.08,1240413.0
2020-02-08,127.54,129.27,127.34,129.08,1240413.0
2020-02-09,127.54,129.27,127.34,129.08,1240413.0
2020-02-10,128.52,130.3,128.5,129.92,1128113.0
2020-02-11,130.91,130.99,127.51,128.55,941505.0
2020-02-12,129.04,129.4972,126.85,128.75,521239.0
2020-02-13,127.99,129.18,126.74,126.79,644831.0
2020-02-14,127.21,129.38,126.51,127.32,614835.0
2020-02-15,127.21,129.38,126.51,127.32,614835.0
2020-02-16,127.21,129.38,126.51,127.32,614835.0
2020-02-17,127.21,129.38,126.51,127.32,614835.0
2020-02-18,126.84,128.21,126.33,127.23,427174.0
2020-02-19,127.85,129.87,126.97,128.26,503410.0
2020-02-20,128.06,128.53,124.21,125.44,502657.0
2020-02-21,125.09,125.09,121.93,123.37,604276.0
2020-02-22,125.09,125.09,121.93,123.37,604276.0
2020-02-23,125.09,125.09,121.93,123.37,604276.0
2020-02-24,118.41,120.395,114.01,117.84,1245903.0
2020-02-25,119.01,119.41,114.46,115.0,592057.0
2020-02-26,115.02,117.63,113.43,113.59,547657.0
2020-02-27,111.25,111.6,104.95,104.99,1062737.0
2020-02-28,101.56,107.46,101.0,106.51,1031575.0
2020-02-29,101.56,107.46,101.0,106.51,1031575.0
2020-03-01,101.56,107.46,101.0,106.51,1031575.0
2020-03-02,107.5,109.23,102.72,109.03,730493.0
2020-03-03,109.03,110.2,104.85,106.78,703117.0
2020-03-04,108.54,110.21,107.12,110.2,510183.0
2020-03-05,107.15,109.46,106.38,108.69,633596.0
2020-03-06,105.28,106.65,100.1,103.1,747171.0
2020-03-07,105.28,106.65,100.1,103.1,747171.0
2020-03-08,105.28,106.65,100.1,103.1,747171.0
2020-03-09,95.58,96.21,90.05,90.76,2683863.0
2020-03-10,93.37,95.73,91.34,95.57,1411299.0
2020-03-11,92.51,96.21,91.38,94.8,1650695.0
2020-03-12,89.25,94.55,88.0,88.48,1373271.0
2020-03-13,93.35,96.13,87.5,96.13,1070160.0
2020-03-14,93.35,96.13,87.5,96.13,1070160.0
2020-03-15,93.35,96.13,87.5,96.13,1070160.0
2020-03-16,88.27,95.9,88.11,88.4,1204760.0
2020-03-17,90.14,94.7399,87.502,89.66,1028936.0
2020-03-18,88.27,89.43,83.9,88.92,1113756.0
2020-03-19,88.25,90.73,85.29,85.83,886569.0
2020-03-20,87.32,88.59,75.0,76.37,1040949.0
2020-03-21,87.32,88.59,75.0,76.37,1040949.0
2020-03-22,87.32,88.59,75.0,76.37,1040949.0
2020-03-23,76.64,79.8232,73.07,78.66,989001.0
2020-03-24,82.45,86.38,79.94,85.71,933051.0
2020-03-25,85.98,92.68,84.43,90.98,648003.0
2020-03-26,91.73,98.88,91.73,98.13,622168.0
2020-03-27,94.77,96.91,94.12,95.1,474703.0
2020-03-28,94.77,96.91,94.12,95.1,474703.0
2020-03-29,94.77,96.91,94.12,95.1,474703.0
2020-03-30,95.46,99.205,95.46,97.95,498953.0
2020-03-31,97.37,99.53,93.93,95.07,604507.0
2020-04-01,91.35,94.36,87.71,89.27,450470.0
2020-04-02,87.39,93.84,86.89,89.38,717363.0
2020-04-03,88.9,90.23,86.18,88.8,431711.0
2020-04-04,88.9,90.23,86.18,88.8,431711.0
2020-04-05,88.9,90.23,86.18,88.8,431711.0
2020-04-06,91.44,93.99,89.98,93.42,722404.0
2020-04-07,97.04,98.865,91.29,91.95,554150.0
2020-04-08,92.57,95.94,91.53,94.87,550248.0
2020-04-09,95.76,99.17,94.01,97.24,590322.0
2020-04-10,95.76,99.17,94.01,97.24,590322.0
2020-04-11,95.76,99.17,94.01,97.24,590322.0
2020-04-12,95.76,99.17,94.01,97.24,590322.0
