,SYF US Equity,SYF US Equity,SYF US Equity,SYF US Equity,SYF US Equity
,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
2019-01-01,20.2784,20.4077,19.7869,20.2267,7749821.0
2019-01-02,19.9594,20.925,19.9335,20.925,8662529.0
2019-01-03,21.0802,21.1492,20.606,20.7698,6948328.0
2019-01-04,21.1664,21.8519,21.117,21.7613,8027611.0
2019-01-05,21.1664,21.8519,21.117,21.7613,8027611.0
2019-01-06,21.1664,21.8519,21.117,21.7613,8027611.0
2019-01-07,21.6923,22.0631,21.4854,21.8734,3993781.0
2019-01-08,21.9941,22.0717,21.5587,21.9165,4347101.0
2019-01-09,22.0114,22.4252,21.8863,22.408,5126921.0
2019-01-10,22.3217,22.3347,21.8649,22.201,4892833.0
2019-01-11,22.0458,22.5459,21.9682,22.4338,5670805.0
2019-01-12,22.0458,22.5459,21.9682,22.4338,5670805.0
2019-01-13,22.0458,22.5459,21.9682,22.4338,5670805.0
2019-01-14,22.2355,22.3692,22.0286,22.2873,6465869.0
2019-01-15,22.2528,22.2786,21.9424,22.2183,4441993.0
2019-01-16,22.2097,22.9339,22.2097,22.7442,4933125.0
2019-01-17,22.6063,22.8477,22.4511,22.7183,3153764.0
2019-01-18,22.7701,22.9166,22.4424,22.658,6534481.0
2019-01-19,22.7701,22.9166,22.4424,22.658,6534481.0
2019-01-20,22.7701,22.9166,22.4424,22.658,6534481.0
2019-01-21,22.7701,22.9166,22.4424,22.658,6534481.0
2019-01-22,22.8477,23.0546,22.6752,22.8908,12985294.0
2019-01-23,25.8308,25.8653,24.7313,25.348,40739370.0
2019-01-24,25.6325,26.236,25.348,25.7015,23959449.0
2019-01-25,25.848,26.1498,25.6756,25.6842,11871180.0
2019-01-26,25.848,26.1498,25.6756,25.6842,11871180.0
2019-01-27,25.848,26.1498,25.6756,25.6842,11871180.0
2019-01-28,25.529,26.1412,25.4773,25.848,11749783.0
2019-01-29,25.8739,26.0636,25.4859,25.5635,9459209.0
2019-01-30,25.848,26.055,25.6627,25.9256,7011298.0
2019-01-31,25.7963,26.055,25.7446,25.8998,8351866.0
2019-02-01,25.9085,26.0908,25.7088,25.7782,6321178.0
2019-02-02,25.9085,26.0908,25.7088,25.7782,6321178.0
2019-02-03,25.9085,26.0908,25.7088,25.7782,6321178.0
2019-02-04,25.7869,25.8824,25.3441,25.8043,6806654.0
2019-02-05,25.8303,26.1255,25.7088,26.0387,8605946.0
2019-02-06,26.03,26.2775,25.8216,26.1429,6817118.0
2019-02-07,26.1168,26.2775,25.8737,26.1429,7865403.0
2019-02-08,25.9779,26.2471,25.8433,25.9953,6207411.0
2019-02-09,25.9779,26.2471,25.8433,25.9953,6207411.0
2019-02-10,25.9779,26.2471,25.8433,25.9953,6207411.0
2019-02-11,26.0474,26.386,26.0474,26.3686,7950911.0
2019-02-12,26.5162,26.9069,26.412,26.4294,7256970.0
2019-02-13,26.5162,26.8896,26.5162,26.7159,3913322.0
2019-02-14,26.8809,27.0719,26.6986,26.768,7723452.0
2019-02-15,27.0111,27.645,27.0111,27.5668,7141839.0
2019-02-16,27.0111,27.645,27.0111,27.5668,7141839.0
2019-02-17,27.0111,27.645,27.0111,27.5668,7141839.0
2019-02-18,27.0111,27.645,27.0111,27.5668,7141839.0
2019-02-19,27.506,27.6536,27.3932,27.5755,4788140.0
2019-02-20,27.5842,27.8316,27.5668,27.6015,7874624.0
2019-02-21,27.6536,27.7752,27.4756,27.5929,5339951.0
2019-02-22,27.6623,27.9287,27.6276,27.6797,6074349.0
2019-02-23,27.6623,27.9287,27.6276,27.6797,6074349.0
2019-02-24,27.6623,27.9287,27.6276,27.6797,6074349.0
2019-02-25,27.8881,28.0487,27.6276,27.6363,8686392.0
2019-02-26,27.5321,27.9141,27.4713,27.7926,9412626.0
2019-02-27,27.7839,27.9634,27.6884,27.8012,10472872.0
2019-02-28,27.836,28.3482,27.7491,28.3135,12213495.0
2019-03-01,28.4785,28.8648,28.1225,28.1833,5769544.0
