,CG US Equity,CG US Equity,CG US Equity,CG US Equity,CG US Equity
,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
2019-01-01,13.0817,13.1897,12.5733,12.7105,1386753.0
2019-01-02,12.5733,13.0898,12.5652,12.9284,410333.0
2019-01-03,12.8638,12.8932,12.541,12.5572,671382.0
2019-01-04,13.0495,13.2351,12.7186,13.0737,889556.0
2019-01-05,13.0495,13.2351,12.7186,13.0737,889556.0
2019-01-06,13.0495,13.2351,12.7186,13.0737,889556.0
2019-01-07,13.1544,13.3965,12.993,13.3481,597015.0
2019-01-08,13.4449,13.8242,13.4126,13.7193,691844.0
2019-01-09,13.7838,14.0582,13.5538,14.0421,751849.0
2019-01-10,13.9291,14.0086,13.7354,13.921,475904.0
2019-01-11,13.8242,13.9695,13.6951,13.8565,591233.0
2019-01-12,13.8242,13.9695,13.6951,13.8565,591233.0
2019-01-13,13.8242,13.9695,13.6951,13.8565,591233.0
2019-01-14,13.7758,14.0824,13.6951,13.9452,1216165.0
2019-01-15,13.9533,14.3326,13.8741,14.2438,406815.0
2019-01-16,14.2519,14.6958,14.2116,14.5586,573588.0
2019-01-17,14.5666,14.607,14.3972,14.5586,253307.0
2019-01-18,14.6474,15.2333,14.5513,15.2284,1057718.0
2019-01-19,14.6474,15.2333,14.5513,15.2284,1057718.0
2019-01-20,14.6474,15.2333,14.5513,15.2284,1057718.0
2019-01-21,14.6474,15.2333,14.5513,15.2284,1057718.0
2019-01-22,15.1961,15.2042,14.6474,14.7684,585729.0
2019-01-23,14.7281,14.9132,14.4456,14.4859,328960.0
2019-01-24,14.4375,14.5666,14.2035,14.2277,336354.0
2019-01-25,14.3891,14.5065,14.2541,14.3972,452357.0
2019-01-26,14.3891,14.5065,14.2541,14.3972,452357.0
2019-01-27,14.3891,14.5065,14.2541,14.3972,452357.0
2019-01-28,14.3245,14.3649,14.1309,14.2196,262596.0
2019-01-29,14.3245,14.3891,14.2157,14.3245,322326.0
2019-01-30,14.4456,14.5666,14.1309,14.5505,498558.0
2019-01-31,14.5263,15.293,14.5263,15.2445,659988.0
2019-02-01,15.3575,15.6642,15.0589,15.64,948270.0
2019-02-02,15.3575,15.6642,15.0589,15.64,948270.0
2019-02-03,15.3575,15.6642,15.0589,15.64,948270.0
2019-02-04,15.6965,15.9144,15.5189,15.9063,425225.0
2019-02-05,15.8579,16.5035,15.8579,16.4631,1402404.0
2019-02-06,16.3663,16.681,15.3737,15.527,1582992.0
2019-02-07,15.3414,15.6319,14.8895,15.3252,930212.0
2019-02-08,15.1477,15.3172,15.0266,15.1316,295595.0
2019-02-09,15.1477,15.3172,15.0266,15.1316,295595.0
2019-02-10,15.1477,15.3172,15.0266,15.1316,295595.0
2019-02-11,15.1719,15.3172,14.9217,14.9459,563451.0
2019-02-12,15.0589,15.2526,14.9459,15.0589,940302.0
2019-02-13,15.1396,15.2445,14.8895,15.1881,733006.0
2019-02-14,15.1316,15.2203,14.9459,15.067,825911.0
2019-02-15,15.2157,15.2983,14.8109,15.2487,974071.0
2019-02-16,15.2157,15.2983,14.8109,15.2487,974071.0
2019-02-17,15.2157,15.2983,14.8109,15.2487,974071.0
2019-02-18,15.2157,15.2983,14.8109,15.2487,974071.0
2019-02-19,15.1413,15.2776,15.0009,15.2157,457462.0
2019-02-20,15.2322,15.3313,15.1248,15.3313,380300.0
2019-02-21,15.2735,15.2818,14.9431,15.0422,535022.0
2019-02-22,15.0753,15.29,14.9761,15.034,505593.0
2019-02-23,15.0753,15.29,14.9761,15.034,505593.0
2019-02-24,15.0753,15.29,14.9761,15.034,505593.0
2019-02-25,15.1496,15.1992,14.8935,14.9101,474595.0
2019-02-26,14.8688,15.0381,14.7696,14.9018,665692.0
2019-02-27,14.877,14.9018,14.6457,14.8027,526481.0
2019-02-28,14.8605,14.8702,14.6044,14.6292,479420.0
2019-03-01,14.7366,14.9431,14.5466,14.7366,492177.0
2019-03-02,14.7366,14.9431,14.5466,14.7366,492177.0
2019-03-03,14.7366,14.9431,14.5466,14.7366,492177.0
2019-03-04,14.8275,15.1,14.7201,14.8935,616182.0
2019-03-05,14.8853,15.008,14.7366,14.9266,337569.0
2019-03-06,14.8935,14.9514,14.7448,14.844,211596.0
2019-03-07,14.7862,14.8471,14.4723,14.5301,597770.0
2019-03-08,14.4557,14.6375,14.3153,14.4888,331207.0
2019-03-09,14.4557,14.6375,14.3153,14.4888,331207.0
2019-03-10,14.4557,14.6375,14.3153,14.4888,331207.0
2019-03-11,14.5383,14.9877,14.5053,14.7696,384669.0
2019-03-12,14.8027,14.9927,14.7696,14.8522,213506.0
2019-03-13,14.9266,15.3644,14.8688,15.3561,505700.0
2019-03-14,15.3644,15.447,15.1827,15.3313,312178.0
2019-03-15,15.3396,15.86,15.2818,15.7031,939876.0
2019-03-16,15.3396,15.86,15.2818,15.7031,939876.0
2019-03-17,15.3396,15.86,15.2818,15.7031,939876.0
2019-03-18,15.7939,15.9674,15.6618,15.8765,438890.0
2019-03-19,16.0417,16.0417,15.5957,15.7278,293222.0
2019-03-20,15.893,15.9343,15.5378,15.7609,508189.0
2019-03-21,15.6618,16.1409,15.6618,15.9591,597997.0
2019-03-22,15.827,15.8765,15.2074,15.2487,677621.0
2019-03-23,15.827,15.8765,15.2074,15.2487,677621.0
2019-03-24,15.827,15.8765,15.2074,15.2487,677621.0
2019-03-25,15.1661,15.2359,14.9431,15.067,447921.0
2019-03-26,15.1579,15.3148,15.0918,15.1827,677890.0
2019-03-27,15.1909,15.4883,15.0174,15.034,367893.0
2019-03-28,15.034,15.1247,14.9514,15.0753,504756.0
2019-03-29,14.8688,15.1661,14.8275,15.1,559183.0
2019-03-30,14.8688,15.1661,14.8275,15.1,559183.0
2019-03-31,14.8688,15.1661,14.8275,15.1,559183.0
2019-04-01,15.1,15.3445,15.1,15.1413,395262.0
2019-04-02,15.1992,15.1992,14.9514,15.067,275964.0
2019-04-03,15.1909,15.4552,15.0918,15.3809,323196.0
2019-04-04,15.29,15.6039,15.1579,15.2405,376474.0
2019-04-05,15.2818,15.343,15.1413,15.2818,359103.0
2019-04-06,15.2818,15.343,15.1413,15.2818,359103.0
2019-04-07,15.2818,15.343,15.1413,15.2818,359103.0
2019-04-08,15.2818,15.5048,15.2322,15.4057,254832.0
2019-04-09,15.3644,15.3644,15.1039,15.1166,216647.0
2019-04-10,15.1496,15.5957,15.1496,15.4387,325983.0
2019-04-11,15.4552,15.6205,15.3148,15.6039,257396.0
2019-04-12,15.7526,15.9426,15.6452,15.7196,347324.0
2019-04-13,15.7526,15.9426,15.6452,15.7196,347324.0
2019-04-14,15.7526,15.9426,15.6452,15.7196,347324.0
2019-04-15,15.86,15.8683,15.5709,15.5957,240608.0
2019-04-16,15.7774,15.8972,15.5792,15.86,449316.0
2019-04-17,15.9096,15.9426,15.6452,15.9178,350697.0
2019-04-18,16.2152,16.9504,16.1904,16.8926,1809014.0
2019-04-19,16.2152,16.9504,16.1904,16.8926,1809014.0
2019-04-20,16.2152,16.9504,16.1904,16.8926,1809014.0
2019-04-21,16.2152,16.9504,16.1904,16.8926,1809014.0
2019-04-22,16.9008,17.3138,16.7439,17.256,855586.0
2019-04-23,17.3469,17.7269,17.2725,17.4377,1251882.0
2019-04-24,17.3634,17.6195,17.2643,17.2891,587413.0
2019-04-25,17.2891,17.5204,16.9999,17.2312,806455.0
2019-04-26,17.2065,17.4708,17.0991,17.2891,578411.0
2019-04-27,17.2065,17.4708,17.0991,17.2891,578411.0
2019-04-28,17.2065,17.4708,17.0991,17.2891,578411.0
2019-04-29,17.3056,17.7929,17.2973,17.7434,521266.0
2019-04-30,17.859,17.9003,17.1899,17.3056,938711.0
2019-05-01,16.7439,17.4295,16.6035,16.9339,1233025.0
2019-05-02,16.7687,17.2478,16.2152,17.1073,1088161.0
2019-05-03,17.2065,17.5121,17.1404,17.3469,799136.0
2019-05-04,17.2065,17.5121,17.1404,17.3469,799136.0
2019-05-05,17.2065,17.5121,17.1404,17.3469,799136.0
2019-05-06,16.9669,17.1734,16.7687,17.1321,1220731.0
2019-05-07,16.8926,17.3097,16.8513,17.2312,1281368.0
2019-05-08,17.1073,17.446,17.1073,17.3221,736951.0
2019-05-09,16.9669,17.2891,16.9339,17.1486,593689.0
2019-05-10,17.0986,17.2653,16.9902,17.1903,405610.0
2019-05-11,17.0986,17.2653,16.9902,17.1903,405610.0
2019-05-12,17.0986,17.2653,16.9902,17.1903,405610.0
2019-05-13,16.8568,17.0486,16.6901,16.7485,1046541.0
2019-05-14,16.9069,17.0903,16.9069,17.0569,253475.0
2019-05-15,17.0069,17.5154,16.8985,17.3654,962928.0
2019-05-16,17.2987,17.6488,17.282,17.5571,426488.0
2019-05-17,17.4487,17.58,17.3828,17.4487,496371.0
2019-05-18,17.4487,17.58,17.3828,17.4487,496371.0
2019-05-19,17.4487,17.58,17.3828,17.4487,496371.0
2019-05-20,17.3487,17.4571,17.1069,17.307,699085.0
2019-05-21,17.2487,17.4237,16.8985,17.2653,1110900.0
2019-05-22,17.157,17.4212,17.1486,17.3237,777100.0
2019-05-23,17.1736,17.2904,16.7235,16.8485,1140688.0
2019-05-24,16.8985,16.9902,16.8485,16.9152,360658.0
2019-05-25,16.8985,16.9902,16.8485,16.9152,360658.0
2019-05-26,16.8985,16.9902,16.8485,16.9152,360658.0
2019-05-27,16.8985,16.9902,16.8485,16.9152,360658.0
2019-05-28,16.8735,17.0403,16.7485,16.7568,435985.0
2019-05-29,16.6151,16.7568,16.5567,16.6234,432128.0
2019-05-30,16.7318,16.9235,16.6984,16.9152,382522.0
2019-05-31,16.6734,16.8485,16.39,16.4233,931089.0
2019-06-01,16.6734,16.8485,16.39,16.4233,931089.0
2019-06-02,16.6734,16.8485,16.39,16.4233,931089.0
2019-06-03,16.2733,16.6401,16.2566,16.5067,245557.0
2019-06-04,16.6734,17.0903,16.5317,17.0486,782988.0
2019-06-05,17.1653,17.3821,16.8568,17.307,474150.0
2019-06-06,17.282,17.4821,17.257,17.4487,252273.0
2019-06-07,17.5071,17.999,17.182,17.9573,572604.0
2019-06-08,17.5071,17.999,17.182,17.9573,572604.0
2019-06-09,17.5071,17.999,17.182,17.9573,572604.0
2019-06-10,17.8906,18.1157,17.6405,17.7906,561153.0
2019-06-11,17.949,18.2157,17.8322,17.949,819651.0
2019-06-12,17.8072,17.999,17.6372,17.9823,281856.0
2019-06-13,18.0907,18.2741,18.0657,18.2324,212587.0
2019-06-14,18.1657,18.3408,18.099,18.1574,316994.0
2019-06-15,18.1657,18.3408,18.099,18.1574,316994.0
2019-06-16,18.1657,18.3408,18.099,18.1574,316994.0
2019-06-17,18.1574,18.5075,18.1074,18.4908,777761.0
2019-06-18,18.5325,18.7409,18.3324,18.4241,758826.0
2019-06-19,18.4825,18.841,18.4658,18.8076,597124.0
2019-06-20,18.9577,19.1745,18.4992,18.6659,1122809.0
2019-06-21,18.4992,18.8577,18.4992,18.5742,563205.0
2019-06-22,18.4992,18.8577,18.4992,18.5742,563205.0
2019-06-23,18.4992,18.8577,18.4992,18.5742,563205.0
2019-06-24,18.4992,18.5742,18.2241,18.2657,379094.0
2019-06-25,18.2157,18.395,18.049,18.0823,284948.0
2019-06-26,18.0907,18.3407,18.0407,18.2491,316582.0
2019-06-27,18.3408,18.5992,18.3158,18.4908,401828.0
2019-06-28,18.6076,19.0161,18.4742,18.8493,667102.0
2019-06-29,18.6076,19.0161,18.4742,18.8493,667102.0
2019-06-30,18.6076,19.0161,18.4742,18.8493,667102.0
2019-07-01,19.1411,19.4579,18.8493,19.4579,958886.0
2019-07-02,19.4496,19.8581,19.1411,19.8497,1811900.0
2019-07-03,19.7914,20.0581,19.4662,19.7413,574070.0
2019-07-04,19.7914,20.0581,19.4662,19.7413,574070.0
2019-07-05,19.7413,19.8997,19.5746,19.7247,484735.0
2019-07-06,19.7413,19.8997,19.5746,19.7247,484735.0
2019-07-07,19.7413,19.8997,19.5746,19.7247,484735.0
2019-07-08,19.4996,19.658,19.1828,19.4579,708721.0
2019-07-09,19.2578,20.8418,19.2578,20.2499,3885756.0
2019-07-10,20.55,20.7584,20.0165,20.2416,2189265.0
2019-07-11,20.2332,20.4166,19.9748,20.0748,1061110.0
2019-07-12,20.2499,20.472,20.0081,20.0331,661761.0
2019-07-13,20.2499,20.472,20.0081,20.0331,661761.0
2019-07-14,20.2499,20.472,20.0081,20.0331,661761.0
2019-07-15,20.1915,20.1915,19.6663,19.8164,537263.0
2019-07-16,19.9248,20.0915,19.808,19.9498,462680.0
2019-07-17,20.0081,20.0498,19.683,19.733,479136.0
2019-07-18,19.6747,19.9657,19.3995,19.5829,629944.0
2019-07-19,19.708,19.783,19.1411,19.1995,1395580.0
2019-07-20,19.708,19.783,19.1411,19.1995,1395580.0
2019-07-21,19.708,19.783,19.1411,19.1995,1395580.0
2019-07-22,19.3829,19.9331,18.5146,19.808,1777199.0
2019-07-23,19.7664,20.0415,19.4079,20.0081,691773.0
2019-07-24,20.0915,20.8168,19.9081,20.7084,1328341.0
