,BRKL US Equity,BRKL US Equity,BRKL US Equity,BRKL US Equity,BRKL US Equity
,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
2020-01-01,13.7713,13.8548,13.7378,13.7545,284719.0
2020-01-02,13.7713,13.788,13.5707,13.7295,237537.0
2020-01-03,13.554,13.7545,13.4537,13.6877,311981.0
2020-01-04,13.554,13.7545,13.4537,13.6877,311981.0
2020-01-05,13.554,13.7545,13.4537,13.6877,311981.0
2020-01-06,13.5874,13.6459,13.4537,13.5874,199943.0
2020-01-07,13.5122,13.554,13.3869,13.3869,148441.0
2020-01-08,13.3785,13.5122,13.3785,13.4412,141250.0
2020-01-09,13.4788,13.4955,13.2197,13.4036,251648.0
2020-01-10,13.3952,13.4036,13.2448,13.32,122792.0
2020-01-11,13.3952,13.4036,13.2448,13.32,122792.0
2020-01-12,13.3952,13.4036,13.2448,13.32,122792.0
2020-01-13,13.3117,13.3702,13.2448,13.3534,130646.0
2020-01-14,13.3284,13.4036,13.2615,13.3367,201332.0
2020-01-15,13.2782,13.4245,13.2114,13.2991,155749.0
2020-01-16,13.3702,13.5456,13.32,13.4621,217295.0
2020-01-17,13.5791,13.5791,13.4245,13.4621,184018.0
2020-01-18,13.5791,13.5791,13.4245,13.4621,184018.0
2020-01-19,13.5791,13.5791,13.4245,13.4621,184018.0
2020-01-20,13.5791,13.5791,13.4245,13.4621,184018.0
2020-01-21,13.3785,13.4286,13.2281,13.2532,190288.0
2020-01-22,13.3033,13.3451,13.1529,13.203,130111.0
2020-01-23,13.178,13.32,13.1027,13.2908,287388.0
2020-01-24,13.2949,13.3534,12.9607,13.061,171035.0
2020-01-25,13.2949,13.3534,12.9607,13.061,171035.0
2020-01-26,13.2949,13.3534,12.9607,13.061,171035.0
2020-01-27,12.9607,13.1027,12.9356,12.9983,130630.0
2020-01-28,13.0443,13.061,12.9022,12.9273,136788.0
2020-01-29,12.9106,12.9189,12.6682,12.6849,339525.0
2020-01-30,12.9858,13.203,12.7852,13.0066,363245.0
2020-01-31,12.944,12.9858,12.6933,12.7016,298157.0
2020-02-01,12.944,12.9858,12.6933,12.7016,298157.0
2020-02-02,12.944,12.9858,12.6933,12.7016,298157.0
2020-02-03,12.7936,13.0275,12.6933,13.015,370087.0
2020-02-04,13.178,13.2364,13.0526,13.0986,182557.0
2020-02-05,13.2197,13.3702,13.1988,13.3367,187743.0
2020-02-06,13.3702,13.3702,13.1445,13.1445,162863.0
2020-02-07,13.0777,13.1195,13.0108,13.0275,119240.0
2020-02-08,13.0777,13.1195,13.0108,13.0275,119240.0
2020-02-09,13.0777,13.1195,13.0108,13.0275,119240.0
2020-02-10,12.9858,13.0777,12.9523,13.0693,304703.0
2020-02-11,13.086,13.3033,13.086,13.1696,114284.0
2020-02-12,13.2532,13.2532,13.1027,13.1445,127123.0
2020-02-13,13.0898,13.2468,13.0898,13.2329,104847.0
2020-02-14,13.2413,13.2876,13.0688,13.1487,145999.0
2020-02-15,13.2413,13.2876,13.0688,13.1487,145999.0
2020-02-16,13.2413,13.2876,13.0688,13.1487,145999.0
2020-02-17,13.2413,13.2876,13.0688,13.1487,145999.0
2020-02-18,13.073,13.1487,12.972,13.0141,383737.0
2020-02-19,13.0477,13.0898,12.9635,12.972,158823.0
2020-02-20,12.9383,13.1235,12.9046,13.073,168839.0
2020-02-21,13.0646,13.0646,12.913,12.9804,274609.0
2020-02-22,13.0646,13.0646,12.913,12.9804,274609.0
2020-02-23,13.0646,13.0646,12.913,12.9804,274609.0
2020-02-24,12.6605,12.7531,12.5932,12.7194,169528.0
2020-02-25,12.6942,12.6942,12.3659,12.3743,287156.0
