,SC US Equity,SC US Equity,SC US Equity,SC US Equity,SC US Equity
,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
2019-01-01,15.8449,15.962,15.6154,15.8359,890251.0
2019-01-02,15.5658,16.3086,15.5658,16.097,1527570.0
2019-01-03,16.097,16.4616,15.998,16.187,1562895.0
2019-01-04,16.5021,17.0873,16.4661,16.9523,1187028.0
2019-01-05,16.5021,17.0873,16.4661,16.9523,1187028.0
2019-01-06,16.5021,17.0873,16.4661,16.9523,1187028.0
2019-01-07,16.8262,17.2584,16.7362,16.9883,1257541.0
2019-01-08,17.1053,17.1503,16.9163,17.1053,1608511.0
2019-01-09,17.1863,17.3934,17.0963,17.1053,2075942.0
2019-01-10,17.0333,17.2584,16.9253,17.2494,1031768.0
2019-01-11,17.1593,17.4699,17.1503,17.3664,886505.0
2019-01-12,17.1593,17.4699,17.1503,17.3664,886505.0
2019-01-13,17.1593,17.4699,17.1503,17.3664,886505.0
2019-01-14,17.3214,17.5825,17.2359,17.3034,925247.0
2019-01-15,17.2404,17.2404,16.7632,16.8893,2222655.0
2019-01-16,16.4841,17.0423,16.4121,17.0423,2573020.0
2019-01-17,17.0063,17.1323,16.7902,17.0603,1764967.0
2019-01-18,17.1233,17.3214,16.9838,17.2043,1089271.0
2019-01-19,17.1233,17.3214,16.9838,17.2043,1089271.0
2019-01-20,17.1233,17.3214,16.9838,17.2043,1089271.0
2019-01-21,17.1233,17.3214,16.9838,17.2043,1089271.0
2019-01-22,17.0873,17.2043,16.9703,17.0333,1125798.0
2019-01-23,17.1413,17.1413,16.7272,16.7272,1438258.0
2019-01-24,16.7722,17.1008,16.7722,16.9343,1361955.0
2019-01-25,17.0333,17.3664,17.0333,17.3124,1119027.0
2019-01-26,17.0333,17.3664,17.0333,17.3124,1119027.0
2019-01-27,17.0333,17.3664,17.0333,17.3124,1119027.0
2019-01-28,17.1593,17.5014,17.1143,17.4564,1091821.0
2019-01-29,17.4834,17.5555,17.1413,17.1593,1363586.0
2019-01-30,16.205,17.2494,15.9169,17.2404,4623629.0
2019-01-31,17.0603,17.3394,16.8442,17.1593,2227570.0
2019-02-01,17.1863,17.3844,17.0063,17.1953,1282667.0
2019-02-02,17.1863,17.3844,17.0063,17.1953,1282667.0
2019-02-03,17.1863,17.3844,17.0063,17.1953,1282667.0
2019-02-04,17.1593,17.5825,17.1593,17.5735,1288856.0
2019-02-05,17.5825,17.5825,17.2404,17.4744,1217415.0
