,DKS US Equity,DKS US Equity,DKS US Equity,DKS US Equity,DKS US Equity
,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
2019-01-01,25.9992,26.3674,25.8988,26.108,1259527.0
2019-01-02,25.8068,26.882,25.5976,26.585,1907517.0
2019-01-03,26.5013,27.7314,26.1331,27.1122,2664681.0
2019-01-04,26.9364,28.0075,26.9364,27.7649,2594392.0
2019-01-05,26.9364,28.0075,26.9364,27.7649,2594392.0
2019-01-06,26.9364,28.0075,26.9364,27.7649,2594392.0
2019-01-07,27.7565,28.3925,27.3884,27.5891,2250745.0
2019-01-08,27.8737,28.0912,26.7774,27.6812,2270106.0
2019-01-09,27.7398,28.928,27.5557,28.5766,2506769.0
2019-01-10,27.6645,28.041,27.1875,27.8653,2106396.0
2019-01-11,27.7398,28.2669,27.4385,27.9155,1391401.0
2019-01-12,27.7398,28.2669,27.4385,27.9155,1391401.0
2019-01-13,27.7398,28.2669,27.4385,27.9155,1391401.0
2019-01-14,27.882,28.8611,27.6142,28.2418,1902286.0
2019-01-15,28.3423,28.6351,28.041,28.0996,1435607.0
2019-01-16,27.9824,28.2251,27.313,27.6059,1196239.0
2019-01-17,27.2963,28.0326,27.1122,27.8904,1341793.0
2019-01-18,28.359,28.8276,27.9992,28.6602,1449992.0
2019-01-19,28.359,28.8276,27.9992,28.6602,1449992.0
2019-01-20,28.359,28.8276,27.9992,28.6602,1449992.0
2019-01-21,28.359,28.8276,27.9992,28.6602,1449992.0
2019-01-22,28.4761,28.7356,28.108,28.359,1310886.0
2019-01-23,28.5849,28.7021,27.9071,28.2084,1708702.0
2019-01-24,28.3172,28.8778,27.9657,28.7188,1099509.0
2019-01-25,29.0201,29.2878,28.7356,28.9699,1227958.0
2019-01-26,29.0201,29.2878,28.7356,28.9699,1227958.0
2019-01-27,29.0201,29.2878,28.7356,28.9699,1227958.0
2019-01-28,28.7356,29.1874,28.5933,29.1539,1386674.0
2019-01-29,29.2711,29.5054,28.9196,29.1456,1112214.0
2019-01-30,29.2125,29.4301,28.8862,28.9531,914316.0
2019-01-31,28.9029,29.6895,28.8919,29.5472,1682052.0
2019-02-01,29.5974,29.8284,28.7356,29.497,1511050.0
2019-02-02,29.5974,29.8284,28.7356,29.497,1511050.0
2019-02-03,29.5974,29.8284,28.7356,29.497,1511050.0
2019-02-04,29.338,29.8318,29.1874,29.7313,1295046.0
2019-02-05,29.815,30.8945,29.564,30.8443,1818151.0
2019-02-06,30.8359,30.9614,30.225,30.5263,1304209.0
2019-02-07,30.3506,30.3506,29.2293,29.9656,1824743.0
2019-02-08,29.882,30.1999,29.405,29.5472,1582055.0
2019-02-09,29.882,30.1999,29.405,29.5472,1582055.0
2019-02-10,29.882,30.1999,29.405,29.5472,1582055.0
2019-02-11,29.6142,30.0577,29.3046,29.8569,1730270.0
2019-02-12,29.9907,30.9865,29.7146,30.543,3535355.0
2019-02-13,30.6769,31.0116,30.4008,30.9028,2394064.0
2019-02-14,30.4677,31.0367,29.7899,30.4342,2330207.0
2019-02-15,30.6518,31.5053,30.5179,31.2878,1337166.0
2019-02-16,30.6518,31.5053,30.5179,31.2878,1337166.0
2019-02-17,30.6518,31.5053,30.5179,31.2878,1337166.0
2019-02-18,30.6518,31.5053,30.5179,31.2878,1337166.0
2019-02-19,31.2459,31.9907,31.1706,31.6978,1847677.0
2019-02-20,31.8066,32.2585,31.497,31.9405,1617488.0
2019-02-21,31.6811,32.0325,31.5556,31.6894,1200179.0
2019-02-22,31.8568,32.0409,31.5304,31.7731,1699694.0
2019-02-23,31.8568,32.0409,31.5304,31.7731,1699694.0
2019-02-24,31.8568,32.0409,31.5304,31.7731,1699694.0
2019-02-25,31.9823,32.0712,31.4551,31.5974,1291186.0
2019-02-26,31.7145,32.1831,31.5639,31.9823,1637823.0
2019-02-27,32.2334,33.1706,32.1915,32.953,3066784.0
2019-02-28,32.8693,33.2375,32.4928,32.6852,1790180.0
2019-03-01,33.43,34.1998,32.4509,32.635,2771754.0
2019-03-02,33.43,34.1998,32.4509,32.635,2771754.0
2019-03-03,33.43,34.1998,32.4509,32.635,2771754.0
2019-03-04,32.794,32.8861,31.5807,31.8735,1739754.0
2019-03-05,32.0158,32.1915,31.6643,31.8066,1154319.0
2019-03-06,32.1831,32.5597,31.8735,31.9488,1436966.0
2019-03-07,31.7815,32.1497,31.4133,31.6392,1784699.0
2019-03-08,31.3966,31.7731,31.1037,31.6727,2411135.0
2019-03-09,31.3966,31.7731,31.1037,31.6727,2411135.0
2019-03-10,31.3966,31.7731,31.1037,31.6727,2411135.0
2019-03-11,31.6058,32.6476,31.5974,32.543,4974834.0
2019-03-12,29.8234,30.9447,28.5347,28.9615,15184055.0
2019-03-13,28.8945,30.0619,28.8611,29.9656,5624632.0
2019-03-14,30.1132,30.324,29.4133,29.4976,3769670.0
2019-03-15,29.5566,29.6831,28.5869,28.7134,3172516.0
2019-03-16,29.5566,29.6831,28.5869,28.7134,3172516.0
2019-03-17,29.5566,29.6831,28.5869,28.7134,3172516.0
2019-03-18,28.6796,29.2615,28.4267,29.1856,2290556.0
2019-03-19,29.2446,30.0036,29.2446,29.7506,2561260.0
2019-03-20,29.5229,29.7337,28.8483,29.0001,1821742.0
2019-03-21,28.8905,29.8687,28.8905,29.7253,2732895.0
2019-03-22,29.5904,29.7759,28.9579,28.9664,1715946.0
2019-03-23,29.5904,29.7759,28.9579,28.9664,1715946.0
2019-03-24,29.5904,29.7759,28.9579,28.9664,1715946.0
2019-03-25,28.8905,29.4976,28.7808,29.1266,2598340.0
2019-03-26,29.5735,30.206,29.2235,30.0963,1943837.0
2019-03-27,30.1385,30.8468,30.1132,30.7457,1346877.0
2019-03-28,30.948,31.5636,30.5433,30.6782,4853112.0
2019-03-29,30.7372,31.1251,30.5517,31.0408,3199397.0
2019-03-30,30.7372,31.1251,30.5517,31.0408,3199397.0
2019-03-31,30.7372,31.1251,30.5517,31.0408,3199397.0
2019-04-01,31.201,31.96,31.0155,31.9431,1980753.0
2019-04-02,31.9431,32.6177,31.5636,32.3479,1910310.0
2019-04-03,32.6599,32.6599,32.1539,32.272,1448999.0
2019-04-04,32.2467,33.4694,31.9347,33.4357,2167304.0
2019-04-05,33.5453,34.1617,33.5116,33.8826,3123229.0
2019-04-06,33.5453,34.1617,33.5116,33.8826,3123229.0
2019-04-07,33.5453,34.1617,33.5116,33.8826,3123229.0
2019-04-08,33.7814,34.5741,33.6465,34.2705,1626521.0
2019-04-09,34.026,34.4139,33.9248,34.2115,1894046.0
2019-04-10,34.3633,34.7343,34.0428,34.7259,1737255.0
2019-04-11,34.7259,34.7259,34.2115,34.3127,2434015.0
2019-04-12,34.5066,34.7512,33.9754,34.1356,2068563.0
2019-04-13,34.5066,34.7512,33.9754,34.1356,2068563.0
2019-04-14,34.5066,34.7512,33.9754,34.1356,2068563.0
2019-04-15,34.1356,34.338,33.3767,33.4273,3604968.0
2019-04-16,33.4526,34.0302,33.2755,33.9164,1846975.0
2019-04-17,34.0681,34.3801,33.3598,33.5959,1728130.0
2019-04-18,33.6043,33.9585,32.7526,32.7611,3589865.0
2019-04-19,33.6043,33.9585,32.7526,32.7611,3589865.0
2019-04-20,33.6043,33.9585,32.7526,32.7611,3589865.0
