,MA US Equity,MA US Equity,MA US Equity,MA US Equity,MA US Equity
,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
2019-01-01,181.268,183.285,180.725,182.946,3658494.0
2019-01-02,180.211,185.05,179.707,184.003,4294038.0
2019-01-03,181.831,181.84,175.508,175.702,5071336.0
2019-01-04,179.261,185.47,178.863,184.022,4452864.0
2019-01-05,179.261,185.47,178.863,184.022,4452864.0
2019-01-06,179.261,185.47,178.863,184.022,4452864.0
2019-01-07,184.866,187.184,183.974,185.438,4219351.0
2019-01-08,184.476,186.992,183.116,186.788,5069727.0
2019-01-09,188.751,190.936,187.76,190.179,5471549.0
2019-01-10,187.517,191.607,185.856,191.325,3693776.0
2019-01-11,190.47,191.082,189.149,190.305,2500187.0
2019-01-12,190.47,191.082,189.149,190.305,2500187.0
2019-01-13,190.47,191.082,189.149,190.305,2500187.0
2019-01-14,188.828,191.374,188.459,189.848,3336661.0
2019-01-15,189.644,191.714,187.585,190.907,3783022.0
2019-01-16,191.869,192.743,190.888,192.122,3546393.0
2019-01-17,191.811,194.676,191.471,193.618,2764372.0
2019-01-18,195.434,196.746,194.307,196.231,4866871.0
2019-01-19,195.434,196.746,194.307,196.231,4866871.0
2019-01-20,195.434,196.746,194.307,196.231,4866871.0
2019-01-21,195.434,196.746,194.307,196.231,4866871.0
2019-01-22,194.084,195.259,192.005,193.763,4457655.0
2019-01-23,195.308,195.318,190.985,192.685,3086372.0
2019-01-24,192.753,194.482,192.277,194.084,2792247.0
2019-01-25,196.415,198.067,195.25,197.144,4687308.0
2019-01-26,196.415,198.067,195.25,197.144,4687308.0
2019-01-27,196.415,198.067,195.25,197.144,4687308.0
2019-01-28,195.007,195.24,192.403,194.443,3277232.0
2019-01-29,194.472,194.939,192.015,193.55,3661922.0
2019-01-30,194.696,198.98,194.191,198.193,4079538.0
2019-01-31,203.808,206.887,202.059,205.1,11316235.0
2019-02-01,205.935,208.51,205.168,207.665,6470065.0
2019-02-02,205.935,208.51,205.168,207.665,6470065.0
2019-02-03,205.935,208.51,205.168,207.665,6470065.0
2019-02-04,208.228,208.811,207.106,208.772,4397521.0
2019-02-05,208.86,210.511,208.806,209.695,3091476.0
2019-02-06,209.102,209.734,207.577,209.151,2697964.0
2019-02-07,207.363,208.325,205.557,207.859,2742885.0
2019-02-08,205.945,210.443,205.945,210.394,3248411.0
2019-02-09,205.945,210.443,205.945,210.394,3248411.0
2019-02-10,205.945,210.443,205.945,210.394,3248411.0
2019-02-11,210.793,212.405,210.166,210.9,2974373.0
2019-02-12,212.318,213.221,211.424,212.658,3411398.0
2019-02-13,213.513,214.96,213.168,214.241,2996829.0
2019-02-14,213.241,214.669,212.376,213.532,2875629.0
2019-02-15,215.844,216.0,214.183,215.766,2758470.0
2019-02-16,215.844,216.0,214.183,215.766,2758470.0
2019-02-17,215.844,216.0,214.183,215.766,2758470.0
2019-02-18,215.844,216.0,214.183,215.766,2758470.0
2019-02-19,215.106,215.621,214.066,214.29,2836861.0
2019-02-20,214.902,215.494,213.134,214.795,3103564.0
2019-02-21,213.921,214.717,212.376,213.046,3528836.0
2019-02-22,213.717,217.243,213.425,216.942,3295639.0
2019-02-23,213.717,217.243,213.425,216.942,3295639.0
2019-02-24,213.717,217.243,213.425,216.942,3295639.0
2019-02-25,218.574,218.962,216.631,216.942,3359156.0
2019-02-26,215.815,218.749,215.708,217.602,2852267.0
2019-02-27,216.67,218.195,215.407,218.156,2119937.0
2019-02-28,217.69,219.157,217.272,218.35,3240405.0
2019-03-01,220.4,221.634,218.924,220.76,3001730.0
2019-03-02,220.4,221.634,218.924,220.76,3001730.0
2019-03-03,220.4,221.634,218.924,220.76,3001730.0
2019-03-04,220.818,221.974,217.282,219.827,2977693.0
2019-03-05,219.769,220.439,218.856,219.759,2779085.0
2019-03-06,219.4,220.041,217.554,218.059,2849295.0
2019-03-07,217.233,218.03,214.436,216.058,3879922.0
2019-03-08,212.143,215.844,209.759,215.533,2691837.0
2019-03-09,212.143,215.844,209.759,215.533,2691837.0
2019-03-10,212.143,215.844,209.759,215.533,2691837.0
2019-03-11,216.573,219.672,216.476,219.196,2670194.0
2019-03-12,220.118,221.683,219.759,220.458,2478896.0
2019-03-13,221.848,224.723,221.294,221.974,2690361.0
2019-03-14,222.168,223.635,220.915,222.955,2838729.0
2019-03-15,222.285,226.112,222.275,224.568,3894538.0
2019-03-16,222.285,226.112,222.275,224.568,3894538.0
2019-03-17,222.285,226.112,222.275,224.568,3894538.0
2019-03-18,225.656,225.86,222.567,223.81,2734329.0
2019-03-19,224.927,225.471,223.752,224.412,3212000.0
2019-03-20,223.169,225.316,221.333,223.324,3747403.0
2019-03-21,221.683,230.309,221.663,229.133,4441059.0
2019-03-22,228.133,229.26,224.092,224.169,3709381.0
2019-03-23,228.133,229.26,224.092,224.169,3709381.0
2019-03-24,228.133,229.26,224.092,224.169,3709381.0
2019-03-25,223.81,225.316,222.023,223.839,3506468.0
2019-03-26,226.307,226.957,224.84,226.627,3046898.0
2019-03-27,227.239,227.511,223.091,225.879,2640702.0
2019-03-28,226.753,228.609,225.735,228.152,2712090.0
2019-03-29,229.736,229.881,227.283,228.725,3453858.0
2019-03-30,229.736,229.881,227.283,228.725,3453858.0
2019-03-31,229.736,229.881,227.283,228.725,3453858.0
2019-04-01,231.494,232.903,230.173,232.223,3475901.0
2019-04-02,232.397,233.019,231.271,232.427,3386726.0
2019-04-03,233.418,234.049,231.028,232.106,2912450.0
2019-04-04,231.883,231.951,227.084,229.318,3096332.0
2019-04-05,230.435,231.164,229.367,229.872,2590044.0
2019-04-06,230.435,231.164,229.367,229.872,2590044.0
2019-04-07,230.435,231.164,229.367,229.872,2590044.0
2019-04-08,229.308,229.852,226.778,229.843,2714544.0
2019-04-09,228.889,230.796,228.607,229.492,2491354.0
2019-04-10,230.553,231.477,229.687,230.611,1984176.0
2019-04-11,231.526,231.526,228.646,229.619,1908232.0
2019-04-12,230.582,232.498,229.658,232.333,3452168.0
2019-04-13,230.582,232.498,229.658,232.333,3452168.0
2019-04-14,230.582,232.498,229.658,232.333,3452168.0
2019-04-15,233.004,233.335,230.738,232.644,3437536.0
2019-04-16,233.471,234.415,232.45,233.559,2564480.0
2019-04-17,234.123,234.677,232.45,234.444,2829235.0
2019-04-18,235.932,236.049,233.919,234.337,3016796.0
2019-04-19,235.932,236.049,233.919,234.337,3016796.0
2019-04-20,235.932,236.049,233.919,234.337,3016796.0
2019-04-21,235.932,236.049,233.919,234.337,3016796.0
2019-04-22,233.277,236.526,232.566,236.438,2217754.0
2019-04-23,237.265,237.849,235.855,236.866,3108408.0
2019-04-24,237.002,239.381,236.206,238.617,3255232.0
2019-04-25,238.043,240.135,237.382,238.929,3152421.0
2019-04-26,239.357,240.427,236.604,239.969,3349310.0
2019-04-27,239.357,240.427,236.604,239.969,3349310.0
2019-04-28,239.357,240.427,236.604,239.969,3349310.0
2019-04-29,240.164,241.458,239.172,240.407,3274889.0
