,CAT US Equity,CAT US Equity,CAT US Equity,CAT US Equity,CAT US Equity
,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
2019-01-01,111.1594,112.4852,109.3155,111.5721,3455212.0
2019-01-02,108.9028,112.2833,107.9984,110.9662,4783227.0
2019-01-03,110.0267,110.1935,105.7537,106.6902,6166080.0
2019-01-04,109.0257,112.9067,108.6132,112.5203,5456893.0
2019-01-05,109.0257,112.9067,108.6132,112.5203,5456893.0
2019-01-06,109.0257,112.9067,108.6132,112.5203,5456893.0
2019-01-07,112.9067,113.7935,111.2472,112.5906,4653643.0
2019-01-08,114.0569,115.4632,112.5906,113.9427,4202624.0
2019-01-09,115.1018,116.0939,114.0657,114.3818,4865583.0
2019-01-10,112.9242,116.8842,111.7301,116.7437,3418501.0
2019-01-11,115.093,116.1817,114.1886,115.9886,2908649.0
2019-01-12,115.093,116.1817,114.1886,115.9886,2908649.0
2019-01-13,115.093,116.1817,114.1886,115.9886,2908649.0
2019-01-14,114.4169,116.2432,113.3808,115.7252,4482291.0
2019-01-15,115.9974,116.8754,113.7584,114.7505,3224080.0
2019-01-16,114.812,116.3573,114.3538,115.6022,3636946.0
2019-01-17,114.5574,119.3251,113.4071,118.131,6878543.0
2019-01-18,119.3858,121.7011,118.1133,120.7113,6122435.0
2019-01-19,119.3858,121.7011,118.1133,120.7113,6122435.0
2019-01-20,119.3858,121.7011,118.1133,120.7113,6122435.0
2019-01-21,119.3858,121.7011,118.1133,120.7113,6122435.0
2019-01-22,119.2356,119.2444,115.9129,116.8585,5188724.0
2019-01-23,117.5654,117.9631,115.0116,116.4873,3123553.0
2019-01-24,116.125,117.5212,115.9394,117.2915,3943630.0
2019-01-25,119.0942,120.9676,118.3165,120.9411,6429391.0
2019-01-26,119.0942,120.9676,118.3165,120.9411,6429391.0
2019-01-27,119.0942,120.9676,118.3165,120.9411,6429391.0
2019-01-28,112.2191,112.9349,108.8258,109.9039,17421413.0
2019-01-29,110.9996,113.4563,110.9996,111.8126,8550767.0
2019-01-30,113.0498,116.0764,111.6189,114.9762,7181643.0
2019-01-31,115.1618,117.8305,114.0307,117.6714,6643296.0
2019-02-01,117.5566,118.29,114.9762,115.6832,5646683.0
